File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
lumos5g_trace_4.csv,QAOCS_RBA,1.98,2.37,45.30,98.1385808411274,1.17,9718.133563251724,1.23,0.28,0.09,191.85
lumos5g_trace_5.csv,QAOCS_RBA,2.38,2.67,50.54,98.10128188312719,1.44,9509.608649044487,1.47,0.08,0.01,181.48
lab_trace_0.csv,QAOCS_RBA,2.28,2.79,43.21,98.26685413477024,1.61,10409.952258773445,1.41,0.21,0.10,197.95
oboe_trace_2.csv,QAOCS_RBA,2.20,0.57,26.65,98.1321787364888,1.22,2031.4353277318417,1.37,0.39,0.33,41.76
lab_trace_4.csv,QAOCS_RBA,1.98,2.13,43.80,98.13024759319157,1.55,9230.968484454837,1.22,0.17,0.04,174.96
hsr_trace_2.csv,QAOCS_RBA,2.41,2.54,35.42,97.79358900543454,1.79,8734.50461512148,1.49,0.10,0.30,169.95
oboe_trace_1.csv,QAOCS_RBA,2.97,0.57,6.52,97.37495860921838,3.14,1473.2923014897979,25.93,68.17,0.19,30.67
hsr_trace_1.csv,QAOCS_RBA,2.28,1.16,23.67,97.75473592246755,1.82,4130.981577792596,1.39,0.45,0.64,83.49
fcc18_trace_3.csv,QAOCS_RBA,1.91,0.44,23.14,98.1889981663029,1.59,1871.4235442671607,3.57,0.96,0.39,37.23
fcc18_trace_1.csv,QAOCS_RBA,1.83,0.64,27.59,98.10710489530814,1.12,2851.111185952119,1.14,0.20,0.59,56.37
lumos5g_trace_1.csv,QAOCS_RBA,2.18,2.48,50.53,97.42910684146753,2.57,9661.684987100447,1.35,0.08,0.11,183.33
lab_trace_5.csv,QAOCS_RBA,1.89,2.40,45.10,98.55254877843755,0.95,10669.372458705071,1.18,0.16,0.01,204.21
lab_trace_1.csv,QAOCS_RBA,2.51,2.84,46.86,97.71458001036495,1.75,9633.98828492489,1.54,0.09,0.02,184.56
fcc18_trace_2.csv,QAOCS_RBA,2.18,0.44,18.49,97.56554198185717,2.69,1637.3874635640382,1.33,0.33,0.28,32.69
ghent_trace_1.csv,QAOCS_RBA,2.07,2.31,42.95,98.01567042527424,1.12,9051.268627958316,1.28,0.12,0.21,180.24
hsr_trace_3.csv,QAOCS_RBA,2.14,1.08,14.26,98.18294107656308,1.25,4509.40038165061,6.67,16.43,0.55,80.81
oboe_trace_3.csv,QAOCS_RBA,2.03,0.69,29.34,98.31095247167204,1.20,2852.4874797657676,1.25,1.14,0.55,54.95
ghent_trace_0.csv,QAOCS_RBA,1.82,2.27,45.81,97.70756632637614,2.09,9594.190147100942,1.14,0.09,0.07,199.67
lab_trace_3.csv,QAOCS_RBA,1.93,2.31,45.33,98.15839038109756,1.26,9926.727488762992,1.20,0.12,0.08,192.08
ghent_trace_3.csv,QAOCS_RBA,2.20,1.94,43.22,97.91421299852345,1.78,7545.921590104015,1.37,0.11,0.33,141.87
hsr_trace_0.csv,QAOCS_RBA,2.87,1.41,12.74,97.54766579900294,1.93,4167.304141934686,10.71,12.71,0.70,78.80
ghent_trace_4.csv,QAOCS_RBA,2.35,2.87,47.20,98.16446951347982,1.24,9400.543303338238,1.45,0.10,0.04,198.24
fcc18_trace_0.csv,QAOCS_RBA,2.74,0.62,22.91,97.53232309270201,1.96,1903.377679652837,1.69,0.36,0.44,36.46
lab_trace_2.csv,QAOCS_RBA,2.70,3.28,44.94,98.44355486562272,1.08,9592.843397644368,1.67,0.12,0.08,196.62
oboe_trace_0.csv,QAOCS_RBA,2.27,0.51,19.81,97.64164226868037,1.89,1907.852459866619,1.41,0.53,0.41,36.08
lumos5g_trace_2.csv,QAOCS_RBA,1.95,2.24,47.79,98.33824809952628,1.25,9513.861164262938,1.22,0.08,0.04,183.64
fcc18_trace_4.csv,QAOCS_RBA,2.23,0.47,16.99,97.98456758215005,1.29,1744.701430679855,1.37,0.37,0.30,34.22
lumos5g_trace_3.csv,QAOCS_RBA,2.32,2.67,46.61,97.74225501572447,1.53,8938.893577055062,1.43,0.08,0.04,187.11
hsr_trace_4.csv,QAOCS_RBA,2.47,0.86,8.21,97.82022648278664,1.48,2794.1187864613507,12.31,44.99,0.49,56.14
ghent_trace_2.csv,QAOCS_RBA,2.06,2.76,45.04,97.41427374090895,2.37,10331.919758594282,1.28,0.09,0.04,215.00
ghent_trace_5.csv,QAOCS_RBA,1.91,2.09,35.06,98.57679757428014,0.88,9164.6720640233,1.19,0.22,0.15,175.33
oboe_trace_4.csv,QAOCS_RBA,2.07,0.68,34.88,97.9814407279237,1.56,2808.2672681288686,1.28,0.19,0.59,52.97
lumos5g_trace_4.csv,QAOCS_MPC,2.47,3.03,43.93,98.43436243637086,1.40,10007.813726863795,1.54,1.19,0.02,197.13
oboe_trace_2.csv,QAOCS_MPC,2.73,2.69,3.74,96.7557445480373,2.94,8587.687270998735,70.49,287.76,0.02,164.04
hsr_trace_2.csv,QAOCS_MPC,2.23,2.56,28.84,97.8178061760189,1.44,9550.496257097162,1.39,0.09,0.01,184.33
oboe_trace_1.csv,QAOCS_MPC,4.34,3.78,4.79,96.62992020532643,3.33,8339.572499411825,91.89,856.21,0.03,139.81
hsr_trace_1.csv,QAOCS_MPC,2.01,2.57,3.18,98.70084017552229,1.18,10602.79352859467,49.38,135.76,0.01,208.04
fcc18_trace_3.csv,QAOCS_MPC,3.97,4.09,5.17,97.06376131660193,1.76,8649.73796534487,59.52,370.95,0.02,171.74
fcc18_trace_1.csv,QAOCS_MPC,2.26,2.65,2.92,98.42524501997524,0.98,10061.857488325431,64.38,194.66,0.01,193.28
lumos5g_trace_1.csv,QAOCS_MPC,1.75,1.95,46.97,97.51764952485378,2.61,8663.302148230232,1.09,0.08,0.01,179.71
lab_trace_1.csv,QAOCS_MPC,2.25,2.58,45.93,98.20725115779987,1.05,10101.28007162559,1.37,0.10,0.01,188.57
fcc18_trace_2.csv,QAOCS_MPC,3.09,2.85,4.01,96.64157907287459,3.33,8095.999599813255,73.08,449.36,0.02,148.38
ghent_trace_1.csv,QAOCS_MPC,2.35,2.91,40.44,97.34600749770091,2.40,9661.204401062312,1.47,0.11,0.01,197.60
hsr_trace_3.csv,QAOCS_MPC,2.62,3.16,6.30,97.84846747016095,2.01,9260.741693440117,30.16,214.33,0.02,199.37
oboe_trace_3.csv,QAOCS_MPC,2.43,3.23,3.32,98.44077239228307,0.98,10266.61783515242,66.67,252.90,0.02,213.23
ghent_trace_0.csv,QAOCS_MPC,2.20,2.44,45.90,98.11461276682839,1.34,9249.477414697725,1.37,0.10,0.01,177.84
lab_trace_3.csv,QAOCS_MPC,2.36,2.89,48.10,97.80713766539351,1.94,9320.90861694505,1.47,0.12,0.01,196.82
ghent_trace_3.csv,QAOCS_MPC,2.04,2.33,31.34,97.91983918283877,1.66,9791.485941970308,1.25,0.10,0.01,186.29
lab_trace_2.csv,QAOCS_MPC,2.71,3.14,44.18,97.90361658845647,1.21,9867.710043604553,1.69,0.12,0.02,185.01
oboe_trace_0.csv,QAOCS_MPC,4.41,5.12,5.76,96.49463960792643,2.70,8860.37229297426,71.05,499.97,0.03,194.68
lumos5g_trace_2.csv,QAOCS_MPC,2.05,2.49,48.66,97.72494913077162,2.02,9468.822218515308,1.27,0.08,0.01,196.33
