TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,6137.925527989864,245111,30,0,"(640, 360)",317.98182064963135,357735.0,70.0,816.1147121986403,6137.925527989864,801.2366107520047,8.33599774054053
6137.925527989864,1,1000.0,99439,24,0,"(640, 360)",795.512,357735.0,83.89332956756755,0.0,6739.67272501185,372.5982405382403,17.687351900000003
7137.925527989864,2,3023.5826671123505,209524,26,0,"(640, 360)",551.0767615258343,357735.0,99.47891983333334,0.0,9016.869749163656,696.5222271999342,14.198102722695307
10161.508195102215,3,1000.0,265388,16,1,"(854, 480)",2123.104,357735.0,95.97905946575344,0.0,9096.178366400167,860.9014758793079,14.908933566666665
11161.508195102215,4,2272.1272110939026,253115,30,1,"(854, 480)",883.6013260216253,357735.0,99.76137591666667,0.0,10523.13450034344,824.7882988951687,15.812719247571614
13433.635406196117,5,2420.4244017601013,168435,29,1,"(854, 480)",548.1275319494957,357735.0,90.33268043636365,0.0,12381.251037394937,575.618264916768,19.44311330649716
15854.059807956219,6,1336.4608585834503,56741,27,1,"(854, 480)",330.1294545454545,357735.0,90.63652522033901,0.0,13480.752246877457,246.9598122103027,11.08553401212123
17190.52066653967,7,1000.0,78164,21,1,"(854, 480)",625.312,357735.0,88.49429284848483,0.0,14198.238985357628,309.9967706174741,12.022536827966094
18190.52066653967,8,1000.0,199221,15,1,"(854, 480)",1593.768,357735.0,93.47698224999999,0.0,14562.324767274877,666.2057550686226,14.66535439015152
19190.52066653967,9,1937.1536374092102,469965,15,1,"(854, 480)",1919.8573480608252,357735.0,97.52463945833334,0.0,15008.235393080655,1497.934248744641,15.590112068617017
21127.67430394888,10,1521.785408258438,179173,20,1,"(854, 480)",929.7623935648879,345819.0,99.8963504893617,0.0,15865.594782105887,625.3811326003975,14.29770866103604
22649.459712207317,11,1000.0,335066,15,2,"(1280, 720)",2680.528,345819.0,96.4538615945946,0.0,15770.098670648851,1099.9007360254323,16.071086635195037
23649.459712207317,12,1000.0,181284,15,2,"(1280, 720)",1450.272,345819.0,97.65052770833331,0.0,16151.839765312181,631.8067635320637,14.001595719594604
24649.459712207317,13,2652.095377445221,851945,15,2,"(1280, 720)",2555.8346805206647,345819.0,94.90453174999999,0.0,15882.70224928196,2737.2467901306863,13.892616841145816
