TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,7285.084933042526,138076,38,0,"(640, 360)",151.48909021764158,6548580.0,70.0,104.0922506033772,7285.084933042526,102.19460675363771,7.726912194285724
7285.084933042526,1,6685.953468084335,1223040,15,0,"(640, 360)",1458.5322463866958,6548580.0,54.54617561142855,0.0,13675.40019791885,276.59384573690625,17.98459704223602
13971.038401126862,2,1000.0,67618,30,1,"(854, 480)",540.944,6548580.0,99.9743284037267,0.0,14578.025912493727,90.86904979480485,16.544724563857134
14971.038401126862,3,1000.0,75046,22,1,"(854, 480)",600.368,6548580.0,94.99890354166665,0.0,15479.56906120856,92.06304106748092,19.094495007893357
15971.038401126862,4,2010.0829005241394,546475,16,2,"(1280, 720)",2141.2894463200905,6548580.0,91.75966679166669,0.0,17317.66267729106,167.84146213457927,13.328234066241475
17981.121301651,5,1000.0,61469,30,2,"(1280, 720)",491.752,6548580.0,96.3802073673469,0.0,18229.860399205154,89.88064748790055,11.088462854166686
18981.121301651,6,1725.0611782073975,75850,37,2,"(1280, 720)",346.74285714285713,6548580.0,91.342407875,0.0,19866.462448961578,92.19227760264941,20.699015355442135
20706.1824798584,7,1000.0,393104,15,2,"(1280, 720)",3144.832,6548580.0,81.36238402380953,0.0,20735.9688455149,143.18830711551607,15.565776262499998
21706.1824798584,8,1047.7937459945679,396972,15,2,"(1280, 720)",2931.486440457366,6548580.0,99.50002841666667,0.0,21646.491396743524,143.81005701356548,15.516801774542115
22753.976225852966,9,7034.670144319534,2646912,15,2,"(1280, 720)",3007.1424848689944,6548580.0,97.75506696153845,0.0,28177.949642274478,505.46982061679586,15.50263224506903
29788.6463701725,10,2160.34534573555,1713653,15,3,"(1920, 1080)",6327.33318041028,6548580.0,97.99479234319527,0.0,29961.59100560401,354.5670343314316,13.906249163461503
31948.99171590805,11,2683.8210821151733,2193223,15,3,"(1920, 1080)",6478.444120423892,6581160.0,97.69763559615389,0.0,32216.339545618084,430.79769971763096,14.725957494911246
34632.812798023224,12,2351.54527425766,2936373,15,3,"(1920, 1080)",9890.940631578946,6581160.0,99.20906121538462,0.0,34030.009515255864,549.6617233691965,15.190352503542503
36984.358072280884,13,1000.0,102769,36,3,"(1920, 1080)",822.152,6581160.0,99.93352677192982,0.0,34928.788146107734,94.84620976717736,19.86907575705129
37984.358072280884,14,3741.0234212875366,339056,32,3,"(1920, 1080)",723.3194666666667,7330500.0,88.67997091666666,0.0,38545.30943559078,128.68713629787584,19.48036134415205
41725.38149356842,15,2008.2254707813263,947167,23,3,"(1920, 1080)",3711.3476389636508,7330500.0,90.90633085555554,0.0,40331.12406415775,216.00953478437245,15.849622483843541
43733.60696434975,16,1000.0,1304346,15,3,"(1920, 1080)",10434.768,7330500.0,99.52936595918368,0.0,41070.86878266356,267.2990641120912,15.820044089444448
44733.60696434975,17,1000.0,771393,19,3,"(1920, 1080)",6171.144,7330500.0,99.851128625,0.0,41862.657505128074,190.76906508136517,14.83499658418367
45733.60696434975,18,1819.4937109947205,2334753,15,3,"(1920, 1080)",10188.014943275444,7330500.0,99.38873875000002,0.0,43296.75937161724,415.2615424380473,14.962158352272724
47553.10067534447,19,2720.739006996155,2597959,15,3,"(1920, 1080)",7557.698909090909,7330500.0,99.77794054545456,0.0,45504.61039664955,477.5415717552346,14.943848297727262
50273.83968234062,20,4942.536115646362,4551510,15,3,"(1920, 1080)",7343.613266797532,6548580.0,99.80453695454544,0.0,49639.81191818943,811.6186345581389,15.190203503437758
55216.375797986984,21,1000.0,575754,15,3,"(1920, 1080)",4606.032,6548580.0,99.1754740840336,0.0,50457.44080336771,172.01866184373037,15.11807316287878
