TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,8449.385732412338,199282,36,0,"(640, 360)",188.48347540821578,7475200.0,70.0,110.06879449973381,8449.385732412338,108.06219583633742,3.204468061576364,"[188.48347540821578, 281.4559322741254, 545.2128687768618, 1042.5496371448132]"
8449.385732412338,1,1000.0,190539,26,2,"(1280, 720)",1524.312,7475200.0,63.59106387684727,0.0,9335.199041936121,106.8310370854362,17.778905925000004,"[596.648, 898.984, 1524.312, 2980.168]"
9449.385732412338,2,6543.971806764603,1001950,29,2,"(1280, 720)",1217.5595553194712,7475200.0,99.631509875,0.0,15642.252027793358,221.09110264960347,16.570993614846905,"[464.5282260520621, 690.6325412978503, 1217.5595553194712, 2342.1558654256137]"
15993.357539176941,3,1000.0,327651,15,2,"(1280, 720)",2621.208,7475200.0,96.55016667088606,0.0,16507.35298279702,126.1386704668349,16.320205937500013,"[630.248, 1520.032, 2621.208, 5020.12]"
16993.35753917694,4,3312.788635492325,1110629,15,2,"(1280, 720)",2665.5098665509868,7475200.0,96.62260787499999,0.0,19577.90475254634,236.39490018925738,14.186496987911397,"[660.6672660667265, 1633.084963308496, 2665.5098665509868, 5224.054122405411]"
20306.146174669266,5,1883.1575512886047,717706,15,2,"(1280, 720)",2995.6419138014066,7475200.0,98.069189425,0.0,21284.184331251097,181.0648544520548,14.857011125543483,"[829.4857687850838, 1795.892557236077, 2995.6419138014066, 5724.671004405043]"
22189.30372595787,6,1000.0,213349,25,3,"(1920, 1080)",1706.792,7475200.0,99.19878652173914,0.0,22178.597251918578,110.0430616888969,14.875494362500014,"[333.664, 495.368, 867.688, 1706.792]"
23189.30372595787,7,1000.0,100680,30,3,"(1920, 1080)",805.44,7475200.0,96.38739012499998,0.0,23092.769370052152,94.17740627253065,17.48349991757248,"[175.648, 244.704, 440.784, 805.44]"
24189.30372595787,8,1000.0,332013,15,3,"(1920, 1080)",2656.104,7475200.0,93.43057320833331,0.0,23971.77975330797,126.7529120854362,13.553008520833309,"[361.456, 822.296, 1343.104, 2656.104]"
25189.30372595787,9,6928.476929664612,5936904,15,3,"(1920, 1080)",6825.662410810175,7475200.0,95.66876320833335,0.0,30011.556357563764,892.6879414972116,14.892549591741526,"[885.7351322507848, 2025.1574622829921, 3410.9537442373053, 6825.662410810175]"
32117.780655622482,10,1000.0,504747,19,3,"(1920, 1080)",4037.976,7907612.375,98.7260115209581,0.0,30855.176713552766,147.19001974081306,14.65462207916666,"[710.36, 1278.472, 2049.424, 4037.976]"
33117.78065562248,11,4697.281360626221,2555565,21,3,"(1920, 1080)",4342.199245465433,7907612.375,98.70249733333333,0.0,35133.95355287692,420.18718843089874,14.813498302771457,"[746.3278404479887, 1342.2975817555812, 2181.1354464520673, 4342.199245465433]"
37815.0620162487,12,1000.0,723413,15,3,"(1920, 1080)",5787.304,7907612.375,99.47683242477878,0.0,35961.43590422872,176.29801415513273,14.417411083333327,"[702.928, 1535.448, 2787.888, 5787.304]"
38815.0620162487,13,2785.349667072296,1740731,15,3,"(1920, 1080)",4988.362867061151,7907612.375,98.5701725,0.0,38245.17508411963,470.0178814909896,15.756429409853403,"[629.8946113558674, 1352.705748930657, 2434.1957690512513, 4988.362867061151]"
41600.411683321,14,1419.6852445602417,870407,20,3,"(1920, 1080)",4774.805205669761,3677789.75,97.44080602985075,0.0,39346.44174548907,329.1218794486124,14.758842418571431,"[816.1483008338973, 1506.7011443888327, 2396.999862171397, 4774.805205669761]"
43020.09692788124,15,1231.587827205658,1361637,15,3,"(1920, 1080)",8714.4768,3677789.75,99.35976611428572,0.0,40094.391426612616,469.7183370156377,15.183389917014923,"[1486.0608, 2855.68, 4700.448, 8714.4768]"
44251.6847550869,16,1000.0,668793,21,3,"(1920, 1080)",5350.344,3677789.75,99.87911753333333,0.0,40877.93631576611,222.31344631843828,14.705902843452378,"[1125.224, 1827.216, 2856.376, 5350.344]"
45251.6847550869,17,1080.3318917751312,1295592,15,3,"(1920, 1080)",9567.451559215864,5990400.0,99.30772654166668,0.0,41622.47733587369,307.6610998650472,15.056459302564086,"[1720.8152987123995, 3079.8803322708713, 5213.096988645227, 9567.451559215864]"
