TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,4937.775999307632,70613,39,0,"(640, 360)",114.39305084855593,4473700.0,70.0,98.40879708127014,4937.775999307632,96.6147648890651,8.801289601351339,"[114.39305084855593, 164.41702684663784, 330.14625358829966, 631.6897894648168]"
4937.775999307632,1,1000.0,137998,23,1,"(854, 480)",1102.88001710288,4473700.0,52.39742079729732,0.0,5817.5620823022045,112.47000304704807,12.756835500000008,"[738.276984738277, 1102.88001710288, 1789.4887217894886, 3433.738827433739]"
5937.775999307632,2,4452.226966619492,779903,21,1,"(854, 480)",1395.4442918111674,4473700.0,91.26139250000001,0.0,9987.418949025705,263.50594056726857,15.959050830718041,"[799.7802796513997, 1395.4442918111674, 2310.073184947546, 4594.742546528423]"
10390.002965927124,3,1000.0,433650,18,2,"(1280, 720)",3465.7308034657303,4473700.0,93.66465485074629,0.0,10792.741625561555,182.0349339943506,13.645382889999995,"[1107.8270651078271, 2170.1316981701316, 3465.7308034657303, 6988.884126988884]"
11390.002965927124,4,1969.169020652771,1091424,15,2,"(1280, 720)",4361.33030836133,4473700.0,96.28587023333333,0.0,12416.782537754258,336.80474068915055,13.443563154925375,"[1156.9179251569178, 2709.0682227090683, 4361.33030836133, 8326.517156326516]"
13359.171986579895,5,1238.2093966007233,717273,16,2,"(1280, 720)",4525.613694708325,4473700.0,96.35004773333334,0.0,13411.974873847075,248.7695219899224,13.662872350350876,"[1561.9349572336123, 2742.9103226900434, 4525.613694708325, 9047.02528126442]"
14597.381383180618,6,1000.0,765445,15,2,"(1280, 720)",6117.436446117436,4473700.0,97.15243228947368,0.0,14162.40321820948,260.10407022092863,14.089534766666672,"[2146.2436101462436, 3813.9582278139583, 6117.436446117436, 11977.61041197761]"
15597.381383180618,7,1000.0,651770,15,2,"(1280, 720)",5208.945845208946,4473700.0,97.87423256666668,0.0,14942.064414216307,241.77384563168835,14.00838481105262,"[1391.2793293912794, 3082.49042708249, 5208.945845208946, 9913.196889913195]"
16597.38138318062,8,3521.0605561733246,1965969,15,2,"(1280, 720)",4446.799571372428,4104824.8750000005,97.87271339999998,0.0,17905.53702562597,584.1484388859777,14.298111717610077,"[1284.1795146556135, 2695.1604101931935, 4446.799571372428, 8736.931806936642]"
20118.441939353943,9,2185.1930618286133,322527,26,2,"(1280, 720)",1171.652736669933,4104824.8750000005,97.1522416981132,0.0,19928.748839761738,162.7080607825341,16.269442392424217,"[487.6791502323583, 703.6738682464188, 1171.652736669933, 2297.064483639557]"
22303.635001182556,10,1000.0,467103,15,2,"(1280, 720)",3733.087179733087,4104824.8750000005,93.20654201515153,0.0,20716.492863803385,199.78278815635286,14.255521031446534,"[979.1718489791718, 2332.0895783320893, 3733.087179733087, 7328.624047328624]"
23303.635001182556,11,1000.0,333829,27,3,"(1920, 1080)",2667.9613706679615,4104824.8750000005,95.79344133333333,0.0,21551.549726236808,165.6063189220517,12.42133575848484,"[596.7226805967226, 844.6584968446585, 1405.3372574053371, 2667.9613706679615]"
24303.635001182556,12,1000.0,1160770,15,3,"(1920, 1080)",9276.873849276873,4104824.8750000005,94.56998326666665,0.0,22174.89201763643,384.91137899682906,14.013276726666675,"[1162.5003371625003, 2907.6494429076497, 4768.874356768874, 9276.873849276873]"
25303.635001182556,13,1000.0,1446658,15,3,"(1920, 1080)",11561.690747561692,3956276.0,97.65436810000001,0.0,22678.736060116375,464.9068909087339,14.658430313333334,"[1440.7657934407657, 3836.6075558366074, 5936.297765936298, 11561.690747561692]"
26303.635001182556,14,2579.6515941619873,3410140,17,3,"(1920, 1080)",10482.244122518876,3956276.0,98.5257144,0.0,24307.049783032217,983.3160647773817,15.190915843846158,"[1318.7627924812195, 3281.5024035552096, 4976.230335552521, 10482.244122518876]"
28883.286595344543,15,3518.4762477874756,2158909,25,3,"(1920, 1080)",4883.20803422235,3988732.0,99.92725442307693,0.0,27158.32678543185,647.9962809808142,14.997879443018874,"[921.9745141890994, 1489.5068238301099, 2390.1336492435403, 4883.20803422235]"
32401.76284313202,16,2583.607316017151,3522479,15,3,"(1920, 1080)",10827.5568728692,4111856.0000000005,99.75075147169812,0.0,28786.053339851616,981.7515768010717,14.979352102564114,"[1650.0342157447756, 3580.796610162979, 5723.798827558409, 10827.5568728692]"
