TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,2385.264128446579,95227,24,0,"(640, 360)",315.2341634159775,2182860.0,70.0,128.25913965246485,2385.264128446579,125.92092363615672,13.780847824137945
2385.264128446579,1,3900.8967578411102,1552724,15,1,"(854, 480)",3171.5210917854392,2182860.0,92.96807970689657,0.0,5400.334202219638,828.7636934065739,17.6359182574468
6286.160886287689,2,1219.5050120353699,1644532,15,3,"(1920, 1080)",10525.0048,2182860.0,99.39319709574467,0.0,5834.59541821491,732.7844029037565,15.63648732931034
7505.665898323059,3,1000.0,1163041,15,3,"(1920, 1080)",9304.328,2867040.0,99.8888255,0.0,6292.3737951039175,507.0096281218701,14.979330440425526
8505.665898323059,4,2846.0705876350403,1803492,20,3,"(1920, 1080)",5018.412521739131,2867040.0,99.86441691666666,0.0,8487.93126643393,634.8248551229055,14.97793909347826
11351.7364859581,5,1893.451064825058,3004679,15,3,"(1920, 1080)",12541.26668847536,3583800.0,99.94470273913043,0.0,9364.950791611658,1040.491510040802,14.96996632572464
13245.187550783157,6,3515.2372121810913,3056064,15,3,"(1920, 1080)",6903.108620883895,2867040.0,99.92734669565218,0.0,11726.830365560389,1202.0315983328487,15.797868686189254
16760.42476296425,7,3622.3434507846832,1845533,17,3,"(1920, 1080)",4072.9004137931033,2867040.0,98.29366810588236,0.0,14693.277342792564,719.7035196395407,15.777430086456775
20382.768213748932,8,1000.0,523744,18,3,"(1920, 1080)",4189.952,3583800.0,98.2998332183908,0.0,15470.075697604669,233.83377244383354,15.076202689411769
21382.768213748932,9,4667.030602693558,1486482,19,3,"(1920, 1080)",2525.7041080144504,3583800.0,99.84261583333334,0.0,19622.805380443515,516.6085983416604,14.858545899806721
26049.79881644249,10,1000.0,838865,16,3,"(1920, 1080)",6710.92,3583800.0,96.88257463716816,0.0,20276.036649650952,326.3909228957208,14.972868229166679
27049.79881644249,11,2339.673012495041,1597331,19,3,"(1920, 1080)",5380.483368421053,3583800.0,99.73949520833332,0.0,22068.741737878943,549.1670999027789,15.14972362049371
29389.47182893753,12,1000.0,993155,15,3,"(1920, 1080)",7945.24,3583800.0,99.72996847368421,0.0,22705.00341791021,371.70888883014504,15.098437229166649
30389.47182893753,13,1000.0,545582,17,3,"(1920, 1080)",4364.656,3583800.0,99.28211595833335,0.0,23448.606949974182,240.24801665976426,16.156172869517547
31389.47182893753,14,1000.0,506964,16,3,"(1920, 1080)",4055.712,3583800.0,97.14759120833332,0.0,24227.654912169943,228.37910156316627,15.889555354166674
32389.47182893753,15,1000.0,847896,15,3,"(1920, 1080)",6783.168,3616380.0,96.78512120833335,0.0,24891.170534915804,326.79986761987345,14.92312140416666
33389.47182893753,16,4478.398352861404,4839592,15,3,"(1920, 1080)",8603.719111111111,3616380.0,99.39646754166665,0.0,27920.12211200414,1488.675904750345,15.193819473611118
37867.870181798935,17,2608.660489320755,1225429,18,3,"(1920, 1080)",3734.6407619047623,3616380.0,99.78721932407409,0.0,30065.285427925213,424.6692277378853,15.639222795634907
