TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,10000.0,396878,31,0,"(640, 360)",317.5024,80250000.0,70.0,86.78799098329903,10000.0,85.20581078865388,7.581166757499972
10000.0,1,5353.933602571487,4672813,18,3,"(1920, 1080)",6954.884465116279,80250000.0,82.63527792916662,0.0,15202.912303955925,141.29284144941795,17.708133395348852
15353.933602571487,2,1000.0,486840,17,3,"(1920, 1080)",3894.72,80250000.0,99.51355565891475,0.0,16110.342184090074,86.3858337432366,14.902795607083338
16353.933602571487,3,3566.3775503635406,1398905,19,3,"(1920, 1080)",3123.1370347104216,80250000.0,96.94387233333333,0.0,19571.540037982748,98.34930316445319,15.640372914728701
19920.311152935028,4,2310.020387172699,1696162,15,3,"(1920, 1080)",5815.413402201914,80250000.0,97.7463654883721,0.0,21776.785192405776,102.24839481882276,14.991673363095256
22230.331540107727,5,1195.8983540534973,150916,30,3,"(1920, 1080)",999.1682756326277,80250000.0,99.47676766071432,0.0,22892.599662852084,81.97955074602393,15.723569729751418
23426.229894161224,6,2473.5552072525024,206874,29,3,"(1920, 1080)",661.9968,80250000.0,94.04559151724138,0.0,25286.790649768114,82.71354648303,17.833653785714304
25899.785101413727,7,2217.052072286606,2060422,15,3,"(1920, 1080)",7325.944888888889,80250000.0,93.28622775000002,0.0,27406.305042789765,107.02635841941301,15.48287115938698
28116.837173700333,8,2356.96280002594,2487798,15,3,"(1920, 1080)",8379.951157894737,80250000.0,99.81238385185186,0.0,29655.7568789856,112.63220855878012,15.447366835526301
30473.799973726273,9,1125.3522336483002,805957,15,3,"(1920, 1080)",5526.560706696941,80250000.0,99.62664935087717,0.0,30690.942033190047,90.57166092802099,16.24304911970902
31599.152207374573,10,1013.3732259273529,204481,25,3,"(1920, 1080)",1570.4135774676554,80250000.0,97.13866946428568,0.0,31616.47094457238,82.68215773077554,16.48403073087718
