TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,5223.329670727253,116094,34,0,"(640, 360)",177.29106328976678,7184384.0,70.0,98.81106486168721,5223.329670727253,97.00969916506631,1.5786259719745317
5223.329670727253,1,3039.1394793987274,2096794,19,3,"(1920, 1080)",5464.428211416227,7184384.0,72.63104328662422,0.0,7848.593021785312,387.2151459258537,15.448556152173932
8262.46915012598,2,2367.3627972602844,2426627,16,3,"(1920, 1080)",8194.479104580934,7184384.0,95.74759358695655,0.0,9749.234650741146,435.5411585079968,15.941727598098177
10629.831947386265,3,1000.0,948296,17,3,"(1920, 1080)",7578.781639578781,7184384.0,97.00805321126767,0.0,10515.088000321068,218.9411139200624,13.493966201304342
11629.831947386265,4,2039.7449135780334,2190597,15,3,"(1920, 1080)",8471.252238686926,7184384.0,96.78120926666666,0.0,12102.069143515482,441.84458043103854,13.572498188550657
13669.576860964298,5,1000.0,563920,22,3,"(1920, 1080)",4506.848644506848,5557488.0,97.12217251612904,0.0,12919.578046836377,186.81084691500908,13.54336335
14669.576860964298,6,2222.02730178833,461791,34,3,"(1920, 1080)",1652.5224674344652,5557488.0,96.47569183333333,0.0,14980.91977800244,167.46681764741268,17.28169100120367
16891.60416275263,7,1000.0,291775,27,3,"(1920, 1080)",2331.865802331866,5557488.0,89.68096302985074,0.0,15857.647513022135,135.26446102040498,14.23349384999998
17891.60416275263,8,1000.0,1264792,15,3,"(1920, 1080)",10108.217674108217,5557488.0,94.4843959666667,0.0,16552.61609986668,319.5614709379489,14.961963517014913
18891.60416275263,9,4267.519325017929,4451809,15,3,"(1920, 1080)",8338.793960483621,5557488.0,98.21676636666665,0.0,19868.287737632832,956.1186468124613,13.573137873645813
23159.123487770557,10,1000.0,1198815,15,3,"(1920, 1080)",9580.929489580929,5222360.0,96.70262911718747,0.0,20526.570727124174,321.636066130215,14.669899199999975
24159.123487770557,11,1000.0,393594,24,3,"(1920, 1080)",3145.6032511456033,5222360.0,97.09373433333334,0.0,21367.875026018923,159.33376360193677,13.711822700520791
25159.123487770557,12,2836.7735147476196,4283355,15,3,"(1920, 1080)",11941.596132615168,5222360.0,95.98161283333336,0.0,22940.24822135949,1292.1070229930012,14.938240915503886
27995.897002518177,13,1000.0,1677010,15,3,"(1920, 1080)",13402.663933402662,4776143.875,99.41269058139537,0.0,23460.425581578307,449.6022838530019,15.316616976666667
28995.897002518177,14,1911.1346006393433,2270606,19,3,"(1920, 1080)",9386.21349280126,4776143.875,99.85796376666667,0.0,24810.009067789764,580.4270477399235,15.003792241860461
30907.03160315752,15,3832.296848297119,5411950,15,3,"(1920, 1080)",11283.208384510359,4776143.875,99.9084355,0.0,27083.36332621647,1514.0739553915491,14.965107329420297
34739.32845145464,16,2492.6257133483887,3062518,15,3,"(1920, 1080)",9790.255596097188,4014344.0000000005,99.91817284347827,0.0,28682.585987971863,917.5829139552701,15.461479793333325
37231.95416480303,17,3031.9227278232574,3660903,15,3,"(1920, 1080)",9645.472719069154,3385684.0,98.89391141333334,0.0,30437.348001291695,1170.1707916514952,15.784207634687085
40263.876892626286,18,1000.0,840190,18,3,"(1920, 1080)",6714.798486714798,3909032.0,98.26793041758238,0.0,31153.12840670443,306.24796274775684,15.043230696666676
41263.876892626286,19,1651.3755321502686,2251840,15,3,"(1920, 1080)",10798.023178798023,3909032.0,97.70136143333333,0.0,32094.26932504079,661.2877776878202,14.32924868624177
42915.252424776554,20,1000.0,530948,23,3,"(1920, 1080)",4243.336420243336,4738552.0,98.59340288000001,0.0,32897.3682921144,197.94586860689668,14.19502233666667
43915.252424776554,21,4304.346323013306,3663890,20,3,"(1920, 1080)",6757.340517526571,4738552.0,98.27526413333334,0.0,36237.346559748425,909.6248743851555,14.72263237815385
48219.59874778986,22,5098.127841949463,5199594,18,3,"(1920, 1080)",8148.069824224966,3606665.375,99.30328777692309,0.0,39652.460697553994,1676.149042594988,14.757091461176472
53317.72658973932,23,1000.0,1539071,15,3,"(1920, 1080)",12300.255444300255,3177717.75,99.30769645751634,0.0,40049.65974441608,581.9800881949359,14.758288582307683
54317.72658973932,24,1000.0,1375271,15,3,"(1920, 1080)",10991.165842991166,3329744.0,99.48102893333332,0.0,40512.18072397571,514.7642594176989,14.96791943424837
55317.72658973932,25,1000.0,1012566,22,3,"(1920, 1080)",8092.427480092428,3329744.0,99.83114846666668,0.0,41105.51509088619,400.10237044301937,14.928772066666674
56317.72658973932,26,1000.0,1236224,18,3,"(1920, 1080)",9879.902217879902,3329744.0,99.79479160000001,0.0,41633.86090577009,468.1548930688333,14.935812600000013
57317.72658973932,27,1000.0,1991215,15,3,"(1920, 1080)",15913.79029591379,3358516.0,99.79067173333333,0.0,41893.35331513639,704.0898627470241,14.920946319999995
58317.72658973932,28,4288.523435592651,8761171,15,3,"(1920, 1080)",16283.55432144198,3358516.0,99.83404246666666,0.0,43935.17949548425,2438.930007778146,15.002427868527134
62606.250025331974,29,1000.0,1909243,15,3,"(1920, 1080)",15258.67007125867,3443695.75,99.96915840310078,0.0,44275.08653093049,663.596699471552,14.926157753333337
63606.250025331974,30,1000.0,828081,23,3,"(1920, 1080)",6618.023358618023,3443695.75,99.84927,0.0,44948.71304017315,348.21846472550436,15.067503736434112
64606.250025331974,31,1000.0,1809986,15,3,"(1920, 1080)",14465.408126465409,3076992.0,99.80330933333333,0.0,45216.390920712896,699.1918669442857,14.945716933333337
65606.25002533197,32,1124.3595480918884,1142778,20,3,"(1920, 1080)",8058.60015443362,3076992.0,99.80710613333333,0.0,45890.28045918411,477.5418216388881,14.980165892156862
66730.60957342386,33,2557.240664958954,4612316,15,3,"(1920, 1080)",14361.673275635247,2948888.0,99.64628688235294,0.0,46881.8935720322,1688.839115592934,14.97337003861472
69287.85023838282,34,1000.0,1961872,15,3,"(1920, 1080)",15679.281039679281,3093254.75,99.92346775324675,0.0,47087.57773768209,823.2717835848033,14.920301631764707
70287.85023838282,35,1000.0,1400767,16,3,"(1920, 1080)",11194.92987519493,2634110.125,99.8082172,0.0,47482.89611094187,650.2407630777856,15.058156403246755
71287.85023838282,36,1000.0,1276910,15,3,"(1920, 1080)",10205.064730205064,2293066.875,99.7306227,0.0,47853.72696463875,666.165106708318,15.189058933333342
72287.85023838282,37,2664.0408635139465,3832666,16,3,"(1920, 1080)",11486.5000134865,2293066.875,99.23831653333332,0.0,48193.00004512227,2378.7711299563734,14.928577292499998
74951.89110189676,38,2554.599493741989,1856673,26,3,"(1920, 1080)",5781.245475308613,1513804.0,99.8360659375,0.0,49244.51634020915,1391.074318647959,15.019147868744591
77506.49059563875,39,1000.0,1952839,15,3,"(1920, 1080)",15607.08930360709,1414052.0,99.90496587012987,0.0,48776.21906494351,1483.1435451451682,14.932347266250002
78506.49059563875,40,2453.0730545520782,1902243,24,3,"(1920, 1080)",6163.266826938653,1519196.0,99.8599231,0.0,49861.72816033632,1337.3234758611616,15.052473363373117
80959.56365019083,41,1845.8753824234009,3326420,15,3,"(1920, 1080)",14241.831167197832,1617600.0,99.70498501351351,0.0,48890.03132325728,2607.7290053792312,14.958058000714288
82805.43903261423,42,3795.3794598579407,7140429,15,3,"(1920, 1080)",15017.448848573691,1291824.0,99.90675051785715,0.0,46411.58180342153,6820.446354399784,15.00646711970128
86600.81849247217,43,1111.0273599624634,1315766,19,3,"(1920, 1080)",9278.47061353868,1260292.25,99.96160936842105,0.0,46243.92353782573,1168.8576417577008,15.146000488445381
87711.84585243464,44,1000.0,1699459,15,3,"(1920, 1080)",13582.076341582077,1303560.5,99.52150005882353,0.0,45555.31379237286,1638.4279620992256,15.042186551754376
88711.84585243464,45,2656.5199494361877,4730448,16,3,"(1920, 1080)",14177.152670177153,1018758.7499999999,99.83884563333335,0.0,41943.62090978763,6709.841753272612,15.008379489117644
91368.36580187082,46,1977.7483344078064,2667792,15,3,"(1920, 1080)",10660.496842660496,2822712.0,99.934215825,0.0,41870.74376593057,2110.4994324869267,15.08541561666668
93346.11413627863,47,1000.0,569911,27,3,"(1920, 1080)",4554.728716554729,923655.625,99.50686003333334,0.0,41464.59985766631,1339.0096745888864,15.339042991666666
94346.11413627863,48,1347.4887609481812,2636489,15,3,"(1920, 1080)",15417.669869557432,194565.375,99.19034566666666,0.0,32214.226378073658,10374.132315555025,14.97439511373984
95693.60289722681,49,5724.584847688675,1696621,27,2,"(1280, 720)",2365.010928596121,1357436.0,99.87513519512196,0.0,35191.8881911419,2846.524504574626,14.677004877519373
101418.18774491549,50,1789.766788482666,3247468,15,3,"(1920, 1080)",14418.756333936804,370052.0,99.32673240697673,0.0,25253.062035701783,12921.434023692053,14.95846521382114
103207.95453339815,51,1000.0,575125,29,3,"(1920, 1080)",4596.399004596399,270961.625,99.90996455555556,0.0,24234.86027232702,1965.4207591887907,14.700728339302335
104207.95453339815,52,1000.0,1344518,17,3,"(1920, 1080)",10745.387866745388,386876.0,99.38900263333335,0.0,22295.40356479585,2692.328287813357,15.128993405555555
105207.95453339815,53,6011.996150016785,5930535,15,2,"(1280, 720)",7855.82874248701,834925.125,99.56194230000001,0.0,22564.164099066897,5572.937440120193,14.851390948821365
111219.95068341494,54,1000.0,2003238,15,3,"(1920, 1080)",16009.878112009877,1357426.625,99.65048535359116,0.0,22270.059774679292,1260.0676606064483,14.945197769999995
112219.95068341494,55,3150.597333908081,6512984,15,3,"(1920, 1080)",16437.397885127848,1957905.875,99.83565333333333,0.0,19305.355491869155,5564.120337212408,14.998959277272457
115370.54801732302,56,1248.5865950584412,535121,32,3,"(1920, 1080)",3376.330805601234,2534240.0,99.94001302105262,0.0,20246.72401204464,302.2698967571717,15.439796701754375
