TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,7302.226394414902,207331,32,0,"(640, 360)",226.98485228552735,3388320.0,70.0,147.09197916929799,7302.226394414902,144.41043286783326,5.379772747945216
7302.226394414902,1,2052.426129579544,2204928,15,3,"(1920, 1080)",8526.671613328917,3388320.0,78.96628791324203,0.0,8536.98691730963,764.9934014807525,15.943173212903199
9354.652523994446,2,2199.2719769477844,1873880,18,3,"(1920, 1080)",6807.295606851687,3388320.0,96.57195535483866,0.0,10052.085510690125,638.4661513892397,15.284490454130362
11553.92450094223,3,2449.1253793239594,2735860,15,3,"(1920, 1080)",8864.185690865144,3648960.0,96.96853207575761,0.0,11570.681788238015,870.1003311914915,13.643135199651262
14003.04988026619,4,1000.0,1185462,15,3,"(1920, 1080)",9474.212313474212,3616380.0,97.16721789189188,0.0,12135.121172866331,425.0563095808807,13.790090752424236
15003.04988026619,5,2494.1419661045074,1507093,22,3,"(1920, 1080)",4817.87394460666,3616380.0,97.47823993333333,0.0,14122.582292110374,518.6744988664152,13.775875194810812
17497.191846370697,6,1000.0,1114892,15,3,"(1920, 1080)",8910.216872910216,3616380.0,97.48766164,0.0,14765.925783214869,371.7081148398376,13.93178978666666
18497.191846370697,7,1123.2389211654663,366966,27,3,"(1920, 1080)",2587.7574334401675,4300560.0,97.79935629999999,0.0,15734.399720572796,169.8208605390926,14.964542978235293
19620.430767536163,8,5087.8496170043945,5329520,15,3,"(1920, 1080)",8351.671513122648,4300560.0,95.04623732352941,0.0,19403.945628566886,1485.8640780616706,14.378400401307161
24708.280384540558,9,1000.0,1201900,15,3,"(1920, 1080)",9605.584809605585,3648960.0,96.84191179738565,0.0,19981.718706719577,424.12146246845475,14.253076927647047
25708.280384540558,10,3724.1770029067993,2179253,24,3,"(1920, 1080)",4665.158533289448,4365720.0,97.92950109999998,0.0,23062.649346952636,605.4460951036232,14.86069354169
29432.457387447357,11,1321.402668952942,2547372,15,3,"(1920, 1080)",15268.947783268948,4365720.0,99.24147453571427,0.0,23693.755460544635,693.0720076290273,15.14277199500001
30753.8600564003,12,1000.0,962146,20,3,"(1920, 1080)",7689.470839689471,4398300.0,99.89287017500001,0.0,24390.14110196113,310.26743586337784,14.963231566428572
31753.8600564003,13,4309.621423482895,2164394,25,3,"(1920, 1080)",3991.8085073764237,4398300.0,99.81229836666667,0.0,28061.569913873842,597.997743147173,15.565372905769237
36063.481479883194,14,5266.905307769775,6113821,15,3,"(1920, 1080)",9277.52919751158,4398300.0,98.65499453846155,0.0,31793.311836491375,1586.7662418409618,15.631772385654017
41330.38678765297,15,1000.0,1393096,15,3,"(1920, 1080)",11133.623243133623,4007340.0,98.3610519620253,0.0,32334.164175209422,445.9327239778165,14.493799006153841
42330.38678765297,16,2042.9928004741669,2048651,17,3,"(1920, 1080)",7922.3332132921805,4007340.0,98.9321641,0.0,33623.995450869596,773.5457645746425,14.394361745732956
44373.379588127136,17,3651.6524851322174,4347943,17,3,"(1920, 1080)",9476.934679295116,2671560.0,98.71744490322581,0.0,35370.304196943966,1745.7298570042692,14.782107171818183
48025.03207325935,18,6680.4181933403015,9405506,15,3,"(1920, 1080)",11219.223979816026,2150280.0,99.45887263636364,0.0,38580.79110391549,3738.8674375821734,14.762102423110235
54705.450266599655,19,1000.0,1702868,15,3,"(1920, 1080)",13609.32106960932,2867040.0,99.38974485572136,0.0,38674.43931565229,843.8892560381386,14.95254579636363
55705.450266599655,20,1000.0,450010,31,3,"(1920, 1080)",3596.47992359648,2150280.0,99.83072176666666,0.0,39375.72994321996,300.29444390595893,14.803445839054689
56705.450266599655,21,1100.8714437484741,880539,23,3,"(1920, 1080)",6397.516667408348,2150280.0,99.17259803333334,0.0,39991.25374540022,457.7964658119859,14.965142357575743
57806.32171034813,22,1000.0,1197808,21,3,"(1920, 1080)",9572.88154557288,2899620.0,99.73115881818183,0.0,40474.31222718824,514.8330216772506,14.959549036666658
58806.32171034813,23,1000.0,2175333,15,3,"(1920, 1080)",17385.261353385264,2899620.0,99.79468139999999,0.0,40569.058455832994,873.9861258507102,14.937455738181821
59806.32171034813,24,3347.0621705055237,6575980,15,3,"(1920, 1080)",15610.463623989886,2867040.0,99.85095270000001,0.0,41335.416941969495,2471.6388367536956,14.991559184752477
63153.38388085365,25,1127.5722980499268,2104792,15,3,"(1920, 1080)",14842.495337021404,2867040.0,99.95171220792079,0.0,41596.22759124935,852.7727992339798,14.937785106470589
64280.95617890358,26,3311.462551355362,2121068,26,3,"(1920, 1080)",5085.472641885473,2867040.0,99.87146729411765,0.0,44042.522781117885,858.748520388532,15.094756192920798
67592.41873025894,27,6495.81703543663,9962601,15,3,"(1920, 1080)",12249.400177391648,2867040.0,99.71391202999999,0.0,46917.98602989485,3442.3069162106676,14.949823753092012
74088.23576569557,28,5781.1499536037445,4278310,25,3,"(1920, 1080)",5895.215926953123,2867040.0,99.84328708205128,0.0,51411.29388235006,1398.0329296432067,14.94820804872414
79869.38571929932,29,1115.3776347637177,1688446,18,3,"(1920, 1080)",11906.521823444999,4398300.0,99.86599875287357,0.0,52045.136899087935,484.0905756649998,14.924761974147811
80984.76335406303,30,1524.4649350643158,2715622,15,3,"(1920, 1080)",14154.296004607564,4398300.0,99.84848447058823,0.0,52884.63723680414,730.8109489113425,14.94415199862569
82509.22828912735,31,7207.846432924271,10993555,17,3,"(1920, 1080)",12146.611580794563,4333140.0,99.88458645652175,0.0,56643.56987807717,3292.8849325100973,14.975524342802922
89717.07472205162,32,1000.0,919901,22,3,"(1920, 1080)",7351.848799351848,2313180.0,99.93395464976957,0.0,57173.22744551815,498.6085138663066,15.03322342318841
90717.07472205162,33,1000.0,1393955,18,3,"(1920, 1080)",11140.488371140487,2313180.0,99.70272606666667,0.0,57574.78669358347,645.5367682240164,15.02695248310291
91717.07472205162,34,2381.8829357624054,3498691,15,3,"(1920, 1080)",11650.642981482699,2932200.0,99.81400433333333,0.0,58487.65431678034,1522.5667224407352,14.908999552777786
94098.95765781403,35,1000.0,1174770,20,3,"(1920, 1080)",9388.761849388762,2150280.0,99.58745302777777,0.0,58942.33464522588,586.4062403623127,14.907735206666668
95098.95765781403,36,2209.792673587799,3225062,17,3,"(1920, 1080)",11540.907929927458,2867040.0,99.81522606666667,0.0,59958.249777125835,1264.0790868851352,14.998926765878938
97308.75033140182,37,1000.0,1277072,18,3,"(1920, 1080)",10206.359434206359,2867040.0,99.92945344776119,0.0,59921.83444849008,548.8760239792517,14.917085973333338
98308.75033140182,38,3652.971863746643,6595970,15,3,"(1920, 1080)",14376.816079831362,3648960.0,99.8310143,0.0,59605.88911605017,2284.934932115811,15.07288333867028
101961.72219514847,39,1000.0,1639049,16,3,"(1920, 1080)",13099.279621099278,2899620.0,99.71314021818182,0.0,59937.63192487306,675.0140835151175,14.926583466666678
102961.72219514847,40,1000.0,2025892,15,3,"(1920, 1080)",16190.928880190928,2899620.0,99.80886166666666,0.0,59680.74156443392,740.153497676668,14.912664918181818
103961.72219514847,41,1000.0,1826806,15,3,"(1920, 1080)",14599.833566599833,3583800.0,99.80663156666667,0.0,59929.159971444344,695.6063473305202,14.905852066666661
104961.72219514847,42,1980.3621470928192,1087246,24,3,"(1920, 1080)",4344.6350203446345,2932200.0,99.8060192,0.0,59976.903828559174,470.31084976611777,15.574694375
106942.08434224129,43,1000.0,1242719,19,3,"(1920, 1080)",9931.81025793181,3583800.0,98.46387438333333,0.0,59990.07914162749,445.01067670012134,14.912506299999997
107942.08434224129,44,1000.0,2144007,15,3,"(1920, 1080)",17134.903961134904,3583800.0,99.82184703333333,0.0,59758.604883106644,709.7364455840758,15.064307561666665
108942.08434224129,45,1000.0,2036945,15,3,"(1920, 1080)",16279.264456279265,2867040.0,99.85115833333333,0.0,59998.76864733699,813.3707385255683,14.922369196666669
109942.08434224129,46,3340.470105409622,2900661,24,3,"(1920, 1080)",6885.766536094411,3648960.0,99.84092316666667,0.0,59948.480552828994,916.7664672731553,14.969297740924087
113282.55444765091,47,1000.0,1944855,15,3,"(1920, 1080)",15543.28117554328,4333140.0,99.92402262376237,0.0,59868.32647400626,552.4554917389432,14.927372383333335
114282.55444765091,48,1000.0,1023217,22,3,"(1920, 1080)",8177.55027217755,4365720.0,99.82710156666667,0.0,59534.56972610455,326.7108578460802,15.018170707095706
115282.55444765091,49,2857.8712344169617,2373230,21,3,"(1920, 1080)",6616.3449421788055,5068000.0,99.81170383333333,0.0,59794.226330685575,619.9054656288616,15.679916334108526
118140.42568206787,50,1000.0,867461,15,3,"(1920, 1080)",6932.748318932749,2867040.0,98.29437046511629,0.0,59932.525030924975,398.48765350510047,16.72988366666665
119140.42568206787,51,2197.9370415210724,3148533,17,3,"(1920, 1080)",11437.762748376397,2867040.0,96.16364033333335,0.0,59592.011501892994,1011.2925009754936,15.124360953488369
121338.36272358894,52,1000.0,1547197,15,3,"(1920, 1080)",12365.198436365199,3583800.0,99.92299666666666,0.0,59508.51339825562,534.4417715979216,15.217008686666663
122338.36272358894,53,1223.3352065086365,2034372,15,3,"(1920, 1080)",13182.729505381638,3648960.0,99.72228786666666,0.0,59544.6062643265,666.8642600977582,15.002054585585583
123561.69793009758,54,4631.3550770282745,8024597,16,3,"(1920, 1080)",13841.564770456735,3648960.0,99.84188416216216,0.0,59702.28301968285,2408.617293939617,14.985247309736208
128193.05300712585,55,2209.791600704193,4425703,15,3,"(1920, 1080)",15837.410520543093,3616380.0,99.92912682733812,0.0,59898.43514492831,1377.2128860468495,14.969748321097217
130402.84460783005,56,1000.0,1914784,15,3,"(1920, 1080)",15302.953743302953,3616380.0,99.92322789552239,0.0,59770.58582485492,617.736925895216,15.010894727338126
131402.84460783005,57,4771.122306585312,8217158,15,3,"(1920, 1080)",13777.243673710105,4300560.0,99.8364642,0.0,59701.96235184414,2380.5151542779604,15.204312126291612
136173.96691441536,58,1000.0,1716348,15,3,"(1920, 1080)",13717.053229717054,3787244.0,99.43783153846155,0.0,59647.73725212147,557.0440207346445,14.983428316666668
137173.96691441536,59,1000.0,2014414,15,3,"(1920, 1080)",16099.196704099197,2638980.0,99.70607176666665,0.0,59761.33270701512,865.036398494195,14.959760566153841
138173.96691441536,60,4346.54176235199,7876957,15,3,"(1920, 1080)",14416.634218233745,2932200.0,99.83923953333333,0.0,59772.65107880914,2930.1559818363253,15.082093980407116
