TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,3234.4257533550262,163436,26,0,"(640, 360)",403.97334214925064,1334836.0,70.0,212.7619053496204,3234.4257533550262,208.88316972035673,12.408710350515472
3234.4257533550262,1,2912.659376859665,650996,28,3,"(1920, 1080)",1773.6679528789928,1334836.0,90.68118391752579,0.0,5512.86438901329,593.3656474416491,13.727748722727267
6147.085130214691,2,1000.0,976128,16,3,"(1920, 1080)",7801.214983801215,1334836.0,92.87958120454545,0.0,5847.249653429733,621.1473418041896,13.52120744824744
7147.085130214691,3,1000.0,1051488,15,3,"(1920, 1080)",8403.492104403493,2998776.0,95.98220973333336,0.0,6366.966188301738,449.0937481439796,13.420039299545468
8147.085130214691,4,1000.0,901177,17,3,"(1920, 1080)",7202.206591202206,2998776.0,96.17999570000002,0.0,6960.840231363492,396.3315194002662,13.26118962666667
9147.085130214691,5,3013.6890709400177,2773383,17,3,"(1920, 1080)",7307.101571942813,2998776.0,96.43235100000001,0.0,8932.717017847397,1066.4730429448414,13.543787181648362
12160.774201154709,6,1000.0,1023466,15,3,"(1920, 1080)",8179.54028017954,2953340.0,96.93631125274727,0.0,9502.73426094399,448.1288746899855,13.401467779999994
13160.774201154709,7,1000.0,878603,18,3,"(1920, 1080)",7021.795183021795,2909132.0,96.74117146666666,0.0,10140.100954816078,397.9110687166807,13.88668523472526
14160.774201154709,8,1000.0,1217140,15,3,"(1920, 1080)",9727.382889727382,2909132.0,97.63386059999998,0.0,10643.356893924982,520.4062792613055,14.033136773333334
15160.774201154709,9,1000.0,597553,24,3,"(1920, 1080)",4775.643580775643,2909132.0,97.8454232,0.0,11229.872940791069,415.3392638800332,14.002713316666643
16160.774201154709,10,1000.0,1148042,15,3,"(1920, 1080)",9175.15167317515,1816212.0,97.26229456666667,0.0,11437.959513497673,745.3767639228762,13.968130933333342
17160.77420115471,11,1000.0,983445,16,3,"(1920, 1080)",7859.692447859692,1816212.0,97.75458453333331,0.0,11476.000721116787,965.8265079176144,13.779553303333335
18160.77420115471,12,1000.0,801288,18,3,"(1920, 1080)",6403.893702403893,1155548.0,97.50963793333334,0.0,11362.834481214277,1137.5589631385562,14.239424999999976
19160.77420115471,13,3348.405420780182,1870908,15,2,"(1280, 720)",4441.275867297599,746624.0,97.03031906666668,0.0,4773.582975085963,9311.759971399535,14.224858438283853
22509.17962193489,14,1000.0,112886,28,2,"(1280, 720)",902.1849129021849,410152.0,96.56955899009897,0.0,5415.890962099809,369.7154431065864,16.372468200000014
23509.17962193489,15,2594.891905784607,400716,15,0,"(640, 360)",1231.7391473075224,410152.0,91.31570173333333,0.0,5449.111757588313,2487.9424910064736,14.432154431759317
26104.071527719498,16,1278.0809700489044,275705,15,0,"(640, 360)",1694.9499001383997,68768.0,98.48185055128202,0.0,5284.364591240158,1481.8781325754812,15.785545703589742
27382.152497768402,17,1205.546259880066,178111,22,0,"(640, 360)",1154.1591876672649,512076.0,99.86185979487179,0.0,6002.993117860373,446.12780750883604,14.68915068000694
28587.698757648468,18,2530.566096305847,688967,26,2,"(1280, 720)",2173.5097514895288,512076.0,99.2288928918919,0.0,7405.126804815813,1215.891279290378,15.06260263039811
31118.264853954315,19,3246.1386919021606,1137950,22,2,"(1280, 720)",2784.029172427481,701188.0,99.59851432894736,0.0,3377.990324723648,6772.026991436324,14.652703582239376
34364.403545856476,20,2760.6328427791595,518534,15,0,"(640, 360)",1497.8761018488963,228408.0,99.29265478571428,4224.888396505648,2760.6328427791595,7643.222638396398,14.940523453852254
37125.036388635635,21,10000.0,1991628,15,0,"(640, 360)",1591.7090991917091,34384.0,99.83395814457832,9539.867589315802,10000.0,11602.251959723424,14.763823797428564
47125.036388635635,22,1000.0,170121,15,0,"(640, 360)",1359.607033359607,422432.0,99.48848212666665,0.0,10494.022464735774,503.91375852706534,15.031772361244983
48125.036388635635,23,3649.5716273784637,1198370,18,1,"(854, 480)",2612.0108317029203,422432.0,99.60437156666667,0.0,7940.220397553753,5989.107932018252,15.398354753939373
51774.6080160141,24,2358.268767595291,409186,20,0,"(640, 360)",1381.7806061199578,1115024.0,98.18025474545456,0.0,9230.368786340798,1022.9798277813541,14.860581144131459
54132.87678360939,25,1000.0,368630,17,1,"(854, 480)",2946.0909629460907,351208.0,99.48758084507043,0.0,9664.259642773182,556.9725883893689,14.961919405454548
55132.87678360939,26,1000.0,312921,15,0,"(640, 360)",2500.864634500864,1112568.0,99.63324146666668,0.0,10285.38542743918,376.06327551735217,14.960648535492954
56132.87678360939,27,4689.2706751823425,2056541,24,2,"(1280, 720)",3496.994604337573,1112568.0,99.84901103333333,0.0,11974.938256918818,2852.193485894167,14.951160457588648
60822.14745879173,28,3651.9437730312347,2432274,15,1,"(854, 480)",5301.472862028746,924684.0,99.85747434042553,0.0,12862.726640655763,3000.663088617607,14.982015551212127
64474.09123182297,29,1000.0,607732,15,1,"(854, 480)",4856.994148856994,1275892.0,99.9448610909091,0.0,13284.407574711937,581.3887497819894,15.017651640425527
65474.09123182297,30,1000.0,809208,16,2,"(1280, 720)",6467.19034246719,1275892.0,99.6796454,0.0,13479.33352053284,858.9596247111091,15.14248997424243
66474.09123182297,31,1092.2143459320068,857595,26,3,"(1920, 1080)",6230.818063011476,1021695.9999999999,99.60474223333334,0.0,13168.929621774096,1339.163795623508,14.856747350909083
67566.30557775497,32,4642.17135310173,2007846,17,1,"(854, 480)",3438.579696010008,552600.0,99.70785315151514,0.0,15517.313207867146,2431.637101952051,14.8073856797619
72208.4769308567,33,1000.0,606245,17,2,"(1280, 720)",4845.11004484511,501024.0,99.59471310714288,0.0,15304.837388835638,1307.8950910963413,14.90572216818181
73208.4769308567,34,1248.1499314308167,403553,21,1,"(854, 480)",2546.206232969356,558740.0,99.60426196666666,0.0,15733.416766435332,849.447137331951,15.07081565977446
74456.62686228752,35,1549.363613128662,643637,21,1,"(854, 480)",3283.3701581714477,528040.0,99.04779489473684,0.0,15433.429808183995,1988.688052612326,14.91991050546099
76005.99047541618,36,2807.403862476349,851096,15,0,"(640, 360)",2400.691072820035,544004.0,99.80056117021276,0.0,16790.137964996662,1535.9984914122854,15.061017383467494
78813.39433789253,37,1000.0,289416,15,0,"(640, 360)",2313.0126743130127,739256.0,99.9429947882353,0.0,17309.20836646799,492.1013844360162,14.964393103546094
79813.39433789253,38,1644.5423364639282,725436,19,1,"(854, 480)",3478.6107106786108,739256.0,99.67233613333333,0.0,17124.693344099447,1692.757075245387,15.01762961823529
81457.93667435646,39,3780.2370488643646,935854,16,0,"(640, 360)",1968.2486269008602,293492.0,99.85073034000001,0.0,18203.030704973706,2729.2191774634084,15.009339386666666
85238.17372322083,40,1000.0,223181,18,0,"(640, 360)",1783.6625537836626,556284.0,99.960955,0.0,18689.35647593278,502.3155230440794,14.944407790000007
86238.17372322083,41,1000.0,283980,15,0,"(640, 360)",2269.568162269568,556284.0,99.81264510000001,0.0,19049.720089810493,591.9984394513904,15.040625766666672
87238.17372322083,42,1703.6043107509613,403717,15,0,"(640, 360)",1861.4463525348863,656980.0,99.84065846666665,0.0,20084.73016609662,726.8465754785454,14.921400523076926
88941.77803397179,43,1000.0,281407,15,0,"(640, 360)",2249.0047462490047,656980.0,99.78248915384617,0.0,20603.791431850073,439.6302762032818,14.923936083333324
89941.77803397179,44,1079.6672403812408,672724,20,2,"(1280, 720)",4887.646092411141,1065904.0,99.83344476666666,0.0,20916.31341865014,744.3473767954614,14.920386275058291
91021.44527435303,45,2477.871149778366,2110657,20,3,"(1920, 1080)",6747.346956227426,1065904.0,99.72420575757576,0.0,20378.93313381773,3227.6919298609746,15.123801940000007
93499.3164241314,46,1000.0,373016,25,2,"(1280, 720)",2981.143874981144,1064676.0,99.4192856533333,0.0,20842.452899168118,552.1443299955971,14.959126657575759
94499.3164241314,47,1671.1951792240143,1124561,15,1,"(854, 480)",5286.75878620346,809252.0,99.5301582,0.0,20093.805057089667,2304.3112425883114,14.983051869960786
96170.51160335541,48,5545.765995979309,2561394,22,2,"(1280, 720)",3677.364161874608,723292.0,99.87496739215686,0.0,22708.33032579828,2869.3597315431866,14.875907760838333
101716.27759933472,49,1255.70946931839,799245,15,1,"(854, 480)",5042.813708904636,1559560.0,99.71487263473055,0.0,23366.26105287484,619.4537730614978,14.946007576367386
102971.9870686531,50,2298.3034253120422,2238905,15,2,"(1280, 720)",7779.7091780313785,1559560.0,99.85791963157895,0.0,23078.863166086743,2848.676654482067,14.901211684353031
105270.29049396515,51,1000.0,518164,25,3,"(1920, 1080)",4141.166692141166,2130580.0,99.78783157971014,0.0,23734.16430457126,335.68412751677636,15.63545524824562
106270.29049396515,52,2115.5374348163605,875288,30,3,"(1920, 1080)",3279.0473661757674,2212856.0,98.44492876666666,0.0,25307.77546813345,496.3650004671268,15.525651009397649
108385.82792878151,53,4927.033752202988,5586667,15,2,"(1280, 720)",9050.399815968014,2212856.0,98.52436114062499,0.0,23735.43564076799,6306.654433539529,15.134667955765773
113312.8616809845,54,1000.0,564036,28,3,"(1920, 1080)",4507.7757165077755,1940240.0,99.96526805405406,0.0,24339.004509011116,386.00446607798926,14.952942305937501
114312.8616809845,55,1000.0,1356809,19,3,"(1920, 1080)",10843.617538843617,1940240.0,99.6756307,0.0,24353.19137745621,896.9603198279108,15.047672537387399
115312.8616809845,56,1213.407814502716,1281287,15,2,"(1280, 720)",8302.739095780871,1737620.0,99.83519103333333,0.0,24527.579444953226,1022.2848762258747,14.957399697567567
116526.26949548721,57,3369.5028722286224,2459465,15,2,"(1280, 720)",5838.428480162087,1334836.0,99.87493794594594,0.0,26815.32359365278,1100.6080477161374,16.04168205808581
