,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,304.2298707047652,0,3.971,350526,1,854x480,706.1717451523546,81.13849313012607,0.30422987070476515,3.971,304.2298707047652,50.71550605964955
1,525.3633086069736,1,3.971,220626,0,640x360,444.4744396877361,75.8371197002941,0.2211334379022085,7.942,221.1334379022085,48.383686834442955
2,770.5403379126994,2,3.971,258212,0,640x360,520.1954167715941,73.75137981403363,0.24517702930572577,11.913,245.17702930572577,47.13270495068797
3,994.2024917415323,3,3.304,224579,0,640x360,543.7748184019371,61.70169338666666,0.0,14.993337846171167,223.66215382883288,61.292288904873956
4,1233.6497693258377,4,3.637,249255,0,640x360,548.2650536156173,69.2775894302064,0.0,18.390890568586858,239.44727758430548,67.78496132623088
5,1563.0386554268093,5,3.971,417851,1,854x480,841.8050868798791,78.73604088313026,0.0,22.032501682485886,329.3888861009716,75.61700968738589
6,1909.082815015944,6,3.971,505585,1,854x480,1018.5545202719718,78.30678329132354,0.0,25.657457522896753,346.0441595891348,77.87439085434876
7,2319.2446773803135,7,3.437,627433,1,854x480,1460.4201338376492,69.9142397045631,0.0,28.68429566053238,410.1618623643693,67.42630643785837
8,3267.0306239721635,8,3.971,1040319,2,1280x720,2095.832787710904,93.22251834384454,0.0,31.70750971394053,947.7859465918501,80.68578774500307
9,4592.947805634245,9,3.971,881198,2,1280x720,1775.2666834550491,91.77950841668066,0.0,34.35259253227844,1325.9171816620812,90.32596026542014
10,5089.744661928136,10,0.668,328548,3,1920x1080,3934.706586826347,16.153425031999998,0.0,34.52379567598455,496.79685629389144,11.87609827569747
11,5260.09465237094,11,0.368,82530,3,1920x1080,1794.1304347826087,8.706642305454546,0.0,34.72144568554175,170.34999044280363,6.616962669090933
12,6696.939652680068,12,2.737,1286923,3,1920x1080,3761.5579101205694,65.56913634570121,0.0,36.02160068523263,1436.8450003091286,64.3802664898254
13,7085.139174478609,13,0.634,303816,3,1920x1080,3833.640378548896,15.146452952894737,0.0,36.26740116343409,388.1995217985407,14.881384101803608
14,8105.6607348709385,14,2.803,1334437,3,1920x1080,3808.5965037459864,67.55028517690477,0.0,38.04987960304176,1020.5215603923299,66.71437778342106
15,8694.66335259814,15,1.969,1165696,3,1920x1080,4736.195022854241,48.08601184283899,0.0,39.42987698531456,589.0026177272013,46.79697745220137
16,8953.075198112403,16,1.569,443282,3,1920x1080,2260.2014021669856,38.06030784845744,0.0,40.7404651398003,258.4118455142632,37.404888908681
17,10179.938874304005,17,3.971,2085745,3,1920x1080,4201.9541677159405,96.23972210193277,0.0,43.4846014636087,1226.863676191602,96.15153751941892
18,11449.532368192169,18,2.47,1413312,3,1920x1080,4577.528744939271,60.786116796283785,0.0,44.68500796972054,1269.5934938881646,59.28961688599535
19,13986.880413750458,19,2.47,1779465,3,1920x1080,5763.44939271255,61.520766142567574,0.0,44.61765992416225,2537.3480455582885,60.33105060202703
20,16008.378805911063,20,1.802,1497741,3,1920x1080,6649.238623751387,44.86541646814815,0.0,44.398161532001645,2021.4983921606054,44.826915016696695
21,20115.584076087784,21,1.502,1284543,3,1920x1080,6841.773635153128,37.54412951644444,0.0,41.792956261824926,4107.20527017672,37.15003292385185
22,22559.4817958776,22,2.703,1858124,3,1920x1080,5499.44210136885,66.95173183175926,0.0,42.05205854203511,2443.8977197898153,66.04503017743828
23,24296.660449628765,23,2.57,1670556,3,1920x1080,5200.174319066148,63.68474877629869,0.0,42.88487988828395,1737.1786537511637,63.64218178575838
24,26328.637050259407,24,3.404,2477748,3,1920x1080,5823.144535840188,84.81452662696081,0.0,44.25690328765331,2031.9766006306404,84.27021455795135
25,29184.82951967004,25,3.371,1900356,3,1920x1080,4509.892613467813,82.89609395193071,0.0,44.771710818242674,2856.192469410631,81.59535210665793
26,29458.19752944597,26,0.434,176406,3,1920x1080,3251.7235023041476,10.62874671653846,0.0,44.93234280846674,273.36800977593316,10.225744165129457
27,31103.05849385346,27,1.869,1467867,3,1920x1080,6283.00481540931,46.686507861562504,0.0,45.15648184405925,1644.86096440749,44.729687270903156
28,32878.2929504254,28,0.901,729486,3,1920x1080,6477.12319644839,22.525000000000002,0.0,44.28224738748731,1775.2344565719416,22.442619821428575
29,38169.33452229577,29,2.903,2132852,3,1920x1080,5877.649328281089,72.4324780491954,0.0,41.894205815616935,5291.041571870377,72.23609919862068
30,41827.672236888844,30,3.304,2364990,3,1920x1080,5726.36803874092,81.76382718424242,0.0,41.53986810102386,3658.337714593069,80.94789027724137
31,43442.32812926455,31,1.836,1360088,3,1920x1080,5926.309368191721,45.9,0.0,41.76121220864816,1614.6558923757054,44.887684242424235
32,50845.28479064701,32,2.236,1614545,3,1920x1080,5776.547406082289,55.833865794626874,0.0,36.594255547265696,7402.956661382465,55.71555773492538
33,54027.41833206796,33,2.236,1447977,3,1920x1080,5180.597495527728,54.554379705373144,0.0,35.64812200584475,3182.133541420943,52.26549582477613
34,55578.30146995145,34,1.669,1247535,3,1920x1080,5979.796285200719,41.06363963995,0.0,35.766238867961256,1550.8831378834946,40.2414934996515
35,58963.10492968495,35,3.004,1757858,3,1920x1080,4681.37949400799,73.46055339855555,0.0,35.38543540822776,3384.8034597335018,72.86258108744443
36,61149.84709153032,36,2.937,2109833,3,1920x1080,5746.906367041199,72.96366304874999,0.0,36.13569324638239,2186.7421618453673,71.40895539218432
37,62176.85896936368,37,1.602,1094399,3,1920x1080,5465.16354556804,39.8708918109375,0.0,36.710681368549025,1027.0118778333654,39.68979281472539
38,63316.64992948096,38,1.635,1303049,3,1920x1080,6375.7749235474,40.849682025,0.0,37.20589040843175,1139.7909601172828,40.464410566666665
39,64056.04318455456,39,2.236,1472341,3,1920x1080,5267.767441860465,55.048111032238815,0.0,38.702497153358145,739.3932550735993,53.58609939044778
40,65068.46035494601,40,1.869,1433482,3,1920x1080,6135.824505082932,46.625446213125,0.0,39.5590799829667,1012.4171703914492,45.31455778561967
41,66971.13243200688,41,2.87,1647419,3,1920x1080,4592.1087108013935,69.19276367296514,0.0,40.52640790590583,1902.6720770608745,65.84173444539041
42,69895.76120493042,42,1.869,1350941,3,1920x1080,5782.5189941145,46.5555907528125,0.0,39.470779132982294,2924.628772923535,43.35406491809491
43,73190.98106164944,43,2.803,2355596,3,1920x1080,6723.070995362113,69.71238498306549,0.0,38.978559276263276,3295.2198567190185,69.55748456639884
44,77211.19971495574,44,2.003,1704951,3,1920x1080,6809.589615576635,50.015184160625,0.0,36.96134062295697,4020.21865330631,49.617169636815504
45,78896.8227052664,45,1.402,1106170,3,1920x1080,6311.954350927247,34.87621834464285,0.0,36.677717632646306,1685.6229903106605,34.499860130357135
46,80283.68509727648,46,1.702,1314779,3,1920x1080,6179.9247943595765,42.5482466062745,0.0,36.992855240636224,1386.8623920100856,42.05655667630252
47,81380.3448997536,47,2.503,930912,3,1920x1080,2975.3479824210945,58.842772111166674,0.0,38.399195438159104,1096.6598024771174,52.88248556214709
48,83351.36807616605,48,3.971,2617564,3,1920x1080,5273.359858977587,98.4301107689706,0.0,40.39917226174665,1971.0231764124542,93.31676284740198
49,88316.16413583735,49,2.803,2128273,3,1920x1080,6074.271851587585,69.87376553907738,0.0,38.237376202075346,4964.796059671299,69.30987624636029
50,91692.3340674412,50,2.436,1867140,3,1920x1080,6131.822660098522,60.61797585410958,0.0,37.29720627047149,3376.169931603858,60.44205213754075
51,92548.72849657129,51,0.935,765140,3,1920x1080,6546.652406417112,23.375,0.0,37.3758118413414,856.3944291300851,22.911906164383552
52,94137.06150910484,52,2.77,2088828,3,1920x1080,6032.716245487365,68.88218538313254,0.0,38.55747882880786,1588.3330125335497,68.35104514216869
53,97999.27106880335,53,2.703,1803049,3,1920x1080,5336.4380318165,66.42930308296296,0.0,37.39826926910934,3862.209559698519,65.2649983856552
54,101563.6048716775,54,2.67,1843600,3,1920x1080,5523.895131086143,65.5995844425,0.0,36.5039354662352,3564.3338028741437,65.57156038077161
55,102499.90879998334,55,1.135,503891,2,1280x720,3551.654625550661,27.724448377941176,0.0,36.70263153792935,936.3039283058454,27.1552244367647
56,103108.05261599361,56,1.936,813295,2,1280x720,3360.723140495868,46.58257198896551,0.0,38.03048772191909,608.1438160102656,45.12024837841784
57,104400.20365342835,57,3.971,1884343,3,1920x1080,3796.208511709897,94.78626335588238,0.0,40.70933668448435,1292.151037434742,94.01976226054772
58,105482.42951409715,58,2.036,1823766,3,1920x1080,7166.074656188605,50.4928796042623,0.0,41.66311082381556,1082.2258606687933,46.77120556376087
59,106339.34866119333,59,1.168,876187,3,1920x1080,6001.280821917809,28.695063588571433,0.0,41.974191676719386,856.9191470961741,27.765672909414537
60,106987.40568395292,60,0.634,433787,3,1920x1080,5473.652996845426,15.177704064210525,0.0,41.9601346539598,648.0570227595837,12.665323613082686
61,108986.68027353041,61,2.069,1530166,3,1920x1080,5916.543257612374,50.44704927959677,0.0,42.029860064382305,1999.2745895774929,48.67609809114177
62,110852.21830286346,62,2.77,2125412,3,1920x1080,6138.374007220217,69.04184267650604,0.0,42.934322035049256,1865.5380293330504,66.87176732089
63,111643.74281956736,63,2.37,1570851,3,1920x1080,5302.450632911393,58.6153829302817,0.0,44.512797518345366,791.5245167038894,57.844887461080944
64,112172.31650524291,64,2.269,1114526,3,1920x1080,3929.5760246804757,54.106762610625,0.0,46.25322383266981,528.5736856755511,50.56217877259681
65,112421.20779362951,65,1.669,273875,3,1920x1080,1312.7621330137806,38.238511990750006,0.0,47.67333254428322,248.89128838659275,34.49830649075003
66,112532.31731658331,66,1.202,45184,3,1920x1080,300.72545757071543,28.998407094722214,0.0,48.764223021329414,111.10952295380734,24.142011316944465
