TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,2138.690799474716,34717,40,0,"(640, 360)",128.05763091354072,3388320.0,70.0,92.47113425250065,2138.690799474716,90.78534805635707,12.94787543076924
2138.690799474716,1,7141.74097776413,483613,24,0,"(640, 360)",539.3071856485249,3388320.0,44.10424913846152,0.0,9034.337413251467,230.24151077509615,14.714931706046539
9280.431777238846,2,2911.9759500026703,1050662,15,1,"(854, 480)",2862.5759892652923,3388320.0,94.52488617674423,0.0,11510.815637013739,406.40364546441896,18.253091277062953
12192.407727241516,3,1372.2275793552399,407326,17,1,"(854, 480)",2325.250231732388,3388320.0,96.10586031818184,0.0,12662.156985364243,206.54182914432988,12.977561582325562
13564.635306596756,4,6448.441177606583,967080,23,1,"(854, 480)",1195.1912055045927,3388320.0,95.71675033333331,0.0,18720.758841629467,380.43766449698404,14.160438738284931
20013.07648420334,5,7039.151847362518,4190137,15,2,"(1280, 720)",4761.266375905599,3388320.0,93.89084315979382,0.0,24493.85407131552,1296.0254680609437,13.741780433965292
27052.228331565857,6,4077.8447687625885,7051239,15,3,"(1920, 1080)",13744.756955476762,3616380.0,97.1890924454977,0.0,26706.182745884314,1944.2445414036013,15.58833966938647
31130.073100328445,7,4238.497287034988,6127884,15,3,"(1920, 1080)",11478.291653964538,4300560.0,99.96237330894309,0.0,29375.557121012855,1721.7706268940794,15.207356488262743
35368.570387363434,8,1766.386240720749,730137,25,3,"(1920, 1080)",3302.974664039108,4365720.0,99.87710955468752,0.0,30897.539949509453,256.04547775805474,16.530104525924223
37134.95662808418,9,2490.0642037391663,3089114,15,3,"(1920, 1080)",9875.2776719948,4365720.0,96.86453756603773,0.0,32570.57314019857,820.6970475041963,15.656813574687526
39625.02083182335,10,2958.1094086170197,3771940,15,3,"(1920, 1080)",10161.353108596473,4398300.0,98.44059195999999,0.0,34480.98565286336,986.1291587717806,14.359123074856885
42583.13024044037,11,2182.1034252643585,1967613,18,3,"(1920, 1080)",7147.802063570915,4365720.0,98.4092947191011,0.0,36110.892324395994,554.4169527471686,14.560869349454538
44765.23366570473,12,1000.0,1249003,18,3,"(1920, 1080)",9982.031985982032,4365720.0,99.00821424242423,0.0,36717.35858637326,402.15721150902493,15.054901268089896
45765.23366570473,13,1000.0,1053163,19,3,"(1920, 1080)",8416.878704416878,4007340.0,99.82638456666668,0.0,37336.746202669136,356.6405225358835,14.940093495757571
46765.23366570473,14,1543.5845255851746,1160222,19,3,"(1920, 1080)",5918.612962980676,4007340.0,99.73485819999999,0.0,38508.08115496484,384.7623400533705,15.776060545390067
48308.8181912899,15,1000.0,268426,30,3,"(1920, 1080)",2145.2605941452607,4007340.0,98.10064804255322,0.0,39353.111876841365,150.50903696979202,17.332808199999988
49308.8181912899,16,5298.551082611084,3174193,24,3,"(1920, 1080)",4786.443757710443,4007340.0,94.8041,0.0,43408.394620830855,1276.9172692511033,14.837570165555993
54607.369273900986,17,1000.0,631268,25,3,"(1920, 1080)",5045.093861045093,2867040.0,99.41272494968553,0.0,44068.11963599204,311.7695712577946,15.384991319999997
55607.369273900986,18,2826.2251913547516,1277893,31,3,"(1920, 1080)",3604.55967025954,2867040.0,99.77566886666666,0.0,46384.66962234931,549.1774535115622,14.714793167332587
58433.59446525574,19,1000.0,1395822,19,3,"(1920, 1080)",11155.409435155409,2867040.0,99.39586356470588,0.0,46634.44241796759,698.5242215701478,14.896444113333335
59433.59446525574,20,2258.5791051387787,3832882,17,3,"(1920, 1080)",13514.28863573058,2150280.0,99.79001833333334,0.0,47270.441066216954,1631.1905181504094,15.011686884705881
61692.173570394516,21,4396.6473042964935,4718939,20,3,"(1920, 1080)",8571.309988820281,2867040.0,99.91878873529411,0.0,49757.49753964805,1801.1912671348555,14.953538403030302
66088.82087469101,22,6253.1996965408325,10539894,15,3,"(1920, 1080)",13441.72780227453,2867040.0,99.88756706060606,0.0,51823.153920821744,4170.463200386144,14.985017235294123
72342.02057123184,23,1000.0,1408142,15,3,"(1920, 1080)",11253.870875253871,2932200.0,99.86754299999998,0.0,52209.8106017899,592.158318671839,15.062906427272722
73342.02057123184,24,2071.3448226451874,1171075,28,3,"(1920, 1080)",4456.777073614887,2867040.0,99.64932126666668,0.0,53748.693384196995,509.95930517739185,15.032850492063481
75413.36539387703,25,1740.3859794139862,3404705,15,3,"(1920, 1080)",15402.115429744379,2867040.0,99.669385015873,0.0,54137.226647583884,1330.0348791785257,14.975987933710694
77153.75137329102,26,1000.0,2037670,15,3,"(1920, 1080)",16285.058656285059,2867040.0,99.90153343396227,0.0,54302.907669068205,828.1290074340379,14.930422158412698
78153.75137329102,27,1064.404934644699,1737953,15,3,"(1920, 1080)",13021.617743745164,2867040.0,99.82893443333333,0.0,54620.622966245995,709.9678801520432,14.971836574587272
79218.15630793571,28,1000.0,1848431,15,3,"(1920, 1080)",14772.66056677266,2932200.0,99.85939371875,0.0,54939.43557976338,739.4713969290008,15.004530799999998
80218.15630793571,29,1000.0,1910054,15,3,"(1920, 1080)",15265.151583265151,3648960.0,99.64880726666667,0.0,55311.76551727265,631.0016985373193,14.938429002083332
81218.15630793571,30,1000.0,712956,24,3,"(1920, 1080)",5697.944357697944,3648960.0,99.84192943333333,0.0,56044.0170169646,285.66956064193636,14.915713893333333
82218.15630793571,31,1000.0,1068150,20,3,"(1920, 1080)",8536.654808536654,3648960.0,99.80099103333333,0.0,56614.192011269966,410.37972253585605,14.929123816666667
83218.15630793571,32,3563.308835029602,2406124,26,3,"(1920, 1080)",5391.5165855936175,2867040.0,99.82561123333333,0.0,59268.70968276481,963.4066163231619,14.977368489190033
86781.46514296532,33,1320.5808401107788,781622,26,3,"(1920, 1080)",4685.042272685043,2867040.0,99.92911265420561,0.0,59799.92915817847,312.13348959206746,15.252862095833336
88102.0459830761,34,1000.0,938531,21,3,"(1920, 1080)",7500.739759500739,3583800.0,99.145498275,0.0,59956.773767017155,355.66476042777293,15.027519187538942
89102.0459830761,35,1806.30823969841,3684578,15,3,"(1920, 1080)",16062.076026785544,4398300.0,99.80318693333334,0.0,59863.38348013271,967.4854181017222,15.036013303409092
90908.3542227745,36,1000.0,1730685,15,3,"(1920, 1080)",13831.634533831633,4430880.0,99.91760521818182,0.0,59899.50614719102,491.1539207133857,14.963743883333336
91908.3542227745,37,1000.0,803579,19,3,"(1920, 1080)",6422.203374422203,2436984.0,99.6788861,0.0,59982.104068991015,427.0981473735352,15.433226918181816
92908.3542227745,38,1000.0,1512252,15,3,"(1920, 1080)",12085.917996085918,2313180.0,98.9687566,0.0,59652.08913505593,768.1627069775442,14.898168130000007
93908.3542227745,39,4154.0364027023315,5032484,19,3,"(1920, 1080)",9652.705763206339,2932200.0,99.77676123333335,0.0,59665.350508100666,2162.420866898487,15.077696157600005
98062.39062547684,40,1381.5198242664337,2722452,15,3,"(1920, 1080)",15541.316154334128,3648960.0,99.95761969600001,0.0,59612.77571517624,913.439296113683,14.942053076666664
99443.91044974327,41,1000.0,1941215,15,3,"(1920, 1080)",15514.19029551419,2932200.0,99.86621533333333,0.0,59778.627016867744,772.0241349350524,15.041539812666677
100443.91044974327,42,1000.0,1570104,15,3,"(1920, 1080)",12548.27118054827,2964780.0,99.83215976666666,0.0,59692.25718171161,637.4582439950279,15.37798613333333
101443.91044974327,43,4715.742468833923,4473337,21,3,"(1920, 1080)",7553.009653084558,3583800.0,98.9764584,0.0,59674.511079965116,1584.5969659179684,14.986491992018792
106159.6529185772,44,1000.0,909350,20,3,"(1920, 1080)",7267.525207267525,2932200.0,99.69133554929574,0.0,59816.572601282925,347.30133102890466,14.626096733333327
107159.6529185772,45,1000.0,1835113,15,3,"(1920, 1080)",14666.223110666222,3583800.0,98.70072333333334,0.0,59738.30625417593,619.0082858242207,14.934970325070427
108159.6529185772,46,1043.7192022800446,2388606,15,3,"(1920, 1080)",17896.63717742434,3583800.0,99.84017313333334,0.0,59899.52573847079,908.26685502492,15.052331466666663
109203.37212085724,47,1000.0,1014080,22,3,"(1920, 1080)",8104.527368104526,2867040.0,99.870673,0.0,59925.82370747215,451.08583741087693,14.945357350000002
110203.37212085724,48,4562.789231538773,4677366,22,3,"(1920, 1080)",8185.7317426920235,3648960.0,99.78963156666667,0.0,59551.24200819032,1407.0268026152828,14.990420257664237
114766.16135239601,49,1000.0,1887759,15,3,"(1920, 1080)",15086.96994308697,5068000.0,99.96247926277373,0.0,59595.67020064293,472.09051634611393,14.911434763333325
115766.16135239601,50,1506.332665681839,2596514,15,3,"(1920, 1080)",13533.484312657507,3469728.0,99.81732986666665,0.0,59815.54662692631,866.4417341871977,15.430681382338946
117272.49401807785,51,1328.1602263450623,832643,19,3,"(1920, 1080)",4990.862146990863,3909600.0,99.06359576086956,0.0,59831.35495556366,304.1831174006225,16.76783150416665
118600.65424442291,52,1272.6157009601593,2399963,15,3,"(1920, 1080)",14754.237490019603,2867040.0,96.098996725,0.0,59688.98181489612,838.0631478722693,14.722355863433663
119873.26994538307,53,1864.9933636188507,2845858,15,3,"(1920, 1080)",12184.339067772346,3583800.0,98.6824797948718,0.0,59913.3609444969,1106.7927897762152,15.329940406071438
121738.26330900192,54,5084.950685501099,4618771,22,3,"(1920, 1080)",7237.885998427065,3583800.0,99.89973346428573,0.0,59538.9439184111,1420.9844010637134,15.059940161689294
126823.21399450302,55,1276.2412428855896,2440358,15,3,"(1920, 1080)",15002.57357828819,3583800.0,99.88031356862746,0.0,59945.18765057451,791.5833340909288,14.971197733516497
128099.45523738861,56,1000.0,1982386,15,3,"(1920, 1080)",15843.228927843227,3616380.0,99.85707146153847,0.0,59776.0386038612,658.3714624937022,14.966302435294125
129099.45523738861,57,2963.357150554657,5630810,15,3,"(1920, 1080)",15169.024082412794,3583800.0,99.82802226666666,0.0,59592.44697404135,1675.646373290146,14.97387436620571
132062.81238794327,58,6965.228825807571,11213906,16,3,"(1920, 1080)",12864.335985224361,3616380.0,99.9326358539326,0.0,59571.26086597404,3001.6045523381995,15.043488190111638
139028.04121375084,59,1419.6364283561707,3010062,15,3,"(1920, 1080)",16783.54688702285,2867040.0,99.56906815311005,0.0,59794.06949081502,1167.976426211001,15.117595063234923
140447.677642107,60,2366.0434186458588,1202676,25,3,"(1920, 1080)",4061.3177680710637,2932200.0,99.63008158139534,0.0,59662.91026914985,513.8506177481355,15.796866603814287
142813.72106075287,61,1000.0,393628,22,3,"(1920, 1080)",3145.874979145875,3323160.0,97.54440309859153,0.0,59951.07234940344,204.68411486593928,16.692441298062015
143813.72106075287,62,2730.0942838191986,1726363,27,3,"(1920, 1080)",5047.71772934089,3323160.0,95.87528056666666,0.0,59887.71788591169,823.5577310180414,14.830971119409138
146543.81534457207,63,4417.7466332912445,7594492,15,3,"(1920, 1080)",13690.642441892564,2899620.0,99.30901904878048,0.0,59798.68813121764,2848.2186304630122,15.148752991453646
150961.5619778633,64,7782.744407653809,10632037,15,3,"(1920, 1080)",10893.748411846193,2899620.0,99.56046841353385,0.0,59526.7349035913,3720.198888601207,14.68236145903689
158744.30638551712,65,1000.0,7436,15,3,"(1920, 1080)",59.42851205942851,2932200.0,99.25331517948719,0.0,59941.37824974007,82.6694524319803,15.852510996867217
