TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,2075.399249792099,167080,21,0,"(640, 360)",635.8587737417118,417923.2234875,70.0,510.1275685946339,2075.399249792099,500.8277365945104,15.510909190476188
2075.399249792099,1,2246.5319633483887,135667,24,0,"(640, 360)",478.3457973252661,417923.2234875,95.85151531746031,0.0,3871.1881597425668,421.70718542355417,14.362443697058819
4321.931213140488,2,1000.0,128745,15,0,"(640, 360)",1028.93004102893,417923.2234875,93.9374061617647,0.0,4437.974032615661,404.2726056252109,14.112837308253965
5321.931213140488,3,3681.9898784160614,294667,24,0,"(640, 360)",636.4806690815465,417923.2234875,97.8299814,0.0,7240.67930514784,822.1836644666902,12.14352169733707
9003.921091556549,4,1000.0,122900,20,0,"(640, 360)",982.2168009822167,417923.2234875,94.22877052252257,0.0,7841.501753286771,389.55068726038616,13.961244583333318
10003.921091556549,5,1000.0,60066,29,0,"(640, 360)",480.0474724800474,417923.2234875,97.73747363333335,0.0,8615.560576051103,231.289435158522,17.950397989189234
11003.921091556549,6,1000.0,157751,15,0,"(640, 360)",1260.745993260746,417923.2234875,82.55674506666666,0.0,9157.55856373765,477.33059777065245,14.728653116666676
12003.921091556549,7,1000.0,101769,26,1,"(854, 480)",813.3378488133378,417923.2234875,99.17066746666669,0.0,9851.048882095942,336.3276150675528,10.297334013333328
13003.921091556549,8,3825.31076669693,1102573,18,1,"(854, 480)",2298.7205938958673,417923.2234875,89.25501419999999,0.0,11004.26778144759,2799.375968451511,16.000643357971022
16829.23185825348,9,1000.0,208526,19,1,"(854, 480)",1666.5397936665397,469024.1992925,96.34004821739133,0.0,11458.72050840316,547.9951545414619,13.143857420000007
17829.23185825348,10,2350.122630596161,838525,15,1,"(854, 480)",2831.615897774453,469024.1992925,95.11559806666668,0.0,11724.45153244126,1961.902673824268,13.393504043049616
20179.35448884964,11,1000.0,341337,15,1,"(854, 480)",2727.9653067279655,469024.1992925,96.71251477464791,0.0,11881.776604521021,846.0630428134573,12.761203413333343
21179.35448884964,12,1000.0,340545,15,1,"(854, 480)",2721.6356427216356,469024.1992925,95.45460536666668,0.0,12055.595097880067,844.285556253523,13.669177757981245
22179.35448884964,13,1000.0,289914,15,1,"(854, 480)",2316.9926903169926,469024.1992925,96.08667403333334,0.0,12263.612856922782,742.1013407533231,12.87103473333336
23179.35448884964,14,1054.494172334671,206700,21,1,"(854, 480)",1548.7003317305623,460741.55542125,95.16714126666665,0.0,12783.829751856909,552.2364301815396,14.107939767708338
24233.84866118431,15,5384.878516197205,627202,27,1,"(854, 480)",928.2590296194271,460741.55542125,93.95746853125,0.0,16610.938540312076,1512.9348499405996,14.188523257407397
29618.727177381516,16,3540.062665939331,1269462,23,2,"(1280, 720)",2844.543933638019,460741.55542125,91.9572360185185,0.0,17179.76269644188,3051.654776672036,15.331625780519825
33158.78984332085,17,1055.7081401348114,179192,29,2,"(1280, 720)",1342.5965643128345,410685.10755874997,99.54562105607471,0.0,17646.87407217908,539.2890134633228,12.30429752314815
34214.49798345566,18,1000.0,812095,15,2,"(1280, 720)",6490.263246490264,410685.10755874997,94.166701875,0.0,16640.859941974224,2161.489750594318,14.776076334392531
35214.49798345566,19,1000.0,404893,19,2,"(1280, 720)",3235.9048592359045,410685.10755874997,99.55106406666667,0.0,16440.338524774354,1117.7857634727284,14.000047592499993
36214.49798345566,20,1330.2459120750427,203041,29,2,"(1280, 720)",1217.0277552170278,410685.10755874997,97.36119629999999,0.0,17173.337019349143,600.4166513159432,18.15421559166667
37544.7438955307,21,5167.470991611481,3317920,15,2,"(1280, 720)",5132.286600568966,410685.10755874997,92.79369695,0.0,12261.906273247017,9506.764223439908,14.159451157096768
42712.21488714218,22,3987.779140472412,824442,23,1,"(854, 480)",1647.235117647235,409315.22316625004,98.15928464516128,0.0,14040.465799850352,2200.2086682665154,14.177666684999988
46699.99402761459,23,1000.0,476453,15,1,"(854, 480)",3807.8123798078122,409315.22316625004,97.42839396666665,0.0,13764.753445684662,1231.6489954501667,14.277499215483871
47699.99402761459,24,1000.0,250355,15,1,"(854, 480)",2000.837162000837,444095.43766,98.48904613333333,0.0,14061.62607003599,673.4120384932406,14.474076283333318
48699.99402761459,25,1000.0,442144,15,1,"(854, 480)",3533.6148515336145,444095.43766,95.90863536666666,0.0,13915.116183841328,1128.006120698829,14.383239049999993
49699.99402761459,26,1000.0,450820,15,1,"(854, 480)",3602.953443602953,444095.43766,98.21161416666668,0.0,13757.960334257497,1148.5706903937319,14.973071723333344
50699.99402761459,27,1000.0,565130,15,1,"(854, 480)",4516.518964516518,444095.43766,99.27322543333335,0.0,13268.114380438534,1416.576205844053,15.07323888333333
51699.99402761459,28,3483.8505387306213,1302054,18,1,"(854, 480)",2973.14688380547,454205.45212750003,99.8240005,0.0,13898.568232426516,3097.540083402611,14.755070033809528
