TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,6569.099210202694,145875,36,0,"(640, 360)",177.2658317602953,5831820.0,70.0,108.30457529442586,6569.099210202694,106.3301390610388,3.647180677215186,"[177.2658317602953, 267.0306970648454, 515.290355204575, 981.8953408554604]"
6569.099210202694,1,1220.6347584724426,353436,18,1,"(854, 480)",2261.9903999999997,5831820.0,62.70563864556963,0.0,7636.038791243478,143.794474921524,17.874012080000007,"[1052.1984, 2261.9903999999997, 3424.32, 7301.1904]"
7789.733968675137,2,1567.7160918712616,589187,15,1,"(854, 480)",2976.9454688306246,5831820.0,99.79002013333334,0.0,9004.067413159817,186.3470481093832,18.663034182811458,"[1207.4377278816269, 2976.9454688306246, 4715.364361129339, 9388.5190291619]"
9357.450060546398,3,2620.541602373123,913189,15,1,"(854, 480)",2783.0521904761904,5831820.0,99.88933007894737,0.0,11362.776827716534,244.82874624857567,14.973213596190476,"[1145.6579047619048, 2783.0521904761904, 4433.764571428572, 8844.83961904762]"
11977.991662919521,4,3060.943156480789,2245234,15,2,"(1280, 720)",5825.472629780825,5831820.0,99.92035934920635,0.0,13926.46773316972,485.2601435789026,15.162714531650067,"[1828.5329544359952, 3621.26568878548, 5825.472629780825, 10823.243548458762]"
15038.93481940031,5,1000.0,325383,15,2,"(1280, 720)",2603.064,5831820.0,99.4532310945946,0.0,14790.944734838458,138.73096581386798,16.868346349206355,"[634.08, 1388.488, 2603.064, 4473.224]"
16038.93481940031,6,1396.994024515152,438341,15,2,"(1280, 720)",2475.336829332511,5831820.0,96.10402599999999,0.0,16035.26235029464,159.11965371828492,16.175776403418126,"[587.5876264499703, 1408.6980214828186, 2475.336829332511, 4887.895320495219]"
17435.928843915462,7,5296.385735273361,1638646,16,2,"(1280, 720)",2457.9691536230725,5831820.0,96.55490938235295,0.0,21009.158911742623,353.86162726364057,14.53219387968751,"[653.3790408361901, 1508.622094288881, 2457.9691536230725, 4848.031803001988]"
22732.314579188824,8,1823.2101798057556,925661,15,3,"(1920, 1080)",4039.2487344088604,6548580.0,98.57099413281252,0.0,22613.979438679577,228.7925626624398,13.56679164358287,"[504.59790992689267, 1233.1507696637764, 2145.6920264894593, 4039.2487344088604]"
24555.52475899458,9,1000.0,185208,20,3,"(1920, 1080)",1481.664,6548580.0,97.03713763636361,0.0,23504.69908503338,109.77069677299265,16.002041174479174,"[257.008, 444.92, 756.144, 1481.664]"
25555.52475899458,10,1000.0,653889,15,3,"(1920, 1080)",5231.112,6548580.0,95.13790591666668,0.0,24308.034737814494,185.10739893630617,14.33929991136364,"[797.272, 1690.472, 2730.824, 5231.112]"
26555.52475899458,11,2430.653542280197,2309939,16,3,"(1920, 1080)",7517.0906463851725,6548580.0,98.40502279166667,0.0,26289.191436605415,451.3041204111587,15.436614720197738,"[1061.1353303234346, 2342.566283737801, 3827.2439087788352, 7517.0906463851725]"
28986.178301274776,12,1329.9733996391296,1288049,15,3,"(1920, 1080)",7728.295932073983,6548580.0,99.91734218644068,0.0,27334.160382940587,291.2497332103036,14.938673983333333,"[1089.4022723505682, 2475.1146187786544, 4009.48300237075, 7728.295932073983]"
30316.151700913906,13,1351.0703146457672,965270,15,3,"(1920, 1080)",5616.1163636363635,5929560.0,99.6319604375,0.0,28416.978174837463,251.35734931605825,16.294790792501274,"[667.8807272727273, 1522.304, 2803.677090909091, 5616.1163636363635]"
31667.222015559673,14,1000.0,263847,23,3,"(1920, 1080)",2110.776,5929560.0,97.2451027878788,0.0,29294.264235868108,126.8388352947818,16.30464581249999,"[426.0, 632.744, 1025.472, 2110.776]"
32667.222015559673,15,5169.36007142067,5429259,15,3,"(1920, 1080)",8339.342357717911,5929560.0,96.65462925000001,0.0,33410.92059558892,1022.4053682190123,15.13265150841212,"[1185.372747863856, 2611.0818951092415, 4342.134037896579, 8339.342357717911]"
37836.58208698034,16,1000.0,365204,21,3,"(1920, 1080)",2921.632,6548580.0,99.761936312,0.0,34275.87206385511,138.7036064548184,13.901200500000012,"[436.064, 771.0, 1304.232, 2921.632]"
38836.58208698034,17,2657.4474573135376,1652137,15,3,"(1920, 1080)",4956.410380448703,6548580.0,97.61110570833335,0.0,36556.156168123875,345.56773818864065,16.05647224950002,"[655.6889180388853, 1334.258833217646, 2434.6046956744135, 4956.410380448703]"
41494.02954429388,18,4639.266788959503,2591676,22,3,"(1920, 1080)",4442.872825509084,6548580.0,97.41092812499997,0.0,40734.55159803712,496.59107776036944,14.87847177023811,"[863.7805097299635, 1394.252471839109, 2295.666693166665, 4442.872825509084]"
46133.29633325338,19,1000.0,214552,34,3,"(1920, 1080)",1716.416,6548580.0,99.39930390178574,0.0,41611.590015563095,114.4875088227243,18.569585416666648,"[322.28, 479.68, 916.312, 1716.416]"
47133.29633325338,20,1000.0,518593,21,3,"(1920, 1080)",4148.744,6548580.0,87.68268541666664,0.0,42416.64096942601,195.98352379450748,14.94302188482143,"[779.888, 1303.944, 2168.4, 4148.744]"
48133.29633325338,21,1000.0,419264,21,3,"(1920, 1080)",3354.112,4333140.0,99.80492045833334,0.0,43223.84679220621,181.85005015203512,15.703413783333339,"[602.56, 1063.896, 1741.024, 3354.112]"
49133.29633325338,22,1474.5144248008728,1183024,17,3,"(1920, 1080)",6309.461333333333,4333140.0,99.11947054166667,0.0,44329.46951185563,367.38707289693656,14.932830319444456,"[922.0906666666666, 2044.4, 3366.08, 6309.461333333333]"
50607.81075805426,23,1000.0,962249,15,3,"(1920, 1080)",7697.992,4333140.0,99.74418027777777,0.0,45004.48951254262,313.7551254311022,14.696470062500012,"[887.208, 2169.184, 3539.512, 7697.992]"
51607.81075805426,24,3030.6038856506348,2875311,15,3,"(1920, 1080)",7562.460979456331,4333140.0,98.84600095833332,0.0,47153.95547269964,843.8995652145455,15.100686353120231,"[893.2128336205114, 2158.0508319944292, 3830.9808404404557, 7562.460979456331]"
54638.41464370489,25,1000.0,609368,16,3,"(1920, 1080)",4874.944,3746700.0,99.28698784931508,0.0,47898.63345279807,251.2013238316385,14.556175187499981,"[684.008, 1601.144, 2628.92, 4874.944]"
55638.41464370489,26,1000.0,280672,23,3,"(1920, 1080)",2245.376,3746700.0,98.57965154166668,0.0,48738.59155677207,158.85451478002398,14.786027203481744,"[450.96, 744.896, 1164.256, 2245.376]"
56638.41464370489,27,1000.0,825560,15,3,"(1920, 1080)",6604.48,3746700.0,99.00192129166668,0.0,49410.516784617554,311.9402477689139,15.064009545833331,"[861.176, 2138.904, 3430.224, 6604.48]"
57638.41464370489,28,1000.0,266959,28,3,"(1920, 1080)",2135.672,3746700.0,99.86995783333333,0.0,50277.494127494305,144.40439156406688,14.649427295833338,"[472.56, 679.224, 1126.536, 2135.672]"
58638.41464370489,29,1200.922131538391,769243,15,3,"(1920, 1080)",5092.9205773574,5082480.0,99.24936570833334,0.0,51240.362048386756,239.31778849778266,16.10641266091953,"[571.3325714020887, 1460.4119890791692, 2666.3047355323406, 5092.9205773574]"
59839.33677524328,30,4357.089549303055,6066405,15,3,"(1920, 1080)",11092.854857142856,5082480.0,97.5270903448276,0.0,54406.477103619975,1270.6893224994585,14.890090663452376,"[1644.7798857142857, 3568.3712, 5696.197485714286, 11092.854857142856]"
64196.42632454634,31,1000.0,537827,25,3,"(1920, 1080)",4302.616,5962140.0,99.69171205714285,0.0,55223.23233148198,174.95477868861286,15.113573640517245,"[943.096, 1404.704, 2310.696, 4302.616]"
65196.42632454634,32,1000.0,748437,21,3,"(1920, 1080)",5987.496,5962140.0,99.77713779166668,0.0,56023.11991879286,212.138530972542,14.897048169285718,"[1146.272, 1940.232, 3078.704, 5987.496]"
66196.42632454634,33,1000.0,1292218,15,3,"(1920, 1080)",10337.744,5962140.0,99.77703229166667,0.0,56737.456517703526,308.14450410158275,14.92902012083333,"[1511.448, 3336.152, 5301.064, 10337.744]"
67196.42632454634,34,3651.652753353119,3759185,15,3,"(1920, 1080)",8201.857436194778,5962140.0,99.8445565,0.0,59714.658071578095,699.0376093785419,14.998396589015158,"[1174.9853477286047, 2533.3219515161863, 4206.913799371472, 8201.857436194778]"
70848.07907789946,35,1895.9747552871704,2118450,15,3,"(1920, 1080)",8842.22454917834,6548580.0,99.96016636363638,0.0,59719.5730349278,420.523803392652,14.965466810869575,"[1248.4547393991759, 2891.6530623212066, 4782.522994343827, 8842.22454917834]"
72744.05383318663,36,1000.0,1190341,15,3,"(1920, 1080)",9522.728,6646320.0,99.91653743478263,0.0,59965.9617526293,268.5239540551447,15.027141530303034,"[1495.248, 3077.512, 5086.688, 9522.728]"
73744.05383318663,37,1000.0,580131,22,3,"(1920, 1080)",4641.048,6646320.0,99.86604966666668,0.0,59797.62300159573,172.24918718100042,15.010529913949298,"[882.608, 1460.152, 2440.848, 4641.048]"
74744.05383318663,38,1097.4194407463074,754985,18,3,"(1920, 1080)",5368.782222222222,6776640.0,99.81201504166665,0.0,59681.88441883554,197.27361238483658,15.001483722222247,"[934.6275555555555, 1692.672, 2782.222222222222, 5368.782222222222]"
75841.47327393293,39,1000.0,737240,21,3,"(1920, 1080)",5897.92,5831820.0,99.72913188888887,0.0,59970.94694137118,213.07031171455188,15.010853083333323,"[1236.432, 1971.336, 3159.416, 5897.92]"
76841.47327393293,40,1000.0,1223021,15,3,"(1920, 1080)",9784.168,5831820.0,99.60232391666666,0.0,59673.09422174442,291.2664023047504,14.938179386111113,"[1811.304, 3546.84, 5851.624, 9784.168]"
77841.47327393293,41,1000.0,410939,22,3,"(1920, 1080)",3287.512,6548580.0,99.85182095833333,0.0,59515.28606606178,146.05513995722015,15.037010249999994,"[611.8, 970.136, 1646.296, 3287.512]"
78841.47327393293,42,1000.0,281054,21,3,"(1920, 1080)",2248.432,6613740.0,99.13062733333334,0.0,59900.550509451234,124.73207531434161,16.497971687500005,"[386.92, 669.944, 1125.2, 2248.432]"
79841.47327393293,43,1000.0,746861,15,3,"(1920, 1080)",5974.888,6613740.0,96.70769854166666,0.0,59682.99528297299,198.86912302028966,14.638696641666675,"[800.232, 1765.784, 3036.824, 5974.888]"
80841.47327393293,44,6421.976625919342,2692436,22,3,"(1920, 1080)",3335.1467011688624,6678900.0,99.25293229166668,0.0,59582.25989823128,507.178154513438,14.654137974220426,"[622.4417353518315, 1032.0012919742603, 1679.6928866938265, 3335.1467011688624]"
87263.44989985228,45,2911.9322299957275,3214820,15,3,"(1920, 1080)",8817.790992252458,6613740.0,98.87484638064515,0.0,59941.469133497645,591.6652684610491,15.035442565119045,"[1195.773120483072, 2761.201055862736, 4537.126795756938, 8817.790992252458]"
90175.382129848,46,1000.0,976683,15,3,"(1920, 1080)",7813.464,5115060.0,99.93455965714286,0.0,59668.44852132171,280.99224025154206,15.035148311935483,"[974.168, 2284.536, 3758.032, 7813.464]"
91175.382129848,47,1435.1296722888947,1625471,15,3,"(1920, 1080)",8916.871523856347,5082480.0,99.87105491666667,0.0,59621.897557677534,458.68351580932165,14.979381585714279,"[1357.6816817558129, 2689.5201576046074, 4428.837583734305, 8916.871523856347]"
92610.5118021369,48,1000.0,690873,19,3,"(1920, 1080)",5526.984,5115060.0,99.91035614285715,0.0,59894.9308859504,222.1752114036014,14.960784791666661,"[977.96, 1769.272, 2903.2, 5526.984]"
93610.5118021369,49,2996.478945016861,2599085,15,3,"(1920, 1080)",6930.893333333333,5115060.0,99.82054025000001,0.0,59852.867970073414,558.0690046473742,15.009356330357157,"[969.6586666666666, 2194.8373333333334, 3550.9333333333334, 6930.893333333333]"
96606.99074715376,50,1135.6484293937683,669352,19,3,"(1920, 1080)",4589.84097433115,5864400.0,99.801999625,0.0,59800.02557810215,207.66103180363484,14.938008360714296,"[732.459219297366, 1413.976738863789, 2293.1787733774936, 4589.84097433115]"
97742.63917654753,51,3782.191038131714,3678207,15,3,"(1920, 1080)",7760.611889176977,5766660.0,99.86677064285716,0.0,59810.62699204145,751.4106332097372,14.940690789148352,"[1100.3455735959935, 2443.279961030333, 4016.8379765417167, 7760.611889176977]"
101524.83021467924,52,1000.0,615291,23,3,"(1920, 1080)",4922.328,5896980.0,99.86815125274725,0.0,59603.370779416065,189.83159801154238,14.96489316369049,"[1078.808, 1661.848, 2654.064, 4922.328]"
102524.83021467924,53,1710.052341222763,2281963,15,3,"(1920, 1080)",10431.830857142857,5766660.0,99.80375495833334,0.0,59769.689895105024,527.6104713007165,14.961023203296701,"[1507.894857142857, 3290.2034285714285, 5393.5085714285715, 10431.830857142857]"
104234.882555902,54,3416.946589946747,4393508,15,3,"(1920, 1080)",10163.296594052683,5864400.0,99.91306388095238,0.0,59794.84647151921,868.33475086016,14.968126265612451,"[1750.4526024532627, 3286.619304734391, 5445.268573037934, 10163.296594052683]"
107651.82914584875,55,2528.227210044861,3699720,15,3,"(1920, 1080)",11645.018800653274,5440860.0,99.91416960240964,0.0,59927.85586456034,814.5304964530034,14.9778788020687,"[1862.226641019457, 3817.0665157945555, 6091.004053638813, 11645.018800653274]"
110180.05635589361,56,4172.4894642829895,5676355,16,3,"(1920, 1080)",10790.695508173902,5896980.0,99.94864198360656,0.0,59569.89853481838,1013.8500026808183,14.985862132828343,"[1647.4057542499609, 3582.815333292304, 5679.324331035591, 10790.695508173902]"
114352.5458201766,57,4169.851779937744,5473176,15,3,"(1920, 1080)",10404.4542102538,5864400.0,99.96213182178218,0.0,59718.77549523869,1038.7650022461098,15.021331330141216,"[1672.0425878845617, 3411.015240476455, 5579.066105272564, 10404.4542102538]"
118522.39760011435,58,1430.1847517490387,1871120,15,3,"(1920, 1080)",10264.432060441613,5082480.0,99.8546213069307,0.0,59683.79882006931,467.5273488533157,15.01678569321075,"[1733.6013105374423, 3368.2403127406424, 5645.2456331990015, 10264.432060441613]"
119952.58235186338,59,4222.595006227493,5008120,15,3,"(1920, 1080)",9427.049411764705,5831820.0,99.89069225714286,0.0,59911.18684179503,971.2159875335346,14.963319517714993,"[1459.8023529411764, 3014.473411764706, 4951.6950588235295, 9427.049411764705]"
124175.17735809088,60,1316.7873919010162,1627383,15,3,"(1920, 1080)",9764.30044107511,5147640.0,99.7826035784314,0.0,59828.56709478184,412.7806017596618,14.94629813678572,"[1553.2503883125971, 3254.3408135852033, 5146.723286680822, 9764.30044107511]"
125491.9647499919,61,1000.0,1301472,15,3,"(1920, 1080)",10411.776,4463460.0,99.89227893750001,0.0,59940.74154756262,374.72860831522763,14.93416969215686,"[1575.648, 3330.456, 5391.072, 10411.776]"
126491.9647499919,62,3184.878647327423,1639182,22,3,"(1920, 1080)",4087.3113856946893,5115060.0,99.85405008333333,0.0,59723.549226432166,417.3283474371963,15.005729164772738,"[773.3461582697307, 1283.31566579903, 2063.723435192045, 4087.3113856946893]"
129676.84339731932,63,2650.8545875549316,2271646,19,3,"(1920, 1080)",6814.937148132857,5864400.0,99.77309954545454,0.0,59726.05760602528,614.1566615614674,14.976543385416667,"[1214.747848156519, 2221.19672235041, 3506.38456170193, 6814.937148132857]"
132327.69798487425,64,7329.15523648262,8139264,15,3,"(1920, 1080)",8879.197494508979,6548580.0,99.93658065625,0.0,59944.99206136725,1477.3830502870787,14.916163934659053,"[1285.4160584280028, 2765.78412571746, 4629.367846789448, 8879.197494508979]"
