TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,6052.218221127987,55321,30,0,"(640, 360)",72.87782333474235,7475200.0,70.0,89.42027802746081,6052.218221127987,87.79011017483778,14.07444169780219,"[72.87782333474235, 105.1690184610272, 190.18765667353725, 352.3418345494512]"
6052.218221127987,1,1000.0,255822,15,1,"(854, 480)",2044.5294260445294,7475200.0,93.45740282967031,0.0,6928.205644609936,116.02396133741888,16.68870190000001,"[1013.0978890130979, 2044.5294260445294, 3310.166523310166, 6221.14063822114]"
7052.218221127987,2,1000.0,214599,15,1,"(854, 480)",1715.075209715075,7475200.0,97.81450316666668,0.0,7810.096074783503,110.21908232696467,14.143905177032948,"[831.4157528314157, 1715.075209715075, 2862.246890862247, 5513.241245513241]"
8052.218221127987,3,6203.220218420029,1574438,15,1,"(854, 480)",2029.5014377544026,7475200.0,97.4827424333333,0.0,13690.655781416135,301.7068650865177,14.044477930107512,"[1078.4430938966577, 2029.5014377544026, 3253.9119713396562, 6145.177907404298]"
14255.438439548016,4,6580.213278532028,3592897,15,2,"(1280, 720)",4350.671380937295,7475200.0,97.54005047311834,0.0,19670.449678814097,585.9392179614276,14.732620053636378,"[1352.0307776745308, 2829.5105187882373, 4350.671380937295, 8006.290672352691]"
20835.651718080044,5,1000.0,230495,18,2,"(1280, 720)",1842.1160418421161,7475200.0,99.13482382828285,0.0,20560.592606103848,112.45750157714492,14.10410965645167,"[570.5249045705249, 1172.4903371724904, 1842.1160418421161, 3551.0693795510692]"
21835.651718080044,6,4107.949078083038,2483514,17,3,"(1920, 1080)",4801.994261712046,7475200.0,96.87188163333335,0.0,24265.869310180708,419.6659399359834,15.098337864573168,"[757.8233176740091, 1496.7868052730762, 2443.2954333698053, 4801.994261712046]"
25943.600796163082,7,1000.0,240242,22,3,"(1920, 1080)",1920.014065920014,7907612.375,98.07297192741936,0.0,25163.817065839517,111.98011027816392,13.656802516666659,"[342.633024342633, 591.9834245919834, 988.8821289888821, 1920.014065920014]"
26943.600796163082,8,1000.0,408819,18,3,"(1920, 1080)",3267.2814512672817,7907612.375,97.23998446666666,0.0,26035.508548629325,134.4204456498393,14.39998819408602,"[550.1053445501053, 1047.1837690471837, 1726.4078657264079, 3267.2814512672817]"
27943.600796163082,9,1000.0,333330,24,3,"(1920, 1080)",2663.973362663973,7907612.375,97.34596746666668,0.0,26911.692479536596,124.37163426470134,14.168729333333339,"[545.1822725451823, 816.1830008161829, 1410.8197694108198, 2663.973362663973]"
