TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,3092.0197665691376,7720,40,2,"(1280, 720)",19.902658725798016,622150.6891675,70.0,94.7897067037297,3092.0197665691376,93.06165199358296,13.184850470967769,"[13.632805614251284, 15.324015993023757, 19.902658725798016, 28.866589346212486]"
3092.0197665691376,1,5897.194653749466,452123,16,0,"(640, 360)",612.4350777001869,622150.6891675,91.97475078494628,0.0,8086.078743408239,844.9576793127857,16.799190783050857,"[612.4350777001869, 1231.8380956283422, 2045.9777043522197, 3935.044005102689]"
8989.214420318604,2,1000.0,231197,15,1,"(854, 480)",1847.7264258477264,622150.6891675,97.99865130508476,0.0,8581.180545191286,471.1677145026422,14.214506721505378,"[880.8222968808223, 1847.7264258477264, 3205.9108832059105, 6580.740678580741]"
9989.214420318604,3,3051.692485809326,769892,15,1,"(854, 480)",2006.405762580235,622150.6891675,97.35330300000001,0.0,10154.25245184387,1382.5986239175606,14.155257473563033,"[968.3204027968529, 2006.405762580235, 3254.7737004094165, 6119.627225272792]"
13040.90690612793,4,4288.843959569931,679603,15,0,"(640, 360)",1263.113386043365,622150.6891675,97.68678766304346,0.0,13198.925642814218,1214.165415158256,14.987618523255804,"[1263.113386043365, 2683.0112371245154, 4105.9237451629815, 7664.547857214546]"
17329.75086569786,5,3803.0441403388977,837689,23,2,"(1280, 720)",1761.7921428128263,704115.34116,99.53824803875968,0.0,15700.457659081563,1332.3202424252688,14.233834512642998,"[754.726584229892, 1185.7771851546504, 1761.7921428128263, 3427.943185295562]"
21132.79500603676,6,2197.287678718567,513610,15,1,"(854, 480)",1865.805225860298,704115.34116,98.33752213157891,0.0,17084.244918299577,847.8317367328954,16.058382190274834,"[859.7794389433848, 1865.805225860298, 3060.2496955320175, 6146.549680728652]"
23330.082684755325,7,1000.0,116734,15,0,"(640, 360)",932.9381289329381,704115.34116,96.95973169696968,0.0,17852.295585329535,254.51387230734957,14.36253456684209,"[932.9381289329381, 2092.889018092889, 3467.489043467489, 6532.508958532509]"
24330.082684755325,8,1933.2636296749115,667647,15,2,"(1280, 720)",2759.913996452173,704115.34116,98.66047796666663,0.0,18757.691546777758,1076.8297618602342,14.391042333751313,"[746.9431898097887, 1592.1135511394025, 2759.913996452173, 5573.000962656872]"
26263.346314430237,9,4710.549980401993,1279367,15,1,"(854, 480)",2160.1482966380204,706663.504095,98.4783591724138,0.0,21491.392632553925,1985.7190550512917,14.754351751877905,"[822.1134719171579, 2160.1482966380204, 3790.404998152202, 7236.30523898861]"
30973.89629483223,10,3234.6062660217285,1262067,15,1,"(854, 480)",3119.5172667360816,706663.504095,97.81225242957746,0.0,22640.729033679094,1962.7293214547742,14.997942389975119,"[1195.942618265633, 3119.5172667360816, 5246.989250966301, 9650.952706105538]"
34208.50256085396,11,1000.0,327786,16,1,"(854, 480)",2619.6657146196653,704795.9027900001,99.74296384536083,0.0,23073.452682597446,569.5571801297049,15.128402757042261,"[1117.0977851170976, 2619.6657146196653, 4091.2966120912965, 7776.6635597766635]"
35208.50256085396,12,1000.0,499813,15,1,"(854, 480)",3994.505499994505,704795.9027900001,99.84938000000001,0.0,23264.690897931967,826.484117296554,14.937279995463921,"[1690.3399696903398, 3994.505499994505, 6585.288126585288, 12088.027884088027]"
36208.50256085396,13,1000.0,544972,23,3,"(1920, 1080)",4355.416228355416,704795.9027900001,99.85262730000001,0.0,23289.173331457994,914.0771807379434,14.925705760000003,"[888.7983128887983, 1392.5420653925419, 2227.8019702278016, 4355.416228355416]"
37208.50256085396,14,1000.0,1357847,15,3,"(1920, 1080)",10851.913234851914,595580.80607125,99.85107293333334,0.0,21889.956906897205,2479.863489569805,14.940445709999995,"[1919.838241919838, 3705.267027705267, 5783.834381783835, 10851.913234851914]"
38208.50256085396,15,1291.676551103592,1524698,15,3,"(1920, 1080)",9373.376336450983,595580.80607125,99.87618073333333,0.0,20353.450728234726,2746.783518553387,14.955602522051285,"[1439.0398531930737, 3102.3844598597866, 5034.186556377042, 9373.376336450983]"
39500.17911195755,16,1000.0,1137650,15,3,"(1920, 1080)",9092.098809092098,609632.20164625,99.90118302564103,0.0,19362.980315470846,2044.342291230147,14.948714783333322,"[1444.554001444554, 3074.9459790749456, 4927.515556927515, 9092.098809092098]"
40500.17911195755,17,3904.3868482112885,1216377,22,2,"(1280, 720)",2471.512882907984,609632.20164625,99.85493190000001,0.0,20952.97823934598,2120.5086321754598,15.047307076488487,"[868.2033824951344, 1501.2448977985005, 2471.512882907984, 4760.942287183178]"
44404.56596016884,18,2031.8372249603271,1721607,15,2,"(1280, 720)",6766.761211357743,628265.2153025001,99.70775189830509,0.0,20256.880379965416,2939.363006624152,14.972177911639347,"[1880.1937142601657, 4161.12459215012, 6766.761211357743, 12518.512368027614]"
46436.403185129166,19,2583.7355256080627,2466844,15,2,"(1280, 720)",7582.697783718838,639074.07582375,99.92945183606558,0.0,18468.90576116933,4070.4274754564426,14.957059133246428,"[2202.5456821497555, 4675.024196928997, 7582.697783718838, 13721.425818689979]"
