TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,1000.0,39631,32,0,"(640, 360)",316.7309523167309,500000.0,70.0,166.46847181365322,1000.0,163.4336842105263,3.0056313199999893,"[316.7309523167309, 445.34620844534624, 876.1869368761869, 1659.8744656598744]"
1000.0,1,2872.5831508636475,352793,15,0,"(640, 360)",972.2488143765052,500000.0,75.00938553333332,0.0,2993.214037311975,822.7221052631579,16.487528544827576,"[972.2488143765052, 2046.8475867088912, 3478.3249733111993, 6860.186509848934]"
3872.5831508636475,2,3544.284462928772,448908,15,0,"(640, 360)",1005.8895249811146,500000.0,97.4792142413793,0.0,5439.045201383711,1025.0694736842106,16.68532104105919,"[1005.8895249811146, 2470.4712880405414, 3899.0554408572875, 7586.866642186499]"
7416.867613792419,3,1368.7830865383148,253063,21,1,"(854, 480)",1444.6286252114849,500000.0,98.6437659906542,0.0,6217.527719550903,551.9663157894893,15.745610193760243,"[844.6690133659102, 1444.6286252114849, 2318.8965899125237, 4560.887283511287]"
8785.650700330734,4,1000.0,273421,18,1,"(854, 480)",2185.1806341851807,625000.0,93.4672080952381,0.0,6663.671994031324,540.4985263157896,16.11230535732087,"[1098.132769098133, 2185.1806341851807, 3415.8207634158202, 6727.425846727425]"
9785.650700330734,5,1000.0,392115,15,1,"(854, 480)",3133.7830831337833,625000.0,95.06292126666666,0.0,6999.667824844237,679.721824561424,13.521924550476172,"[1454.1204254541203, 3133.7830831337833, 4954.36068495436, 9556.266177556265]"
10785.650700330734,6,2266.6943967342377,758067,15,1,"(854, 480)",2672.8545891113718,750000.0,96.44774226666664,0.0,8168.730743921665,1143.9536842105265,13.014996732156858,"[1171.7174922518748, 2672.8545891113718, 4350.6031020707505, 8680.2377854642]"
13052.345097064972,7,1000.0,204734,26,2,"(1280, 720)",1636.2341296362342,750000.0,95.86881476470587,0.0,8833.952718825467,367.3459649122807,14.722193283333311,"[659.7715686597716, 959.6553849596553, 1636.2341296362342, 3158.2625791582623]"
14052.345097064972,8,2726.979434490204,888015,17,1,"(854, 480)",2596.4696065779044,750000.0,93.45109796666665,0.0,11096.339319296036,486.7235406698278,13.54606874304162,"[1268.6668355220572, 2596.4696065779044, 4221.656690675564, 8676.5297220209]"
16779.324531555176,9,5140.390068292618,1102163,23,2,"(1280, 720)",1704.8682296568008,11000000.0,96.88825036585368,0.0,16052.087734827259,185.47014354066985,12.827872982688154,"[659.7297402335997, 1034.6029719795995, 1704.8682296568008, 3375.9999102833635]"
21919.714599847794,10,1000.0,545417,15,2,"(1280, 720)",4358.972668358972,11000000.0,95.28830463225803,0.0,16911.641415424412,132.19301435406697,13.85790026585368,"[1459.0115294590114, 2677.168154677168, 4358.972668358972, 8231.04072823104]"
22919.714599847794,11,2263.199746608734,896234,18,2,"(1280, 720)",3160.0150907738252,11000000.0,96.0607002,0.0,19009.740955770718,165.76401913875597,13.347906310303607,"[946.4594858559253, 1959.5052482749625, 3160.0150907738252, 6339.722231036927]"
25182.914346456528,12,1000.0,389529,20,2,"(1280, 720)",3113.115771113116,11000000.0,96.46122795588235,0.0,19894.980196758646,117.27550239234449,13.696350079999998,"[1070.4964330704963, 2075.4584660754585, 3113.115771113116, 6264.601134264602]"
26182.914346456528,13,5415.902823209763,4608516,15,2,"(1280, 720)",6778.759617060616,11000000.0,97.17070016666666,0.0,24754.856872497796,521.0063157894738,15.307856777417907,"[1655.6090235075123, 4346.1987375091285, 6778.759617060616, 13664.689014358388]"
31598.81716966629,14,1000.0,1444472,15,3,"(1920, 1080)",11544.22023554422,11000000.0,99.92329928834357,0.0,25543.726796005183,218.226985645933,15.118970843333333,"[1860.7294098607292, 3862.6534838626535, 6166.107726166108, 11544.22023554422]"
32598.81716966629,15,1000.0,511277,25,3,"(1920, 1080)",4086.125788086126,11000000.0,99.72673476666667,0.0,26410.980125091086,128.92602870813397,15.318513105010226,"[821.4816968214817, 1259.0916492590916, 2093.896010093896, 4086.125788086126]"
33598.81716966629,16,1000.0,467012,26,3,"(1920, 1080)",3732.3599077323597,11000000.0,99.20957236666669,0.0,27292.278061651672,121.91472266524333,15.274965950000002,"[787.4677447874677, 1181.745073181745, 1908.5695219085694, 3732.3599077323597]"
34598.81716966629,17,1000.0,696381,22,3,"(1920, 1080)",5565.476957565477,13500000.0,98.90353763333333,0.0,28145.70027826247,134.29871345029238,14.884379900000027,"[1116.9779051169778, 1813.8403458138405, 2872.4846428724845, 5565.476957565477]"
35598.81716966629,18,1711.3765478134155,2031504,15,3,"(1920, 1080)",9366.798304158683,13500000.0,98.65038493333333,0.0,29635.823164126337,238.40187134502924,14.494515056410243,"[1311.911694527246, 3205.937749990202, 4888.089688703843, 9366.798304158683]"
37310.193717479706,19,2474.165678024292,3037936,15,3,"(1920, 1080)",9711.671874119633,13500000.0,98.81804515384617,0.0,31769.658379267446,316.8761013645224,14.443756066666658,"[1608.1722978953471, 3232.9487716897843, 5006.673718273265, 9711.671874119633]"
39784.359395504,20,3840.2082920074463,3706382,17,3,"(1920, 1080)",7660.7085786804255,13500000.0,98.41325773333334,0.0,35242.817732662676,368.9966471734893,14.716423977122048,"[1134.011120420758, 2508.609012134492, 3911.96363708705, 7660.7085786804255]"
43624.567687511444,21,1000.0,619421,24,3,"(1920, 1080)",4950.412636950413,13500000.0,98.20324235344825,0.0,36106.798553396664,128.29793372319688,14.848347886666676,"[1107.6832091076833, 1667.259073667259, 2612.321066612321, 4950.412636950413]"
44624.567687511444,22,6865.018278360367,9320027,15,3,"(1920, 1080)",10847.425926087577,13500000.0,99.48278943333335,0.0,41958.7497237706,1008.9350187434738,14.69636884426681,"[1616.4503298154953, 3710.4688413830427, 5802.208468998508, 10847.425926087577]"
51489.58596587181,23,1000.0,1587624,15,3,"(1920, 1080)",12688.29102068829,9750000.0,99.1944884660194,0.0,42698.35213851945,251.40340080971657,14.927742876666665,"[1801.9882098019882, 4261.582156261582, 6815.034150815034, 12688.29102068829]"
52489.58596587181,24,1000.0,612214,25,3,"(1920, 1080)",4892.814292892814,9750000.0,99.7933697,0.0,43545.80945139972,146.09597840755737,14.74025291339807,"[1004.6903050046903, 1541.472985541473, 2483.625890483626, 4892.814292892814]"
53489.58596587181,25,3726.818174123764,6103826,15,3,"(1920, 1080)",13066.54892736823,9750000.0,99.43283626666668,0.0,46740.21625517449,523.8186706585018,14.93593774250001,"[2035.4106291827554, 4509.423692893095, 7139.42634202731, 13066.54892736823]"
57216.404139995575,26,1000.0,1961222,15,3,"(1920, 1080)",15674.086239674085,14875000.0,99.85879118750002,0.0,47519.794740648904,218.78616541353387,14.94901679333333,"[2471.19033847119, 5435.135429435135, 8529.66980052967, 15674.086239674085]"
58216.404139995575,27,4404.558211565018,3433463,25,3,"(1920, 1080)",6189.5271297234585,14875000.0,99.8205007,0.0,51584.67844159909,322.96951791242816,14.983128025610906,"[1256.2865456554655, 2127.1093078034, 3183.8956989894255, 6189.5271297234585]"
62620.96235156059,28,1000.0,1909243,15,3,"(1920, 1080)",15258.67007125867,14875000.0,99.94834524060151,0.0,52386.525052371726,215.1078637770898,14.927511930000003,"[2098.2356660982355, 5585.0173975850175, 8101.921976101922, 15258.67007125867]"
63620.96235156059,29,6495.816230773926,11631036,15,3,"(1920, 1080)",14300.805024877403,14875000.0,99.84927,0.0,57958.11341977836,929.1336109070672,14.978873789319465,"[2166.7675144282484, 4992.322916120739, 7730.67207950441, 14300.805024877403]"
70116.77858233452,30,1000.0,1599468,15,3,"(1920, 1080)",12782.948268782948,14375000.0,99.9389429025641,0.0,58773.35615910137,197.12351487414188,14.997176533333338,"[2241.875882241876, 4291.496212291496, 6878.019102878019, 12782.948268782948]"
71116.77858233452,31,4721.015691757202,7663732,15,3,"(1920, 1080)",12939.834797747859,14375000.0,99.70418693333333,0.0,59734.63092393502,725.3702475642525,15.042148131437337,"[1997.8172551656573, 4450.386665797115, 7065.952367535227, 12939.834797747859]"
75837.79427409172,32,1072.2348392009735,2074368,15,3,"(1920, 1080)",15071.227798358186,6250000.0,99.79358954225351,0.0,59901.83931955004,429.3672421052632,14.936311288484848,"[2639.8159660194656, 5497.450279311343, 8580.313704192438, 15071.227798358186]"
76910.0291132927,33,2125.9288489818573,3950369,15,3,"(1920, 1080)",14799.06849502381,375000.0,99.84454996969697,0.0,57485.731890548836,4899.484887295038,14.977186111399648,"[2309.2444797840662, 5118.61703447814, 8116.208664232541, 14799.06849502381]"
79035.95796227455,34,1968.6025381088257,1422227,25,3,"(1920, 1080)",5779.5457258455735,11750000.0,99.927575109375,0.0,59254.218298524625,207.41115341545353,15.050658876476632,"[1153.2864141905434, 1941.2638706514922, 2987.2637639785944, 5779.5457258455735]"
81004.56050038338,35,1000.0,1737073,15,3,"(1920, 1080)",13882.687429882686,11750000.0,99.58778218644068,0.0,59535.10995672022,235.61684210526317,15.017133359374995,"[1799.2149857992151, 4664.97036466497, 7085.195719085195, 13882.687429882686]"
82004.56050038338,36,2189.3537044525146,4039054,15,3,"(1920, 1080)",14672.782969046435,11750000.0,99.82088350000001,0.0,59830.171934269354,417.4765909456254,14.999667526810478,"[2130.961646570114, 5125.081168757452, 7872.454933743588, 14672.782969046435]"
84193.91420483589,37,3134.7714960575104,6034555,15,3,"(1920, 1080)",15391.966127525531,11000000.0,99.93074290909091,0.0,59937.21296392111,539.9894161678463,14.989059552127657,"[2341.562329625343, 5348.904979164475, 8307.188654761563, 15391.966127525531]"
87328.6857008934,38,1000.0,1725777,15,3,"(1920, 1080)",13792.409797792408,13375000.0,99.95191317021276,0.0,59704.014002155374,215.82111165764883,15.062967725757574,"[2026.771202026771, 4734.093172734093, 6917.57950291758, 13792.409797792408]"
88328.6857008934,39,1000.0,483391,29,3,"(1920, 1080)",3863.2608758632605,15125000.0,99.73555036666667,0.0,59591.509730190504,113.64182688125271,15.507313686879428,"[813.8413448138413, 1204.2105852042107, 2029.3925780293926, 3863.2608758632605]"
89328.6857008934,40,10000.0,17615422,15,3,"(1920, 1080)",14078.245276478247,12875000.0,98.88919896666667,0.0,59872.716078675745,1680.7865437934763,14.966067929333343,"[2084.7411740847415, 4851.167181651168, 7507.483409107484, 14078.245276478247]"
99328.6857008934,41,1000.0,1928507,15,3,"(1920, 1080)",15412.627959412626,13875000.0,99.89937161000002,0.0,59628.19839423689,226.30683736367948,15.027608763333333,"[2368.6130183686128, 5452.222325452222, 8317.841840317842, 15412.627959412626]"
100328.6857008934,42,1000.0,1597434,15,3,"(1920, 1080)",12766.692540766691,15375000.0,99.8608811,0.0,59954.008497492825,189.36646983311937,15.418437576666683,"[1884.3697458843696, 4556.742700556743, 6854.282862854282, 12766.692540766691]"
101328.6857008934,43,4557.512521743774,8071462,15,3,"(1920, 1080)",14125.647362924441,14500000.0,98.96186806666667,0.0,59782.99708994106,665.9500544464611,14.946540118248173,"[2114.9806682566077, 4974.400370315438, 7491.432299083967, 14125.647362924441]"
105886.19822263718,44,1000.0,610388,23,3,"(1920, 1080)",4878.220900878221,1875000.0,99.82868196350366,0.0,59829.582931499055,439.9396826907644,14.902796283333338,"[964.7782569647782, 1731.5387297315385, 2494.239266494239, 4878.220900878221]"
106886.19822263718,45,1371.2016344070435,1130454,23,3,"(1920, 1080)",6453.279254117843,1750000.0,98.11814356666666,0.0,59837.11071804656,389.29660404563884,14.932918089363925,"[1179.1171834471363, 2203.8745512526393, 3246.043066902336, 6453.279254117843]"
108257.39985704422,46,1000.0,1297249,21,3,"(1920, 1080)",10367.614018367614,15000000.0,99.85964380952382,0.0,59670.92788982489,171.03501754385968,15.075865783333334,"[1850.8113378508112, 3583.7326835837325, 5221.916861221917, 10367.614018367614]"
109257.39985704422,47,4615.530043840408,9302602,15,3,"(1920, 1080)",16045.985626042077,4000000.0,99.81280023333333,0.0,59599.11592734903,2082.9106401403433,14.993430090990065,"[2553.8167444341498, 5677.3878060039615, 8731.830362889288, 16045.985626042077]"
113872.92990088463,48,3659.5717072486877,6727310,15,3,"(1920, 1080)",14663.089520117635,5375000.0,99.96565745323741,0.0,59842.86787091557,896.4860261435133,15.042167137878806,"[2152.5631025161993, 4998.355191907446, 7781.360676144996, 14663.089520117635]"
