TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,6286.924384534359,186018,33,0,"(640, 360)",236.526186144308,365011.0,70.0,627.8919856752086,6286.924384534359,616.4452606979834,2.8313236728476623,"[236.526186144308, 352.7052528368078, 662.382163582402, 1268.9101314484699]"
6286.924384534359,1,2573.761463165283,756459,29,3,"(1920, 1080)",2342.583011946195,365011.0,74.71887278807944,0.0,6443.4711257913905,2261.503109711618,17.782975054838715,"[463.65218885834696, 692.5595732334932, 1184.5162818730685, 2342.583011946195]"
8860.685847699642,2,2704.4073045253754,893910,15,1,"(854, 480)",2640.4729403659003,365011.0,99.63829175806453,0.0,6296.68483422491,2660.7153184926215,17.479666801192057,"[1122.4085073733547, 2640.4729403659003, 4441.276608157121, 8810.0096996935]"
11565.093152225018,3,3216.1604464054108,384917,29,1,"(854, 480)",947.488,361557.0,99.9192568,0.0,8228.818779398176,1200.6415294785722,17.52888988626966,"[641.1446153846153, 947.488, 1650.7273846153846, 3125.787076923077]"
14781.253598630428,4,1899.89373087883,544277,15,2,"(1280, 720)",2271.7644744757436,361557.0,94.21880374358973,0.0,8422.975866594843,1664.5998221434984,16.70443787608695,"[628.7414558710511, 1386.9326283595428, 2271.7644744757436, 4619.502500956088]"
16681.14732950926,5,3153.8693606853485,676703,18,2,"(1280, 720)",1709.565293729969,361557.0,96.4296378478261,0.0,9574.109156320537,2050.142874756736,13.988210865114711,"[483.3548964889583, 1032.5102071041888, 1709.565293729969, 3418.3272191234505]"
19835.016690194607,6,1000.0,606081,17,3,"(1920, 1080)",4848.648,361557.0,97.35015206578947,0.0,8793.435578614719,1855.8215038998821,15.260275615217394,"[777.448, 1567.64, 2487.288, 4848.648]"
20835.016690194607,7,1000.0,735660,15,3,"(1920, 1080)",5885.28,359225.0,99.83873233333334,0.0,7755.952988941253,2235.693360340792,14.887578918421056,"[988.472, 1868.624, 3119.368, 5885.28]"
21835.016690194607,8,1000.0,709807,15,3,"(1920, 1080)",5678.456,359225.0,99.37099020833334,0.0,6697.602276476504,2156.3994821942633,15.64656908333334,"[721.824, 1636.664, 3052.768, 5678.456]"
22835.016690194607,9,1000.0,639510,15,3,"(1920, 1080)",5116.08,360519.0,98.3843265,0.0,5759.080092852062,1947.2203713330825,15.471291562500014,"[700.224, 1564.272, 2601.36, 5116.08]"
23835.016690194607,10,1359.2915534973145,249469,20,3,"(1920, 1080)",1451.456,360519.0,97.79939729166665,0.0,6259.509318952351,808.3914228332517,15.743613590909085,"[229.80654545454544, 420.0669090909091, 733.3061818181818, 1451.456]"
25194.30824369192,11,1000.0,126828,28,3,"(1920, 1080)",1014.624,360519.0,95.28142581818183,0.0,6811.00436361165,450.30824421108696,15.818601583333312,"[201.296, 285.752, 532.296, 1014.624]"
26194.30824369192,12,1000.0,336804,25,3,"(1920, 1080)",2694.432,360519.0,93.96159141666668,0.0,6770.4173657203,1063.3892979726159,14.991159518181806,"[499.048, 785.296, 1358.512, 2694.432]"
27194.30824369192,13,3932.811290025711,819785,18,1,"(854, 480)",1656.8287711013702,360519.0,99.19883683333332,0.0,8059.157702684578,2477.541159183184,14.202131854122815,"[817.8190162373908, 1656.8287711013702, 2774.2264230927512, 5573.327964069723]"
31127.119533717632,14,1000.0,178136,25,3,"(1920, 1080)",1425.088,359906.0,97.6638183263158,0.0,8477.701197800152,601.0015363660746,16.603377604166646,"[279.496, 403.688, 767.928, 1425.088]"
32127.119533717632,15,3094.567596912384,914151,15,1,"(854, 480)",2340.22656,359906.0,95.19091845833334,0.0,8744.608070927163,2746.2765366638228,14.672350279368413,"[1085.91616, 2340.22656, 3773.3887999999997, 7297.53856]"
35221.687130630016,16,3141.6824758052826,1030242,15,1,"(854, 480)",2602.7163576088046,365051.0,99.06455351999999,0.0,8915.959629678006,3050.7226200117098,14.879390177850901,"[1081.932517691314, 2602.7163576088046, 4396.521642471406, 8626.874881381591]"
