TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,1000.0,23585,30,0,"(640, 360)",188.68,417923.2234875,70.0,141.99259349520966,1000.0,139.40401105806518,7.165722174999999,"[188.68, 275.184, 510.344, 978.28]"
1000.0,1,1000.0,110772,20,1,"(854, 480)",886.176,417923.2234875,81.94287029166667,0.0,1616.2778166837234,359.0036511733726,14.469777824999994,"[489.992, 886.176, 1608.824, 3203.424]"
2000.0,2,3663.5730266571045,585471,15,0,"(640, 360)",1277.3911566008042,417923.2234875,94.11629637499999,49.65483390967506,3663.5730266571045,1554.637513596628,16.454974509469693,"[1277.3911566008042, 2951.914640735033, 4918.47664377485, 9814.742380477965]"
5663.5730266571045,3,1385.5578899383545,247720,15,0,"(640, 360)",1398.8890826143336,417923.2234875,99.41543589772726,0.0,4296.304908227889,703.9373169092178,15.51154890367647,"[1398.8890826143336, 3364.370031912934, 5400.230258769351, 10574.674217723714]"
7049.130916595459,4,2527.919828891754,493747,25,2,"(1280, 720)",1554.0887142178735,417923.2234875,99.87196423529412,0.0,5467.9042564153715,1323.610440868624,14.981369383997768,"[604.9037895208146, 967.4469550889239, 1554.0887142178735, 3263.1497359803625]"
9577.050745487213,5,2853.271782398224,539682,26,2,"(1280, 720)",1501.7238260869565,417923.2234875,99.87152162295082,0.0,6915.150258137304,1439.3078437921863,15.242021017902808,"[605.0031304347826, 915.9151304347826, 1501.7238260869565, 2975.5241739130433]"
12430.322527885437,6,4433.694243431091,871007,20,1,"(854, 480)",1562.9285654526032,417923.2234875,99.25988643478262,0.0,9380.641939265877,2051.264580371791,16.494101898651742,"[887.2069448379025, 1562.9285654526032, 2496.342915614424, 4877.894944141679]"
16864.01677131653,7,1035.1026058197021,602664,15,3,"(1920, 1080)",4628.458038893427,469024.1992925,96.75483944859816,0.0,9110.192010595323,1432.559545651744,15.697355214782625,"[568.8650979631688, 1337.433172021385, 2357.198605696446, 4628.458038893427]"
17899.11937713623,8,1000.0,278055,21,3,"(1920, 1080)",2224.44,469024.1992925,97.12506243999998,0.0,9438.164611975515,704.0391735132606,13.490991305140183,"[399.656, 704.104, 1147.776, 2224.44]"
18899.11937713623,9,5393.013387918472,614361,20,1,"(854, 480)",907.363882623761,469024.1992925,96.94412541666667,0.0,13364.39480294544,1473.3646824134605,13.570454001538415,"[480.41055505165815, 907.363882623761, 1475.2525861383021, 2995.7610464147047]"
24292.132765054703,10,2573.124974966049,981167,18,3,"(1920, 1080)",3038.4530372197464,460741.55542125,97.10921687692313,0.0,13470.952614981934,2321.619745969669,13.572293919623672,"[451.8813486298514, 912.5513435550121, 1527.2084551236715, 3038.4530372197464]"
26865.257740020752,11,2872.0936477184296,939226,19,2,"(1280, 720)",2613.498434782609,460741.55542125,97.1111774354839,0.0,14084.454506487511,2267.672800531816,14.90905206013377,"[807.7078260869565, 1605.5318260869565, 2613.498434782609, 5365.826782608695]"
29737.35138773918,12,2937.9585087299347,958466,22,3,"(1920, 1080)",2591.908348384039,410685.10755874997,99.36662291304347,0.0,14540.151716577839,2536.654892953575,13.626715491821933,"[452.7171214329151, 743.8080838093615, 1303.8532173355736, 2591.908348384039]"
32675.309896469116,13,1000.0,804105,15,3,"(1920, 1080)",6432.84,410685.10755874997,96.96892388732392,0.0,13255.231592276607,2141.010492493667,14.744923908695649,"[1014.472, 2048.944, 3362.824, 6432.84]"
33675.309896469116,14,6666.268467903137,1880046,15,1,"(854, 480)",2256.0550871972455,410685.10755874997,99.46931033333333,0.0,14472.044760696286,5632.632844994644,14.36460277626759,"[974.0699512965024, 2256.0550871972455, 3832.928208353589, 7547.824422608779]"
40341.57836437225,15,1000.0,591837,15,3,"(1920, 1080)",4734.696,354568.26405750006,98.43582527499997,0.0,13640.449509501499,1778.8792766790639,15.855178812499993,"[570.016, 1251.984, 2262.072, 4734.696]"
41341.57836437225,16,1897.3169326782227,801191,23,3,"(1920, 1080)",3344.1009836346116,409315.22316625004,97.22826304166666,0.0,13453.75566077403,2140.4143203974536,14.435614255108693,"[634.5974548526166, 1029.2116470936267, 1671.781274472822, 3344.1009836346116]"
43238.895297050476,17,4865.248262882233,925085,22,1,"(854, 480)",1518.0882051282053,409315.22316625004,98.79866130434782,0.0,15635.657624595842,2458.5578207888266,13.701734962499971,"[947.9286153846153, 1518.0882051282053, 2461.4596923076924, 4707.587282051282]"
48104.14355993271,18,4921.405673027039,937885,29,3,"(1920, 1080)",1513.2263202168956,444095.43766,97.37426877777773,0.0,18419.6692228815,2303.052264673096,15.507334703507482,"[303.5939699895106, 439.647760648589, 787.0015991261579, 1513.2263202168956]"
53025.54923295975,19,1000.0,1011000,15,3,"(1920, 1080)",8088.0,444095.43766,96.58265320168067,0.0,16760.020243464336,2476.3554589150053,14.762986872222209,"[901.712, 2314.776, 4290.336, 8088.0]"
54025.54923295975,20,4443.132400512695,1866458,15,2,"(1280, 720)",3349.1585307782084,444095.43766,99.16735624999997,0.0,16817.326656059275,4409.098935817319,14.910993827495465,"[886.8355055577948, 2058.608004381907, 3349.1585307782084, 6476.775960880446]"
58468.68163347244,21,2480.538070201874,1286645,15,2,"(1280, 720)",4117.264,454205.45212750003,99.28209857943922,0.0,15677.607538092258,3414.7501793129527,15.21039425833331,"[1239.6928, 2483.6544, 4117.264, 8117.4848]"
60949.21970367432,22,1000.0,742148,23,3,"(1920, 1080)",5937.184,395868.98888625,97.91392398333332,0.0,14615.796430484817,2053.4014105285373,14.935766117056074,"[1285.16, 1957.192, 3059.16, 5937.184]"
61949.21970367432,23,1758.5745751857758,1205324,15,2,"(1280, 720)",5381.9108126677565,395868.98888625,99.77329329166666,0.0,12968.978356616797,3287.7697089196186,15.150496485387595,"[1659.245830837985, 3368.219652424251, 5381.9108126677565, 10641.513182974291]"
63707.79427886009,24,1000.0,1049398,17,3,"(1920, 1080)",8395.184,395458.46884375,99.90314813953488,0.0,10970.440194001343,2871.8149321433893,14.931949095833335,"[1440.64, 2754.624, 4605.664, 8395.184]"
64707.79427886009,25,1000.0,803479,15,2,"(1280, 720)",6427.832,404178.44788875,99.848797375,0.0,9762.242325533382,2172.5592961202374,14.984850972868216,"[1963.368, 3915.472, 6427.832, 11869.312]"
65707.79427886009,26,1000.0,865050,19,3,"(1920, 1080)",6920.4,404178.44788875,99.83659433333332,0.0,8411.891457965039,2332.913167747771,14.937094104166668,"[1266.864, 2141.448, 3486.4, 6920.4]"
66707.79427886009,27,1000.0,237200,30,3,"(1920, 1080)",1897.6,404178.44788875,99.82340654166667,0.0,8678.0439079764,697.7573589847652,15.69092177083332,"[370.128, 549.504, 961.752, 1897.6]"
67707.79427886009,28,1000.0,584064,20,3,"(1920, 1080)",4672.512,404178.44788875,98.291345125,0.0,8225.969785706897,1576.317032503491,14.924486520833334,"[880.296, 1521.232, 2438.08, 4672.512]"
68707.79427886009,29,3251.7533600330353,1061425,15,1,"(854, 480)",2579.665561552855,413016.12604625,99.84471195833333,0.0,8762.746250557642,2729.387834034057,15.060684662183549,"[1073.99199250714, 2579.665561552855, 4337.2212316738, 8089.950775701188]"
71959.54763889313,30,1000.0,622471,15,2,"(1280, 720)",4979.768,431713.83563125,99.81636529113925,0.0,8306.64203167526,1553.5648266131234,14.930415937499994,"[1404.4, 3092.264, 4979.768, 9179.776]"
72959.54763889313,31,1000.0,593727,22,3,"(1920, 1080)",4749.816,488769.013455,99.82859204166668,0.0,7883.59006115224,1358.6730997038228,14.915019145305912,"[899.656, 1479.936, 2390.976, 4749.816]"
73959.54763889313,32,1000.0,874703,17,3,"(1920, 1080)",6997.624,488769.013455,99.80269229166667,0.0,7033.577998677583,1961.1918918020754,14.921962595833332,"[1151.672, 2247.928, 3793.568, 6997.624]"
74959.54763889313,33,1000.0,785603,16,3,"(1920, 1080)",6284.824,489599.0049,99.84136966666667,0.0,6388.797584506164,1774.2211398034526,14.91394018750001,"[1079.832, 1997.128, 3326.432, 6284.824]"
75959.54763889313,34,1000.0,849838,20,3,"(1920, 1080)",6798.704,488066.48945,99.77750420833333,0.0,4408.13296308118,3089.321618719099,14.947553645833331,"[1426.496, 2366.096, 3711.552, 6798.704]"
76959.54763889313,35,1000.0,414158,27,3,"(1920, 1080)",3313.264,278871.20178,99.78763204166667,0.0,3880.472598822231,1642.7604164764487,14.925954479166663,"[737.48, 1056.488, 1766.936, 3313.264]"
77959.54763889313,36,1000.0,375906,15,2,"(1280, 720)",3007.248,279019.52765249996,99.70309945833333,0.0,3465.5268831503804,1498.1463557224404,15.17741316666666,"[843.624, 1826.672, 3007.248, 6000.68]"
78959.54763889313,37,6237.130850553513,528114,16,0,"(640, 360)",675.9859200000001,279019.52765249996,99.22043775000002,0.0,7674.855912052392,2074.906778142666,15.595335148333362,"[675.9859200000001, 1495.36128, 2488.53504, 4911.82592]"
