TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,1000.0,3268,40,0,"(640, 360)",26.117856026117853,5831820.0,70.0,82.08633440686634,1000.0,80.58986731414893,10.075334280000002,"[26.117856026117853, 27.604368027604366, 34.25371203425371, 45.78616804578616]"
1000.0,1,1000.0,9440,24,3,"(1920, 1080)",75.44448007544447,5831820.0,86.7922238,0.0,1912.670528406453,81.70390068713766,15.604224719999994,"[32.83113603283113, 38.14581603814582, 52.66728005266728, 75.44448007544447]"
2000.0,2,3192.612260580063,53140,27,2,"(1280, 720)",132.71715841924475,5831820.0,96.00704119999999,0.0,5009.277339196819,89.59166128331519,13.796032851249931,"[59.86507879769094, 82.50491773390571, 132.71715841924475, 238.0292475999804]"
5192.612260580063,3,1000.0,123083,18,0,"(640, 360)",983.6793369836794,5831820.0,95.79209205208322,0.0,5899.962156808303,102.21622969014457,14.217412819999991,"[983.6793369836794, 1771.8663617718662, 2781.695522781695, 5323.766909323766]"
6192.612260580063,4,1209.9322080612183,146474,15,0,"(640, 360)",949.1514440678843,5831820.0,98.03019489999998,0.0,7000.825726622781,106.43825733557223,14.419222956953844,"[949.1514440678843, 1917.4059266075258, 3152.7271077818314, 6034.14311726855]"
7402.544468641281,5,1000.0,106492,15,0,"(640, 360)",851.084064851084,5831820.0,98.33072027027028,0.0,7903.898504613799,99.22158813290932,14.034070083333312,"[851.084064851084, 1707.6906017076906, 2765.3758587653756, 5494.324181494325]"
8402.544468641281,6,1000.0,188315,16,1,"(854, 480)",1505.0134815050135,5831820.0,97.99224963333334,0.0,8794.523857541055,113.99047223499247,14.881629253603599,"[720.7105687207106, 1505.0134815050135, 2533.735730533736, 4889.577532889578]"
9402.544468641281,7,1677.5737404823303,185646,15,0,"(640, 360)",872.7544540701016,5831820.0,96.89818203333336,0.0,10368.652263618764,113.50872319537694,14.03506130725489,"[872.7544540701016, 1816.571879212694, 3135.674753864072, 5769.047694602228]"
11080.118209123611,8,1000.0,309528,23,3,"(1920, 1080)",2473.747778473748,5831820.0,98.05714378431371,0.0,11238.960893014046,135.86917075088414,13.566191256666663,"[481.1983204811983, 741.9373207419372, 1264.3104252643104, 2473.747778473748]"
12080.118209123611,9,4239.082008600235,1278082,15,1,"(854, 480)",2394.0071244302776,5831820.0,97.0933491,0.0,15168.739565622282,310.6911862307496,14.196100402818626,"[1155.3096767033378, 2394.0071244302776, 3685.3562379037107, 7026.452737080239]"
16319.200217723846,10,1000.0,1313058,15,3,"(1920, 1080)",10493.95954649396,5831820.0,98.33635796875,0.0,15831.943518159518,317.004282674958,15.196331030000003,"[1787.0351777870353, 3783.4207957834205, 5652.997349652997, 10493.95954649396]"
17319.200217723846,11,1695.5802142620087,1524427,17,3,"(1920, 1080)",7166.599087266748,5831820.0,99.84277656666667,0.0,17173.790022969064,355.155954744831,14.963336791360287,"[1328.251362459467, 2602.3639861738425, 3772.331465791308, 7166.599087266748]"
19014.780431985855,12,2437.2498989105225,2055184,15,3,"(1920, 1080)",6658.795627296349,5831820.0,99.66162098039214,0.0,19203.699150041095,416.2667977581077,15.682111931531523,"[968.9251624859869, 2299.382456049403, 3611.20975110322, 6658.795627296349]"
21452.030330896378,13,1357.3638498783112,514223,21,3,"(1920, 1080)",3007.0751113823844,6548580.0,98.3213292702703,0.0,20387.4726604825,162.65721246759642,16.040389004782384,"[569.693026859693, 963.0455361156696, 1531.80291439912, 3007.0751113823844]"
22809.39418077469,14,2334.1085016727448,1190679,19,3,"(1920, 1080)",4078.2456760782457,6548580.0,97.24246395121952,0.0,22459.014965650724,271.39207519637444,14.320690348841737,"[679.4010623936867, 1255.2600561124027, 2070.8584992137157, 4078.2456760782457]"
25143.502682447433,15,1703.476369380951,995167,15,3,"(1920, 1080)",4588.486445488015,6548580.0,98.00127784285712,0.0,23915.415026335995,239.9650932761478,14.065362943339593,"[568.8583963279825, 1374.0556566082712, 2352.276683104063, 4588.486445488015]"
26846.979051828384,16,1000.0,566380,15,3,"(1920, 1080)",4526.508964526509,6548580.0,97.98268223076924,0.0,24748.881216073536,171.04103083175443,14.263385259523787,"[714.6206647146207, 1458.1164254581165, 2443.3062504433065, 4526.508964526509]"
27846.979051828384,17,4955.749481916428,5491026,15,3,"(1920, 1080)",8835.761573952086,6548580.0,97.47578516666667,0.0,28575.36502800301,1034.6651662764932,14.803001708466702,"[1009.1949574767915, 2683.4214397749797, 4690.285173618837, 8835.761573952086]"
32802.72853374481,18,2495.262861251831,2965369,15,3,"(1920, 1080)",9479.68973463768,5929560.0,99.33544988590604,0.0,30533.127059161314,579.1596966789305,15.220524275333332,"[1356.6768950926332, 3128.8418035862496, 5104.150524494876, 9479.68973463768]"
35297.99139499664,19,6121.341228485107,5601897,18,3,"(1920, 1080)",7299.515121249006,6548580.0,99.94683798666667,0.0,35512.705621809335,1063.0764556571721,15.051615397278953,"[1192.7955379883583, 2416.3520223967107, 3821.972341925765, 7299.515121249006]"
41419.33262348175,20,3837.571144104004,3690930,19,3,"(1920, 1080)",7628.77089148095,4333140.0,99.9752673097826,0.0,38356.88343032645,998.6646781815477,14.981876745287366,"[1314.3416533674783, 2474.709840004113, 3988.31479972934, 7628.77089148095]"
45256.903767585754,21,1000.0,754674,20,3,"(1920, 1080)",6031.354614031355,3746700.0,99.9299224827586,0.0,39047.2838463143,292.0248976994492,15.055962376449258,"[966.3686649663686, 2036.6173460366172, 3104.5563391045566, 6031.354614031355]"
46256.903767585754,22,1000.0,569308,26,3,"(1920, 1080)",4549.909540549909,3746700.0,99.83860986666667,0.0,39806.35463906253,239.94650731239983,15.021620032758598,"[988.2507609882507, 1520.8216575208216, 2304.0136823040134, 4549.909540549909]"
