TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,7610.7726991176605,174079,38,1,"(854, 480)",182.25843982717387,1058828.0,70.0,263.95143900246114,7610.7726991176605,253.06026345315667,3.318326600436677,"[125.19451054276588, 182.25843982717387, 369.5591687656574, 715.4689964918085]"
7610.7726991176605,1,1000.0,348889,15,1,"(854, 480)",2788.320890788321,1058828.0,63.363346799126646,0.0,8175.15259725903,426.84724898413003,15.219575300000002,"[1273.3333932733333, 2788.320890788321, 4599.747652599747, 8810.748440810747]"
8610.77269911766,2,1000.0,76391,30,1,"(854, 480)",610.5168726105169,1058828.0,95.36595883333334,0.0,9017.808796751166,155.94394835362158,8.76162340008733,"[420.4910884204911, 610.5168726105169, 1090.6362730906362, 2053.72022605372]"
9610.77269911766,3,1000.0,381201,15,1,"(854, 480)",3046.5583950465584,1058828.0,83.49659679999999,0.0,9565.846676166748,458.97015428975794,13.228105276666687,"[1533.7047615337049, 3046.5583950465584, 4984.490524984491, 9516.777705516777]"
10610.77269911766,4,2511.2069845199585,774364,16,1,"(854, 480)",2442.9148351117506,1058828.0,96.27450193333337,0.0,11537.89841000484,523.8693595665144,14.013273712105269,"[1081.1063189778338, 2442.9148351117506, 3967.274334754674, 7796.614099545363]"
13121.979683637619,5,1924.9546825885773,2281085,15,3,"(1920, 1080)",9429.531501822228,1883156.0,95.60488898684211,0.0,12239.431666040517,1238.8858912327291,14.057431044597687,"[1315.4925749340273, 2963.842235885554, 4867.507307769618, 9429.531501822228]"
15046.934366226196,6,2437.4188780784607,1535303,22,3,"(1920, 1080)",4974.381322049494,2261944.0,97.8081353965517,0.0,13873.44316259756,745.0307917311093,13.880068590504965,"[912.7273669818105, 1465.749962740003, 2418.241846540652, 4974.381322049494]"
17484.353244304657,7,5952.822327613831,2695557,22,3,"(1920, 1080)",3610.540667199206,2722960.0,97.40092914864863,0.0,18174.63756390307,1511.4658414210587,14.724669734540512,"[699.0303616207175, 1121.1459457033984, 1818.1403563818274, 3610.540667199206]"
23437.175571918488,8,4624.304622411728,6712810,15,3,"(1920, 1080)",11578.873606583567,1149844.0,96.16693132402239,0.0,19546.612608675023,3329.9565123304637,14.459020523984051,"[1289.1464823734343, 3498.4039356865314, 5719.894324479389, 11578.873606583567]"
28061.480194330215,9,1978.2912135124207,1803203,21,3,"(1920, 1080)",7205.599195205599,1722744.0,98.66518906474819,0.0,20507.313535031753,961.4920274886284,15.31850607759775,"[1118.4524291184523, 2329.032638329032, 3416.8517314168516, 7205.599195205599]"
30039.771407842636,10,1000.0,1143849,19,3,"(1920, 1080)",9141.641217141641,2193896.0,99.89199868333331,0.0,20972.010950208736,532.2268543735245,15.034258833525179,"[1605.6567376056566, 2990.934074990934, 4628.510860628511, 9141.641217141641]"
31039.771407842636,11,3601.6440391540527,3392711,19,3,"(1920, 1080)",7531.817591500066,3016064.0,99.83462956666666,0.0,23374.190175858592,1183.3605634727214,14.96530088240739,"[1257.9650816238411, 2478.8939073216707, 3852.174656260788, 7531.817591500066]"
34641.41544699669,12,1000.0,1351999,15,3,"(1920, 1080)",10805.176018805176,3690288.0,99.85339560185184,0.0,23868.905162241223,465.6492615495764,15.354799516666667,"[1798.16004179816, 3653.1511956531513, 5716.773509716773, 10805.176018805176]"
35641.41544699669,13,1000.0,505780,23,3,"(1920, 1080)",4042.1937640421934,3690288.0,98.9596601,0.0,24663.87537820077,224.2705826753901,16.296027368518516,"[807.7914008077914, 1244.9777772449777, 2089.7161940897163, 4042.1937640421934]"
36641.41544699669,14,1000.0,554597,23,3,"(1920, 1080)",4432.339228432339,3690288.0,97.11473646666666,0.0,25445.46556431602,238.0680809443944,14.704513666666656,"[916.2748089162748, 1413.8007854138007, 2266.603130266603, 4432.339228432339]"
37641.41544699669,15,2459.664046764374,3053989,15,3,"(1920, 1080)",9894.923568406115,3699852.125,98.51029286666667,0.0,27047.301194562195,948.8793915399781,14.242257056036046,"[1610.0789911936806, 3213.8335028933193, 5007.3159194147265, 9894.923568406115]"
40101.07949376106,16,1000.0,961929,15,3,"(1920, 1080)",7687.736575687736,3699852.125,98.25621783783785,0.0,27605.38784660227,414.3491949167039,15.056842383333347,"[1132.4504171324502, 2539.9854745399853, 4010.185804010186, 7687.736575687736]"
41101.07949376106,17,1847.8478789329529,2069963,17,3,"(1920, 1080)",8862.39968745568,2806646.625,96.90690096666665,0.0,28550.875706661638,854.806006577196,14.400397919787645,"[1484.8809361344584, 2937.7110945205736, 4583.685079487405, 8862.39968745568]"
42948.927372694016,18,1363.600254058838,1389292,17,3,"(1920, 1080)",8124.306761157427,2965196.0,98.71003283928572,0.0,29298.865749410117,573.1925685785855,14.837108571626013,"[1273.0493006392383, 2723.1116162963667, 4328.456508788153, 8124.306761157427]"
44312.52762675285,19,2503.1858384609222,4084471,15,3,"(1920, 1080)",12885.432173349649,2965196.0,99.2129977804878,0.0,30421.51700545109,1259.9295079362348,15.083934955545107,"[1877.2610099338729, 4429.99224329017, 6915.489719697666, 12885.432173349649]"
46815.713465213776,20,2335.7162177562714,2508128,15,3,"(1920, 1080)",8469.699911694039,4108667.9999999995,99.92489706578947,0.0,31864.530775232804,842.3058464438561,15.306488555135687,"[1413.3005999064599, 2900.2243950704, 4538.868974553362, 8469.699911694039]"
49151.42968297005,21,1488.8612926006317,894257,22,3,"(1920, 1080)",4764.599714152895,3045180.0,97.81301845070422,0.0,32967.270837623524,389.1190530263356,15.360693532456139,"[891.1396721416289, 1569.1061350567632, 2475.942089987226, 4764.599714152895]"
50640.29097557068,22,4143.480569124222,6499348,15,3,"(1920, 1080)",12466.26792985007,3045180.0,99.12840706666665,0.0,34952.87866325266,2043.2353192796947,15.14574519172957,"[1860.7291867965143, 4182.779575711164, 6645.02625131928, 12466.26792985007]"
54783.7715446949,23,1000.0,624551,26,3,"(1920, 1080)",4991.411596991411,3320072.0,99.87841172799999,0.0,35696.089293352896,278.0144121161101,14.94948645333334,"[1024.838137024838, 1668.6976336686976, 2603.138258603138, 4991.411596991411]"
55783.7715446949,24,1000.0,1859682,15,3,"(1920, 1080)",14862.578558862579,3320072.0,99.77054526666667,0.0,36071.34575952204,607.7365111628691,14.966330861333319,"[2462.4710664624713, 5147.351501147351, 8177.63019217763, 14862.578558862579]"
56783.7715446949,25,1708.7337672710419,3285086,15,3,"(1920, 1080)",15146.776956292202,3766999.0,99.82416173333334,0.0,36863.1584324519,987.3479763294255,14.969551277179493,"[2387.3969204665177, 5261.405316679231, 8306.062932403802, 15146.776956292202]"
58492.50531196594,26,3426.176071166992,7073526,15,3,"(1920, 1080)",16465.520823331208,3875708.0,99.91100967307693,0.0,38225.64801638631,1895.144148040205,14.98531327521035,"[2491.9654210203184, 5828.693802611172, 8931.407106090894, 16465.520823331208]"
61918.681383132935,27,1000.0,1869514,15,3,"(1920, 1080)",14941.155902941156,6173325.375,99.94621574757281,0.0,38825.129254431304,398.77624361962467,14.99220127307693,"[2470.151378470151, 5188.90990118891, 8156.763080156763, 14941.155902941156]"
62918.681383132935,28,1000.0,1894162,15,3,"(1920, 1080)",15138.14271913814,6173325.375,99.8376168,0.0,39429.02809897834,402.97904544551983,15.023349280906146,"[2022.3915860223915, 5474.767757474768, 7936.751311936751, 15138.14271913814]"
63918.681383132935,29,1000.0,1696511,15,3,"(1920, 1080)",13558.515925558515,6173325.375,99.84573293333332,0.0,40077.13993716952,369.2770013165844,14.94267411666668,"[1888.2458658882458, 4807.651540807651, 7313.766919313767, 13558.515925558515]"
64918.681383132935,30,1000.0,1863529,15,3,"(1920, 1080)",14893.323782893323,6173325.375,99.78988536666665,0.0,40657.568609289796,397.7557239454936,14.92698450666667,"[2032.0459220320458, 5293.06963729307, 7909.035055909035, 14893.323782893323]"
65918.68138313293,31,1000.0,1535755,16,3,"(1920, 1080)",12273.753972273755,6173325.375,99.85259633333334,0.0,41318.70072122838,341.86603043360816,14.973831849999982,"[2035.1388260351387, 4410.281308410281, 6673.6316946736315, 12273.753972273755]"
66918.68138313293,32,2098.376125097275,3134569,17,3,"(1920, 1080)",11929.274602279052,6173325.375,99.63210703333334,0.0,42685.28266014266,721.9135077673685,14.964849966666666,"[1963.0902782072424, 4034.6129731097735, 6355.234902968553, 11929.274602279052]"
69017.05750823021,33,1000.0,1262080,19,3,"(1920, 1080)",10086.543370086543,4746256.0,99.91684933333333,0.0,43360.01479893885,359.9059433704998,14.867401716666667,"[1837.4886738374885, 3544.404051544404, 5396.981621396982, 10086.543370086543]"
70017.05750823021,34,2896.110415458679,4143223,15,3,"(1920, 1080)",11418.150727048062,4746256.0,99.71768736666667,0.0,45218.960923819905,1013.323722615884,15.073837850574705,"[1697.9775073435112, 3713.1574840771464, 6094.867103723412, 11418.150727048062]"
72913.16792368889,35,1000.0,1376248,15,3,"(1920, 1080)",10998.974026998974,4645208.0,99.68602296551725,0.0,45818.309696588025,391.8659283423171,14.885840366666663,"[1888.197913888198, 3949.062987949063, 6168.257574168258, 10998.974026998974]"
73913.16792368889,36,2992.36524105072,5371629,16,3,"(1920, 1080)",14310.01967031002,4645208.0,99.663694,0.0,47149.38074925543,1623.3297023158507,14.996156056781606,"[2364.0336023640334, 5144.458397144458, 7949.285431949284, 14310.01967031002]"
76905.53316473961,37,1000.0,1606680,17,3,"(1920, 1080)",12840.586572840586,4687639.625,99.94126392222222,0.0,47669.473452758066,440.78756913041457,14.9372294,"[2028.7292420287292, 4429.366204429366, 6868.077054868077, 12840.586572840586]"
77905.53316473961,38,4035.3572368621826,6571182,16,3,"(1920, 1080)",13020.7147175724,4687639.625,99.83933133333333,0.0,49632.821185624474,1999.3065992217598,14.985278880899905,"[1948.99106373925, 4474.727737431115, 6976.187226786936, 13020.7147175724]"
81940.89040160179,39,6785.902500152588,6181673,22,3,"(1920, 1080)",7265.283707911801,3511540.0,99.91197008264463,0.0,54308.44541198685,2171.288036738283,14.956146493137267,"[1287.1526987616955, 2459.0266772658606, 3664.71034069278, 7265.283707911801]"
88726.79290175438,40,3848.1197357177734,6828275,15,3,"(1920, 1080)",14113.338795107758,2865304.0,99.90013271078433,0.0,55402.680503100135,2789.008325624883,15.041532819713595,"[1958.2667728018102, 4774.479613552331, 7441.871760946866, 14113.338795107758]"
92574.91263747215,41,1758.180022239685,2828678,15,3,"(1920, 1080)",12796.299552994598,2412636.625,99.74087452586207,0.0,56188.34513682508,935.5371243700193,14.962716512671129,"[1874.8328324196252, 4316.250243859684, 6701.509526784983, 12796.299552994598]"
94333.09265971184,42,1000.0,1963982,15,3,"(1920, 1080)",15696.144159696143,4359980.0,99.87483239622641,0.0,56682.92175980053,554.1648983904079,14.923867347413786,"[2289.292418289292, 5585.113301585113, 8347.548104347548, 15696.144159696143]"
95333.09265971184,43,1743.675708770752,3070001,15,3,"(1920, 1080)",13887.990228648496,4359980.0,99.82992466666666,0.0,57545.81826287201,852.3504681043967,14.95785903584905,"[2096.8279863268936, 4891.6561818783275, 7372.1499517935345, 13887.990228648496]"
97076.76836848259,44,3895.5883979797363,7173913,15,3,"(1920, 1080)",14701.002893513776,4170133.8750000005,99.90890379245282,0.0,59400.28653531455,1973.760469216464,14.922775760683749,"[2327.0900104100924, 5187.119355393986, 8036.793937555842, 14701.002893513776]"
100972.35676646233,45,1000.0,1678459,15,3,"(1920, 1080)",13414.244341414245,3643452.0,99.81429781196582,0.0,59846.88324281033,587.4292430910987,15.052653825786145,"[1925.009065925009, 4770.097132770097, 7096.064839096065, 13414.244341414245]"
101972.35676646233,46,2310.004562139511,4453986,15,3,"(1920, 1080)",15255.538348969823,2941336.0,99.71249993333335,0.0,59911.70839061839,1885.080148300917,14.972179384517702,"[2476.1145521904, 5414.099343699813, 8236.663671093806, 15255.538348969823]"
104282.36132860184,47,1000.0,779817,22,3,"(1920, 1080)",6232.297470232298,1749704.0,99.92268194285714,0.0,59882.83739804757,549.1422091965269,15.011173233333345,"[1167.1516811671515, 2097.5883140975884, 3141.910947141911, 6232.297470232298]"
105282.36132860184,48,4241.062819957733,7654622,15,3,"(1920, 1080)",14338.062505238897,1446502.5,99.4026534,0.0,59060.403108981336,5205.384682077453,15.137839196763395,"[2066.2908241702407, 4987.81485472278, 7654.247380786141, 14338.062505238897]"
109523.42414855957,49,1000.0,1596441,17,3,"(1920, 1080)",12758.756484758755,524372.0,99.56968549218749,0.0,58723.279995441386,1318.6106714254302,14.951754740000002,"[2046.1198340461199, 4395.719884395719, 6774.818406774818, 12758.756484758755]"
110523.42414855957,50,1742.4351871013641,3499012,15,3,"(1920, 1080)",15828.738969767055,1889896.0,99.82003346666667,0.0,56902.02567286144,3607.9945911478344,14.98824610738502,"[2418.8799701430926, 5439.114245081102, 8437.290598749742, 15828.738969767055]"
112265.85933566093,51,1000.0,2271318,15,3,"(1920, 1080)",18152.373474152373,1299423.375,99.90869109433962,0.0,55945.0252144006,1782.860020294156,14.915504383333335,"[3096.516387096516, 6451.965582451966, 10075.050874075052, 18152.373474152373]"
113265.85933566093,52,1000.0,1958593,15,3,"(1920, 1080)",15653.075271653075,1480104.0,99.80905816666667,0.0,55703.58957764597,1348.7869933983159,14.993294994339621,"[2335.773890335774, 5520.218261520218, 8435.132432435132, 15653.075271653075]"
114265.85933566093,53,6606.655031442642,7795064,18,3,"(1920, 1080)",9391.681562560569,1756995.0,99.83079219999999,0.0,56825.26885061056,5824.080818614216,15.417369317420444,"[1485.7373667031477, 3291.598926682382, 4861.610130041191, 9391.681562560569]"
120872.51436710358,54,2524.4426131248474,3917286,15,3,"(1920, 1080)",12358.007452277701,1502165.875,98.78337769849246,0.0,57028.01664140624,2490.389034906446,14.948370258947369,"[1897.5365052374552, 4163.666183071759, 6581.447227755061, 12358.007452277701]"
123396.95698022842,55,1810.2762997150421,2451760,18,3,"(1920, 1080)",10687.887600542512,1842716.0,99.88574913157895,0.0,57363.603814445996,1430.873400611175,15.009636524696212,"[1870.1928814185503, 3818.490831089671, 5667.179425982021, 10687.887600542512]"
125207.23327994347,56,1000.0,968944,23,3,"(1920, 1080)",7743.8004557438,1963303.25,99.8132904909091,0.0,57815.918066235405,576.112086115176,15.002467364912285,"[1496.8296734968296, 2778.234986778235, 3929.3147559293147, 7743.8004557438]"
126207.23327994347,57,3675.402909517288,7180533,15,3,"(1920, 1080)",15509.950039203995,2142620.0,99.76656353333333,0.0,58330.599893852355,3182.1619975691638,14.989108626584763,"[2203.8651036907913, 5497.3896402088285, 8291.306216695502, 15509.950039203995]"
129882.63618946075,58,1000.0,414026,31,3,"(1920, 1080)",3308.8957953088957,2839392.625,99.95072945945945,0.0,59109.04521949852,233.48946048109963,15.394336433333322,"[690.7405686907405, 1066.932001066932, 1724.3778977243778, 3308.8957953088957]"
130882.63618946075,59,1569.765031337738,3060407,15,3,"(1920, 1080)",15286.729162426122,2839392.625,98.7444542,0.0,59564.1554215822,1196.2460896577331,15.004547907376114,"[2126.7206209782457, 5456.246932758575, 8091.8879971428605, 15286.729162426122]"
