TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,4255.661278963089,165788,32,1,"(854, 480)",310.54161872637815,401376.40205875004,70.0,524.3471633954038,4255.661278963089,514.7881024280607,7.135385831250008,"[222.23127565888336, 310.54161872637815, 607.8851999256369, 1169.8245209834465]"
4255.661278963089,1,1000.0,96335,20,0,"(640, 360)",769.9093207699093,401376.40205875004,81.89230971875001,0.0,4900.113895716058,332.64380924679256,15.941451239999996,"[769.9093207699093, 1347.3473053473472, 2171.3784501713785, 4336.730932336731]"
5255.661278963089,2,1968.2385623455048,254916,16,0,"(640, 360)",1035.9096531352943,401376.40205875004,96.56908539999999,0.0,6066.23460861599,748.5311597856994,16.254740292531785,"[1035.9096531352943, 2306.284303591067, 3724.501494690484, 7271.609008272229]"
7223.899841308594,3,3051.2370467185974,535190,15,0,"(640, 360)",1394.7518613978532,401376.40205875004,99.07328544067798,0.0,7530.872483603248,1483.565062238967,15.06026241652173,"[1394.7518613978532, 2813.166995468014, 4556.928673996721, 8763.395940237207]"
10275.136888027191,4,5812.172651290894,616041,22,0,"(640, 360)",844.0113009153865,401376.40205875004,99.52861826086955,0.0,11605.540949386992,1695.6012341537687,15.800828926392278,"[844.0113009153865, 1403.8727744493956, 2331.5246868006825, 4648.517178716917]"
16087.309539318085,5,1047.9841828346252,277995,17,1,"(854, 480)",2082.878319881169,401376.40205875004,96.5449130285714,0.0,11863.176392108702,809.0571002393947,16.36859397961954,"[1082.104718965585, 2082.878319881169, 3432.1956592184947, 6869.373832808546]"
17135.29372215271,6,5724.902957677841,934353,15,0,"(640, 360)",1302.4447158007426,401376.40205875004,96.32004856250002,0.0,15326.995007569722,2356.5065472715955,14.061057368073076,"[1302.4447158007426, 2606.4255684542727, 4367.833684609636, 8416.206661982982]"
22860.19667983055,7,1000.0,360958,15,1,"(854, 480)",2884.7763388847766,436702.4703975,97.85924778488369,0.0,15461.168120853119,950.0564233763937,13.411506895833348,"[1250.5322172505323, 2884.7763388847766, 4795.263940795264, 9126.856017126856]"
23860.19667983055,8,3116.6024804115295,785764,19,1,"(854, 480)",2004.1996256938532,436702.4703975,95.81708333333334,0.0,16542.84127412131,2131.8624279043834,14.789429338075188,"[935.2450366175988, 2004.1996256938532, 3142.0444002333834, 6188.628617522246]"
26976.79916024208,9,1000.0,123373,28,1,"(854, 480)",985.997016985997,140357.35191375,96.13963689361701,0.0,16542.076908007686,1005.2548157881813,15.858286650000018,"[676.9943286769943, 985.997016985997, 1614.0962896140963, 3116.608275116608]"
