,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,4606.826377656363,0,3.971,350526,1,854x480,706.1717451523546,81.13849313012607,4.606826377656363,3.971,4606.826377656363,-379.54414463551024
1,8385.251777305208,1,3.971,220626,0,640x360,444.4744396877361,75.8371197002941,3.7784253996488446,7.942,3778.4253996488446,-307.3455093402207
2,12739.531190142083,2,3.971,258212,0,640x360,520.1954167715941,73.75137981403363,4.354279412836875,11.913,4354.279412836875,-363.77753340242697
3,15669.308849394572,3,3.304,224579,0,640x360,543.7748184019371,61.70169338666666,0.0,12.28722234074751,2929.77765925249,61.292288904873956
4,17453.4753246404,4,3.637,249255,0,640x360,548.2650536156173,69.2775894302064,0.0,14.140055865501681,1784.1664752458285,67.78496132623088
5,18055.274649547802,5,3.971,217317,0,640x360,437.8081087887182,68.94436668567228,0.0,17.50925654059428,601.7993249074017,62.20021561250908
6,19232.44960878092,6,3.971,505585,1,854x480,1018.5545202719718,78.30678329132354,0.0,20.303081581361162,1177.1749592331166,68.87599345939076
7,22167.86870213182,7,3.437,627433,1,854x480,1460.4201338376492,69.9142397045631,0.0,20.804662488010266,2935.419093350898,67.42630643785837
8,27951.82451206149,8,3.971,696355,1,854x480,1402.8808864265927,83.24590600025208,0.0,18.991706678080593,5783.955809929669,80.75864640981399
9,28589.067178917467,9,3.971,590272,1,854x480,1189.16544950894,81.74064856247897,0.0,22.325464011224618,637.242666855979,80.22439831037813
10,28771.80841800149,10,0.668,108831,1,854x480,1303.3652694610778,13.8514264745,0.0,22.810722772140593,182.74123908402066,13.246349108953764
11,28892.440066430485,11,0.368,43040,2,1280x720,935.6521739130435,8.546605545454545,0.0,23.0580911237116,120.6316484289977,-1.4086073181818168
12,30248.258825764504,12,2.737,625329,2,1280x720,1827.7793204238217,63.26936650487805,0.0,24.43927236437758,1355.8187593340201,62.83675819002218
13,30475.05813198787,13,0.634,155158,2,1280x720,1957.8296529968452,14.635362862368423,0.0,24.846473058154213,226.7993062233641,14.506759024114258
14,31190.24769248877,14,2.803,671357,2,1280x720,1916.1098822689976,65.86207631761906,0.0,26.93428349765331,715.1895605009028,64.21077148052632
15,31826.938010357353,15,1.969,576903,2,1280x720,2343.94311833418,46.423579135720345,0.0,28.26659317978473,636.6903178685819,46.10261123418685
16,32334.840840326015,16,1.569,443282,3,1920x1080,2260.2014021669856,38.06030784845744,0.0,29.32769034981607,507.9028299686623,35.33851458484405
17,35622.93558573718,17,3.971,2085745,3,1920x1080,4201.9541677159405,96.23972210193277,0.0,30.010595604404905,3288.0947454111633,96.15153751941892
18,37176.42134039723,18,2.47,1413312,3,1920x1080,4577.528744939271,60.786116796283785,0.0,30.92710984974485,1553.485754660057,59.28961688599535
19,38132.24421890042,19,2.47,933053,2,1280x720,3022.034008097166,60.171076949662165,0.0,32.44128697124166,955.8228785031883,59.17506100371622
20,39278.48943749166,20,1.802,768198,2,1280x720,3410.42397336293,44.066656358611105,0.0,33.09704175265042,1146.2452185912418,43.69247873098349
21,40248.65123404277,21,1.502,662839,2,1280x720,3530.434087882823,37.10051356611111,0.0,33.628879956099304,970.1617965511115,36.11476523277776
22,41327.228282873744,22,2.703,914703,2,1280x720,2707.2230854605996,65.99754680287037,0.0,35.25330290726833,1078.5770488309743,64.86020729669754
23,42694.84469700789,23,2.57,833606,2,1280x720,2594.882490272374,62.36027232467532,0.0,36.45568649313419,1367.6164141341442,61.75343588568221
24,45581.08070461167,24,3.404,1248071,2,1280x720,2933.186839012926,82.87400959843139,0.0,36.97345048553041,2886.23600760378,82.54853411078176
25,49339.1739253002,25,3.371,1900356,3,1920x1080,4509.892613467813,82.89609395193071,0.0,36.58635726484187,3758.0932206885313,81.91655726779172
26,50051.86758071769,26,0.434,176406,3,1920x1080,3251.7235023041476,10.62874671653846,0.0,36.30766360942438,712.6936554174883,10.225744165129457
27,53569.71956207911,27,1.869,1467867,3,1920x1080,6283.00481540931,46.686507861562504,0.0,34.65881162806296,3517.8519813614207,44.729687270903156
28,54290.612259285306,28,0.901,400001,2,1280x720,3551.61820199778,22.390789959907405,0.0,34.838918930856764,720.8926972061955,21.877343101441777
29,55793.797010812916,29,2.903,1107671,2,1280x720,3052.486393386152,71.16233746850574,0.0,36.23873417932916,1503.1847515276113,69.81167806876118
30,57774.25606327281,30,3.304,1170515,2,1280x720,2834.176755447942,79.44765143070707,0.0,37.56227512686926,1980.4590524598984,77.57773524122607
31,58551.25881834868,31,1.836,704978,2,1280x720,3071.799564270152,45.35688900109091,0.0,38.62127237179339,777.0027550758708,42.72373473846465
32,61513.33819026864,32,2.236,1614545,3,1920x1080,5776.547406082289,55.833865794626874,0.0,37.89519299987344,2962.0793719199555,54.76892549069201
33,63447.129710125984,33,2.236,1447977,3,1920x1080,5180.597495527728,54.554379705373144,0.0,38.19740148001609,1933.791519857348,52.26549582477613
34,64436.19455419949,34,1.669,1247535,3,1920x1080,5979.796285200719,41.06363963995,0.0,38.877336635942584,989.0648440735033,40.2414934996515
35,67140.39689711375,35,3.004,1757858,3,1920x1080,4681.37949400799,73.46055339855555,0.0,39.17713429302833,2704.202342914261,72.86258108744443
36,68251.52066973987,36,2.937,2109833,3,1920x1080,5746.906367041199,72.96366304874999,0.0,41.00301052040221,1111.1237726261136,71.40895539218432
37,68852.11439448672,37,1.602,1094399,3,1920x1080,5465.16354556804,39.8708918109375,0.0,42.00441679565536,600.5937247468526,39.68979281472539
38,69836.09301580276,38,1.635,1303049,3,1920x1080,6375.7749235474,40.849682025,0.0,42.65543817433931,983.978621316046,40.464410566666665
39,73523.55976054358,39,2.236,1472341,3,1920x1080,5267.767441860465,55.048111032238815,0.0,41.20397142959849,3687.466744740818,53.58609939044778
40,74625.72207019423,40,1.869,1433482,3,1920x1080,6135.824505082932,46.625446213125,0.0,41.97080911994783,1102.1623096506587,45.31455778561967
41,75627.4169568902,41,2.87,1647419,3,1920x1080,4592.1087108013935,69.19276367296514,0.0,43.839114233251856,1001.6948866959705,65.84173444539041
42,76551.69327956864,42,1.869,1350941,3,1920x1080,5782.5189941145,46.5555907528125,0.0,44.78383791057341,924.2763226784456,43.35406491809491
