,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,239.509738473489,0,3.971,350526,1,854x480,706.1717451523546,81.13849313012607,0.239509738473489,3.971,239.509738473489,57.18751928277717
1,419.90741385406557,1,3.971,220626,0,640x360,444.4744396877361,75.8371197002941,0.18039767538057658,7.942,180.39767538057657,52.45726308660615
2,617.4089075826807,2,3.971,258212,0,640x360,520.1954167715941,73.75137981403363,0.1975014937286151,11.913,197.50149372861512,51.900258508399034
3,799.6054281165004,3,3.304,224579,0,640x360,543.7748184019371,61.70169338666666,0.0,15.03480347946618,182.1965205338197,61.292288904873956
4,993.0309653468614,4,3.637,249255,0,640x360,548.2650536156173,69.2775894302064,0.0,18.47837794223582,193.42553723036093,67.78496132623088
5,1263.1774986450641,5,3.971,417851,1,854x480,841.8050868798791,78.73604088313026,0.0,22.179231408937618,270.1465332982028,75.61700968738589
6,1570.4512868010008,6,3.971,505585,1,854x480,1018.5545202719718,78.30678329132354,0.0,25.84295762078168,307.2737881559367,77.87439085434876
7,1875.6936950520358,7,3.437,627433,1,854x480,1460.4201338376492,69.9142397045631,0.0,28.974715212530647,305.2424082510348,67.42630643785837
8,2329.1582034685653,8,3.971,1040319,2,1280x720,2095.832787710904,93.22251834384454,0.0,32.49225070411412,453.4645084165294,80.68578774500307
9,2725.4998043502455,9,3.971,881198,2,1280x720,1775.2666834550491,91.77950841668066,0.0,36.06690910323243,396.3416008816804,90.32596026542014
10,2939.2436921311596,10,0.668,328548,3,1920x1080,3934.706586826347,16.153425031999998,0.0,36.521165215451525,213.74388778091424,11.87609827569747
11,3059.644795341219,11,0.368,82530,3,1920x1080,1794.1304347826087,8.706642305454546,0.0,36.76876411224146,120.4011032100593,6.616962669090933
12,3769.635210298194,12,2.737,1286923,3,1920x1080,3761.5579101205694,65.56913634570121,0.0,38.79577369728449,709.9904149569751,64.3802664898254
13,3998.3629647252797,13,0.634,303816,3,1920x1080,3833.640378548896,15.146452952894737,0.0,39.201045942857405,228.72775442708564,14.881384101803608
14,4598.709764113952,14,2.803,1334437,3,1920x1080,3808.5965037459864,67.55028517690477,0.0,41.40369914346873,600.346799388672,66.71437778342106
15,5106.6941734883,15,1.969,1165696,3,1920x1080,4736.195022854241,48.08601184283899,0.0,42.864714734094385,507.98440937434833,46.79697745220137
16,5349.444826279662,16,1.569,443282,3,1920x1080,2260.2014021669856,38.06030784845744,0.0,44.19096408130302,242.7506527913623,37.404888908681
17,6195.224533793886,17,3.971,2085745,3,1920x1080,4201.9541677159405,96.23972210193277,0.0,47.3161843737888,845.7797075142234,96.15153751941892
18,6735.38076314174,18,2.47,1413312,3,1920x1080,4577.528744939271,60.786116796283785,0.0,49.24602814444094,540.1562293478548,59.28961688599535
19,7328.710877100671,19,2.47,1779465,3,1920x1080,5763.44939271255,61.520766142567574,0.0,51.12269803048201,593.3301139589305,60.33105060202703
20,7880.070362113592,20,1.802,1497741,3,1920x1080,6649.238623751387,44.86541646814815,0.0,52.37333854546909,551.3594850129211,44.826915016696695
21,8421.208935988427,21,1.502,1284543,3,1920x1080,6841.773635153128,37.54412951644444,0.0,53.33419997159425,541.1385738748345,37.15003292385185
22,9164.650342388057,22,2.703,1858124,3,1920x1080,5499.44210136885,66.95173183175926,0.0,55.29375856519462,743.4414063996308,66.04503017743828
23,9837.773609544472,23,2.57,1670556,3,1920x1080,5200.174319066148,63.68474877629869,0.0,57.19063529803821,673.1232671564164,63.64218178575838
24,10659.739000942838,24,3.404,2477748,3,1920x1080,5823.144535840188,84.81452662696081,0.0,59.77266990663984,821.965391398366,84.27021455795135
25,12118.654974390474,25,3.371,1900356,3,1920x1080,4509.892613467813,82.89609395193071,0.0,59.954081420387446,689.5884862523978,81.59535210665793
26,12594.63857393534,26,0.434,176406,3,1920x1080,3251.7235023041476,10.62874671653846,0.0,59.744753364212634,143.32805617481398,10.225744165129457
27,13561.194368239665,27,1.869,1467867,3,1920x1080,6283.00481540931,46.686507861562504,0.0,59.506803238745505,606.9501254671362,44.729687270903156
28,13929.328414776503,28,0.901,729486,3,1920x1080,6477.12319644839,22.525000000000002,0.0,59.61353904989568,294.2641888498242,22.442619821428575
29,15649.348286708906,29,2.903,2132852,3,1920x1080,5877.649328281089,72.4324780491954,0.0,59.65346404277298,863.0750071226954,72.23609919862068
30,17274.049102803703,30,3.304,2364990,3,1920x1080,5726.36803874092,81.76382718424242,0.0,59.78358606713044,673.8779756425437,80.94789027724137
31,18383.485879544263,31,1.836,1360088,3,1920x1080,5926.309368191721,45.9,0.0,59.75027909898629,369.3069681441515,44.887684242424235
32,19631.50123830675,32,2.236,1614545,3,1920x1080,5776.547406082289,55.833865794626874,0.0,59.94233632390325,543.9427750830419,55.71555773492538
33,20384.542654349272,33,2.236,1447977,3,1920x1080,5180.597495527728,54.554379705373144,0.0,59.61385190772172,564.4844161815372,52.26549582477613
34,21385.9501128531,34,1.669,1247535,3,1920x1080,5979.796285200719,41.06363963995,0.0,59.836426678400294,446.42522932142015,40.2414934996515
35,22535.12643684897,35,3.004,1757858,3,1920x1080,4681.37949400799,73.46055339855555,0.0,59.75332963099356,587.0970474067304,72.86258108744443
36,23416.603471184222,36,2.937,2109833,3,1920x1080,5746.906367041199,72.96366304874999,0.0,59.9906307521205,699.6988788730575,71.40895539218432
37,23821.27405779125,37,1.602,1094399,3,1920x1080,5465.16354556804,39.8708918109375,0.0,59.691184536548086,401.44621557241504,39.68979281472539
38,24542.383042139376,38,1.635,1303049,3,1920x1080,6375.7749235474,40.849682025,0.0,59.92724222989132,398.94230665675855,40.464410566666665
39,25801.667960490715,39,2.236,1472341,3,1920x1080,5267.767441860465,55.048111032238815,0.0,59.65468310956134,508.55912032998395,53.58609939044778
40,26830.352660400273,40,1.869,1433482,3,1920x1080,6135.824505082932,46.625446213125,0.0,59.594703658617235,428.979450944102,45.31455778561967
41,27475.947162907603,41,2.87,1647419,3,1920x1080,4592.1087108013935,69.19276367296514,0.0,59.9017590318463,562.9446267709363,65.84173444539041
42,28130.59098215001,42,1.869,1350941,3,1920x1080,5782.5189941145,46.5555907528125,0.0,59.694762060093296,575.9969717530055,43.35406491809491
43,29999.513477374017,43,2.803,2355596,3,1920x1080,6723.070995362113,69.71238498306549,0.0,59.56262423622599,935.1378238673018,69.55748456639884
44,31610.320516514217,44,2.003,1704951,3,1920x1080,6809.589615576635,50.015184160625,0.0,59.68711305233424,878.5111838917474,49.617169636815504
45,32364.112773023757,45,1.402,1106170,3,1920x1080,6311.954350927247,34.87621834464285,0.0,59.5383648517037,550.7482006305431,34.499860130357135
46,33601.74942706171,46,1.702,1314779,3,1920x1080,6179.9247943595765,42.5482466062745,0.0,59.68306855262422,557.2962990794801,42.05655667630252
47,34045.159894418706,47,2.503,930912,3,1920x1080,2975.3479824210945,58.842772111166674,0.0,59.76453349642496,421.5350561992625,52.88248556214709
48,36047.51228277745,48,3.971,2617564,3,1920x1080,5273.359858977587,98.4301107689706,0.0,59.70529500782446,1030.2384886005025,93.31676284740198
49,37662.41384397121,49,2.803,2128273,3,1920x1080,6074.271851587585,69.87376553907738,0.0,59.6469011771067,861.3938307177622,69.30987624636029
