,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,82.2416866806311,0,3.971,10234,1,854x480,20.617476706119362,94.02721287928574,0.0822416866806311,3.971,82.2416866806311,85.80304421122263
1,163.04360332493349,1,0.968,3661,0,640x360,30.25619834710744,23.345140757931034,0.08080191664430236,4.939,80.80191664430237,13.511313871825942
2,295.50835907746426,2,3.971,239518,0,640x360,482.5343742130446,79.87179910678574,0.13246475575253078,8.91,132.46475575253078,50.61289830985781
3,418.3417914620695,3,3.571,195548,0,640x360,438.0800896107533,72.82643768252336,0.12283343238460526,12.481,122.83343238460526,59.42279376315499
4,567.4113254549678,4,3.971,315324,0,640x360,635.2535885167464,84.45869720241598,0.0,16.3029304660071,149.0695339928983,80.95860191693728
5,736.7160573721089,5,3.571,407704,0,640x360,913.3665639876785,78.61616572897198,0.0,19.704625734089962,169.3047319171411,75.63098736959084
6,913.109460811488,6,3.904,440066,1,854x480,901.7745901639344,88.01705549264956,0.0,23.43223233065058,176.39340343937909,85.89631907360652
7,1126.8043641438426,7,3.971,610359,2,1280x720,1229.6328380760513,93.83260434705882,0.0,27.18953742731823,213.69490333235464,89.49615483976872
8,1274.191428389435,8,1.469,307643,2,1280x720,1675.3873383253913,34.63631837545454,0.0,28.511150363072638,147.38706424559248,34.431103188288766
9,1530.9171219038592,9,3.104,806808,2,1280x720,2079.40206185567,74.08204038021505,0.0,31.35842466955821,256.7256935144241,72.92813713485826
10,1870.4189689187535,10,3.637,1184707,2,1280x720,2605.8993676106684,88.90239948465596,0.0,34.65592282254332,339.50184701489434,86.59341765078005
11,2201.88446336145,11,3.404,1087472,2,1280x720,2555.750881316099,84.2942856312745,0.0,37.728457328100625,331.46549444269624,83.0165997390277
12,2707.3787281775467,12,3.337,1836008,3,1920x1080,4401.577464788732,82.47298893850001,0.0,40.55996306328453,505.49426481609703,82.27861633065689
13,3373.3280562210866,13,2.97,2527375,3,1920x1080,6807.744107744107,74.16128217893261,0.0,42.86401373524099,665.9493280435402,73.13960945983148
14,3760.280148131119,14,1.635,1323286,3,1920x1080,6474.793883792049,40.87108626045919,0.0,44.112061643330954,386.9520919100323,40.76117587751951
15,4261.8497766574,15,2.303,1817408,3,1920x1080,6313.184541901867,57.24539355525363,0.0,45.913492014804675,501.56962852628084,56.68248656915485
