,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,82.0714353122769,0,4.939,11348,1,854x480,18.381048795302693,117.00800872192568,0.08207143531227691,4.939,82.0714353122769,108.80086519069799
1,246.46599591444613,1,7.541,462341,0,640x360,490.482429386023,154.94028478042034,0.16439456060216923,12.48,164.39456060216924,125.9238567362283
2,458.43511714433987,2,7.541,722970,0,640x360,766.9752022278212,163.53185135411508,0.0,19.809030878770105,211.96912122989374,158.9745955134071
3,606.212560878531,3,3.904,371307,1,640x360,760.875,90.66827340444443,0.0,23.565253435035917,147.7774437341911,84.51324574466078
4,721.206273375065,4,4.271,191707,0,640x360,359.08592835401544,93.12148221523438,0.0,27.721259722539383,114.99371249653407,87.43647516662328
5,859.477347737731,5,4.271,319228,0,640x360,597.94521189417,88.66525361664063,0.0,31.853988648176717,138.27107436266584,84.49177799164063
6,1008.848343664042,6,3.637,380037,1,640x360,835.9351113555127,78.67678512759174,0.0,35.34161765225041,149.37099592631108,75.18680255591744
7,1151.334573492966,7,3.404,342320,0,640x360,804.5123384253819,71.21204759862745,0.0,38.60313142242149,142.48622982892405,68.36315855023746
8,1292.9356790859692,8,3.337,337471,1,640x360,809.0404554989511,73.18268441577501,0.0,41.79853031682848,141.60110559300313,69.14039007655931
9,1456.2968950192276,9,4.605,456680,0,640x360,793.3637350705753,90.37854171467393,0.0,46.24016910089522,163.36121593325845,81.16052048713769
10,1673.5889916757433,10,3.704,752131,2,854x480,1624.473002159827,85.138415132973,0.0,49.72687700423871,217.29209665651575,71.70098723246379
11,1903.2379629766533,11,4.071,819826,2,854x480,1611.0557602554654,91.86733171954917,0.0,53.5682280329378,229.64897130090995,90.1903244842811
12,2059.77302913882,12,4.338,433972,0,640x360,800.3171968649148,94.578327513,0.0,57.74969296677563,156.5350661621669,91.52235577529508
13,2769.0698425419987,13,3.504,340682,0,640x360,777.8127853881278,74.81922415657144,0.0,59.618931074643456,134.7618921321794,73.02014339466669
14,3750.3987284668056,14,5.339,910314,2,854x480,1364.0217269151526,122.2105356262969,0.0,59.71453409231655,243.3969823269038,116.05999030189214
15,4476.08836377419,15,4.972,990710,2,854x480,1594.062751407884,112.4773090277181,0.0,59.90265522646181,283.8788658547402,111.40527375380869
16,4781.52421803831,16,4.405,877848,3,854x480,1594.2755959137344,100.77775426979167,0.0,59.58584268405607,221.8125424057381,99.7541883917156
17,5344.8525013492645,17,5.473,1082486,2,854x480,1582.2927096656315,116.98608648999999,0.0,59.77899019832978,279.85248572628626,110.97445732333333
18,5901.432079168525,18,5.973,585722,0,640x360,784.4928846475808,123.33370531110333,0.0,59.57543830821248,176.55189011729533,120.42732916585193
19,6680.490150130005,19,4.338,893625,3,854x480,1647.9944674965423,98.32715153169231,0.0,59.67392311658273,239.5151916297566,90.2554110787486
20,7485.353693498801,20,4.472,450265,0,640x360,805.4830053667262,91.48514471820897,0.0,59.97326278456419,172.6603320185368,82.64854906723309
21,8389.27158915748,21,4.071,397562,0,640x360,781.2566936870548,83.57928943303277,0.0,59.86840544240998,175.8573421542091,83.28694759794593
22,9044.449496333342,22,4.739,956183,2,854x480,1614.151508757122,107.4063312887324,0.0,59.85384676557429,253.55867683569426,98.87058149884552
23,9371.51080537138,23,4.839,962260,2,854x480,1590.8410828683611,106.85009515944829,0.0,59.94012572622535,252.72103934893508,104.51682742948228
24,10014.896202978482,24,4.972,1354711,3,854x480,2179.7441673370877,112.33129331718123,0.0,59.58760316226635,324.52256395899883,110.28429298299932
25,11133.933711875412,25,4.939,620131,1,640x360,1004.4640615509212,103.39107217498312,0.0,59.836515824641936,190.08733762441236,96.75437692421221
26,11482.139571708185,26,3.371,901403,3,854x480,2139.194304360724,75.93531263086635,0.0,59.95788798036181,249.6278442801261,69.56553254322921
27,11846.619908513716,27,2.903,586894,2,854x480,1617.3448157078885,63.71126793109196,0.0,59.68793681973537,172.95116062644243,61.393867219813934
28,12790.721012676288,28,4.805,478044,0,640x360,795.9109261186265,96.49601133255209,0.0,59.82665085574362,166.28596399174114,89.0388803627245
29,13989.556695940013,29,5.373,1081880,2,854x480,1610.8393820956633,114.6693992079969,0.0,59.949140584197174,250.5102715464491,109.63193388320394
30,14245.204004604877,30,6.774,681831,0,640x360,805.2329495128432,137.04220135995072,0.0,59.52947963572337,193.6609484737923,132.5975390575305
31,14613.996152065747,31,6.24,628278,0,640x360,805.4846153846154,125.80008012834226,0.0,59.57607674208848,193.4028936349021,125.51868806965045
32,15398.387770077461,32,4.939,92907,1,854x480,150.4871431463859,117.66021710400337,0.0,59.92057555999561,94.50118209287331,103.010573636378
33,16017.226184700998,33,4.772,972026,3,854x480,1629.5490360435876,105.95925672678322,0.0,59.93810157064327,254.47398935234548,99.48601884122284
