TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,4473700.0,70.0,139.23720937965393,4000.0,136.69885870991044,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,395423,23,0,"(640, 360)",790.846,4473700.0,95.41290187500003,0.0,7815.0452474761805,173.04037750455,17.889060006249995,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,329063,23,0,"(640, 360)",658.126,4473700.0,99.81510001041666,0.0,11646.348920602122,157.4263149659472,15.024722050000006,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,689903,23,1,"(854, 480)",1379.806,4473700.0,99.27668706250002,0.0,15387.189504730362,242.32954471925393,16.276795869791655,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,477508,23,2,"(1280, 720)",955.016,4473700.0,97.07660828125,0.0,19190.08147292772,192.35442698437535,16.10153549479167,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,4473700.0,96.3503031354167,0.0,22988.569098368807,206.28237782690178,13.685328821874979,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,4473700.0,97.32164941666663,0.0,26674.418113761145,327.4087738513864,13.597269723958316,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,4473700.0,97.05383339583331,0.0,30270.774978583802,442.91042379299796,13.917941214583335,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,4104824.8750000005,97.75017692708333,0.0,33803.27233981856,489.7719528809759,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,4104824.8750000005,99.09425481250001,0.0,37368.13200608202,437.09281709443917,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,3956276.0,97.89924785416666,0.0,40877.98909752457,461.3397404928005,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,3956276.0,97.95194058333334,0.0,44215.22558488968,665.4282637191351,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,3956276.0,99.3643802604167,0.0,47774.50628312018,450.3767487594439,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,3988732.0,98.90793887500001,0.0,51334.969723502465,411.8535155638698,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,3988732.0,98.06291347916668,0.0,54933.66060816966,414.7986871703587,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,2483595,23,3,"(1920, 1080)",4967.19,4111856.0000000005,98.54670489583334,0.0,58196.65020564212,715.7981715108189,14.986005752083326,"[1017.3, 1587.254, 2486.474, 4967.19]"
