TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,470324.0,70.0,630.8169537179871,4000.0,619.3169053897449,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,395423,23,0,"(640, 360)",790.846,470324.0,95.41290187500003,0.0,7134.9797681275395,809.297546722987,17.889060006249995,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,329063,23,0,"(640, 360)",658.126,742940.0,99.81510001041666,0.0,10549.64392612409,546.2316004834279,15.024722050000006,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,689903,23,1,"(854, 480)",1379.806,742940.0,99.27668706250002,0.0,13666.174110533564,826.0970857072575,16.276795869791655,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,282913,23,1,"(854, 480)",565.826,1100380.0,97.07660828125,0.0,17306.872267491843,350.6366508794569,17.295654671875006,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,1100380.0,93.96206478125002,0.0,20700.37803067723,620.8505734810565,13.685328821874979,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,526768,23,2,"(1280, 720)",1053.536,997136.0,97.32164941666663,0.0,24090.049821392156,636.0852597629083,13.18681453437499,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,997136.0,95.97170168749999,0.0,26748.88120897975,1471.640433672824,13.917941214583335,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,1873928.0,97.75017692708333,0.0,29711.982570615513,1086.2909188974618,14.859382718750009,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,1047484.0000000001,99.09425481250001,0.0,30085.378192958633,3642.8770238449442,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,224724.0,97.89924785416666,0.0,31442.341596098275,2487.7189824028833,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,524356.0,97.95194058333334,0.0,32137.436804377227,3318.1927118602307,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,1275892.0,99.3643802604167,0.0,35042.626592618035,1118.800700811198,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,1581664.0,98.90793887500001,0.0,36997.793601175435,1916.0446107124612,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,196480.0,98.06291347916668,0.0,38393.8958755242,2691.424931203718,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,2483595,23,3,"(1920, 1080)",4967.19,476464.0,98.54670489583334,0.0,37941.89245027451,4323.868293344167,14.986005752083326,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,2245753,23,3,"(1920, 1080)",4491.506,1620960.0,99.65382849999999,0.0,40453.421306630466,1528.756463152808,15.101052441666665,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,1678223,23,3,"(1920, 1080)",3356.446,1645520.0,99.92620488541667,0.0,43331.42418997255,1028.0055120085353,14.928609399999997,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,1946980,23,3,"(1920, 1080)",3893.96,2000400.0,99.82332041666666,0.0,45428.588854325426,2050.3141095272076,15.106703432291674,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,1778392,23,3,"(1920, 1080)",3556.784,696276.0,99.63900290624998,0.0,47168.141917405716,2104.664997204069,15.493382078125023,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,1037168,23,3,"(1920, 1080)",2074.336,1037660.0,98.65987667708328,0.0,50238.07834087115,934.9988660831249,15.57138678645829,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,2001318,23,3,"(1920, 1080)",4002.636,1511048.0,98.13523223958339,0.0,53045.08210993867,1125.2747751760905,14.86931941979168,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,1761192,23,3,"(1920, 1080)",3522.384,2615368.0,99.55884514583335,0.0,56120.11708914366,921.1922815732715,15.139191657291658,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,1613576,23,3,"(1920, 1080)",3227.152,1528860.0,99.92119146875,0.0,58751.44742995616,1321.3955366481205,14.800835547916659,"[628.596, 998.732, 1607.626, 3227.152]"
96000,24,4000,1619944,23,3,"(1920, 1080)",3239.888,1172740.0,99.59453343749999,0.0,59616.64256842333,2523.4536078186825,15.256870848958343,"[556.426, 918.57, 1524.81, 3239.888]"
100000,25,4000,2017159,23,3,"(1920, 1080)",4034.318,1568156.0,99.3286412395833,0.0,58957.40367543252,4584.042451247849,14.959586068750005,"[822.0, 1293.066, 2092.558, 4034.318]"
