TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,260485,23,0,"(640, 360)",520.449030520449,401376.40205875004,70.0,777.3067842549453,4000.0,763.1361670384672,14.986469205000002,"[520.449030520449, 836.166996836167, 1445.1054494451055, 2861.8353028618353]"
4000,1,4000,310145,23,0,"(640, 360)",619.6697106196697,401376.40205875004,94.977448675,0.0,7045.116273193705,893.372234586043,15.571409085000022,"[619.6697106196697, 981.0060129810059, 1637.0832796370833, 3337.680981337681]"
8000,2,4000,360801,23,0,"(640, 360)",720.8803987208804,401376.40205875004,95.95234847500004,0.0,9945.429689965265,1026.220366637795,13.132670157499982,"[720.8803987208804, 1158.4164251584164, 1937.128933937129, 3921.46061792146]"
12000,3,4000,649264,23,1,"(854, 480)",1297.2294732972296,401376.40205875004,96.0506917083333,0.0,12038.88807611341,1782.7303697182697,14.160265391666698,"[821.183994821184, 1297.2294732972296, 2152.2575901522578, 4283.400316283401]"
16000,4,4000,537657,23,1,"(854, 480)",1074.2386870742387,401376.40205875004,93.58416616666668,0.0,14524.505055577738,1477.8610261893002,14.161894333333315,"[689.9853246899853, 1074.2386870742387, 1781.9422757819423, 3542.6258315426257]"
20000,5,4000,495461,23,1,"(854, 480)",989.931078989931,436702.4703975,93.77759474999998,0.0,17279.707024152056,1274.2636694088822,12.375605941666656,"[636.9364266369364, 989.931078989931, 1596.5318715965318, 3161.747091161747]"
24000,6,4000,1046577,23,2,"(1280, 720)",2091.060848091061,436702.4703975,92.41712045000004,0.0,18782.41884218136,2602.6786534943008,13.961091925000021,"[791.6135947916135, 1336.8418213368416, 2091.060848091061, 4206.785008206784]"
28000,7,4000,1418718,23,2,"(1280, 720)",2834.5985668345984,436702.4703975,97.23141900000003,0.0,14570.998329640493,9010.24549210796,15.681587494999995,"[1052.856091052856, 1862.0101278620102, 2834.5985668345984, 5887.934177887934]"
32000,8,4000,747098,23,1,"(854, 480)",1492.7018054927016,140357.35191375,99.8721659,0.0,13146.419596347703,5682.976521327347,14.196978983333373,"[916.4026809164026, 1492.7018054927016, 2397.544058397544, 4710.167122710168]"
36000,9,4000,658280,23,1,"(854, 480)",1315.2434413152434,140357.35191375,96.06888003333331,0.0,13948.783551782744,3211.9839012851426,17.56477919583333,"[827.4477248274477, 1315.2434413152434, 2103.646250103646, 4191.2285801912285]"
40000,10,4000,655855,23,1,"(854, 480)",1310.3982913103982,307740.66092,94.61477340833333,0.0,15480.365429641253,2323.361933865461,13.175238733333316,"[819.4137668194137, 1310.3982913103982, 2086.2776360862777, 4105.75014410575]"
44000,11,4000,1345785,23,2,"(1280, 720)",2688.8784326888785,307740.66092,95.7872826,0.0,13251.03737053521,6254.374110047519,14.897936204166685,"[1049.7332170497332, 1730.5577117305577, 2688.8784326888785, 5232.164603232165]"
48000,12,4000,738230,23,1,"(854, 480)",1474.9835414749837,212335.01289375,98.93235590833336,0.0,14713.220025135455,2593.428334945571,13.198440934999985,"[865.6015328656015, 1474.9835414749837, 2343.8877683438877, 4603.38001660338]"
52000,13,4000,959673,23,1,"(854, 480)",1917.4266559174266,337598.83689499996,96.29528199166664,0.0,15602.525230874802,2914.7759357645987,14.701191316666694,"[1113.5932931135933, 1917.4266559174266, 2953.5335129535333, 5771.430797771431]"
56000,14,4000,1914552,23,2,"(1280, 720)",3825.274899825275,363770.35327250004,98.46232918333334,0.0,13095.888929052842,6725.349843231265,15.29532996083334,"[1451.5949534515948, 2522.8526245228527, 3825.274899825275, 7404.899695404899]"
60000,15,4000,1215215,23,1,"(854, 480)",2427.9995724279997,262237.0616325,99.87476360000001,0.0,12951.866779442833,4024.751166630046,14.929001761666651,"[1294.5341712945342, 2427.9995724279997, 3477.475047477475, 6871.947180871946]"
64000,16,4000,1173895,23,1,"(854, 480)",2345.4422123454424,340285.3504425,99.62539113333331,0.0,13364.405487066153,3684.555565924304,15.232437637500013,"[1259.9447952599448, 2345.4422123454424, 3396.8337693968338, 6684.031284684032]"
68000,17,4000,923525,23,1,"(854, 480)",1845.2029518452027,345361.29132874997,99.28465192499999,0.0,14748.592190497435,2396.682172649238,15.441053699999962,"[1109.2076831092074, 1845.2029518452027, 2895.3497548953496, 5635.207157635207]"
72000,18,4000,1090656,23,1,"(854, 480)",2179.1306901791304,473010.74843375,98.3686748666667,0.0,14234.372523273922,4864.093126621437,14.987402262499998,"[1238.6281332386282, 2179.1306901791304, 3273.906819273907, 6299.725974299726]"
76000,19,4000,1187239,23,1,"(854, 480)",2372.1035243721035,208249.23613874998,98.59449932499999,0.0,11713.347616852723,6071.619130835676,14.818806783333333,"[1351.599049351599, 2372.1035243721035, 3564.8715635648714, 6893.793312893793]"
80000,20,4000,1127605,23,1,"(854, 480)",2252.9547922529546,336010.64657125,99.42612378333334,0.0,12119.93053927423,3612.4851866777317,14.967960632499995,"[1183.2116051832115, 2252.9547922529546, 3299.555145299555, 6603.577818603578]"
84000,21,4000,1152931,23,1,"(854, 480)",2303.556140303556,336010.64657125,99.71235094166666,0.0,12409.102864111304,3500.179354818513,14.768485375000019,"[1249.4473032494475, 2303.556140303556, 3448.094457448094, 6781.931286781932]"
88000,22,4000,1062975,23,1,"(854, 480)",2123.824052123824,416592.48529374995,99.31527681666664,0.0,13631.886468909677,2765.8887093044877,15.520566250000002,"[1173.0178091730177, 2123.824052123824, 3217.0157672170158, 6407.991600407991]"
92000,23,4000,989979,23,1,"(854, 480)",1977.978043977978,416592.48529374995,98.38356938333331,0.0,14927.343339322046,2611.1276713995194,15.295305554166653,"[1112.3845031123847, 1977.978043977978, 2964.0210149640207, 5918.40967191841]"
96000,24,4000,1186516,23,1,"(854, 480)",2370.6589703706586,401588.23885625,98.03994252499997,0.0,15596.515257808514,3190.061724126804,14.936651551666676,"[1341.3353233413352, 2370.6589703706586, 3475.159365475159, 6721.262016721262]"
100000,25,4000,1680009,23,2,"(1280, 720)",3356.6579853566577,401588.23885625,99.62501415000001,0.0,15060.006829365173,4463.292759620461,14.947154012500004,"[1276.6460772766459, 2282.617100282617, 3356.6579853566577, 6598.422978598423]"
104000,26,4000,974939,23,1,"(854, 480)",1947.928123947928,404232.75450000004,99.58524710833333,0.0,16411.73024553672,2628.628516491839,15.575922250000026,"[1050.9759730509759, 1947.928123947928, 2840.588570840588, 5706.759533706759]"
108000,27,4000,1906096,23,2,"(1280, 720)",3808.37981180838,386361.289215,98.09818379999997,0.0,14863.591762660322,5275.284294610664,14.999846154166667,"[1413.0095774130095, 2537.9575045379574, 3808.37981180838, 7507.636855507636]"
112000,28,4000,1274623,23,1,"(854, 480)",2546.6967565466966,312737.4933175,99.93061810833333,0.0,14837.838306406027,4370.2064821837375,15.075547995,"[1429.473097429473, 2546.6967565466966, 3739.259001739259, 7308.731959308731]"
116000,29,4000,887184,23,1,"(854, 480)",1772.5936337725936,312737.4933175,99.80894395833333,0.0,15824.107253109778,3029.72776177719,16.694203166666668,"[1012.4944930124944, 1772.5936337725936, 2647.8574946478575, 5245.671083245671]"
120000,30,4000,1443514,23,2,"(1280, 720)",2884.1409748841406,418822.80104500003,96.47282988333333,0.0,15990.462433587152,4090.240019982424,14.961231762500006,"[1121.1397391211397, 1857.121021857121, 2884.1409748841406, 5643.251105643251]"
124000,31,4000,1771918,23,2,"(1280, 720)",3540.292167540292,342391.55059,99.69542439166665,0.0,13166.513830396856,6515.233169951299,15.229159146666657,"[1323.3293473233293, 2496.1553484961555, 3540.292167540292, 6980.324694980324]"
128000,32,4000,1222146,23,1,"(854, 480)",2441.847710441848,264783.80259875,99.79407022499998,0.0,12506.788243262228,4939.760245285583,14.913046504166651,"[1305.9027913059026, 2441.847710441848, 3515.307177515307, 7019.817163019818]"
