TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,1058828.0,70.0,333.31401866012516,4000.0,319.5608013865579,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,672639,23,1,"(854, 480)",1345.278,1058828.0,95.41290187500003,0.0,7235.909543132526,748.7026151854494,17.59660667500003,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,565990,23,1,"(854, 480)",1131.98,1058828.0,99.32767779166672,0.0,10795.461843671168,436.5291360420674,14.53380193124999,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,1125917,23,2,"(1280, 720)",2251.834,1883156.0,98.45848686458332,0.0,14096.936891931993,709.3561390950534,15.407519036458396,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,477508,23,2,"(1280, 720)",955.016,1883156.0,97.84031751041664,0.0,17767.65943472385,319.94192843186477,15.283335296874974,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,2261944.0,96.3503031354167,0.0,21442.012914948635,329.7628030067104,14.179492802083324,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,2261944.0,97.32164941666663,0.0,24828.075400455753,569.3280433021098,13.597269723958316,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,2261944.0,97.05383339583331,0.0,28100.955801101187,665.414055760543,13.917941214583335,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,2722960.0,97.75017692708333,0.0,31317.513590403,802.1414894373173,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,1149844.0,99.09425481250001,0.0,34180.08936705761,1074.7196945795067,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,2979884.0,97.89924785416666,0.0,37590.411276492676,586.2899304663856,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,2979884.0,97.95194058333334,0.0,40532.66594485013,1043.5438351929456,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,2119600.0,99.3643802604167,0.0,43604.533167178706,855.3278464536705,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,1722744.0,98.90793887500001,0.0,46866.06405658729,807.7699466699828,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
