TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,1334836.0,70.0,275.0401978414679,4000.0,270.0261037389809,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,672639,23,1,"(854, 480)",1345.278,1334836.0,95.41290187500003,0.0,7347.5367743528,610.4329914922725,17.59660667500003,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,565990,23,1,"(854, 480)",1131.98,1334836.0,99.32767779166672,0.0,10882.69881811557,433.7837572560808,14.53380193124999,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,1125917,23,2,"(1280, 720)",2251.834,2998776.0,98.45848686458332,0.0,14374.474788348363,475.219846188473,15.407519036458396,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,477508,23,2,"(1280, 720)",955.016,2998776.0,97.84031751041664,0.0,18120.74048845908,247.61505360853894,15.283335296874974,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,2998776.0,96.3503031354167,0.0,21858.55336905428,268.3933557172028,14.179492802083324,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,2998776.0,97.32164941666663,0.0,25424.77168610428,452.088122885311,13.597269723958316,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,2953340.0,97.05383339583331,0.0,28878.01029154197,599.9515410384603,13.917941214583335,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,2953340.0,97.75017692708333,0.0,32253.84132792693,653.9010197778691,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,2909132.0,99.09425481250001,0.0,35672.907667148145,583.5403217034823,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,2909132.0,97.89924785416666,0.0,38836.46669457929,787.2876552639738,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,1816212.0,97.95194058333334,0.0,40922.81444598061,1921.3464061784182,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,746624.0,99.3643802604167,0.0,41781.27929334775,3210.3753624484266,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,83504.0,98.90793887500001,0.0,37268.44845984489,7976.672769218606,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,136308.0,98.06291347916668,0.0,36960.23537847234,4453.0290041418975,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,2483595,23,3,"(1920, 1080)",4967.19,701188.0,98.54670489583334,0.0,18493.95563125742,21819.667549544756,14.986005752083326,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,1148731,23,2,"(1280, 720)",2297.462,438396.0,99.65382849999999,0.0,18532.887862558277,4068.2736633779305,15.034855679166665,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,865813,23,2,"(1280, 720)",1731.626,422432.0,99.81587694791666,0.0,16007.352879279617,5978.879831346579,14.871437572916655,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,605628,23,1,"(854, 480)",1211.256,1115024.0,99.56478185416667,0.0,19402.492988310692,651.7394046179605,15.900913093749963,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,951657,23,2,"(1280, 720)",1903.314,1115024.0,97.8299277083334,0.0,21614.696030581505,1664.588368602871,15.548676671875008,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,1037168,23,3,"(1920, 1080)",2074.336,1112568.0,98.03221036458332,0.0,24548.759339625325,1071.5929776262853,14.098146572916693,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,2001318,23,3,"(1920, 1080)",4002.636,1090464.0,98.13523223958339,0.0,25346.248913438696,3020.7171710923812,14.932086051041676,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,1761192,23,3,"(1920, 1080)",3522.384,815392.0,99.55884514583335,0.0,27233.07866826349,2104.5510648960326,15.139191657291658,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,1613576,23,3,"(1920, 1080)",3227.152,1275892.0,99.92119146875,0.0,29545.850866345652,1628.9506177015471,14.800835547916659,"[628.596, 998.732, 1607.626, 3227.152]"
96000,24,4000,1619944,23,3,"(1920, 1080)",3239.888,552600.0,99.59453343749999,0.0,31192.74342889121,2253.661187331691,15.256870848958343,"[556.426, 918.57, 1524.81, 3239.888]"
100000,25,4000,2017159,23,3,"(1920, 1080)",4034.318,954156.0,99.3286412395833,0.0,31682.43119990392,3453.6585576282737,14.959586068750005,"[822.0, 1293.066, 2092.558, 4034.318]"
104000,26,4000,2225766,23,3,"(1920, 1080)",4451.532,528040.0,99.8650656875,0.0,30865.11024767088,4781.580332454302,14.921880638541683,"[895.924, 1399.338, 2298.148, 4451.532]"
108000,27,4000,2816074,23,3,"(1920, 1080)",5632.148,293492.0,99.75790793750002,0.0,29029.407561619468,5548.706259362149,14.974063643749998,"[1178.302, 1813.666, 2850.406, 5632.148]"
112000,28,4000,2510434,23,3,"(1920, 1080)",5020.868,1065904.0,99.9342836875,0.0,29606.85942339148,3715.389484677131,14.98837337499999,"[1022.462, 1647.7, 2573.388, 5020.868]"
116000,29,4000,2337828,23,3,"(1920, 1080)",4675.656,809252.0,99.94027361458332,0.0,29581.974042702474,4046.249237305763,15.101889531250002,"[951.554, 1495.798, 2449.83, 4675.656]"
120000,30,4000,2133255,23,3,"(1920, 1080)",4266.51,1176424.0,99.6647883125,0.0,32008.233056084697,1679.0753102036742,15.207135817708334,"[851.45, 1323.934, 2189.5, 4266.51]"
124000,31,4000,1982258,23,3,"(1920, 1080)",3964.516,1559560.0,99.46627559374997,0.0,33148.12942149416,2730.712546819413,14.875681293749995,"[786.672, 1234.798, 1977.142, 3964.516]"
128000,32,4000,2156487,23,3,"(1920, 1080)",4312.974,2130580.0,99.73693354166666,0.0,36091.02953826939,1120.6282174356018,15.02443323437501,"[858.244, 1345.586, 2158.636, 4312.974]"
132000,33,4000,2456134,23,3,"(1920, 1080)",4912.268,2212856.0,99.95176798958335,0.0,37269.6441066505,3043.422473408669,14.908978416666649,"[972.142, 1546.478, 2469.656, 4912.268]"
