TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,401376.40205875004,70.0,725.179958257785,4000.0,711.9596341725108,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,672639,23,1,"(854, 480)",1345.278,401376.40205875004,95.41290187500003,0.0,6028.999961879116,1844.0325863699927,17.59660667500003,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,565990,23,1,"(854, 480)",1131.98,401376.40205875004,99.32767779166672,0.0,8352.670502736504,1564.3397477094732,14.53380193124999,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,455186,23,0,"(640, 360)",910.372,401376.40205875004,98.45848686458332,0.0,10990.45791462115,1273.750194174604,15.87748230208338,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,477508,23,2,"(1280, 720)",955.016,401376.40205875004,96.90039097916667,0.0,13701.616804356734,1257.7584534304815,15.283335296874974,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,436702.4703975,96.3503031354167,0.0,16359.709763264944,1373.6713482980213,13.702950552083312,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,526768,23,2,"(1280, 720)",1053.536,436702.4703975,97.32164941666663,0.0,19064.637993389406,1349.7263449740306,13.364452291666701,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,737536,23,2,"(1280, 720)",1475.072,436702.4703975,95.97170168749999,0.0,20365.23282337047,2962.0092196459673,13.896329614583316,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,140357.35191375,96.85063960416663,0.0,12849.770436580528,12063.997149624038,14.859382718750009,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,671505,23,2,"(1280, 720)",1343.01,140357.35191375,99.09425481250001,0.0,13546.324457987997,3318.268606597451,13.646603727083328,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,425543,23,1,"(854, 480)",851.086,307740.66092,97.21944614583332,0.0,15914.876421122159,1535.5762591165883,16.242635885416675,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,458806,23,0,"(640, 360)",917.612,307740.66092,95.70323785416667,0.0,18272.12850965822,1649.352853037755,13.903809083333314,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,271065,23,0,"(640, 360)",542.13,307740.66092,96.631274125,0.0,20994.6605386168,1305.4610250377898,13.349317939583315,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,227847,23,0,"(640, 360)",455.694,212904.12586375,96.5327362083333,0.0,23707.76311226739,1205.8456062746593,13.518457166666678,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,235588,23,0,"(640, 360)",471.176,218410.06979375,96.22563391666665,0.0,26523.782907425157,1223.778418780675,13.498785453124988,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,508650,23,0,"(640, 360)",1017.3,215524.25691499998,96.06790151041663,0.0,27980.66481515313,2469.9234558176927,14.908543083333338,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,455954,23,0,"(640, 360)",911.908,313286.52277875005,99.21851079166667,0.0,30411.15422844653,1611.9892304665816,14.911576392708316,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,323995,23,0,"(640, 360)",647.99,313286.52277875005,99.19727757291663,0.0,33219.01507646218,1092.2716298697428,15.274199302083346,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,381818,23,0,"(640, 360)",763.636,337598.83689499996,97.88862297916666,0.0,36100.27051528616,1205.4525768809826,15.273632515624953,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,369484,23,0,"(640, 360)",738.968,363770.35327250004,97.84729011458336,0.0,38866.0472605947,1149.164990541277,14.584689807291653,"[738.968, 1151.152, 1903.314, 3556.784]"
