TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,260485,23,0,"(640, 360)",520.449030520449,622150.6891675,70.0,530.3900041335081,4000.0,520.7207797342559,14.986469205000002,"[520.449030520449, 836.166996836167, 1445.1054494451055, 2861.8353028618353]"
4000,1,4000,490994,23,1,"(854, 480)",981.0060129810059,622150.6891675,94.977448675,0.0,7026.569302410366,910.7244506395426,13.086021069999983,"[619.6697106196697, 981.0060129810059, 1637.0832796370833, 3337.680981337681]"
8000,2,4000,579788,23,1,"(854, 480)",1158.4164251584164,622150.6891675,91.81003511666664,0.0,9889.65917548343,1060.9571354994137,13.759610695833352,"[720.8803987208804, 1158.4164251584164, 1937.128933937129, 3921.46061792146]"
12000,3,4000,1077206,23,2,"(1280, 720)",2152.2575901522578,622150.6891675,92.4356759583333,0.0,11928.171638012074,1834.1080926155944,13.222591893333332,"[821.183994821184, 1297.2294732972296, 2152.2575901522578, 4283.400316283401]"
16000,4,4000,891863,23,2,"(1280, 720)",1781.9422757819423,704115.34116,95.67265900833333,0.0,14479.936139026031,1413.3087677767378,13.131520964166656,"[689.9853246899853, 1074.2386870742387, 1781.9422757819423, 3542.6258315426257]"
20000,5,4000,799065,23,2,"(1280, 720)",1596.5318715965318,704115.34116,95.62514759999998,0.0,17235.15250154325,1274.2489347466856,13.331167945833315,"[636.9364266369364, 989.931078989931, 1596.5318715965318, 3161.747091161747]"
24000,6,4000,1046577,23,2,"(1280, 720)",2091.060848091061,706663.504095,94.68298212500002,0.0,19662.559222922475,1638.959807059597,13.776336640000022,"[791.6135947916135, 1336.8418213368416, 2091.060848091061, 4206.785008206784]"
28000,7,4000,931937,23,1,"(854, 480)",1862.0101278620102,706663.504095,97.23141900000003,0.0,22324.531132011,1468.1943953590608,14.971153627500001,"[1052.856091052856, 1862.0101278620102, 2834.5985668345984, 5887.934177887934]"
32000,8,4000,2357441,23,3,"(1920, 1080)",4710.167122710168,706663.504095,99.06575306666667,0.0,22804.176508948178,3688.045404673895,14.706717944999976,"[916.4026809164026, 1492.7018054927016, 2397.544058397544, 4710.167122710168]"
36000,9,4000,2097712,23,3,"(1920, 1080)",4191.2285801912285,595580.80607125,99.0497664083333,0.0,23039.55245928498,3781.515992872849,15.099876108333326,"[827.4477248274477, 1315.2434413152434, 2103.646250103646, 4191.2285801912285]"
