TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,4692.274011671543,8639,16,0,"(640, 360)",14.689975248182405,470324.0,70.0,101.17947834649385,4692.274011671543,99.33493551365935,16.38900498723388,"[14.689975248182405, 18.118032905357513, 26.346391537832876, 40.60275830259283]"
4692.274011671543,1,1000.0,93195,20,0,"(640, 360)",744.8144407448144,470324.0,97.31500831205646,0.0,5383.824778610654,288.57961745520106,16.28970768,"[744.8144407448144, 1248.6860652486862, 1977.6283939776283, 3771.4807477714808]"
5692.274011671543,2,1000.0,134549,22,1,"(854, 480)",1075.3156090753155,470324.0,97.1495128,0.0,5975.405777680098,381.13395513686197,14.663354262056458,"[680.4868326804868, 1075.3156090753155, 1753.7245217537245, 3400.324275400324]"
6692.274011671543,3,4711.917370557785,638505,15,0,"(640, 360)",1078.0843089941034,470324.0,95.30330810000001,0.0,9449.460874160222,1157.4752176892366,13.773285010140805,"[1078.0843089941034, 1872.1846928845096, 3059.1301818820366, 5808.785896201219]"
11404.191382229328,4,3199.7064352035522,450531,15,0,"(640, 360)",1125.2012438799538,742940.0,97.48039381690134,0.0,11994.585492459675,638.7954318931571,14.777585077499992,"[1125.2012438799538, 2244.9354599130934, 3505.845867402097, 6518.085803491069]"
14603.89781743288,5,2070.8459317684174,339177,15,0,"(640, 360)",1290.8108169822397,1100380.0,98.84652647916666,0.0,13670.324794842112,404.4592059585158,15.040649408786038,"[1290.8108169822397, 2549.5965466946896, 3922.538487666155, 7237.346237242532]"
16674.743749201298,6,5459.7620368003845,987521,25,2,"(1280, 720)",1443.707478921862,1100380.0,99.64781465079362,0.0,18103.74753540114,1069.6528325624722,14.909956963922781,"[628.0936942574009, 936.6984281649278, 1443.707478921862, 2758.185784388883]"
22134.505786001682,7,1000.0,572541,18,3,"(1920, 1080)",4575.747676575747,997136.0,97.87313903048775,0.0,18474.899032791058,690.0242628188174,16.037096217460288,"[769.3338967693338, 1450.0844654500845, 2373.1844423731845, 4575.747676575747]"
23134.505786001682,8,1000.0,721189,16,3,"(1920, 1080)",5763.7424937637425,934508.0,97.22143686666666,0.0,18623.124348862664,892.3486538258353,13.988632447154394,"[889.6774328896773, 1877.208913877209, 3107.609283107609, 5763.7424937637425]"
24134.505786001682,9,1000.0,403694,21,3,"(1920, 1080)",3226.3224512263223,934508.0,97.76901316666671,0.0,19268.72303683734,355.991517782177,14.26262725333332,"[594.6527525946527, 974.6883369746884, 1618.0842976180843, 3226.3224512263223]"
25134.505786001682,10,2276.383340358734,1311759,15,3,"(1920, 1080)",4558.077958495454,1873928.0,98.30795156666665,0.0,20677.260149735594,816.8473854750135,13.957247822463739,"[594.3164710798148, 1380.0066194617386, 2363.060971149745, 4558.077958495454]"
27410.889126360416,11,1000.0,801773,15,3,"(1920, 1080)",6407.76982240777,1873928.0,97.89024856521735,0.0,20862.169219531956,818.3681390399863,14.34721993333332,"[952.6144329526144, 2074.4594660744597, 3421.4870914214866, 6407.76982240777]"
28410.889126360416,12,1000.0,969038,15,3,"(1920, 1080)",7744.551703744552,1047484.0000000001,97.92146326666665,0.0,18777.79543739016,3151.9614193943307,14.58437248347828,"[982.072944982073, 2328.948722328949, 4020.935044020935, 7744.551703744552]"
29410.889126360416,13,1000.0,380104,15,1,"(854, 480)",3037.791171037791,224724.0,98.95566223333336,0.0,18903.93920231075,818.8187185791415,14.100364513333329,"[1326.1685053261683, 3037.791171037791, 5316.2304533162305, 10110.942946110943]"
30410.889126360416,14,4089.3836319446564,1540927,15,1,"(854, 480)",3003.6802186299374,729432.0,98.15418473333332,0.0,20307.944522591533,2775.644398982032,14.864630923008127,"[1508.2756187465034, 3003.6802186299374, 4995.237937440181, 9396.997736899455]"
34500.27275830507,15,1000.0,384857,26,3,"(1920, 1080)",3075.777147075777,526536.0,99.60032857723577,0.0,20433.38123313244,849.3920863510707,15.079801526666667,"[642.4768806424769, 952.2867609522867, 1600.2061936002062, 3075.777147075777]"
35500.27275830507,16,6061.493098735809,1077421,15,0,"(640, 360)",1419.3542650194584,526536.0,99.82536666666667,0.0,25146.284705555416,1385.0890668389102,15.0246297148039,"[1419.3542650194584, 3317.0495224642455, 5299.453837881061, 9948.948571641231]"
41561.76585704088,17,5454.317420721054,967519,17,0,"(640, 360)",1414.4655316686947,1275892.0,99.97443762087913,0.0,29648.86740535609,872.0062864246727,14.980507968699182,"[1414.4655316686947, 3072.8035234485087, 4907.404581645313, 9327.976500596933]"
47016.083277761936,18,8980.397671461105,1619096,15,0,"(640, 360)",1437.757249437757,1581664.0,99.93840772560975,0.0,37319.79852492217,1410.9564274994154,15.002581231990227,"[1437.757249437757, 3324.0157713240155, 5422.434365422434, 10158.223618158223]"
55996.48094922304,19,3298.4130680561066,2611554,19,3,"(1920, 1080)",6324.70954072333,458556.0,99.9437127777778,0.0,34084.402275901026,6083.522485512221,14.970177861973376,"[1039.7157027375326, 2027.6819898144372, 3218.0711245683488, 6324.70954072333]"
59294.89401727915,20,5424.6985912323,1624689,22,2,"(1280, 720)",2389.7879889063192,1040764.0,99.93645972727275,0.0,37523.077021355406,1996.5624831104146,14.979216685753258,"[839.716024131918, 1466.1706723503025, 2389.7879889063192, 4585.935207432854]"
64719.59260851145,21,2716.7368829250336,1667251,15,2,"(1280, 720)",4874.879982924407,1620960.0,99.9289921840491,0.0,39012.839260796936,1157.3243739533707,14.974766376053214,"[1237.3050533447804, 3046.2097264359923, 4874.879982924407, 9089.256155455145]"
