TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,4595.19400447607,376507,19,0,"(640, 360)",654.1399316553754,1334836.0,70.0,383.9065246767687,4595.19400447607,376.90775338299005,16.146111860869553,"[654.1399316553754, 1310.3821066084931, 2180.6882457887264, 4284.592489475211]"
4595.19400447607,1,1188.589334487915,1114559,15,3,"(1920, 1080)",7422.9641833465,1334836.0,96.91018643478259,0.0,4863.116097753035,861.3598991174804,14.866211383333342,"[1029.3497924160902, 2461.9759723809752, 3967.3426845298995, 7422.9641833465]"
5783.783338963985,2,1000.0,654534,20,3,"(1920, 1080)",5231.035733231036,2998776.0,94.77701897222224,0.0,5531.1862310572515,309.7547925869544,13.866301384782588,"[971.0759529710759, 1695.8784256958784, 2661.24009866124, 5231.035733231036]"
6783.783338963985,3,1000.0,1050999,15,3,"(1920, 1080)",8399.584016399584,2998776.0,96.0877701,0.0,6051.086335990773,448.9220991638273,13.219498842777757,"[1260.2984412602984, 2742.5826747425826, 4335.540124335541, 8399.584016399584]"
7783.783338963985,4,5003.210365772247,5597914,15,3,"(1920, 1080)",8947.705746547706,2998776.0,96.1620012333333,0.0,8922.503545278043,2080.3812372063003,13.548280169999979,"[1224.4703052244704, 2775.8261979758263, 4536.623639736624, 8947.705746547706]"
12786.993704736233,5,3761.3355219364166,3808147,17,3,"(1920, 1080)",8080.011945564931,2909132.0,96.9284286333333,0.0,10208.352101198101,2534.0842652820274,14.143475687286138,"[1259.1728757170588, 2524.7131831137876, 4117.837799703324, 8080.011945564931]"
16548.32922667265,6,1000.0,767302,19,3,"(1920, 1080)",6132.2775901322775,746624.0,97.93279301769911,0.0,10074.88170819977,1181.305072247033,13.528711976666678,"[1041.9809770419809, 1666.26007366626, 2779.897322779897, 6132.2775901322775]"
17548.32922667265,7,1210.0204527378082,706456,21,3,"(1920, 1080)",4577.8345137732385,683996.0,97.03592473333335,0.0,9753.890873062523,1679.9514205702371,14.390556031212633,"[844.2078524633718, 1436.7519650598426, 2378.2829297373655, 4577.8345137732385]"
18758.349679410458,8,2544.3260967731476,641186,28,3,"(1920, 1080)",1996.5032406520847,262792.0,97.08447397297296,0.0,7792.231215506701,4720.626707862895,15.089758045021654,"[411.00778597217226, 599.2131513025662, 1027.98185919861, 1996.5032406520847]"
21302.675776183605,9,1000.0,510337,16,2,"(1280, 720)",4078.613308078613,100696.0,93.89233337662338,0.0,5552.555687871814,3254.212016354231,13.854403522972959,"[1040.942017040942, 2454.9905544549906, 4078.613308078613, 7766.393839766393]"
22302.675776183605,10,2070.2188313007355,277687,15,0,"(640, 360)",1056.797434187304,410152.0,96.4601409,0.0,5924.445838557636,1598.5266727459496,14.148129614718618,"[1056.797434187304, 2582.8584911674125, 4235.531862868691, 8603.666235035218]"
24372.89460748434,11,1000.0,151634,15,0,"(640, 360)",1211.8589292118588,68768.0,97.5622715873016,0.0,5328.652474840899,1602.209516711167,14.36575495000001,"[1211.8589292118588, 3096.5563470965562, 5071.203725071204, 9933.776289933776]"
25372.89460748434,12,1000.0,156002,16,0,"(640, 360)",1246.767985246768,148588.0,98.35294840000002,0.0,5720.013111064506,621.9764297230398,14.507950421269838,"[1246.767985246768, 3189.7350751897347, 4913.785300913785, 9591.734673591734]"
26372.89460748434,13,1000.0,160719,18,0,"(640, 360)",1284.4662492844664,512076.0,98.7736293,0.0,6282.052807953796,410.37653539092264,15.05747769999999,"[1284.4662492844664, 2688.660650688661, 4210.153636210154, 8277.114608277114]"
27372.89460748434,14,4398.052513599396,1051711,15,0,"(640, 360)",1910.2897917629716,512076.0,99.82128756666665,0.0,8691.944315458437,2054.99088782844,15.104836615454541,"[1910.2897917629716, 4489.702579509054, 6980.732920958204, 13869.479729834045]"
31770.947121083736,15,2145.8091139793396,429096,15,0,"(640, 360)",1582.769743770391,337700.0,99.97033257575757,0.0,8925.261331248363,1857.4477947910996,14.971414009487182,"[1582.769743770391, 3453.860042898587, 5604.1821511631115, 10535.815525009728]"
33916.756235063076,16,1000.0,241839,15,0,"(640, 360)",1932.7772899327772,94556.0,99.92257127692308,0.0,7608.871632561979,2379.082549345172,15.051370575757566,"[1932.7772899327772, 3974.717307974717, 6329.6000703296, 11762.313923762315]"
34916.756235063076,17,1000.0,152127,19,0,"(640, 360)",1215.798985215799,20876.0,99.837924,0.0,6426.980836563728,1999.1100971525664,15.53017109358975,"[1215.798985215799, 2227.8659062278657, 3514.1063795141063, 6699.094206699094]"
35916.756235063076,18,3111.3161146640778,439573,18,0,"(640, 360)",1121.1916581379703,228408.0,98.78480036666666,0.0,3626.3169348420142,6370.186539927986,15.151004111702136,"[1121.1916581379703, 2242.9189502848744, 3516.1056856912387, 6921.054561338065]"
39028.072349727154,19,3489.253580570221,649432,15,0,"(640, 360)",1482.9313738474395,57716.0,99.37383977659573,5099.706013097444,3489.253580570221,8124.656572719161,14.571364197619046,"[1482.9313738474395, 3256.2851362521633, 5156.136256730405, 9809.381693299052]"
42517.325930297375,20,2827.3589611053467,572549,15,0,"(640, 360)",1614.9920491366877,217356.0,99.08307372380952,0.0,4847.758500588414,1476.6483684645875,14.691791168222784,"[1614.9920491366877, 3588.876548302817, 5741.596589767186, 10754.62472277755]"
45344.68489140272,21,1695.5241560935974,415700,15,0,"(640, 360)",1954.278716249966,514532.0,99.3819585764706,0.0,5219.845025301441,1248.3115574869169,15.036170074677866,"[1954.278716249966, 4350.505552676085, 6957.349759241041, 13030.930209872233]"
47040.20904749632,22,3448.320657014847,583979,15,0,"(640, 360)",1346.2961260607292,135080.0,99.9074624117647,0.0,6052.142862872912,2605.352608490566,14.848179646199085,"[1346.2961260607292, 3049.7793026615377, 4758.604055113674, 8896.008428485677]"
50488.529704511166,23,1000.0,213838,16,0,"(640, 360)",1708.9932977089934,422432.0,99.64395917307691,0.0,2661.055408027876,4239.418419860571,14.985273961764698,"[1708.9932977089934, 3968.8351959688353, 6094.131774094132, 11630.765603630764]"
51488.529704511166,24,1814.3586218357086,137022,30,0,"(640, 360)",597.3161054921917,77364.0,99.8443769,0.0,3397.6600734659287,1032.206274293243,22.190860118531468,"[597.3161054921917, 886.4099164709081, 1572.5854131145416, 3012.7797494399697]"
53302.888326346874,25,4587.121963500977,1196611,15,0,"(640, 360)",2078.9813675657306,1115024.0,84.90619810909088,0.0,6318.359417653447,1639.527872276368,14.973117140434777,"[2078.9813675657306, 4607.896659974091, 7292.284137292992, 13308.134791149294]"
57890.01028984785,26,1000.0,293154,17,0,"(640, 360)",2342.886770342887,351208.0,99.92925805072463,0.0,6701.5334429900695,612.2496255164781,16.398482069090907,"[2342.886770342887, 4963.471564963471, 7505.27122350527, 14210.655134210656]"
58890.01028984785,27,1266.8430507183075,465524,15,0,"(640, 360)",2937.2105036930125,1112568.0,99.81516979999999,0.0,7421.012215284322,520.4452250630027,14.996893077040419,"[2937.2105036930125, 6237.0578933462675, 9784.659308245296, 17632.796633896847]"
60156.85334056616,28,2023.2549607753754,360327,22,0,"(640, 360)",1416.2621126685135,1112568.0,99.86472994736842,0.0,9056.527675733776,420.9154127634162,14.940888218032775,"[1416.2621126685135, 2736.9857750609344, 3880.8098187601363, 7621.179255456872]"
62180.108301341534,29,1000.0,284825,15,0,"(640, 360)",2276.3214022763214,1112568.0,99.74856316393443,0.0,9704.645152876825,353.7502947444003,14.942538280701747,"[2276.3214022763214, 5313.816869313817, 8064.982952064983, 14949.211838949212]"
63180.108301341534,30,1000.0,96909,29,0,"(640, 360)",774.4967287744967,1090464.0,99.84438333333334,0.0,10541.985508386639,173.5468513258673,17.9213443806011,"[774.4967287744967, 1287.4792332874792, 1927.3507219273506, 3826.953219826953]"
64180.108301341534,31,1000.0,136436,30,1,"(854, 480)",1090.3965130903966,1090464.0,93.65443756666667,0.0,11320.25176744493,211.702506552498,19.339696183333338,"[694.7205846947206, 1090.3965130903966, 1707.267025707267, 3280.755963280756]"
65180.108301341534,32,2508.118689060211,733879,15,0,"(640, 360)",2315.1953038583615,1090464.0,91.0093743,0.0,12683.726185780533,1213.433743637308,15.594508493333327,"[2315.1953038583615, 5414.970568274623, 8338.825073377213, 15399.842815224289]"
67688.22699040174,33,1328.592598438263,1136019,15,2,"(1280, 720)",6809.297892809298,282440.0,99.93325374999999,0.0,12444.479233022003,1691.2251943093727,15.819728005,"[2029.5444260295446, 4174.868956174869, 6809.297892809298, 12473.082444473082]"
69016.81958884001,34,3896.3182270526886,2000959,15,1,"(854, 480)",4100.426649835652,815392.0,99.867775725,0.0,14023.886809794925,2401.371193894297,15.138489382478625,"[1924.9448756936647, 4100.426649835652, 6578.22733345902, 12293.505168159874]"
72913.1378158927,35,1000.0,1376248,15,3,"(1920, 1080)",10998.974026998974,1275892.0,99.58952873504273,0.0,13745.174164416021,1375.0559790790512,15.035928724999998,"[1888.197913888198, 3949.062987949063, 6168.257574168258, 10998.974026998974]"
73913.1378158927,36,1000.0,1893453,15,3,"(1920, 1080)",15132.476391132475,1021695.9999999999,99.663694,0.0,12332.013103248406,2555.0580559501836,14.93587164649573,"[2354.435210354435, 5303.219477303219, 8473.398128473398, 15132.476391132475]"
74913.1378158927,37,1619.4612681865692,1893673,15,2,"(1280, 720)",9265.85963761982,954156.0,99.82470753333334,0.0,10761.590288714455,3263.983705930266,14.969160404081633,"[2767.804629815385, 5989.954543452838, 9265.85963761982, 16551.125159636154]"
76532.59908407927,38,1921.714574098587,1884232,22,3,"(1920, 1080)",7789.023644774964,528040.0,99.89254967346939,0.0,8349.253685635207,4011.080220757232,14.957841339770116,"[1461.2252870272814, 2697.849239563079, 4081.0533316040305, 7789.023644774964]"
78454.31365817785,39,2783.5287153720856,1741088,15,1,"(854, 480)",4969.562256070084,558740.0,99.90052015517242,0.0,6664.782424539307,4513.176886205385,14.990448590136047,"[2155.3166597866493, 4969.562256070084, 7859.238055617894, 14434.715532986085]"
81237.84237354994,40,1000.0,963488,21,3,"(1920, 1080)",7700.196103700196,556284.0,99.80420216666668,0.0,6131.859403036404,1499.0260087024728,14.98911565517242,"[1157.0258171570256, 2544.7327225447325, 3650.3460036503457, 7700.196103700196]"
82237.84237354994,41,1413.4952425956726,894391,15,1,"(854, 480)",4986.958170240763,1065904.0,99.82280899999999,0.0,5929.459602363077,1495.5486659096978,14.940812076356595,"[2094.337202948491, 4986.958170240763, 7698.448808448474, 14283.323854448943]"
83651.33761614561,42,1000.0,1106582,15,2,"(1280, 720)",8843.803352843803,205076.0,99.8687204883721,0.0,5362.902713310985,1703.0456611867794,14.91788988333333,"[2543.58986654359, 5640.961397640961, 8843.803352843803, 15888.743367888743]"
84651.33761614561,43,1000.0,1002548,15,2,"(1280, 720)",8012.363624012363,1064676.0,99.80983823333332,0.0,5096.657690446738,1157.4855787295946,14.964038338372106,"[2297.396306297396, 5042.72023704272, 8012.363624012363, 15033.99097503399]"
85651.33761614561,44,1447.991132736206,994640,15,1,"(854, 480)",5419.883048902179,809252.0,99.8093643,0.0,4373.345315702334,2106.777122683408,14.93360934030304,"[2347.157448054845, 5419.883048902179, 8361.705156542144, 15432.945880317546]"
87099.32874888182,45,1000.0,604187,15,1,"(854, 480)",4828.662508828662,723292.0,99.85765527272729,0.0,4414.343613585105,1026.5684709130342,15.10010595,"[1844.4097458444098, 4828.662508828662, 7326.905767326905, 14489.567942489568]"
88099.32874888182,46,3667.6993370056152,959907,15,0,"(640, 360)",2092.248205001339,577160.0,99.4185167,0.0,6839.644035933844,1278.6743518491664,14.977799123636366,"[2092.248205001339, 5085.209341812482, 7759.2657023047195, 14701.045707791955]"
91767.02808588743,47,3101.6201972961426,1057745,19,1,"(854, 480)",2726.934942217516,1176424.0,99.93927441818182,0.0,8986.702631294611,908.9874887416736,15.03333808172043,"[1246.0198710774343, 2726.934942217516, 4064.9298460283144, 8129.356969459281]"
