TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,2183.5223138332367,35152,40,0,"(640, 360)",127.69764081587428,401376.40205875004,70.0,175.3853902599605,2183.5223138332367,172.18804362529974,13.334411416666661,"[127.69764081587428, 185.67597341206664, 370.34931400480065, 705.4212102250383]"
2183.5223138332367,1,5931.2943816185,291537,27,0,"(640, 360)",392.69048585576047,401376.40205875004,43.33117716666668,0.0,7212.093534947068,844.5717362991866,11.848500886516863,"[392.69048585576047, 571.9002982351543, 1028.2982445831333, 2056.5453044505616]"
8114.816695451736,2,1000.0,355712,15,1,"(854, 480)",2842.85030684285,401376.40205875004,89.7475014775281,0.0,7126.708574103491,1012.8741856521001,18.001739803333322,"[1306.3962973063963, 2842.85030684285, 4678.828492678828, 9055.231713055231]"
9114.816695451736,3,3048.004984855652,686275,24,2,"(1280, 720)",1788.492560923806,401376.40205875004,95.55809586666665,0.0,8164.367487252538,1879.7937425737534,12.502291580508064,"[681.5752234068337, 1049.799722191094, 1788.492560923806, 3632.966483111252]"
12162.821680307388,4,4850.28663277626,871009,15,0,"(640, 360)",1430.3638809755769,401376.40205875004,94.12840288043479,0.0,10630.808909672967,2326.354615100447,15.229314636621009,"[1430.3638809755769, 3054.332327901373, 5009.4832473851175, 9738.644345995042]"
17013.10831308365,5,8384.652227163315,1755471,19,1,"(854, 480)",1670.2053468385454,436702.4703975,99.64187370547945,0.0,14803.753397367822,4311.40315383225,12.618211278623214,"[901.8373038035262, 1670.2053468385454, 2694.807388033502, 5316.576455376571]"
25397.760540246964,6,1000.0,1118309,17,3,"(1920, 1080)",8937.525536937526,436702.4703975,95.05175261111116,0.0,7685.3767395593595,8460.988115368591,15.38191505547946,"[1358.6160253586158, 2982.926090982926, 4483.6478684836475, 8937.525536937526]"
26397.760540246964,7,2760.3927850723267,406001,20,0,"(640, 360)",1172.8048599064937,140357.35191375,98.51991729999999,0.0,7597.945092280646,3124.8670330203317,15.293299775033471,"[1172.8048599064937, 2327.000876712804, 3452.90810114406, 7412.079571436207]"
29158.15332531929,8,6166.341453790665,1366554,15,0,"(640, 360)",1771.0538423156927,140357.35191375,99.66412506024098,0.0,7191.497993022204,6885.8808882940575,15.132478048378372,"[1771.0538423156927, 4065.3559787715217, 6446.042988316561, 12440.57775675378]"
35324.494779109955,9,3060.614049434662,512231,15,0,"(640, 360)",1334.9187031067167,307740.66092,99.97411629729729,0.0,8428.202090300598,1832.093872495962,14.932593635280249,"[1334.9187031067167, 3207.999645572128, 4970.063875199691, 9581.214801533422]"
