TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,273539.0,70.0,1026.008086924716,4000.0,1007.3035443228435,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,672639,23,1,"(854, 480)",1345.278,273539.0,95.41290187500003,0.0,5147.8226104092755,2668.446446874409,17.59660667500003,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,894788,23,2,"(1280, 720)",1789.576,273539.0,99.32767779166672,0.0,5349.400647864853,3544.662668888497,15.378622200000006,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,689903,23,1,"(854, 480)",1379.806,270591.0,99.86652064583335,0.0,6393.647617465831,2763.8057592844048,15.789373651041714,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,270591.0,97.07660828125,0.0,6387.614250224397,3909.420868285906,16.287137937500013,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,1076880,23,3,"(1920, 1080)",2153.76,271436.0,97.15876541666667,0.0,6258.145992202332,4227.216980049389,14.182079471875037,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,274410.0,98.14956716666673,0.0,6289.569363269764,4136.058365810331,13.631848718750014,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,435542,23,1,"(854, 480)",871.084,270762.0,97.05383339583331,0.0,8673.539498064167,1773.2407913883587,15.967799614583392,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,810028,23,2,"(1280, 720)",1620.056,270762.0,94.36353510416667,0.0,9621.50370805905,3197.4183783892486,14.409157929166678,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,671505,23,2,"(1280, 720)",1343.01,276455.0,98.52423544791668,0.0,10996.456216163015,2636.8261323580787,13.895314177083323,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,715544,23,2,"(1280, 720)",1431.088,276455.0,97.21944614583332,0.0,12000.00379740116,2820.3663811828565,14.77349743750002,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,1142723,23,2,"(1280, 720)",2285.446,274026.0,97.50147602083332,0.0,11549.142034901688,4468.757193496089,14.493612710416674,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,274221.0,98.69259554166668,0.0,10211.58132561541,5454.522252378542,14.594615722916675,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,275913.0,98.90793887500001,0.0,8991.73201173334,4891.090953857795,14.661138802083336,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,273181.0,98.06291347916668,0.0,8187.636536324485,4965.5799484845775,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,1243237,23,2,"(1280, 720)",2486.474,274778.0,98.54670489583334,0.0,7205.675916622779,4838.572549168539,14.898157439583342,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,1148731,23,2,"(1280, 720)",2297.462,275872.0,99.50741464583335,0.0,6857.850258989441,4465.499115082676,15.034855679166665,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,865813,23,2,"(1280, 720)",1731.626,274292.0,99.81587694791666,0.0,7144.069413946133,3402.671114225562,14.788127647916665,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,1005469,23,2,"(1280, 720)",2010.938,274292.0,99.56478185416667,0.0,7493.424980183981,3933.5867119915415,15.208996942708318,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,951657,23,2,"(1280, 720)",1903.314,274826.0,99.21376001041669,0.0,7490.250019542004,3727.290421967643,15.548676671875008,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,1037168,23,3,"(1920, 1080)",2074.336,274318.0,98.03221036458332,0.0,7451.338913417378,4060.3431848260525,15.146143890624998,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,1007324,23,2,"(1280, 720)",2014.648,273735.0,98.13523223958339,0.0,7259.798283950482,3953.604225369715,14.73275946354167,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,528042,23,1,"(854, 480)",1056.084,273735.0,99.22663416666667,0.0,9087.979571009086,2162.960317805809,14.546716857291665,"[627.426, 1056.084, 1707.52, 3522.384]"
