TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,4473700.0,70.0,139.23720937965393,4000.0,136.69885870991044,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,2146441,23,3,"(1920, 1080)",4292.882,4473700.0,95.41290187500003,0.0,7374.674777134366,585.0431586712048,17.972187693749994,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,1849744,23,3,"(1920, 1080)",3699.488,4473700.0,99.95364615624999,0.0,10822.557398816856,515.2323462387781,15.419836518749996,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,2178019,23,3,"(1920, 1080)",4356.038,4473700.0,99.93521117708333,0.0,14139.976282536303,638.2541440210562,15.779253520833322,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,4104824.8750000005,98.34878527083333,0.0,17798.58760905121,333.1554887267684,16.355828468749998,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,1076880,23,3,"(1920, 1080)",2153.76,4104824.8750000005,97.15876541666667,0.0,21447.53316925831,359.36425614397893,14.274001687499968,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,3956276.0,98.14956716666673,0.0,25102.334930536035,359.7662831356931,13.631848718750014,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,3956276.0,97.05383339583331,0.0,28675.697921186194,468.1411924270517,14.274478703125062,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,3956276.0,97.75017692708333,0.0,32194.92102544921,503.6785241406974,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,3988732.0,99.09425481250001,0.0,35749.66802308674,447.250861466224,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,3988732.0,97.89924785416666,0.0,39262.82177378541,458.2368088800889,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,3988732.0,97.95194058333334,0.0,42619.90809592522,645.4986193777759,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,4111856.0000000005,99.3643802604167,0.0,46190.249315963294,439.0738586176169,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,4111856.0000000005,98.90793887500001,0.0,49738.395275774725,423.395212301016,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,3656119.875,98.06291347916668,0.0,53307.28919146544,445.59724902921914,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,2483595,23,3,"(1920, 1080)",4967.19,3656119.875,98.54670489583334,0.0,56578.48557481129,707.8275888677477,14.986005752083326,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,2245753,23,3,"(1920, 1080)",4491.506,5368648.625,99.65382849999999,0.0,59571.87196084019,520.3250597008087,15.101052441666665,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,1678223,23,3,"(1920, 1080)",3356.446,6149084.0,99.92620488541667,0.0,59671.00377442054,367.28677739900604,14.928609399999997,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,1946980,23,3,"(1920, 1080)",3893.96,3106816.0,99.82332041666666,0.0,59780.63024267604,420.62933409291406,15.106703432291674,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,1778392,23,3,"(1920, 1080)",3556.784,3863848.0,99.63900290624998,0.0,59623.03070747231,612.2801209423427,15.493382078125023,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,1037168,23,3,"(1920, 1080)",2074.336,5023560.5,98.65987667708328,0.0,59827.23553984537,297.36477516359633,15.57138678645829,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,2001318,23,3,"(1920, 1080)",4002.636,5038824.0,98.13523223958339,0.0,59799.176019166516,498.0837684181447,14.86931941979168,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,1761192,23,3,"(1920, 1080)",3522.384,7356623.375,99.55884514583335,0.0,59965.813963468034,332.00234146681106,15.139191657291658,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,1613576,23,3,"(1920, 1080)",3227.152,4009984.0,99.92119146875,0.0,59944.23032335099,503.56803733670233,14.800835547916659,"[628.596, 998.732, 1607.626, 3227.152]"
96000,24,4000,1619944,23,3,"(1920, 1080)",3239.888,5043867.875,99.59453343749999,0.0,59507.70741815107,418.07471820944875,15.256870848958343,"[556.426, 918.57, 1524.81, 3239.888]"
100000,25,4000,2017159,23,3,"(1920, 1080)",4034.318,5059228.0,99.3286412395833,0.0,59999.81693530779,499.69353094145885,14.959586068750005,"[822.0, 1293.066, 2092.558, 4034.318]"
104000,26,4000,2225766,23,3,"(1920, 1080)",4451.532,6219776.0,99.8650656875,0.0,59518.77151031583,477.47645755104185,14.921880638541683,"[895.924, 1399.338, 2298.148, 4451.532]"
108000,27,4000,2816074,23,3,"(1920, 1080)",5632.148,4401344.0,99.75790793750002,0.0,59726.302141320426,753.4961914025879,14.974063643749998,"[1178.302, 1813.666, 2850.406, 5632.148]"
112000,28,4000,2510434,23,3,"(1920, 1080)",5020.868,4697780.0,99.9342836875,0.0,59518.406234624345,768.46516155835,14.98837337499999,"[1022.462, 1647.7, 2573.388, 5020.868]"
