TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,107663.80529837501,70.0,2481.2126960108544,4000.0,2435.979184532453,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,395423,23,0,"(640, 360)",790.846,107663.80529837501,95.41290187500003,212.07796061366298,4000.0,3940.7452387000335,17.889060006249995,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,329063,23,0,"(640, 360)",658.126,107886.30703725,99.81510001041666,0.0,5330.73528267125,2490.940472173982,15.024722050000006,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,455186,23,0,"(640, 360)",910.372,157586.39237125,99.27668706250002,0.0,6029.896959085669,3086.4811353880045,16.36490452083332,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,282913,23,1,"(854, 480)",565.826,161723.7672575,96.90039097916667,0.0,8060.982139201518,1921.4309964754184,17.295654671875006,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,321793,23,1,"(854, 480)",643.586,161723.7672575,93.96206478125002,0.0,9936.770314376441,2174.49408351265,14.307027921875012,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,526768,23,2,"(1280, 720)",1053.536,161723.7672575,95.18672611458332,0.0,9980.489911021246,4123.243215336377,13.18681453437499,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,435542,23,1,"(854, 480)",871.084,123920.796286625,95.97170168749999,0.0,10592.720783995157,3717.3387306703744,13.004958562499986,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,487100,23,1,"(854, 480)",974.2,164644.37554125,94.36353510416667,0.0,11543.749338831522,3194.2080646222994,13.439780843749997,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,671505,23,2,"(1280, 720)",1343.01,164644.37554125,96.72825168749999,0.0,11220.623797516277,4342.523491859236,13.895314177083323,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,715544,23,2,"(1280, 720)",1431.088,167653.13681999999,97.21944614583332,0.0,10419.454106600453,4519.029737241177,13.828060443749994,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,699273,23,1,"(854, 480)",1398.546,198177.9757925,97.50147602083332,0.0,10640.427098715376,3794.2212153582805,14.091560312499993,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,271065,23,0,"(640, 360)",542.13,198177.9757925,96.25577166666665,0.0,13041.603430370105,1633.8585641651457,14.23510791666667,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,376206,23,1,"(854, 480)",752.412,178628.40318375,96.5327362083333,0.0,14590.28564306143,2296.9280401735055,13.806881447916645,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,381416,23,1,"(854, 480)",762.832,178628.40318375,94.8977804375,0.0,16326.341684162666,2340.0439862914586,13.65585299479163,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,793627,23,1,"(854, 480)",1587.254,171730.25220999998,95.75376642708335,0.0,15235.529749079033,4944.290965421178,14.94458723125,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,716257,23,1,"(854, 480)",1432.514,172554.89864875,99.05727545833334,0.0,15044.17902751229,4304.789200849743,14.899702801041675,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,865813,23,2,"(1280, 720)",1731.626,183141.97575875,99.12513240625002,0.0,13160.899407211156,5390.42729126822,14.833141566666667,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,605628,23,1,"(854, 480)",1211.256,170464.7326,99.56478185416667,0.0,13297.208427659,4163.145376704234,15.210168552083317,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,951657,23,2,"(1280, 720)",1903.314,153470.79973375,97.8299277083334,0.0,10749.122769645011,6096.814951956339,15.548676671875008,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,513050,23,2,"(1280, 720)",1026.1,175607.07276625,98.03221036458332,0.0,11709.025660944764,3056.2290806059514,14.165464036458424,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,632849,23,1,"(854, 480)",1265.698,189710.359385,97.32892734374995,0.0,11884.479540932738,3607.442474468878,14.078494219791649,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,853760,23,2,"(1280, 720)",1707.52,175950.33315375,98.13619209374997,0.0,10675.572027115104,5187.661467493798,15.172885278125007,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,803813,23,2,"(1280, 720)",1607.626,175950.33315375,99.84296335416667,0.0,8241.822869259433,6211.526180941967,14.69509680937497,"[628.596, 998.732, 1607.626, 3227.152]"
96000,24,4000,459285,23,1,"(854, 480)",918.57,135084.032845,99.18119336458328,0.0,8710.647522454587,3381.941979396205,16.697949093750005,"[556.426, 918.57, 1524.81, 3239.888]"
100000,25,4000,646533,23,1,"(854, 480)",1293.066,150283.98492375002,96.29002852083333,0.0,8276.319782527285,4362.761186843648,14.86623774999996,"[822.0, 1293.066, 2092.558, 4034.318]"
104000,26,4000,699669,23,1,"(854, 480)",1399.338,160006.42031875,98.62991122916664,0.0,6603.387538612827,5630.843681335644,14.06413686041668,"[895.924, 1399.338, 2298.148, 4451.532]"
108000,27,4000,589151,23,0,"(640, 360)",1178.302,114842.159621625,97.82189952083336,0.0,4848.52615840398,5471.840681405989,15.009450733333336,"[1178.302, 1813.666, 2850.406, 5632.148]"
112000,28,4000,511231,23,0,"(640, 360)",1022.462,129617.93406125,99.78740309375,0.0,4502.425460817969,4717.963394232727,15.10612325416666,"[1022.462, 1647.7, 2573.388, 5020.868]"
116000,29,4000,475777,23,0,"(640, 360)",951.554,86394.17959249999,99.81385534374999,1063.4079478192434,4000.0,5595.376527421509,15.527013437500003,"[951.554, 1495.798, 2449.83, 4675.656]"
120000,30,4000,425725,23,0,"(640, 360)",851.45,100456.030774375,98.5207793125,0.0,4840.128201899788,3371.3697264768302,15.676074869791641,"[851.45, 1323.934, 2189.5, 4266.51]"
124000,31,4000,393336,23,0,"(640, 360)",786.672,152244.45319375,98.2755609479167,0.0,5631.7332214977,3063.2471922265463,14.33745599479166,"[786.672, 1234.798, 1977.142, 3964.516]"
128000,32,4000,429122,23,0,"(640, 360)",858.244,125973.94914749998,98.36664663541667,0.0,6173.822183030219,3665.7204721919047,14.632410692708321,"[858.244, 1345.586, 2158.636, 4312.974]"
132000,33,4000,486071,23,0,"(640, 360)",972.142,125973.94914749998,99.09994464583332,0.0,6402.636158650139,4067.9703557615117,14.718469580208346,"[972.142, 1546.478, 2469.656, 4912.268]"
136000,34,4000,359270,23,1,"(854, 480)",718.54,138576.493605,99.25855707291669,0.0,7692.408005124969,2809.026673501977,17.000836671874993,"[462.746, 718.54, 1282.834, 2564.314]"
140000,35,4000,497080,23,2,"(1280, 720)",994.16,138576.493605,94.19821594791665,0.0,7878.385275757743,4101.386482187932,15.950177932291673,"[351.596, 590.192, 994.16, 2064.026]"
144000,36,4000,708795,23,2,"(1280, 720)",1417.59,114257.937524,96.61675828125003,0.0,5633.537891985156,6612.052495313862,14.254441623958371,"[516.708, 863.628, 1417.59, 2844.406]"
148000,37,4000,354306,23,1,"(854, 480)",708.612,107293.28040275001,97.79043869791673,0.0,6756.319908295471,2944.054509078997,14.393707338541695,"[438.478, 708.612, 1219.512, 2496.758]"
152000,38,4000,398045,23,0,"(640, 360)",796.09,150795.88436625,94.44610188541667,0.0,7987.8538707024945,2562.1615692268265,14.668887592708316,"[796.09, 1264.162, 2155.312, 4478.23]"
156000,39,4000,582807,23,1,"(854, 480)",1165.614,179529.2167,99.07988577083331,0.0,8336.53002044998,3688.243171844648,14.373742855208336,"[719.094, 1165.614, 1913.23, 3813.89]"
160000,40,4000,927568,23,2,"(1280, 720)",1855.136,167022.069825,98.03058840625,0.0,5541.26254845098,6645.006000777262,15.022751546874979,"[746.014, 1143.962, 1855.136, 3586.258]"
164000,41,4000,549204,23,1,"(854, 480)",1098.408,139534.6236075,98.11426844791667,0.0,5033.7276910498,4171.828962907199,14.047329151041673,"[691.972, 1098.408, 1760.274, 3479.57]"
168000,42,4000,430598,23,0,"(640, 360)",861.196,143689.80094125,97.96651851041666,0.0,6058.507162953023,3234.4413706641744,14.640552286458341,"[861.196, 1318.216, 2157.336, 4321.938]"
172000,43,4000,539302,23,1,"(854, 480)",1078.604,143689.80094125,99.08663188541668,0.0,5983.576856384828,3724.929203284636,14.42450577604167,"[671.866, 1078.604, 1763.546, 3460.81]"
176000,44,4000,592911,23,0,"(640, 360)",1185.822,166979.74481124998,97.08402546874999,0.0,6014.998249898164,3850.6411420198756,14.783608073958323,"[1185.822, 1900.512, 2886.508, 5434.422]"
180000,45,4000,556002,23,1,"(854, 480)",1112.004,151588.65216875,99.48711877083332,0.0,6333.501464112185,3940.877808362407,13.70926831249998,"[692.832, 1112.004, 1847.566, 3629.656]"
184000,46,4000,529980,23,1,"(854, 480)",1059.96,151588.65216875,96.74951431250001,0.0,6765.626463889561,3672.049451724188,16.81809001562501,"[666.512, 1059.96, 1769.992, 3636.33]"
188000,47,4000,595698,23,1,"(854, 480)",1191.396,161667.47171875002,95.33805751041662,0.0,6608.507304538617,3958.6437348798154,14.841191306249998,"[752.852, 1191.396, 1999.57, 4018.974]"
192000,48,4000,588838,23,3,"(1920, 1080)",1177.676,161667.47171875002,99.19357122916666,0.0,6126.756507801951,4387.137208939377,13.561561048958326,"[219.172, 344.158, 592.382, 1177.676]"
196000,49,4000,349843,23,3,"(1920, 1080)",699.686,107663.80529837501,96.82561133333331,0.0,6751.260379812201,3497.8892099709915,16.039756250000003,"[147.134, 201.088, 351.406, 699.686]"
200000,50,4000,124481,23,3,"(1920, 1080)",582.935528377664,107886.30703725,96.30762995833332,0.0,9576.2223958746,1294.5436726618664,13.857007882113805,"[130.70051330741722, 181.18715730481117, 297.0568384501148, 582.935528377664]"
