TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,7642,23,0,"(640, 360)",15.268716015268716,365011.0,70.0,103.93300960368371,4000.0,102.038268781806,16.32723322499998,"[15.268716015268716, 16.859124016859123, 24.61735802461736, 36.603360036603355]"
4000,1,4000,223305,23,0,"(640, 360)",446.16339044616336,365011.0,97.21205537499996,0.0,7226.177228309233,723.9748246952615,15.641594670000007,"[446.16339044616336, 693.8954106938954, 1177.7590631777591, 2313.74993631375]"
8000,2,4000,1209444,23,3,"(1920, 1080)",2416.469114416469,365011.0,96.06932445000001,0.0,7402.921681008191,3567.8372086551394,13.752043066666616,"[439.561998439562, 700.6886107006885, 1241.751007241751, 2416.469114416469]"
12000,3,4000,1489202,23,3,"(1920, 1080)",2975.4255989754256,365011.0,96.9200246166667,0.0,6689.258535478147,4407.556793465881,14.258983829999972,"[641.4998586414999, 991.6273809916273, 1548.9694815489695, 2975.4255989754256]"
16000,4,4000,1054238,23,2,"(1280, 720)",2106.367526106367,361557.0,98.10986045833329,0.0,7451.822791650074,3159.359320407128,14.942546848333322,"[891.9591488919591, 1431.2113574312114, 2106.367526106367, 4049.658292049658]"
20000,5,4000,1190981,23,3,"(1920, 1080)",2379.58004037958,359225.0,99.39091551666665,0.0,7964.636359318146,3569.7316889928275,14.678708649999948,"[460.9605784609606, 742.3309267423309, 1218.1825992181825, 2379.58004037958]"
24000,6,4000,1011357,23,3,"(1920, 1080)",2020.6912880206912,360519.0,96.86230361666668,0.0,9054.521839995155,3032.9270739946405,15.696163995833302,"[362.89474236289476, 601.3620366013621, 1019.955025019955, 2020.6912880206912]"
28000,7,4000,1623028,23,3,"(1920, 1080)",3242.80994724281,360519.0,97.3895030416667,0.0,8658.629140814968,4823.534772830994,14.512614178333305,"[596.1532505961532, 972.3826449723825, 1671.243085671243, 3242.80994724281]"
32000,8,4000,690095,23,1,"(854, 480)",1378.8098113788099,359906.0,98.66474089999996,0.0,10655.689761631218,2098.3486506856907,14.535345950833335,"[839.9392208399393, 1378.8098113788099, 2229.0007702290004, 4309.867822309868]"
36000,9,4000,718290,23,1,"(854, 480)",1435.1434214351434,359906.0,98.79049375833334,0.0,12510.8031598231,2154.510750777822,14.76699555,"[901.3137849013137, 1435.1434214351434, 2282.695022282695, 4458.5070344585065]"
