TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,4704.800464212894,176042,33,1,"(854, 480)",299.11563179579696,7184384.0,70.0,107.75754038630322,4704.800464212894,105.79307682065054,5.876203391150426,"[201.55753639345392, 299.11563179579696, 563.9244293043844, 1087.1686433393731]"
4704.800464212894,1,1000.0,463654,15,1,"(854, 480)",3709.232,7184384.0,79.79367231858404,0.0,5546.681798743675,147.93301166881713,17.903706124999992,"[1780.784, 3709.232, 5827.936, 11263.864]"
5704.800464212894,2,1000.0,519646,24,3,"(1920, 1080)",4157.168,7184384.0,99.83951020833332,0.0,6379.367334636017,156.13676962056655,16.8989249431416,"[811.224, 1300.56, 2082.096, 4157.168]"
6704.800464212894,3,5812.812626361847,7069487,15,3,"(1920, 1080)",9695.29701115983,7184384.0,99.797153625,0.0,10934.50411603486,1176.0020907945689,14.999882930595241,"[1263.2243007556744, 3026.21777292673, 4855.5074774575705, 9695.29701115983]"
12517.613090574741,4,1000.0,1785907,15,3,"(1920, 1080)",14287.256,5557488.0,99.97305658571429,0.0,11505.902932154382,418.2647169482252,14.932650462500009,"[2330.776, 4746.296, 7484.152, 14287.256]"
13517.613090574741,5,1000.0,569223,25,3,"(1920, 1080)",4553.784,5557488.0,99.85394304166668,0.0,12322.430631995016,187.81527648159704,15.094355252380957,"[975.128, 1457.28, 2396.28, 4553.784]"
14517.613090574741,6,1007.0102214813232,172226,22,3,"(1920, 1080)",1322.6952567375179,5557488.0,99.75740266666666,0.0,13221.38027451422,112.62094786633628,16.944188881666697,"[234.81592485890405, 386.34227637047155, 695.8231373365961, 1322.6952567375179]"
15524.623312056065,7,1635.5676651000977,69532,40,3,"(1920, 1080)",333.7535332492934,5557488.0,95.81950831999997,0.0,14772.038238220784,93.16990319140022,29.767520116666667,"[54.9359890128022, 77.67358446528311, 162.0959675808065, 333.7535332492934]"
17160.190977156162,8,10000.0,6288682,15,3,"(1920, 1080)",5030.9456,5557488.0,69.9797651,0.0,23495.749797072454,1337.0839657966776,14.355084558000005,"[656.2792, 1542.7944, 2557.5432, 5030.9456]"
27160.190977156162,9,3161.1448526382446,1038378,26,3,"(1920, 1080)",2623.270460708373,3436280.0,98.22839231666667,0.0,26260.58778469912,398.0851018206347,16.726770424210542,"[488.1498433526481, 739.0357116804514, 1309.091230621976, 2623.270460708373]"
30321.335829794407,10,1706.756442785263,1169633,15,3,"(1920, 1080)",5477.306824840356,3436280.0,97.87457822368424,0.0,27501.687707682864,438.2922903776606,14.650547450813015,"[640.727539654154, 1479.0839959188284, 2795.9701065307527, 5477.306824840356]"
32028.09227257967,11,1000.0,753378,15,3,"(1920, 1080)",6027.024,3436280.0,97.15568973170731,0.0,28192.15086245494,310.78138966679387,14.357725352631585,"[856.032, 1890.192, 3051.936, 6027.024]"
33028.09227257967,12,1000.0,624662,17,3,"(1920, 1080)",4997.296,3436280.0,98.57530529166668,0.0,28957.72866596813,239.5590714245424,14.896947426829273,"[788.592, 1595.32, 2525.752, 4997.296]"
34028.09227257967,13,4805.603981018066,3971815,17,3,"(1920, 1080)",6574.03907407166,4776143.875,99.354194,0.0,32743.75459176223,955.3626365028299,14.817566020833333,"[899.9255793052125, 2001.4048276830915, 3316.4311252711123, 6574.03907407166]"
38833.696253597736,14,1000.0,586128,16,3,"(1920, 1080)",4689.024,4776143.875,99.45849425,0.0,33523.25917809113,227.90712850369124,15.542712979166673,"[612.312, 1372.928, 2318.504, 4689.024]"
39833.696253597736,15,6543.292135000229,6625442,15,3,"(1920, 1080)",8051.170432970655,3914462.5,97.62296204166667,0.0,38172.45567956691,1839.5808071281226,14.903772958860763,"[1305.070243294696, 2530.077697725453, 4198.246693582111, 8051.170432970655]"
46376.988388597965,16,2755.0393640995026,2964593,15,3,"(1920, 1080)",8495.54907515832,4014344.0000000005,99.10944258227848,0.0,39976.6973383191,976.5309481526438,15.121329497325876,"[1258.227431853441, 2705.4286918891116, 4528.548713009109, 8495.54907515832]"
49132.02775269747,17,1000.0,995675,15,3,"(1920, 1080)",7965.4,3385684.0,99.8060428358209,0.0,40561.81622052465,380.12582170565355,14.993814166772166,"[1017.208, 2529.912, 4270.176, 7965.4]"
50132.02775269747,18,2105.624794960022,2062156,15,3,"(1920, 1080)",7763.4108235294125,3909032.0,99.84126404166669,0.0,42077.83684477579,635.3012935979519,15.168755178958165,"[1026.1044705882352, 2283.5463529411763, 3862.753882352941, 7763.4108235294125]"
52237.65254765749,19,1962.5592529773712,1905395,15,3,"(1920, 1080)",7621.58,3909032.0,99.27457531372548,0.0,43427.74447005172,570.4298628926888,15.222842583333367,"[886.968, 2183.464, 3859.424, 7621.58]"
54200.21180063486,20,2236.8261218070984,786479,21,3,"(1920, 1080)",2796.369777777778,4738552.0,99.23684291666665,0.0,45411.20500638483,254.7100446674316,14.972784517429169,"[484.576, 891.072, 1419.0186666666668, 2796.369777777778]"
56437.03792244196,21,2843.3679938316345,1401489,20,3,"(1920, 1080)",3899.7954782608695,4738552.0,98.60358159259262,0.0,47839.692325429474,391.3296169267254,14.63722545615943,"[656.848695652174, 1204.9252173913044, 1916.5913043478263, 3899.7954782608695]"
59280.405916273594,22,3320.690155029297,3402345,17,3,"(1920, 1080)",8165.628816562882,4738552.0,99.26818291304349,0.0,50211.29957846847,945.2117909660886,14.579173170740741,"[1275.5737275573729, 2607.4682607468258, 4160.808416080841, 8165.628816562882]"
62601.09607130289,23,3824.3856728076935,5221383,15,3,"(1920, 1080)",10896.800251895673,3606665.375,99.06588555,0.0,52242.664199205145,1731.08974793031,15.049637076086956,"[1817.3991145564448, 3520.4517843871117, 5742.382412381079, 10896.800251895673]"
66425.48174411058,24,1000.0,1265891,15,3,"(1920, 1080)",10127.128,3329744.0,99.96075894565217,0.0,52741.28928512591,480.1859728871839,15.001875994999994,"[1282.256, 3221.224, 5016.088, 10127.128]"
67425.48174411058,25,1000.0,1048916,15,3,"(1920, 1080)",8391.328,3329744.0,99.84744091666666,0.0,53322.9438276578,411.59369166613345,15.027364466485515,"[1182.784, 2658.992, 4274.384, 8391.328]"
68425.48174411058,26,1000.0,847564,16,3,"(1920, 1080)",6780.512,3329744.0,99.86678895833332,0.0,53973.342154632606,347.00791176379784,14.93076408333334,"[898.696, 2149.416, 3502.48, 6780.512]"
69425.48174411058,27,1403.8140773773193,1032506,18,3,"(1920, 1080)",5830.620745736295,3358516.0,99.85918029166668,0.0,54952.670556480116,403.60971960610925,14.942691767156845,"[901.6261407938492, 1839.1958025421643, 2978.9696520071407, 5830.620745736295]"
70829.2958214879,28,1000.0,850289,17,3,"(1920, 1080)",6802.312,3358516.0,99.84819438235294,0.0,55633.48210869412,346.49896937563466,14.939205229166667,"[967.64, 2224.848, 3607.312, 6802.312]"
71829.2958214879,29,6690.965443849564,2661980,26,3,"(1920, 1080)",3174.5353130203885,3358516.0,99.83995012500002,0.0,59517.00726778422,811.7261306503756,15.153700702228726,"[664.66110134962, 985.5658626368131, 1681.8497233217254, 3174.5353130203885]"
78520.26126533747,30,1000.0,624672,15,3,"(1920, 1080)",4997.376,3443695.75,99.38898736024844,0.0,59763.061512688524,270.9429640188773,15.876599958333337,"[615.272, 1508.672, 2468.064, 4997.376]"
79520.26126533747,31,1000.0,460413,19,3,"(1920, 1080)",3683.304,3076992.0,97.92670033333336,0.0,59514.301423943056,237.5061823878303,14.963517985248437,"[608.584, 1172.464, 1868.992, 3683.304]"
80520.26126533747,32,5274.8172879219055,1216121,26,3,"(1920, 1080)",1838.5450180444082,2948888.0,98.85093875,0.0,59804.15817809364,514.1051163764282,14.130726884514466,"[361.2094260655479, 539.2508636692369, 936.4187126665378, 1838.5450180444082]"
85795.07855325937,33,1487.878531217575,1830253,15,3,"(1920, 1080)",9761.349333333334,1513804.0,97.59194689763778,0.0,59537.24486099934,1353.5413020159888,15.053499375,"[1570.608, 3292.304, 5296.608, 9761.349333333334]"
87282.95708447695,34,3982.6319813728333,4384252,15,3,"(1920, 1080)",8768.504,1511108.0,99.89765541666667,0.0,59505.34156283093,3124.4269960925403,15.212175160236217,"[1134.422, 2637.832, 4325.822, 8768.504]"
91265.58906584978,35,2106.9463193416595,2345540,15,3,"(1920, 1080)",8830.26823529412,1386690.75,99.95228308333333,0.0,59826.785776700824,1920.0289874819246,14.973166011274513,"[1333.9821176470589, 2737.0578823529413, 4451.941647058823, 8830.26823529412]"
93372.53538519144,36,1000.0,544667,21,3,"(1920, 1080)",4357.336,1291824.0,99.93821925490197,0.0,59738.49885047019,622.8789591642364,15.127885104166658,"[744.04, 1269.528, 2151.192, 4357.336]"
94372.53538519144,37,2381.01926445961,2036649,15,3,"(1920, 1080)",6742.009552826268,982096.0,99.64879595833334,0.0,59913.53706700334,1745.6102474760926,15.045836642833002,"[965.5347633745155, 2126.0951550213576, 3374.1843621814673, 6742.009552826268]"
96753.55464965105,38,2166.293144226074,1713466,17,3,"(1920, 1080)",6326.642718978043,1008304.0000000001,99.78476522413793,0.0,59929.09212839739,1990.4663400154589,14.973997965705125,"[950.7284691186971, 1892.536324225181, 3121.5096736138967, 6326.642718978043]"
98919.84779387712,39,1000.0,996334,15,3,"(1920, 1080)",7970.672,884288.0,99.89812926923076,0.0,59899.50193198522,1040.0006045623015,15.036450265804596,"[1032.576, 2477.36, 4031.408, 7970.672]"
99919.84779387712,40,1000.0,993062,15,3,"(1920, 1080)",7944.496,1094829.125,99.49662991666666,0.0,59962.555632609125,916.2279200069058,14.961158915064097,"[1075.216, 2528.856, 4100.072, 7944.496]"
