TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0.0,0,1000.0,40353,36,1,"(854, 480)",322.5011763225012,7184384.0,70.0,87.50768522083278,1000.0,85.91238470901098,1.8264271333333326,"[227.08468822708465, 322.5011763225012, 641.4618966414619, 1207.9348572079348]"
1000.0,1,2226.9421815872192,240477,15,0,"(640, 360)",860.548701471527,7184384.0,66.34714573333333,0.0,3103.7740918746786,115.23387449926484,16.617143220895517,"[860.548701471527, 2055.068754308187, 3457.6217508831087, 6942.41152923484]"
3226.9421815872192,2,1842.6299095153809,189770,23,1,"(854, 480)",812.4867877775904,7184384.0,97.69523870149253,0.0,4830.88191798972,107.80445682425133,13.564175865952366,"[524.6291881072605, 812.4867877775904, 1317.442809473732, 2606.8765102071943]"
5069.5720911026,3,1000.0,340056,26,3,"(1920, 1080)",2717.7275547177273,7184384.0,91.99815073214283,0.0,5692.0417544576385,129.82385187241192,15.833696401492524,"[573.1702565731701, 817.0381448170381, 1335.1994653351994, 2717.7275547177273]"
6069.5720911026,4,4217.392057180405,4673557,15,3,"(1920, 1080)",8823.08662202946,7184384.0,93.7230846,0.0,9125.780930243329,764.7537219907131,13.762764600801482,"[1198.1807502458366, 2712.325527997053, 4500.325304283987, 8823.08662202946]"
10286.964148283005,5,2455.711543560028,1161209,23,3,"(1920, 1080)",3762.3168590146506,7184384.0,96.60429945669294,0.0,11337.14013799415,250.13640461839105,13.042576029189181,"[726.595861872331, 1134.5247892380169, 1952.4303238055738, 3762.3168590146506]"
12742.675691843033,6,1659.6498787403107,1944828,15,3,"(1920, 1080)",9325.83923492584,7184384.0,95.69147414864864,0.0,12573.977332274295,440.6562110916244,13.906449522330691,"[1380.0585613800586, 2998.5200813985202, 4757.797444757798, 9325.83923492584]"
14402.325570583344,7,5101.860135793686,3813253,19,3,"(1920, 1080)",5975.591883026891,5557488.0,97.61146577999997,0.0,16941.394899325787,805.8907510722365,13.94640035768415,"[1006.9920207321887, 1872.484895021748, 3045.0460862215373, 5975.591883026891]"
19504.18570637703,8,1000.0,182137,33,3,"(1920, 1080)",1455.638905455639,5222360.0,97.52591295424835,0.0,17829.989669411796,116.71197655748298,17.865511679999962,"[291.93976829193974, 421.0745044210745, 753.0062407530062, 1455.638905455639]"
20504.18570637703,9,1972.9710519313812,305576,32,3,"(1920, 1080)",1221.0816972210816,5222360.0,89.49190820000003,0.0,19662.000570830474,141.59264152000648,17.22261623758169,"[256.5352082565352, 361.56207636156205, 645.2141406452141, 1221.0816972210816]"
22477.15675830841,10,1000.0,100098,36,3,"(1920, 1080)",799.9832167999832,5222360.0,90.60659343333333,0.0,20555.570211897128,100.17599625255127,11.929536950000035,"[175.0088161750088, 243.748008243748, 442.2533044422533, 799.9832167999832]"
