TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,390156,23,1,"(854, 480)",780.312,4473700.0,70.0,174.99124904162684,4000.0,171.80108776086672,14.614862081249985,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,672639,23,1,"(854, 480)",1345.278,4473700.0,94.35810346874997,0.0,7745.327094775137,238.26744140903034,17.59660667500003,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,1849744,23,3,"(1920, 1080)",3699.488,4473700.0,99.32767779166672,0.0,11193.209716457626,515.2323462387781,15.525316359375001,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,2178019,23,3,"(1920, 1080)",4356.038,4473700.0,99.93521117708333,0.0,14540.581937945357,610.2459827902796,15.15328515625005,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,4104824.8750000005,98.34878527083333,0.0,18199.193264460264,333.1554887267684,16.355828468749998,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,1076880,23,3,"(1920, 1080)",2153.76,4104824.8750000005,97.15876541666667,0.0,21851.27625532369,356.15255930664813,14.274001687499968,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,4104824.8750000005,98.14956716666673,0.0,25515.234160882395,350.2237315629653,13.631848718750014,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,3956276.0,97.05383339583331,0.0,29088.597151532555,468.1411924270517,14.274478703125062,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,3956276.0,97.75017692708333,0.0,32606.408118927513,505.1579276226325,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,3956276.0,99.09425481250001,0.0,36159.77297842034,448.6392012923596,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
