TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,390156,23,1,"(854, 480)",780.312,107663.80529837501,70.0,3966.526140790031,4000.0,3894.214764176786,14.614862081249985,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,395423,23,0,"(640, 360)",790.846,107886.30703725,94.35810346874997,0.0,4051.4758129087577,3694.1690148357934,17.889060006249995,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,329063,23,0,"(640, 360)",658.126,158358.51174000002,99.81510001041666,0.0,5612.759906707744,2275.7938212174654,15.130201890625013,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,455186,23,0,"(640, 360)",910.372,157586.39237125,99.27668706250002,0.0,6339.1858918343805,3060.987377057471,16.36490452083332,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,169085,23,0,"(640, 360)",338.17,161723.7672575,96.90039097916667,0.0,9129.466852922222,1180.5445491689886,16.50323259375004,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,194410,23,0,"(640, 360)",388.82,161723.7672575,95.54690893749995,0.0,11815.19644932561,1345.380523428708,13.686852416666675,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,183032,23,0,"(640, 360)",366.064,161723.7672575,96.427077125,0.0,14595.353115453801,1271.3231210544895,13.069809395833282,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,263946,23,0,"(640, 360)",527.892,161723.7672575,94.95419908333334,0.0,16707.57160294977,2071.4290343731227,13.620356874999992,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,304745,23,0,"(640, 360)",609.49,123920.796286625,95.61344050000001,0.0,18160.287630703664,2668.6228957434373,13.600633435416666,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,242148,23,0,"(640, 360)",484.296,123920.796286625,96.82675557291667,0.0,20032.933549112815,2136.8995617925866,12.915443031250003,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,261553,23,0,"(640, 360)",523.106,123920.796286625,95.79464513541667,0.0,22102.57922838842,1816.9173639646049,14.106058286458321,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,458806,23,0,"(640, 360)",917.612,164644.37554125,95.44139457291669,0.0,23101.332045663643,3013.3141968735345,13.399299961458336,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,271065,23,0,"(640, 360)",542.13,164644.37554125,96.631274125,0.0,25331.627465386864,1808.483975922153,13.375502267708313,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,376206,23,1,"(854, 480)",752.412,167653.13681999999,96.5327362083333,0.0,26725.425445202156,2442.057300571978,14.182383906250003,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,381416,23,1,"(854, 480)",762.832,167653.13681999999,94.8977804375,0.0,28331.137882511855,2474.768949338824,13.65585299479163,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,793627,23,1,"(854, 480)",1587.254,167653.13681999999,95.75376642708335,0.0,27778.875457748574,4421.241693072607,14.94458723125,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,716257,23,1,"(854, 480)",1432.514,198177.9757925,99.05727545833334,0.0,27685.377940710874,4204.2876093323175,14.899702801041675,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,530394,23,1,"(854, 480)",1060.788,178628.40318375,99.12513240625002,0.0,28140.461632036506,3247.9526469561283,15.114144416666683,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,381818,23,0,"(640, 360)",763.636,171730.25220999998,97.8862620833333,0.0,29894.181151861943,2420.377883560359,15.201487348958338,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,369484,23,0,"(640, 360)",738.968,171730.25220999998,97.84729011458336,0.0,31378.825635357283,2342.0061867612653,14.582328911458305,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,180062,23,0,"(640, 360)",360.124,172554.89864875,96.60786634375,0.0,34209.230486976085,1175.801488310521,14.754490067708367,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,402627,23,0,"(640, 360)",805.254,173219.58457,96.18560009374998,0.0,35652.58343991118,2411.5167814418633,14.534650159374994,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,313713,23,0,"(640, 360)",627.426,183141.97575875,98.65906132291666,0.0,37684.39005394343,1960.1655360315349,15.074281959374987,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,314298,23,0,"(640, 360)",628.596,170464.7326,99.48806994791664,0.0,39591.281665274764,2020.8120081725342,14.461211687499976,"[628.596, 998.732, 1607.626, 3227.152]"
96000,24,4000,278213,23,0,"(640, 360)",556.426,170464.7326,98.39569927083336,0.0,41713.95821753762,1797.9846236046847,16.04285959895831,"[556.426, 918.57, 1524.81, 3239.888]"
100000,25,4000,411000,23,0,"(640, 360)",822.0,170464.7326,96.89042069791667,0.0,42845.4096160293,2822.252489041395,14.658199172916671,"[822.0, 1293.066, 2092.558, 4034.318]"
104000,26,4000,447962,23,0,"(640, 360)",895.924,153470.79973375,99.16294850000001,0.0,43669.346351628694,3152.4994473637594,14.24380346145834,"[895.924, 1399.338, 2298.148, 4451.532]"
108000,27,4000,589151,23,0,"(640, 360)",1178.302,153470.79973375,98.22140921875001,0.0,43764.946463445,3712.383797481706,14.95614700625,"[1178.302, 1813.666, 2850.406, 5632.148]"
112000,28,4000,511231,23,0,"(640, 360)",1022.462,175607.07276625,99.78740309375,0.0,44910.503030124324,3098.6763921036404,15.066172284374995,"[1022.462, 1647.7, 2573.388, 5020.868]"
