TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,8438,23,1,"(854, 480)",16.859124016859123,1058828.0,70.0,92.19267775933612,4000.0,88.38861955214435,15.456453320000088,"[15.268716015268716, 16.859124016859123, 24.61735802461736, 36.603360036603355]"
4000,1,4000,223305,23,0,"(640, 360)",446.16339044616336,1058828.0,95.76075553333348,0.0,7691.794943897139,301.99818548134556,15.641594670000007,"[446.16339044616336, 693.8954106938954, 1177.7590631777591, 2313.74993631375]"
8000,2,4000,350695,23,1,"(854, 480)",700.6886107006885,1058828.0,96.06932445000001,0.0,11259.304494327884,428.64267999991256,13.51482531250015,"[439.561998439562, 700.6886107006885, 1241.751007241751, 2416.469114416469]"
12000,3,4000,496310,23,1,"(854, 480)",991.6273809916273,1058828.0,94.49186044166666,0.0,14725.877701406702,541.6980014447843,13.062802225000027,"[641.4998586414999, 991.6273809916273, 1548.9694815489695, 2975.4255989754256]"
16000,4,4000,716322,23,1,"(854, 480)",1431.2113574312114,1883156.0,96.11622445000005,0.0,18231.45609859978,480.40398028349057,14.68336746083333,"[891.9591488919591, 1431.2113574312114, 2106.367526106367, 4049.658292049658]"
20000,5,4000,1190981,23,3,"(1920, 1080)",2379.58004037958,1883156.0,98.55425584166666,0.0,21512.71052639045,727.8307617229178,13.505759725000003,"[460.9605784609606, 742.3309267423309, 1218.1825992181825, 2379.58004037958]"
24000,6,4000,1011357,23,3,"(1920, 1080)",2020.6912880206912,2261944.0,96.86230361666668,0.0,24918.913434901515,550.6510487392586,14.85950432083331,"[362.89474236289476, 601.3620366013621, 1019.955025019955, 2020.6912880206912]"
28000,7,4000,1623028,23,3,"(1920, 1080)",3242.80994724281,2261944.0,97.3895030416667,0.0,28064.413461301156,781.9845505270519,14.512614178333305,"[596.1532505961532, 972.3826449723825, 1671.243085671243, 3242.80994724281]"
32000,8,4000,2157091,23,3,"(1920, 1080)",4309.867822309868,2722960.0,98.66474089999996,0.0,31044.258029832137,1044.5046055494822,15.221934490833334,"[839.9392208399393, 1378.8098113788099, 2229.0007702290004, 4309.867822309868]"
36000,9,4000,2231485,23,3,"(1920, 1080)",4458.5070344585065,1149844.0,99.93480799166667,0.0,33622.331858875084,1343.5374672001608,15.104271510000007,"[901.3137849013137, 1435.1434214351434, 2282.695022282695, 4458.5070344585065]"
40000,10,4000,2075676,23,3,"(1920, 1080)",4147.2006521472,2979884.0,99.95124266666667,0.0,36713.43171341941,903.6778059187684,15.021220687499998,"[785.3758387853758, 1274.4622632744622, 2132.5113561325115, 4147.2006521472]"
44000,11,4000,3222569,23,3,"(1920, 1080)",6438.692868438693,2119600.0,99.82717460833335,0.0,38823.86271884232,1864.199270348597,14.978620958333334,"[1278.1565652781564, 2105.136758105137, 3239.035725239036, 6438.692868438693]"
48000,12,4000,1963941,23,3,"(1920, 1080)",3923.954121923954,2193896.0,99.95624204166667,0.0,41726.32375235337,1011.4454129733533,14.916370287500023,"[698.1291726981292, 1204.668127204668, 1981.5764419815764, 3923.954121923954]"
52000,13,4000,1996625,23,3,"(1920, 1080)",3989.2567539892566,3016064.0,99.82160864166666,0.0,45016.13208642651,776.8388357527525,15.03463348333333,"[766.4367967664368, 1258.4702712584701, 2044.2377180442377, 3989.2567539892566]"
56000,14,4000,2041411,23,3,"(1920, 1080)",4078.7391820787393,3016064.0,99.84321711666668,0.0,48362.56114871503,712.396463027538,14.967117480833336,"[786.3448687863449, 1265.3194152653193, 2078.907014078907, 4078.7391820787393]"
60000,15,4000,2242934,23,3,"(1920, 1080)",4481.382136481382,3690288.0,99.91546390833334,0.0,51711.84596750864,719.7828998427053,14.991549268333328,"[853.7773688537773, 1432.0804874320806, 2322.1015763221017, 4481.382136481382]"
64000,16,4000,1846121,23,3,"(1920, 1080)",3688.5497616885496,3690288.0,99.95978496666666,0.0,55066.34465883238,605.2384450535856,14.97607285416667,"[696.283020696283, 1162.2286091622286, 1887.5625498875625, 3688.5497616885496]"
68000,17,4000,2467478,23,3,"(1920, 1080)",4930.021048930021,3699852.125,99.946032075,0.0,58165.49587881702,853.3744094027186,15.021267616666655,"[775.8833407758833, 1492.324183492324, 2526.0833905260833, 4930.021048930021]"
72000,18,4000,2423801,23,3,"(1920, 1080)",4842.754402842755,2806646.625,99.87703470000001,0.0,59615.06784744932,978.0499581464109,14.986657350000009,"[857.9851568579852, 1520.575903520576, 2485.525988485526, 4842.754402842755]"
76000,19,4000,1623382,23,3,"(1920, 1080)",3243.517239243517,4108667.9999999995,99.91874944999999,0.0,59529.387077921,534.5150300154246,15.021856212500012,"[593.0743325930742, 982.6064109826063, 1648.5997516485997, 3243.517239243517]"
80000,20,4000,3132492,23,3,"(1920, 1080)",6258.719022258719,3766999.0,99.710356975,0.0,59532.49150364301,940.6168566172507,14.978400945,"[1162.6641731626642, 2024.865110024865, 3086.2246890862243, 6258.719022258719]"
84000,21,4000,2442253,23,3,"(1920, 1080)",4879.621498879622,6173325.375,99.95045981666667,0.0,59523.40795790614,513.0360408328929,15.005885782500005,"[900.5885109005885, 1520.3221575203222, 2438.1474144381477, 4879.621498879622]"
88000,22,4000,2335720,23,3,"(1920, 1080)",4666.768564666769,4687639.625,99.96153580000001,0.0,59852.93226801883,634.8565337904549,15.175131704166667,"[908.2048869082049, 1532.288179532288, 2429.727842429728, 4666.768564666769]"
92000,23,4000,1872669,23,3,"(1920, 1080)",3741.5926657415926,2865304.0,99.550656225,0.0,59643.597109025606,767.9655793297289,15.170690062500015,"[727.6995727276995, 1140.865993140866, 1900.8512479008514, 3741.5926657415926]"
96000,24,4000,2378880,23,3,"(1920, 1080)",4753.002244753002,4359980.0,99.58169147499999,0.0,59970.95222069016,654.3338755054648,14.968698322500002,"[905.7573369057574, 1515.2092755152091, 2431.504064431504, 4753.002244753002]"
100000,25,4000,2487230,23,3,"(1920, 1080)",4969.485544969485,3643452.0,99.87293990833334,0.0,59594.64556461527,943.6140239975849,14.99193687750001,"[1007.907085007907, 1707.528763707529, 2673.561764673562, 4969.485544969485]"
104000,26,4000,2024213,23,3,"(1920, 1080)",4044.377578044377,1450500.0,99.91684337500001,0.0,59682.4718491627,1296.8407601704203,14.97741720416667,"[744.8563987448564, 1259.768971259769, 2063.997938063998, 4044.377578044377]"
108000,27,4000,2494650,23,3,"(1920, 1080)",4984.310704984311,1517848.0,99.941185325,0.0,59881.320644547304,2291.1396931772188,14.986046677500003,"[823.8932828238933, 1610.4419476104417, 2431.9636044319636, 4984.310704984311]"
112000,28,4000,2645828,23,3,"(1920, 1080)",5286.364349286365,611344.0,99.962885025,0.0,59549.619417154885,2372.1888258675585,14.978381127499997,"[1005.5394550055395, 1742.1680897421681, 2694.7465586947465, 5286.364349286365]"
116000,29,4000,2540008,23,3,"(1920, 1080)",5074.9359890749365,1593336.0,99.9541661,0.0,59509.153015216434,1616.5898011818829,15.042234433333341,"[969.1179129691179, 1624.1362396241361, 2597.6117905976116, 5074.9359890749365]"
120000,30,4000,2484593,23,3,"(1920, 1080)",4964.216818964217,1465276.0,99.84130118333333,0.0,59562.5509759739,1845.388499889689,15.172577454166657,"[976.0969269760969, 1549.6468035496468, 2432.1014664321015, 4964.216818964217]"
124000,31,4000,2719153,23,3,"(1920, 1080)",5432.867699432868,1769942.0,99.56317729166668,0.0,59955.183743711175,1621.5884552717512,14.967407571666662,"[965.7592749657592, 1717.3769057173768, 2700.8844147008845, 5432.867699432868]"
128000,32,4000,2623153,23,3,"(1920, 1080)",5241.05969924106,2588212.0,99.91922948333332,0.0,59754.92456822363,1184.053287066572,15.017403875833333,"[964.2847509642847, 1699.6386616996388, 2644.8125426448123, 5241.05969924106]"
132000,33,4000,2295512,23,3,"(1920, 1080)",4586.432980586433,2706146.125,99.956202675,0.0,59873.58573846154,975.1934352832508,15.077690791666654,"[909.7833069097833, 1469.3112194693113, 2355.5321123555323, 4586.432980586433]"
136000,34,4000,2429800,23,3,"(1920, 1080)",4854.74040485474,1465393.375,99.68307738333334,0.0,59790.61005322547,2035.0957843971494,14.978926392499996,"[840.1929668401929, 1440.7578014407577, 2360.9986403609983, 4854.74040485474]"
140000,35,4000,2672137,23,3,"(1920, 1080)",5338.92973133893,2699448.0,99.95757776666666,0.0,59629.5492701717,1135.6015673699574,14.982793146666674,"[967.6673649676674, 1703.137159703137, 2652.045302652045, 5338.92973133893]"
144000,36,4000,2504376,23,3,"(1920, 1080)",5003.743253003743,2792148.0,99.91850147500001,0.0,59613.36332288246,992.9637043490168,15.003875429166662,"[932.5145529325146, 1581.2711475812712, 2569.957472569957, 5003.743253003743]"
148000,37,4000,2120158,23,3,"(1920, 1080)",4236.075688236076,5873008.0,99.907404675,0.0,59612.53808752579,460.00037853820305,15.218611662499995,"[826.3388348263388, 1336.4202433364203, 2176.3055181763057, 4236.075688236076]"
152000,38,4000,39385,23,3,"(1920, 1080)",78.69123007869122,3530776.0,99.39977962500004,0.0,59517.46011597639,91.74186488659777,16.857510899999966,"[24.74123402474123, 31.820148031820146, 47.50045204750045, 78.69123007869122]"
156000,39,4000,1986902,23,3,"(1920, 1080)",3969.83019996983,4217618.375,96.09978755000006,0.0,59957.75148145587,575.8902403002937,14.870984812500033,"[762.5886487625886, 1265.8049292658047, 2004.6213740046212, 3969.83019996983]"
160000,40,4000,394430,23,3,"(1920, 1080)",4728.426844728427,4971079.125,99.057589625,0.0,59796.289806179906,163.5209947868634,15.233802694999998,"[854.4926528544927, 1462.7397974627397, 2413.1963904131962, 4728.426844728427]"
