TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,8438,23,1,"(854, 480)",16.859124016859123,622150.6891675,70.0,96.02706556889925,4000.0,94.2764533059395,15.456453320000088,"[15.268716015268716, 16.859124016859123, 24.61735802461736, 36.603360036603355]"
4000,1,4000,223305,23,0,"(640, 360)",446.16339044616336,622150.6891675,95.76075553333348,0.0,7510.662940099464,457.8150516097204,15.641594670000007,"[446.16339044616336, 693.8954106938954, 1177.7590631777591, 2313.74993631375]"
8000,2,4000,220001,23,0,"(640, 360)",439.561998439562,622150.6891675,96.06932445000001,0.0,11026.063618083666,452.2249352642802,13.14689375416679,"[439.561998439562, 700.6886107006885, 1241.751007241751, 2416.469114416469]"
12000,3,4000,496310,23,1,"(854, 480)",991.6273809916273,622150.6891675,95.22772355833338,0.0,14042.470115560607,919.7187177377143,13.062802225000027,"[641.4998586414999, 991.6273809916273, 1548.9694815489695, 2975.4255989754256]"
16000,4,4000,716322,23,1,"(854, 480)",1431.2113574312114,622150.6891675,96.11622445000005,0.0,16718.579924702826,1291.9622641641618,14.609781149166658,"[891.9591488919591, 1431.2113574312114, 2106.367526106367, 4049.658292049658]"
20000,5,4000,371537,23,1,"(854, 480)",742.3309267423309,622150.6891675,98.55425584166666,0.0,20026.353328411155,708.61230527718,13.662310733333392,"[460.9605784609606, 742.3309267423309, 1218.1825992181825, 2379.58004037958]"
24000,6,4000,300982,23,1,"(854, 480)",601.3620366013621,622150.6891675,94.90782743333331,0.0,23513.119081479046,534.8937412895264,15.922398037500002,"[362.89474236289476, 601.3620366013621, 1019.955025019955, 2020.6912880206912]"
28000,7,4000,486678,23,1,"(854, 480)",972.3826449723825,704115.34116,95.26371560833331,0.0,26777.146875778024,807.5691944660191,13.201769606666675,"[596.1532505961532, 972.3826449723825, 1671.243085671243, 3242.80994724281]"
32000,8,4000,2157091,23,3,"(1920, 1080)",4309.867822309868,704115.34116,96.15425391666668,0.0,27627.47346220724,3299.7069337965854,15.434513234166673,"[839.9392208399393, 1378.8098113788099, 2229.0007702290004, 4309.867822309868]"
36000,9,4000,2231485,23,3,"(1920, 1080)",4458.5070344585065,706663.504095,99.93480799166667,0.0,28234.386505290946,3408.3118057791585,15.355320208333335,"[901.3137849013137, 1435.1434214351434, 2282.695022282695, 4458.5070344585065]"
