TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,418502,23,1,"(854, 480)",836.166996836167,7475200.0,70.0,141.51180879563123,4000.0,138.93199125811103,13.937023730000002,"[520.449030520449, 836.166996836167, 1445.1054494451055, 2861.8353028618353]"
4000,1,4000,490994,23,1,"(854, 480)",981.0060129810059,7475200.0,93.22837288333334,0.0,7840.59117526679,149.1400617339582,13.086021069999983,"[619.6697106196697, 981.0060129810059, 1637.0832796370833, 3337.680981337681]"
8000,2,4000,1962693,23,3,"(1920, 1080)",3921.46061792146,7475200.0,91.81003511666664,0.0,11458.698694185947,356.37957935291996,13.135425696666665,"[720.8803987208804, 1158.4164251584164, 1937.128933937129, 3921.46061792146]"
12000,3,4000,2143844,23,3,"(1920, 1080)",4283.400316283401,7475200.0,95.76377164166666,0.0,15050.287764917754,381.88863103821194,13.866408848333334,"[821.183994821184, 1297.2294732972296, 2152.2575901522578, 4283.400316283401]"
16000,4,4000,1773086,23,3,"(1920, 1080)",3542.6258315426257,7475200.0,96.74568726666666,0.0,18712.460691107604,329.6797832552271,13.422355625833358,"[689.9853246899853, 1074.2386870742387, 1781.9422757819423, 3542.6258315426257]"
20000,5,4000,1582456,23,3,"(1920, 1080)",3161.747091161747,7475200.0,96.66455465000004,0.0,22426.181666197645,293.0555411778392,13.941286341666661,"[636.9364266369364, 989.931078989931, 1596.5318715965318, 3161.747091161747]"
24000,6,4000,2105498,23,3,"(1920, 1080)",4206.785008206784,7907612.375,95.60880185,0.0,26080.494384810278,360.275964362824,14.128222524999998,"[791.6135947916135, 1336.8418213368416, 2091.060848091061, 4206.785008206784]"
28000,7,4000,2946914,23,3,"(1920, 1080)",5887.934177887934,7907612.375,97.99112998333334,0.0,29650.08359595319,472.282093473519,15.39891734,"[1052.856091052856, 1862.0101278620102, 2834.5985668345984, 5887.934177887934]"
32000,8,4000,2357441,23,3,"(1920, 1080)",4710.167122710168,7907612.375,99.932995875,0.0,33104.623025705005,571.4433814012702,14.630746846666645,"[916.4026809164026, 1492.7018054927016, 2397.544058397544, 4710.167122710168]"
36000,9,4000,2097712,23,3,"(1920, 1080)",4191.2285801912285,3677789.75,99.0497664083333,0.0,36427.26968437504,680.3926392847341,15.967118916666657,"[827.4477248274477, 1315.2434413152434, 2103.646250103646, 4191.2285801912285]"
40000,10,4000,2054930,23,3,"(1920, 1080)",4105.75014410575,3677789.75,97.9317539166667,0.0,39931.351111740725,466.7759986123688,15.098932662499976,"[819.4137668194137, 1310.3982913103982, 2086.2776360862777, 4105.75014410575]"
44000,11,4000,2618701,23,3,"(1920, 1080)",5232.164603232165,5990400.0,97.90166749166664,0.0,43393.35672772511,540.1574800382366,14.794825503333339,"[1049.7332170497332, 1730.5577117305577, 2688.8784326888785, 5232.164603232165]"
48000,12,4000,2303994,23,3,"(1920, 1080)",4603.38001660338,5990400.0,99.31333482500001,0.0,46960.49316448368,442.34886805811004,14.358685385833345,"[865.6015328656015, 1474.9835414749837, 2343.8877683438877, 4603.38001660338]"
52000,13,4000,2888604,23,3,"(1920, 1080)",5771.430797771431,7774208.0,98.58142022500002,0.0,50457.70818726589,471.1183993885531,14.894434147499991,"[1113.5932931135933, 1917.4266559174266, 2953.5335129535333, 5771.430797771431]"
56000,14,4000,3706156,23,3,"(1920, 1080)",7404.899695404899,7774208.0,99.70961271666665,0.0,53892.5709875064,584.1336754510728,15.096179097499999,"[1451.5949534515948, 2522.8526245228527, 3825.274899825275, 7404.899695404899]"
60000,15,4000,3439413,23,3,"(1920, 1080)",6871.947180871946,7299964.0,99.92386853333333,0.0,57299.5505884099,575.9524097436789,14.994580723333339,"[1294.5341712945342, 2427.9995724279997, 3477.475047477475, 6871.947180871946]"
64000,16,4000,3345361,23,3,"(1920, 1080)",6684.031284684032,7299964.0,99.94256999166667,0.0,59752.11127673491,562.255700744169,15.003598404166674,"[1259.9447952599448, 2345.4422123454424, 3396.8337693968338, 6684.031284684032]"
68000,17,4000,2820424,23,3,"(1920, 1080)",5635.207157635207,5326030.0,99.84054025833332,0.0,59556.404807070816,637.4259567484698,15.095340445833344,"[1109.2076831092074, 1845.2029518452027, 2895.3497548953496, 5635.207157635207]"
72000,18,4000,3153016,23,3,"(1920, 1080)",6299.725974299726,7802490.5,99.69445909166666,0.0,59587.383752961374,505.3724128887201,14.982396908333321,"[1238.6281332386282, 2179.1306901791304, 3273.906819273907, 6299.725974299726]"
76000,19,4000,3450347,23,3,"(1920, 1080)",6893.793312893793,3098552.0,99.7162867,0.0,59891.61344870923,647.8202967458232,14.935997120833331,"[1351.599049351599, 2372.1035243721035, 3564.8715635648714, 6893.793312893793]"
80000,20,4000,3305094,23,3,"(1920, 1080)",6603.577818603578,5140080.0,99.84240505,0.0,59510.24240748458,886.0479486941045,14.996261105,"[1183.2116051832115, 2252.9547922529546, 3299.555145299555, 6603.577818603578]"
84000,21,4000,3394360,23,3,"(1920, 1080)",6781.931286781932,6361332.0,99.94648295833333,0.0,59851.56789671121,621.2842864100143,14.923833974999988,"[1249.4473032494475, 2303.556140303556, 3448.094457448094, 6781.931286781932]"
88000,22,4000,3207203,23,3,"(1920, 1080)",6407.991600407991,5091328.0,99.84679079999998,0.0,59626.30455175264,722.3051471823375,15.086044554166676,"[1173.0178091730177, 2123.824052123824, 3217.0157672170158, 6407.991600407991]"
92000,23,4000,2962167,23,3,"(1920, 1080)",5918.40967191841,5457920.0,99.72087680833332,0.0,59906.199128601525,695.2328384577966,15.039289837499972,"[1112.3845031123847, 1977.978043977978, 2964.0210149640207, 5918.40967191841]"
96000,24,4000,3363995,23,3,"(1920, 1080)",6721.262016721262,6127616.0,99.61500192500002,0.0,59719.28565039637,657.8833674337708,14.997172354166668,"[1341.3353233413352, 2370.6589703706586, 3475.159365475159, 6721.262016721262]"
100000,25,4000,3302514,23,3,"(1920, 1080)",6598.422978598423,7442432.0,99.948766725,0.0,59663.21506818492,547.0960414976972,14.837449767499988,"[1276.6460772766459, 2282.617100282617, 3356.6579853566577, 6598.422978598423]"
104000,26,4000,2856236,23,3,"(1920, 1080)",5706.759533706759,6981632.0,99.66491659999998,0.0,59648.75905109614,510.6391701147119,15.326783633333342,"[1050.9759730509759, 1947.928123947928, 2840.588570840588, 5706.759533706759]"
108000,27,4000,3757576,23,3,"(1920, 1080)",7507.636855507636,4867776.0,99.24396618333331,0.0,59710.0367120236,892.5565264085154,15.002583155000007,"[1413.0095774130095, 2537.9575045379574, 3808.37981180838, 7507.636855507636]"
112000,28,4000,3658024,23,3,"(1920, 1080)",7308.731959308731,3191688.25,99.94845802500001,0.0,59823.21902520951,962.6959140801682,15.041509036666671,"[1429.473097429473, 2546.6967565466966, 3739.259001739259, 7308.731959308731]"
116000,29,4000,2625461,23,3,"(1920, 1080)",5245.671083245671,5904819.125,99.94317609166667,0.0,59643.888965225786,682.9359042809499,16.11552631250001,"[1012.4944930124944, 1772.5936337725936, 2647.8574946478575, 5245.671083245671]"
120000,30,4000,2824450,23,3,"(1920, 1080)",5643.251105643251,5917658.375,97.665863425,0.0,59595.53265073487,585.0591404083436,15.016624274999998,"[1121.1397391211397, 1857.121021857121, 2884.1409748841406, 5643.251105643251]"
124000,31,4000,3493656,23,3,"(1920, 1080)",6980.324694980324,7361342.625,99.85310363333335,0.0,59814.02237128906,1223.5347546983999,15.1601325575,"[1323.3293473233293, 2496.1553484961555, 3540.292167540292, 6980.324694980324]"
128000,32,4000,3513422,23,3,"(1920, 1080)",7019.817163019818,3698688.0,99.87786483333333,0.0,59565.91755177621,793.0635351015449,14.951184111666668,"[1305.9027913059026, 2441.847710441848, 3515.307177515307, 7019.817163019818]"
132000,33,4000,3030423,23,3,"(1920, 1080)",6054.785160054786,5010322.375,99.89415745833334,0.0,59800.20103363791,825.976781990109,15.30878000833333,"[1154.718127154718, 2131.1826861311824, 3071.137791071138, 6054.785160054786]"
136000,34,4000,3563691,23,3,"(1920, 1080)",7120.254625120254,7211479.5,99.13816965000001,0.0,59682.94593899475,639.7564806314772,15.070820800000007,"[1375.7488753757489, 2483.591924483592, 3679.0572636790575, 7120.254625120254]"
