TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,418502,23,1,"(854, 480)",836.166996836167,401376.40205875004,70.0,1199.4101287047397,4000.0,1177.5443967135636,13.937023730000002,"[520.449030520449, 836.166996836167, 1445.1054494451055, 2861.8353028618353]"
4000,1,4000,310145,23,0,"(640, 360)",619.6697106196697,401376.40205875004,93.22837288333334,0.0,7045.116273193705,893.372234586043,15.571409085000022,"[619.6697106196697, 981.0060129810059, 1637.0832796370833, 3337.680981337681]"
8000,2,4000,360801,23,0,"(640, 360)",720.8803987208804,401376.40205875004,95.95234847500004,0.0,9945.429689965265,1026.220366637795,13.307577736666648,"[720.8803987208804, 1158.4164251584164, 1937.128933937129, 3921.46061792146]"
12000,3,4000,411003,23,0,"(640, 360)",821.183994821184,401376.40205875004,96.0506917083333,0.0,12707.13681116326,1157.8778588452737,13.113773282499968,"[821.183994821184, 1297.2294732972296, 2152.2575901522578, 4283.400316283401]"
16000,4,4000,345338,23,0,"(640, 360)",689.9853246899853,401376.40205875004,96.18168021666662,0.0,15697.110456701066,985.6678029549887,13.035939862499966,"[689.9853246899853, 1074.2386870742387, 1781.9422757819423, 3542.6258315426257]"
20000,5,4000,495461,23,1,"(854, 480)",989.931078989931,401376.40205875004,96.02950369166668,0.0,18407.718814058077,1319.912856849255,14.9731199916666,"[636.9364266369364, 989.931078989931, 1596.5318715965318, 3161.747091161747]"
24000,6,4000,669090,23,1,"(854, 480)",1336.8418213368416,436702.4703975,92.41712045000004,0.0,20783.484132031714,1692.7805792278082,13.657328354166665,"[791.6135947916135, 1336.8418213368416, 2091.060848091061, 4206.785008206784]"
28000,7,4000,931937,23,1,"(854, 480)",1862.0101278620102,436702.4703975,94.74435067500002,0.0,22663.3828664529,2326.3493620646336,15.197739795,"[1052.856091052856, 1862.0101278620102, 2834.5985668345984, 5887.934177887934]"
32000,8,4000,747098,23,1,"(854, 480)",1492.7018054927016,436702.4703975,99.06575306666667,0.0,21501.35431443828,5407.919859928614,13.166892952499987,"[916.4026809164026, 1492.7018054927016, 2397.544058397544, 4710.167122710168]"
36000,9,4000,658280,23,1,"(854, 480)",1315.2434413152434,140357.35191375,96.06888003333331,0.0,20506.892314756813,5016.872250306338,16.758366362500006,"[827.4477248274477, 1315.2434413152434, 2103.646250103646, 4191.2285801912285]"
