TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,273539.0,70.0,1026.008086924716,4000.0,1007.3035443228435,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,672639,23,1,"(854, 480)",1345.278,273539.0,95.41290187500003,0.0,5147.8226104092755,2668.446446874409,17.59660667500003,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,894788,23,2,"(1280, 720)",1789.576,273539.0,99.32767779166672,0.0,5349.400647864853,3544.662668888497,15.378622200000006,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,689903,23,1,"(854, 480)",1379.806,270591.0,99.86652064583335,0.0,6393.647617465831,2763.8057592844048,15.789373651041714,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,270591.0,97.07660828125,0.0,6387.614250224397,3909.420868285906,16.287137937500013,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,271436.0,97.15876541666667,0.0,8282.343776832673,2155.1043709876517,13.685328821874979,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,526768,23,2,"(1280, 720)",1053.536,274410.0,97.32164941666663,0.0,10266.734355321458,2100.6721022519123,14.172914572916675,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,737536,23,2,"(1280, 720)",1475.072,274410.0,95.97170168749999,0.0,11610.340318290193,2914.813869399227,13.896329614583316,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,810028,23,2,"(1280, 720)",1620.056,270762.0,96.85063960416663,0.0,12528.047783092448,3229.1163923725594,14.517371100000009,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,671505,23,2,"(1280, 720)",1343.01,270762.0,98.52423544791668,0.0,13873.752635799809,2666.2050225678954,13.646603727083328,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,715544,23,2,"(1280, 720)",1431.088,276455.0,97.21944614583332,0.0,14894.14734596022,2804.5092710434456,14.77349743750002,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,699273,23,1,"(854, 480)",1398.546,276455.0,97.50147602083332,0.0,16148.919874452327,2756.2651157682267,14.091560312499993,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,727617,23,2,"(1280, 720)",1455.234,274026.0,96.25577166666665,0.0,17335.53304352829,2875.036352678021,14.078946672916668,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,638791,23,2,"(1280, 720)",1277.582,274026.0,98.04849045833333,0.0,18632.769138500116,2532.537491291138,13.631445870833314,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,625297,23,2,"(1280, 720)",1250.594,274221.0,97.0950383958333,0.0,20233.1490906126,2480.2806802580862,14.133796249999989,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,793627,23,1,"(854, 480)",1587.254,274221.0,97.82938841666669,0.0,21028.298546832077,3112.610285195867,14.724861435416672,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,716257,23,1,"(854, 480)",1432.514,275913.0,99.05727545833334,0.0,22289.833407971026,2812.5814182082954,14.692140602083342,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,865813,23,2,"(1280, 720)",1731.626,275913.0,99.12513240625002,0.0,22561.594734524337,3415.917785780853,14.833141566666667,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,1005469,23,2,"(1280, 720)",2010.938,273181.0,99.56478185416667,0.0,22903.493949347703,3941.620966046165,14.615742765625013,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,951657,23,2,"(1280, 720)",1903.314,274778.0,99.21376001041669,0.0,22905.559467376253,3722.411098393925,15.548676671875008,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,513050,23,2,"(1280, 720)",1026.1,275872.0,98.03221036458332,0.0,24878.694508855235,2037.6203151423392,15.549296338541716,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,632849,23,1,"(854, 480)",1265.698,275872.0,97.32892734374995,0.0,26232.690674230962,2495.801154203656,14.078494219791649,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,853760,23,2,"(1280, 720)",1707.52,274292.0,98.13619209374997,0.0,26862.5283421085,3356.4161435335527,15.172885278125007,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,803813,23,2,"(1280, 720)",1607.626,274292.0,99.84296335416667,0.0,27587.684242220163,3161.730332635402,14.69509680937497,"[628.596, 998.732, 1607.626, 3227.152]"
