TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,1058828.0,70.0,333.31401866012516,4000.0,319.5608013865579,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,2146441,23,3,"(1920, 1080)",4292.882,1058828.0,95.41290187500003,0.0,6354.181959341007,1612.6732902967021,17.972187693749994,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,1849744,23,3,"(1920, 1080)",3699.488,1883156.0,99.95364615624999,0.0,9366.444556857188,978.9497265396108,15.419836518749996,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,2178019,23,3,"(1920, 1080)",4356.038,2261944.0,99.93521117708333,0.0,12403.730993118346,977.6412065566661,15.779253520833322,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,2722960.0,98.34878527083333,0.0,15928.632789947313,461.62842912434303,16.355828468749998,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,1076880,23,3,"(1920, 1080)",2153.76,2722960.0,97.15876541666667,0.0,18943.040022380934,998.0509967684527,14.274001687499968,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,1149844.0,98.14956716666673,0.0,22369.150125588472,532.190335822017,13.631848718750014,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,2979884.0,97.05383339583331,0.0,25718.624633522697,595.3199534648082,14.274478703125062,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,2979884.0,97.75017692708333,0.0,28930.42841287153,807.0089685856319,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,2119600.0,99.09425481250001,0.0,32052.37643336343,829.6462620308783,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,1722744.0,97.89924785416666,0.0,35131.80487635378,915.2821561191873,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
