TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,3938196.0,70.0,147.09011054065115,4000.0,144.4085983050428,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,2146441,23,3,"(1920, 1080)",4292.882,3938196.0,95.41290187500003,0.0,7301.272095505878,653.7174023200898,17.972187693749994,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,1849744,23,3,"(1920, 1080)",3699.488,3938196.0,99.95364615624999,0.0,10653.716233161382,604.2949187601189,15.419836518749996,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,2178019,23,3,"(1920, 1080)",4356.038,3213676.0,99.93521117708333,0.0,13805.20929542008,793.4047050627906,15.779253520833322,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,3213676.0,98.34878527083333,0.0,17397.351066911226,398.0220142131782,16.355828468749998,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,1076880,23,3,"(1920, 1080)",2153.76,3302092.0,97.15876541666667,0.0,20983.854188807425,423.2847706050716,14.274001687499968,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,3302092.0,98.14956716666673,0.0,24585.47522752033,415.19133675831785,13.631848718750014,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,3302092.0,97.05383339583331,0.0,28095.361164036407,537.7934334723598,14.274478703125062,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,3374544.0,97.75017692708333,0.0,31543.212373890656,578.4501921631954,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,3374544.0,99.09425481250001,0.0,35057.53900458623,487.85259540098184,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,3749084.0,97.89924785416666,0.0,38545.00570208247,482.4143665913847,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,3749084.0,97.95194058333334,0.0,41778.157436749134,769.9315065008686,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,2926324.0,99.3643802604167,0.0,45206.147575496296,584.5442678254356,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,2926324.0,98.90793887500001,0.0,48659.22061974278,512.4802125212121,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,3144908.0,98.06291347916668,0.0,52170.618545120546,505.0259048662323,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,2483595,23,3,"(1920, 1080)",4967.19,3144908.0,98.54670489583334,0.0,54229.180666976754,1885.560473110486,14.986005752083326,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,2245753,23,3,"(1920, 1080)",4491.506,1153092.0,99.65382849999999,0.0,55706.53580091023,2590.919991768889,15.101052441666665,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,1678223,23,3,"(1920, 1080)",3356.446,3389280.0,99.92620488541667,0.0,59050.34885470299,601.217050912226,14.928609399999997,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,1946980,23,3,"(1920, 1080)",3893.96,3389280.0,99.82332041666666,0.0,59798.256629112395,810.3829442865068,15.106703432291674,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,1778392,23,3,"(1920, 1080)",3556.784,642244.0,99.63900290624998,0.0,59508.37711551866,2132.069185681832,15.493382078125023,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,1037168,23,3,"(1920, 1080)",2074.336,3361036.0,98.65987667708328,0.0,59635.763412062384,374.59094088683185,15.57138678645829,"[360.124, 608.352, 1026.1, 2074.336]"
84000,21,4000,2001318,23,3,"(1920, 1080)",4002.636,2306184.0,98.13523223958339,0.0,59710.9013333272,1343.9785589703276,14.86931941979168,"[805.254, 1265.698, 2014.648, 4002.636]"
88000,22,4000,1761192,23,3,"(1920, 1080)",3522.384,730660.0,99.55884514583335,0.0,59512.74111838943,3683.0761914585446,15.139191657291658,"[627.426, 1056.084, 1707.52, 3522.384]"
92000,23,4000,1613576,23,3,"(1920, 1080)",3227.152,774868.0,99.92119146875,0.0,59681.27308000551,1285.4788672341817,14.800835547916659,"[628.596, 998.732, 1607.626, 3227.152]"
96000,24,4000,1619944,23,3,"(1920, 1080)",3239.888,649612.0,99.59453343749999,0.0,55495.375627964175,7839.947754829239,15.256870848958343,"[556.426, 918.57, 1524.81, 3239.888]"
100000,25,4000,646533,23,1,"(854, 480)",1293.066,855916.0,99.3286412395833,0.0,59024.41960380185,463.3551652993703,15.279577822916671,"[822.0, 1293.066, 2092.558, 4034.318]"
104000,26,4000,2225766,23,3,"(1920, 1080)",4451.532,1952520.0,98.62991122916664,0.0,59535.66625757018,3462.869622044336,14.921880638541683,"[895.924, 1399.338, 2298.148, 4451.532]"
108000,27,4000,1425203,23,2,"(1280, 720)",2850.406,603176.0,99.75790793750002,0.0,59381.12779384608,3950.2207049592735,15.04870712083334,"[1178.302, 1813.666, 2850.406, 5632.148]"
112000,28,4000,1286694,23,2,"(1280, 720)",2573.388,2174788.0,99.85283040625,0.0,59768.43922458954,665.11165823257,14.980494531249999,"[1022.462, 1647.7, 2573.388, 5020.868]"
116000,29,4000,2337828,23,3,"(1920, 1080)",4675.656,51576.0,99.92714220833334,0.0,59084.18951251808,4709.113436063684,15.02043625000001,"[951.554, 1495.798, 2449.83, 4675.656]"
120000,30,4000,1094750,23,2,"(1280, 720)",2189.5,2971752.0,99.6647883125,0.0,59657.80240567355,454.9262361339983,15.384600182291656,"[851.45, 1323.934, 2189.5, 4266.51]"
124000,31,4000,1982258,23,3,"(1920, 1080)",3964.516,3803116.0,99.08508405208336,0.0,59999.362542011106,628.6520443817788,14.875681293749995,"[786.672, 1234.798, 1977.142, 3964.516]"
128000,32,4000,2156487,23,3,"(1920, 1080)",4312.974,3855920.0,99.73693354166666,0.0,59752.70754686323,791.5265809125398,15.062552388541672,"[858.244, 1345.586, 2158.636, 4312.974]"
132000,33,4000,2456134,23,3,"(1920, 1080)",4912.268,3593128.0,99.95176798958335,0.0,59881.23132429311,1479.4084887297877,14.908978416666649,"[972.142, 1546.478, 2469.656, 4912.268]"
136000,34,4000,1282157,23,3,"(1920, 1080)",2564.314,3559972.0,99.65591025000002,0.0,59713.33294158631,692.2459165557524,15.94062630208336,"[462.746, 718.54, 1282.834, 2564.314]"
140000,35,4000,1032013,23,3,"(1920, 1080)",2064.026,3239464.0,98.02228337499997,0.0,59875.32862515659,363.47091580023977,16.00740440625001,"[351.596, 590.192, 994.16, 2064.026]"
144000,36,4000,1422203,23,3,"(1920, 1080)",2844.406,3377000.0,97.29701168750002,0.0,59814.83819969769,593.4479881582323,14.349450518749975,"[516.708, 863.628, 1417.59, 2844.406]"
148000,37,4000,1248379,23,3,"(1920, 1080)",2496.758,1420796.0,98.58613142708329,0.0,59505.62361394065,828.0122894809023,13.695386575000004,"[438.478, 708.612, 1219.512, 2496.758]"
152000,38,4000,2239115,23,3,"(1920, 1080)",4478.23,1679904.0,97.37514623958334,0.0,59637.936834214976,2191.2481470258276,14.920570938541665,"[796.09, 1264.162, 2155.312, 4478.23]"
156000,39,4000,1906945,23,3,"(1920, 1080)",3813.89,3438400.0,99.63197346874999,0.0,59984.6112418712,659.9315080711483,14.84840978854169,"[719.094, 1165.614, 1913.23, 3813.89]"
160000,40,4000,1793129,23,3,"(1920, 1080)",3586.258,3390508.0,99.30987402083338,0.0,59833.511205527284,636.7024795477008,15.242425458333322,"[746.014, 1143.962, 1855.136, 3586.258]"
164000,41,4000,1739785,23,3,"(1920, 1080)",3479.57,3938196.0,98.77909602083334,0.0,59744.630108650876,545.0232318500521,14.833483210416656,"[691.972, 1098.408, 1760.274, 3479.57]"
168000,42,4000,2160969,23,3,"(1920, 1080)",4321.938,3749084.0,99.60745102083332,0.0,59612.93183524883,686.7359948526936,14.99492363541667,"[861.196, 1318.216, 2157.336, 4321.938]"
172000,43,4000,1730405,23,3,"(1920, 1080)",3460.81,1153092.0,99.78805539583334,0.0,59648.70856685022,2252.567903081978,14.84164559895833,"[671.866, 1078.604, 1763.546, 3460.81]"
176000,44,4000,2717211,23,3,"(1920, 1080)",5434.422,3389280.0,99.53161084374999,0.0,59519.27421524845,1581.0111313513537,14.984979172916667,"[1185.822, 1900.512, 2886.508, 5434.422]"
180000,45,4000,1814828,23,3,"(1920, 1080)",3629.656,143676.0,99.9396411875,0.0,59501.93222961078,1089.0191375948434,14.798133046874973,"[692.832, 1112.004, 1847.566, 3629.656]"
184000,46,4000,1818165,23,3,"(1920, 1080)",3636.33,4323788.0,99.46695559375003,0.0,59819.01644544855,702.8554897944107,15.48887952604165,"[666.512, 1059.96, 1769.992, 3636.33]"
188000,47,4000,2009487,23,3,"(1920, 1080)",4018.974,1376588.0,98.9015233229167,0.0,59905.0503281974,1822.5866732219129,15.011301946875001,"[752.852, 1191.396, 1999.57, 4018.974]"
192000,48,4000,588838,23,3,"(1920, 1080)",1177.676,163324.0,99.92999584375,0.0,59768.58103335765,2091.366602974167,15.488717656250046,"[219.172, 344.158, 592.382, 1177.676]"
196000,49,4000,349843,23,3,"(1920, 1080)",699.686,1902172.0,96.82561133333331,0.0,59504.556838323544,273.5975240271039,16.776180864583345,"[147.134, 201.088, 351.406, 699.686]"
200000,50,4000,124481,23,3,"(1920, 1080)",582.935528377664,57716.0,96.30762995833332,0.0,59957.738229526265,2805.83943711142,13.857007882113805,"[130.70051330741722, 181.18715730481117, 297.0568384501148, 582.935528377664]"
