TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,78500000.0,70.0,84.77677198210864,4000.0,83.23125712370097,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,2146441,23,3,"(1920, 1080)",4292.882,78500000.0,95.41290187500003,0.0,7883.727682001518,108.78231310760978,17.972187693749994,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,1849744,23,3,"(1920, 1080)",3699.488,78500000.0,99.95364615624999,0.0,11771.421060980367,104.80380824673148,15.419836518749996,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,2178019,23,3,"(1920, 1080)",4356.038,78500000.0,99.93521117708333,0.0,15654.63093088733,109.20575259805565,15.779253520833322,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,78500000.0,98.34878527083333,0.0,19559.089078470148,93.23769359704995,16.355828468749998,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,1076880,23,3,"(1920, 1080)",2153.76,78500000.0,97.15876541666667,0.0,23466.832654095604,94.44022795843111,14.274001687499968,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,1051491,23,3,"(1920, 1080)",2102.982,78500000.0,98.14956716666673,0.0,27376.543265094962,94.09977874622862,13.631848718750014,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,1458814,23,3,"(1920, 1080)",2917.628,78500000.0,97.05383339583331,0.0,31285.80844428915,99.56170298357358,14.274478703125062,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,1597940,23,3,"(1920, 1080)",3195.88,78500000.0,97.75017692708333,0.0,35188.99292741935,101.42728796513578,14.751169547916676,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,1391622,23,3,"(1920, 1080)",2783.244,78500000.0,99.09425481250001,0.0,39090.77293847979,98.66070398927255,13.964531019791663,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,1433251,23,3,"(1920, 1080)",2866.502,78500000.0,97.89924785416666,0.0,42985.35940907031,99.2189205497821,15.118284520833342,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,2200310,23,3,"(1920, 1080)",4400.62,78500000.0,97.95194058333334,0.0,46876.293267917004,109.50465973851827,14.82870337083335,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,1402637,23,3,"(1920, 1080)",2805.274,78500000.0,99.3643802604167,0.0,50779.603612988176,98.80840764331211,14.549569266666674,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,1257491,23,3,"(1920, 1080)",2514.982,78500000.0,98.90793887500001,0.0,54676.230855566246,96.86209855849816,15.332923520833354,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,1269834,23,3,"(1920, 1080)",2539.668,78500000.0,98.06291347916668,0.0,58582.35865815688,97.02760978880322,14.634586427083342,"[471.176, 762.832, 1250.594, 2539.668]"
60000,15,4000,2483595,23,3,"(1920, 1080)",4967.19,78500000.0,98.54670489583334,0.0,59965.697666378874,113.30331880657056,14.986005752083326,"[1017.3, 1587.254, 2486.474, 4967.19]"
64000,16,4000,2245753,23,3,"(1920, 1080)",4491.506,34875000.0,99.65382849999999,0.0,59821.80848475024,147.78352763629505,15.101052441666665,"[911.908, 1432.514, 2297.462, 4491.506]"
68000,17,4000,1678223,23,3,"(1920, 1080)",3356.446,13750000.0,99.92620488541667,0.0,59584.07253238707,217.82040773857528,14.928609399999997,"[647.99, 1060.788, 1731.626, 3356.446]"
72000,18,4000,1946980,23,3,"(1920, 1080)",3893.96,17875000.0,99.82332041666666,0.0,59903.419321373294,194.6546926757453,15.106703432291674,"[763.636, 1211.256, 2010.938, 3893.96]"
76000,19,4000,1778392,23,3,"(1920, 1080)",3556.784,56375000.0,99.63900290624998,0.0,59781.83403831855,113.20605905006418,15.493382078125023,"[738.968, 1151.152, 1903.314, 3556.784]"
80000,20,4000,1037168,23,3,"(1920, 1080)",2074.336,65750000.0,98.65987667708328,0.0,59685.73930464208,96.60465079047428,15.57138678645829,"[360.124, 608.352, 1026.1, 2074.336]"
