TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,240971,23,0,"(640, 360)",481.942,401376.40205875004,70.0,725.179958257785,4000.0,711.9596341725108,15.247741125000019,"[481.942, 780.312, 1336.272, 2743.388]"
4000,1,4000,1059829,23,2,"(1280, 720)",2119.658,401376.40205875004,95.41290187500003,0.0,4943.65765392948,2859.4595495948392,17.967896306249994,"[790.846, 1345.278, 2119.658, 4292.882]"
8000,2,4000,894788,23,2,"(1280, 720)",1789.576,401376.40205875004,99.94649384374999,0.0,6373.910496694816,2398.0713323988757,15.378622200000006,"[658.126, 1131.98, 1789.576, 3699.488]"
12000,3,4000,1125917,23,2,"(1280, 720)",2251.834,436702.4703975,99.86652064583335,0.0,7385.95123984766,2793.9205060940026,16.02633508854167,"[910.372, 1379.806, 2251.834, 4356.038]"
16000,4,4000,987201,23,3,"(1920, 1080)",1974.402,436702.4703975,97.84031751041664,0.0,7236.532247604385,4049.3484982398268,16.287137937500013,"[338.17, 565.826, 955.016, 1974.402]"
20000,5,4000,536702,23,2,"(1280, 720)",1073.404,140357.35191375,97.15876541666667,0.0,7226.37738644556,4105.079313489568,14.179492802083324,"[388.82, 643.586, 1073.404, 2153.76]"
24000,6,4000,299587,23,1,"(854, 480)",599.174,140357.35191375,97.32164941666663,0.0,8993.797785559875,2326.79884980939,15.247236093750004,"[366.064, 599.174, 1053.536, 2102.982]"
28000,7,4000,435542,23,1,"(854, 480)",871.084,140357.35191375,93.82305864583333,0.0,9944.067880495528,3346.414312515835,15.139881864583295,"[527.892, 871.084, 1475.072, 2917.628]"
32000,8,4000,487100,23,1,"(854, 480)",974.2,140357.35191375,94.36353510416667,0.0,10480.476654159604,3628.578104680638,13.654645147916662,"[609.49, 974.2, 1620.056, 3195.88]"
36000,9,4000,404307,23,1,"(854, 480)",808.614,307740.66092,96.72825168749999,0.0,13024.073364416514,1462.9382003573091,12.837696870833334,"[484.296, 808.614, 1343.01, 2783.244]"
40000,10,4000,715544,23,2,"(1280, 720)",1431.088,307740.66092,95.45675063541667,0.0,14338.741197761412,2527.5290599382906,13.828060443749994,"[523.106, 851.086, 1431.088, 2866.502]"
44000,11,4000,699273,23,1,"(854, 480)",1398.546,307740.66092,97.50147602083332,0.0,15205.657489309358,3145.6807933095592,13.20778793645832,"[917.612, 1398.546, 2285.446, 4400.62]"
48000,12,4000,727617,23,2,"(1280, 720)",1455.234,218410.06979375,96.25577166666665,0.0,15753.73632167891,3527.562841494032,14.078946672916668,"[542.13, 863.402, 1455.234, 2805.274]"
52000,13,4000,638791,23,2,"(1280, 720)",1277.582,313286.52277875005,98.04849045833333,0.0,17423.864973846747,2183.130582472562,13.631445870833314,"[455.694, 752.412, 1277.582, 2514.982]"
56000,14,4000,625297,23,2,"(1280, 720)",1250.594,337598.83689499996,97.0950383958333,0.0,19546.240812916454,1940.7384661755018,14.133796249999989,"[471.176, 762.832, 1250.594, 2539.668]"
