TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD,BITRATE_LIST
0,0,4000,7642,23,0,"(640, 360)",15.268716015268716,365011.0,70.0,103.93300960368371,4000.0,102.038268781806,16.32723322499998,"[15.268716015268716, 16.859124016859123, 24.61735802461736, 36.603360036603355]"
4000,1,4000,223305,23,0,"(640, 360)",446.16339044616336,365011.0,97.21205537499996,0.0,7226.177228309233,723.9748246952615,15.641594670000007,"[446.16339044616336, 693.8954106938954, 1177.7590631777591, 2313.74993631375]"
8000,2,4000,1209444,23,3,"(1920, 1080)",2416.469114416469,365011.0,96.06932445000001,0.0,7402.921681008191,3567.8372086551394,13.752043066666616,"[439.561998439562, 700.6886107006885, 1241.751007241751, 2416.469114416469]"
12000,3,4000,775260,23,2,"(1280, 720)",1548.9694815489695,365011.0,96.9200246166667,0.0,8912.175181738054,2328.9968575862217,13.932050814999986,"[641.4998586414999, 991.6273809916273, 1548.9694815489695, 2975.4255989754256]"
16000,4,4000,1054238,23,2,"(1280, 720)",2106.367526106367,361557.0,97.56497209999998,0.0,9685.054974380091,3149.2925611350793,14.942546848333322,"[891.9591488919591, 1431.2113574312114, 2106.367526106367, 4049.658292049658]"
20000,5,4000,1190981,23,3,"(1920, 1080)",2379.58004037958,361557.0,99.39091551666665,0.0,10201.038343966755,3566.486854632463,14.133820291666638,"[460.9605784609606, 742.3309267423309, 1218.1825992181825, 2379.58004037958]"
24000,6,4000,1011357,23,3,"(1920, 1080)",2020.6912880206912,359225.0,96.86230361666668,0.0,11283.893478844631,3040.2541142097775,15.696163995833302,"[362.89474236289476, 601.3620366013621, 1019.955025019955, 2020.6912880206912]"
28000,7,4000,836458,23,2,"(1280, 720)",1671.243085671243,360519.0,97.3895030416667,0.0,12985.24804611128,2522.2626970094725,14.219873518333321,"[596.1532505961532, 972.3826449723825, 1671.243085671243, 3242.80994724281]"
32000,8,4000,1115616,23,2,"(1280, 720)",2229.0007702290004,360519.0,98.17683979999998,0.0,13797.022267572136,3340.0957263146424,15.143121980833328,"[839.9392208399393, 1378.8098113788099, 2229.0007702290004, 4309.867822309868]"
36000,9,4000,1142490,23,2,"(1280, 720)",2282.695022282695,359906.0,99.80345380833333,0.0,14390.819433288925,3421.486534349466,15.133971799999992,"[901.3137849013137, 1435.1434214351434, 2282.695022282695, 4458.5070344585065]"
