,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,174.30480295249674,0,4.972,425215,1,854x480,684.1753821399839,101.8596832804698,0.17430480295249676,4.972,174.30480295249674,84.42920298522012
1,322.6287951464991,1,4.972,308069,0,640x360,495.68624296057925,94.09142906228189,0.14832399219400236,9.944,148.32399219400236,73.00942870194207
2,474.22761235936616,2,4.972,322835,0,640x360,519.444891391794,91.37836474637584,0.15159881721286705,14.916,151.59881721286706,74.03580859555892
3,617.6697510849106,3,3.938,286057,0,640x360,581.1213814118842,74.08500188165256,0.0,18.710557861274456,143.4421387255444,72.34797560420971
4,812.0273681868514,4,4.872,515632,1,854x480,846.6863711001643,96.61513769753424,0.0,23.388200244172516,194.35761710194086,92.54376310617135
5,1008.7451835720618,5,3.938,526274,1,854x480,1069.119349923819,77.3631052979661,0.0,27.129482428787306,196.71781538521043,76.62144468965406
6,1203.0160841236589,6,2.636,515241,1,854x480,1563.7056145675265,53.994092414936716,0.0,29.571211528235708,194.2709005515971,50.6418325522463
7,1561.743924385652,7,4.772,1256768,2,1280x720,2106.9036043587594,112.55476682083918,0.0,33.984483687973714,358.7278402619931,100.14214859653184
8,2385.69424028511,8,7.508,3290526,3,1920x1080,3506.154501864678,179.73982594493336,0.0,40.66853337207426,823.950315899458,178.3267191076373
9,3288.545666052205,9,6.307,2918414,3,1920x1080,3701.809418106865,152.9065954864815,0.0,46.072681946307156,902.8514257670952,151.68989115420638
10,4107.840851252791,10,4.672,2523946,3,1920x1080,4321.825342465753,113.52174803657142,0.0,49.92538676110657,819.2951852005863,113.30427240694179
11,5562.626926913868,11,7.508,5479062,4,1920x1080,5838.105487480021,186.58750301764442,0.0,55.9786006854455,1454.7860756610773,184.373479957327
12,7479.965742215965,12,6.474,4581295,3,1920x1080,5661.161569354341,160.67374169311856,0.0,59.50524474125139,1447.3559441941143,160.5396829052606
13,9435.239203244084,13,6.073,3577522,3,1920x1080,4712.691585707229,149.94858539850276,0.0,59.54509944629132,1533.1452949600682,149.43943748868062
14,11384.805434998678,14,4.605,3645339,4,1920x1080,6332.83648208469,115.05535271195652,0.0,59.596380413448045,1053.7190328432719,113.8799436046146
15,13624.24425597255,15,4.305,2983513,3,1920x1080,5544.275029036005,106.73494633924417,0.0,59.69008460241677,2211.2958110312766,105.96844816937563
16,16723.024541823208,16,4.438,3288202,3,1920x1080,5927.358269490762,110.8809936881579,0.0,59.80276596446274,2825.318637954031,110.11619428150172
17,18362.5139847679,17,2.036,1261990,3,1920x1080,4958.703339882121,49.68972867114754,0.0,59.86525206693871,1473.5138975240302,47.37418125712066
18,20743.782526013594,18,2.737,2060577,3,1920x1080,6022.877603215199,67.73167417475611,0.0,59.955105569026195,1647.1464979125192,66.3671947985066
19,22156.454958367292,19,1.836,876317,3,1920x1080,3818.374727668845,44.53099661454546,0.0,59.66133037451593,629.7751945102611,42.561682335166296
20,25360.69594697208,20,4.839,3437681,4,1920x1080,5683.2915891713155,120.37610583713793,0.0,59.99965849913526,3000.671875380674,117.88858379325079
21,27040.70540617123,21,1.335,1059136,4,1920x1080,6346.882397003746,33.345719695312496,0.0,59.556938326147744,777.7201729875159,32.93839480738146
22,28879.718696906402,22,3.704,2531402,3,1920x1080,5467.390928725702,91.65149119243245,0.0,59.752576323885975,1508.3620022617688,90.71491487486489
23,30677.370181555612,23,5.139,3380784,3,1920x1080,5262.944541739638,125.68757261274352,0.0,59.86807622579807,1523.5000980879033,124.5422538816098
24,33793.303205431606,24,5.639,4688335,4,1920x1080,6651.299875864515,140.4609963077811,0.0,59.54618540714072,2960.8908186573453,138.65597628126915
25,34982.576145437546,25,2.336,1856454,4,1920x1080,6357.719178082192,58.4,0.0,59.825070039747075,1057.1153673936474,58.035393727810664
26,35901.90512694908,26,2.436,870138,3,1920x1080,2857.5960591133003,57.27485675589041,0.0,59.826984335297446,434.08570444962237,51.322240591506855
27,37916.74844635182,27,6.741,4710506,4,1920x1080,5590.275626761609,167.50396567503708,0.0,59.76318431412704,1804.8000211704114,162.15721470867334
28,39056.552785622036,28,2.536,1954496,4,1920x1080,6165.602523659306,63.12502669210527,0.0,59.794303793608094,504.88052051894107,62.9528733361907
29,39921.82548932868,29,2.536,1991955,3,1920x1080,6283.769716088327,63.19562325947369,0.0,59.67512935113041,655.174442477683,63.084272206842115
30,40875.769543664625,30,3.804,2618466,3,1920x1080,5506.763406940064,93.82141169947369,0.0,59.567206454576926,911.9228965534879,92.79930529596491
31,42353.34852528991,31,5.74,4379098,3,1920x1080,6103.272473867595,141.1643263380814,0.0,59.79992754265551,1007.2789119214158,140.88114637990105
32,43194.56820637801,32,4.105,1989783,3,1920x1080,3877.7744214372715,98.18056522601627,0.0,59.929467736963396,475.4598056921167,95.47745985685387
33,44451.874404404385,33,5.773,4512071,4,1920x1080,6252.653386454183,141.49993815140172,0.0,59.7166945756482,985.7731613152005,139.12661632471813
34,45906.59558815925,34,4.805,3513596,4,1920x1080,5849.899687825183,119.51883306649306,0.0,59.89010050212635,631.5940735218469,118.06601584507366
35,46475.808010914894,35,5.473,1627769,3,1920x1080,2379.3444180522565,129.3708442479573,0.0,59.95005784586503,413.04265626131064,124.42750906164294
