,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,802.7858539132237,0,4.972,425215,1,854x480,684.1753821399839,101.8596832804698,0.8027858539132238,4.972,802.7858539132237,21.581097889147415
1,1407.146745603674,1,4.972,308069,0,640x360,495.68624296057925,94.09142906228189,0.6043608916904502,9.944,604.3608916904501,27.40573875229728
2,2035.4030815962,2,4.972,322835,0,640x360,519.444891391794,91.37836474637584,0.6282563359925261,14.916,628.256335992526,26.370056717593023
3,2601.7926083450093,3,3.938,286057,0,640x360,581.1213814118842,74.08500188165256,0.0,18.28761047325119,566.389526748809,72.34797560420971
4,3560.028056630192,4,4.872,515632,1,854x480,846.6863711001643,96.61513769753424,0.0,22.201375024966005,958.235448285183,92.54376310617135
5,4537.205235986945,5,3.938,526274,1,854x480,1069.119349923819,77.3631052979661,0.0,25.162197845609253,977.1771793567524,76.62144468965406
6,5496.76738288614,6,2.636,515241,1,854x480,1563.7056145675265,53.994092414936716,0.0,26.838635698710057,959.5621468991949,50.6418325522463
7,7020.177550413566,7,4.772,845539,1,854x480,1417.5004191114836,100.60250377230768,0.0,30.08722553118263,1523.4101675274258,98.20854694660176
8,9841.109792794638,8,7.508,1574658,2,1280x720,1677.8454981353223,173.27032391244447,0.0,34.77429328880156,2820.932242381072,165.2852802543248
9,17413.31702448082,9,6.307,2918414,3,1920x1080,3701.809418106865,152.9065954864815,0.0,33.509086057115375,7572.207231686181,148.24316657642862
10,23426.16552753569,10,4.672,2523946,3,1920x1080,4321.825342465753,113.52174803657142,0.0,32.168237554060504,6012.848503054869,113.30427240694179
11,36635.74941621589,11,7.508,5479062,4,1920x1080,5838.105487480021,186.58750301764442,0.0,26.466653665380306,13209.583888680203,184.373479957327
12,41240.665654438824,12,6.474,2290982,2,1280x720,2830.994130367624,158.00162388889174,0.0,28.335737427157373,4604.916238222932,156.21658097732245
13,45275.45278295039,13,6.073,1788181,2,1280x720,2355.5817553103902,145.27298144719782,0.0,30.3739502986458,4034.787128511572,143.33521683691123
14,48590.29653692687,14,4.605,1914980,3,1280x720,3326.783930510315,113.76759541222827,0.0,31.664106544669323,3314.8437539764755,110.63115859665254
15,51263.805902908236,15,4.305,1498138,2,1280x720,2783.9962833914055,103.70816533081396,0.0,33.295597178687956,2673.509365981367,101.24790019936805
16,54314.551303858505,16,4.438,1697029,2,1280x720,3059.0878774222624,108.96017498315788,0.0,34.68285177773768,3050.7454009502653,107.11428264183948
17,55485.61333267303,17,2.036,621523,2,1280x720,2442.133595284872,47.72161692163934,0.0,35.547789748923165,1171.0620288145249,43.270692388174524
18,57397.9610717809,18,2.737,1006118,2,1280x720,2940.7906466934596,65.59633787,0.0,36.372442009815295,1912.3477391078738,63.485930329016384
19,59085.95784590206,19,1.836,876317,3,1920x1080,3818.374727668845,44.53099661454546,0.0,36.520445235694126,1687.9967741211683,43.37961479636364
20,65512.23597669699,20,4.839,3437681,4,1920x1080,5683.2915891713155,120.37610583713793,0.0,34.9331671048992,6426.278130794926,117.88858379325079
21,67576.70630747575,21,1.335,1059136,4,1920x1080,6346.882397003746,33.345719695312496,0.0,34.20369677412045,2064.4703307787495,32.93839480738146
22,72621.27203927265,22,3.704,2531402,3,1920x1080,5467.390928725702,91.65149119243245,0.0,32.86313104232356,5044.565731796898,90.71491487486489
23,78928.22263750821,23,5.139,3380784,3,1920x1080,5262.944541739638,125.68757261274352,0.0,31.69518044408799,6306.950598235565,124.5422538816098
24,86050.62885291774,24,5.639,4688335,4,1920x1080,6651.299875864515,140.4609963077811,0.0,30.21177422867847,7122.406215409524,138.65597628126915
25,88974.31277869194,25,2.336,1856454,4,1920x1080,6357.719178082192,58.4,0.0,29.62409030290427,2923.683925774196,58.035393727810664
26,90592.19769288867,26,2.436,870138,3,1920x1080,2857.5960591133003,57.27485675589041,0.0,30.44220538870754,1617.8849141967328,51.322240591506855
27,98765.20947657716,27,6.741,4710506,4,1920x1080,5590.275626761609,167.50396567503708,0.0,29.010193605019055,8173.011783688484,162.15721470867334
28,100476.3708152243,28,2.536,985056,3,1280x720,3107.432176656151,61.80010467052631,0.0,29.83503226637191,1711.1613386471433,59.882475658019814
29,102256.48013052272,29,2.536,1032171,2,1280x720,3256.0599369085176,62.054334249210534,0.0,30.590922951073495,1780.109315298417,61.65334122289473
30,104420.93063035593,30,3.804,1297972,2,1280x720,2729.6992639327027,91.33596185421052,0.0,32.23047245124028,2164.450499833217,89.50048391561403
31,108094.4409448655,31,5.74,2258799,2,1280x720,3148.151916376307,138.96697991831397,0.0,34.296962136730706,3673.510314509573,138.16789980713486
32,111531.36183485665,32,4.105,1989783,3,1920x1080,3877.7744214372715,98.18056522601627,0.0,34.96504124673955,3436.9208899911505,97.00871171731897
33,119691.58576798294,33,5.773,4512071,4,1920x1080,6252.653386454183,141.49993815140172,0.0,32.57781731361326,8160.223933126289,139.12661632471813
34,126580.35500220224,34,4.805,3513596,4,1920x1080,5849.899687825183,119.51883306649306,0.0,30.494048079393952,6888.769234219307,118.06601584507366
35,130254.95599485088,35,5.473,1627769,3,1920x1080,2379.3444180522565,129.3708442479573,0.0,32.29244708674532,3674.6009926486377,124.42750906164294
