,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,288.1564897790545,0,4.972,425215,1,854x480,684.1753821399839,101.8596832804698,0.2881564897790545,4.972,288.1564897790545,-1.454821918232436
1,1397.0484431403304,1,4.972,1940374,3,1920x1080,3122.0820595333867,117.83061879865774,1.108891953361276,9.944,1108.891953361276,-7.42829430428361
2,2730.7346215866137,2,4.972,2041477,3,1920x1080,3284.757843925985,117.26011550147653,1.333686178446283,14.916,1333.686178446283,-6.749211211962862
3,4456.651481373785,3,8.809,3362223,3,1920x1080,3053.443523668975,205.1790847703314,0.0,21.999083140212832,1725.916859787171,6.49313167974299
4,5354.629164573917,4,3.938,1670937,3,1920x1080,3394.4885728796344,90.43208557648306,0.0,25.039105457012703,897.9776832001317,3.000828950789341
5,6570.814121637036,5,2.636,1640038,3,1920x1080,4977.353566009104,64.01386325367089,0.0,26.45892049994958,1216.1849570631193,1.6972110068705304
6,7901.652445752476,6,4.772,2555170,3,1920x1080,4283.60435875943,116.86806315958043,0.0,29.90008217583414,1330.8383241154397,4.416590792750327
7,8852.279086297698,7,3.771,1633941,3,1920x1080,3466.329355608592,90.40971598964602,0.0,32.72045553528892,950.6266405452217,2.4506069968491615
8,10006.241791766655,8,3.738,1657478,3,1920x1080,3547.3044408774745,89.3540365209375,0.0,35.30449282981996,1153.9627054689574,3.233980914731117
9,11305.704973243699,9,4.772,2506730,3,1920x1080,4202.397317686505,115.6609425446154,0.0,38.77702964834291,1299.4631814770437,4.35836712319097
10,12815.301449113605,10,6.207,2935630,3,1920x1080,3783.637828258418,150.76739778701617,0.0,43.474433172473006,1509.5964758699067,5.452500510571912
11,14360.578920933676,11,4.572,2993219,3,1920x1080,5237.478565179353,113.37067083481753,0.0,46.50115570065293,1545.2774718200715,4.532597263079065
12,16207.165989643454,12,5.706,4403473,5,1920x1080,6173.814230634419,141.8503133597369,0.0,50.36056863194315,1846.5870687097781,7.870610334544934
13,16987.008629475917,13,2.87,1906153,3,1920x1080,5313.318466898954,71.21023309302326,0.0,52.4507259921107,779.8426398324625,2.951810236264535
14,18394.728022584957,14,5.806,3785866,3,1920x1080,5216.487771271099,143.7829383430747,0.0,56.849006599001655,1407.7193931090414,7.474901304372144
15,19138.55439621069,15,3.27,2280616,4,1920x1080,5579.48868501529,81.187290225,0.0,59.375180225375914,743.8263736257339,4.198231086255808
16,20549.449910474763,16,2.436,1915669,4,1920x1080,6291.195402298851,60.86370927287671,0.0,59.74500966634922,566.1705590266911,3.1196312827164387
17,21493.094969534497,17,4.305,2983513,3,1920x1080,5544.275029036005,106.73494633924417,0.0,59.710549614438044,839.4600519111751,5.220105626737155
18,22864.242947478535,18,2.703,2020573,4,1920x1080,5980.238253792083,67.56864444611111,0.0,59.74006812904031,673.4814853977401,3.605182775243922
19,24248.83448375224,19,3.771,2529611,4,1920x1080,5366.45133916733,93.00226605869469,0.0,59.6276056071766,883.4625218637055,4.445435085375247
20,26237.687654893798,20,4.572,2936001,3,1920x1080,5137.359580052494,112.23818284729926,0.0,59.66574352881082,1033.8620783657775,5.642910240885164
21,28245.78760027244,21,4.839,3437681,3,1920x1080,5683.2915891713155,120.37610583713793,0.0,59.93818910250939,1566.554426301433,6.329429990881177
22,30436.332304502554,22,5.039,3589641,3,1920x1080,5698.973605874182,124.99717212216886,0.0,59.562689509932945,1414.4995925764524,7.163599983297133
23,31268.83413353312,23,3.27,2026621,3,1920x1080,4958.094189602447,79.15041256377552,0.0,59.51446115124448,818.2283586884553,3.312362583728265
24,33081.326740262564,24,4.672,3713347,3,1920x1080,6358.470890410959,116.2466131965714,0.0,59.747351583050815,1439.1095681936695,6.026317299191488
25,34718.14206911362,25,5.172,4185609,3,1920x1080,6474.259860788863,129.15169873935483,0.0,59.99763543789317,1421.7161451576396,8.255429029622094
26,35935.99922362825,26,2.436,870138,3,1920x1080,2857.5960591133003,57.27485675589041,0.0,59.64225645248256,291.3789854106042,-1.8763878016755628
27,37828.51416498046,27,4.939,3295086,3,1920x1080,5337.252075318891,122.61314241427364,0.0,59.55823806635847,1023.0183861240919,4.11051598379441
28,39765.53200757997,28,5.206,4084161,3,1920x1080,6276.082981175566,129.71581109019232,0.0,59.94047742267277,1323.760643685699,7.2294910941433255
29,41719.26529758924,29,6.741,4741892,3,1920x1080,5627.523512831925,166.44653745861385,0.0,59.721239377125045,1460.2380455477285,8.835224531656358
30,43684.22374490595,30,4.472,3532521,3,1920x1080,6319.35778175313,110.05965653955225,0.0,59.66750777569746,1025.7316014275848,6.373207731078794
31,44957.32365474787,31,4.105,1989783,3,1920x1080,3877.7744214372715,98.18056522601627,0.0,59.81557124372106,456.93653197639617,1.5379826396841412
32,46907.25411991439,32,5.773,4512071,3,1920x1080,6252.653386454183,141.49993815140172,0.0,59.73168770007056,1356.883543650503,6.649263034983088
33,48429.80494906119,33,4.805,3513596,5,1920x1080,5849.899687825183,119.51883306649306,0.0,59.531935746255165,1004.7519538153932,6.624438301371
34,49454.240977158915,34,5.473,1627769,3,1920x1080,2379.3444180522565,129.3708442479573,0.0,59.96161716987201,543.3185763831567,-0.21501726977292623
