,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,5028.066554198844,0,4.972,425215,1,854x480,684.1753821399839,101.8596832804698,5.028066554198844,4.972,5028.066554198844,-39.37410243359075
1,7684.844864646539,1,4.972,308069,0,640x360,495.68624296057925,94.09142906228189,2.6567783104476943,9.944,2656.7783104476944,-20.82657762276096
2,9999.926139823918,2,4.972,322835,0,640x360,519.444891391794,91.37836474637584,2.31508127517738,14.916,2315.08127517738,-17.898738849850258
3,18915.94204217307,3,8.809,1066119,1,854x480,968.2088772845954,178.04918604776512,0.0,14.80898409765085,8916.01590234915,1.6834740141071984
4,22993.536563203434,4,3.938,526274,1,854x480,1069.119349923819,77.3631052979661,0.0,14.669389576620484,4077.594521030365,0.9516375273607763
5,25042.250397750253,5,2.636,256514,0,640x360,778.4946889226101,48.43423420784811,0.0,15.256675742073664,2048.7138345468193,0.22240333899879106
6,29038.00737258183,6,4.772,425036,0,640x360,712.5498742665549,94.25172795076922,0.0,16.032918767242087,3995.756974831578,0.7841271853439449
7,31660.592444667236,7,3.771,275985,0,640x360,585.4892601431981,71.13972327969026,0.0,17.18133369515668,2622.5850720854073,0.4249093858766432
8,34456.9374212423,8,3.738,285751,0,640x360,611.5591225254146,70.99282791375,0.0,18.12298871858162,2796.3449765750615,0.5454321376177834
9,39940.14123543994,9,4.772,848648,1,854x480,1422.712489522213,100.52379447104896,0.0,17.411784904383975,5483.2038141976445,0.886142633003202
10,46468.52015983433,10,6.207,969364,1,854x480,1249.3816658611247,131.65096789483871,0.0,17.09040597998959,6528.378924394384,1.765397176338912
11,50294.551353510644,11,4.572,496566,0,640x360,868.8818897637794,93.82145009452553,0.0,17.836374786313275,3826.031193676318,0.6126322239026547
12,55725.55022836718,12,5.706,726759,1,640x360,1018.9400630914827,115.98531859526317,0.0,18.111375911456733,5430.998874856541,1.3034598266722968
13,58051.62751306169,13,2.87,307257,0,640x360,856.4655052264808,60.34996746075582,0.0,18.655298626762225,2326.077284694508,0.45203944213499814
14,62094.36468728141,14,5.806,628612,0,640x360,866.1550120564933,118.79665025373562,0.0,20.418561452542505,4042.7371742197233,1.2475344931699877
15,64729.46054638558,15,3.27,387077,1,640x360,946.977370030581,67.83631758749999,0.0,21.05346559343834,2635.0958591041626,0.6933316420259124
16,67106.78568299909,16,2.436,330836,1,640x360,1086.489326765189,51.39185919287671,0.0,21.11214045682483,2377.325136613511,0.5221600432653921
17,70446.47989059526,17,4.305,472485,0,640x360,878.020905923345,87.31533528924419,0.0,22.07744624922866,3339.694207596165,0.7365015791581561
18,72697.55101093778,18,2.703,333442,1,640x360,986.8797632260452,56.48302367712963,0.0,22.529375128886144,2251.0711203425144,0.5580251426972999
19,75421.67891829982,19,3.771,406096,0,640x360,861.5136568549457,75.6881767507301,0.0,23.576247221524103,2724.1279073620417,0.6868258936289006
20,78547.988924983,20,4.572,463445,0,640x360,810.9273840769904,90.69026283262775,0.0,25.02193721484093,3126.310006683177,0.8763037272220447
21,84245.80804861305,21,4.839,575037,0,640x360,950.6707997520148,98.92340259532759,0.0,24.16311809121088,5697.819123630049,1.0103305843249757
22,88821.81654375597,22,5.039,618742,0,640x360,982.325064496924,105.11569141940397,0.0,24.62610959606796,4576.008495142922,1.2058297352550909
23,91157.48019512033,23,3.27,346157,0,640x360,846.8672782874618,63.50182080688776,0.0,25.5604459447036,2335.66365136436,0.5568562137905377
24,95195.54829522416,24,4.672,608108,0,640x360,1041.2808219178082,92.27850959771428,0.0,26.194377844599774,4038.0681001038256,1.0218024563696535
25,101059.27012280542,25,5.172,700045,0,640x360,1082.8228924980667,104.33908971890322,0.0,25.50265601701851,5863.721827581267,1.3585479294197416
26,103215.27263060182,26,2.436,292728,1,854x480,961.3399014778325,50.42692405397259,0.0,25.78265350922211,2156.002507796394,0.4639730089797658
27,106977.467236922,27,4.939,575940,0,640x360,932.8851994330837,100.21969380499999,0.0,26.95945890290192,3762.1946063201954,1.1234252979552513
28,111444.44427257718,28,5.206,695979,0,640x360,1069.502881290818,107.07100533182694,0.0,27.69848186724675,4466.97703565517,1.2553403181422653
29,116158.66128413334,29,6.741,803099,0,640x360,953.0918261385552,138.59328008940594,0.0,29.725264855690593,4714.2170115561585,1.4897869448477372
30,119530.53299576635,30,4.472,598817,0,640x360,1071.2289803220033,92.3273673244776,0.0,30.825393144057585,3371.8717116330045,1.079496845816552
31,125496.60727280872,31,4.105,987698,2,1280x720,1924.8682095006088,95.0443740945122,0.0,28.964318867015223,5966.074277042364,1.1217567708213942
32,134730.6232703179,32,5.773,1524575,1,854x480,2112.697037935216,124.81717013671964,0.0,25.50330286950602,9234.015997509201,2.8613211715653932
33,144299.89817465495,33,4.805,1456230,3,1280x720,2424.524453694069,113.41239306050345,0.0,20.73902796516898,9569.27490433704,2.600632584241147
34,153983.3835756116,34,5.473,1627769,3,1920x1080,2379.3444180522565,129.3708442479573,0.0,16.52854256421233,9683.485400956646,3.2103579643581877
