,TIME,SEGMENT_PROGRESSIVE,DURATION,BYTES,QUALITY_INDEX,RESOLUTION,BITRATE,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0,695.2625022555097,0,3.042,361959,1,854x480,951.897435897436,67.3639135169178,0.6952625022555098,3.042,695.2625022555097,-2.162336708633177
1,2241.9979272048836,1,7.292,862913,0,640x360,946.6955567745474,168.21229341582855,1.5467354249493737,10.334,1546.7354249493737,9.84496399173267
2,4487.707812030418,2,4.417,1270805,1,854x480,2301.6617613765,105.35337278540094,0.0,12.505290115174466,2245.7098848255346,102.21843791693732
3,5217.630664768188,3,4.0,380720,1,854x480,761.44,90.16500802083333,0.0,15.775367262436696,729.9228527377702,84.9228412303459
4,6438.322773155067,4,4.959,668209,1,854x480,1077.973785037306,113.98371066813026,0.0,19.513675154049814,1220.6921083868795,112.20783490745097
5,6735.013798672827,5,2.209,126936,1,854x480,459.70484382073334,50.07342163004716,0.0,21.425984128532054,296.69102551776007,48.80419313155338
6,8073.438761783945,6,3.75,728565,1,854x480,1554.272,84.61670708333334,0.0,23.837559165420938,1338.4249631111177,84.2028726892034
7,10983.515270389631,7,3.625,1618496,3,1920x1080,3571.8532413793105,86.74457833333332,0.0,24.552482656815254,2910.0765086056854,81.28424381992339
8,17942.311623944028,8,3.875,2475588,3,1920x1080,5110.891354838709,96.01310052083332,0.0,21.468686303260856,6958.796353554398,92.6209586113042
9,23054.75294388233,9,5.5,2155299,3,1920x1080,3134.9803636363636,130.15358041666667,0.0,21.856244983322554,5112.4413199383025,125.70043249877811
10,30609.509494026395,10,3.75,2744981,3,1920x1080,5855.959466666667,92.841779375,0.0,18.051488433178488,7554.756550144065,88.46769743560606
11,37730.43475444585,11,6.084,3436500,3,1920x1080,4518.737672583827,149.12235069719176,0.0,17.014563172759033,7120.925260419455,148.13342751454337
12,43290.16677725434,12,5.542,2600596,3,1920x1080,3754.018044027427,133.78358029447367,0.0,16.996831149950548,5559.732022808486,132.30105582799925
13,49416.15811038477,13,4.959,3326788,3,1920x1080,5366.86912684009,121.80501129686975,0.0,15.829839816820117,6125.9913331304315,120.11513876259286
14,56209.16972727158,14,5.0,3826069,3,1920x1080,6121.7104,124.51243958333333,0.0,14.036828199933307,6793.01161688681,123.15214413515407
15,62996.59523327629,15,5.834,3655070,3,1920x1080,5012.094617757971,144.97785189982142,0.0,13.083402693928598,6787.425506004709,144.76992416172618
16,70031.01273811041,16,6.0,3676249,3,1920x1080,4901.665333333333,147.59064479166668,0.0,12.048985189094475,7034.417504834122,146.58238405753968
