File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
lumos5g_trace_4.csv,QAOCS-RBA,1.98,2.37,45.30,98.1385808411274,1.17,9718.133563251724,1.23,0.28,0.09,191.85
oboe_trace_2.csv,QAOCS-RBA,2.20,0.57,26.65,98.1321787364888,1.22,2031.4353277318417,1.37,0.39,0.33,41.76
hsr_trace_2.csv,QAOCS-RBA,2.41,2.54,35.42,97.79358900543454,1.79,8734.50461512148,1.49,0.10,0.30,169.95
oboe_trace_1.csv,QAOCS-RBA,2.97,0.57,6.52,97.37495860921838,3.14,1473.2923014897979,25.93,68.17,0.19,30.67
hsr_trace_1.csv,QAOCS-RBA,2.28,1.16,23.67,97.75473592246755,1.82,4130.981577792596,1.39,0.45,0.64,83.49
fcc18_trace_3.csv,QAOCS-RBA,1.91,0.44,23.14,98.1889981663029,1.59,1871.4235442671607,3.57,0.96,0.39,37.23
fcc18_trace_1.csv,QAOCS-RBA,1.83,0.64,27.59,98.10710489530814,1.12,2851.111185952119,1.14,0.20,0.59,56.37
lumos5g_trace_1.csv,QAOCS-RBA,2.18,2.48,50.53,97.42910684146753,2.57,9661.684987100447,1.35,0.08,0.11,183.33
lab_trace_1.csv,QAOCS-RBA,2.51,2.84,46.86,97.71458001036495,1.75,9633.98828492489,1.54,0.09,0.02,184.56
fcc18_trace_2.csv,QAOCS-RBA,2.18,0.44,18.49,97.56554198185717,2.69,1637.3874635640382,1.33,0.33,0.28,32.69
ghent_trace_1.csv,QAOCS-RBA,2.07,2.31,42.95,98.01567042527424,1.12,9051.268627958316,1.28,0.12,0.21,180.24
hsr_trace_3.csv,QAOCS-RBA,2.14,1.08,14.26,98.18294107656308,1.25,4509.40038165061,6.67,16.43,0.55,80.81
oboe_trace_3.csv,QAOCS-RBA,2.03,0.69,29.34,98.31095247167204,1.20,2852.4874797657676,1.25,1.14,0.55,54.95
ghent_trace_0.csv,QAOCS-RBA,1.82,2.27,45.81,97.70756632637614,2.09,9594.190147100942,1.14,0.09,0.07,199.67
lab_trace_3.csv,QAOCS-RBA,1.93,2.31,45.33,98.15839038109756,1.26,9926.727488762992,1.20,0.12,0.08,192.08
ghent_trace_3.csv,QAOCS-RBA,2.20,1.94,43.22,97.91421299852345,1.78,7545.921590104015,1.37,0.11,0.33,141.87
lab_trace_2.csv,QAOCS-RBA,2.70,3.28,44.94,98.44355486562272,1.08,9592.843397644368,1.67,0.12,0.08,196.62
oboe_trace_0.csv,QAOCS-RBA,2.27,0.51,19.81,97.64164226868037,1.89,1907.852459866619,1.41,0.53,0.41,36.08
lumos5g_trace_2.csv,QAOCS-RBA,1.95,2.24,47.79,98.33824809952628,1.25,9513.861164262938,1.22,0.08,0.04,183.64
lumos5g_trace_3.csv,QAOCS-RBA,2.32,2.67,46.61,97.74225501572447,1.53,8938.893577055062,1.43,0.08,0.04,187.11
ghent_trace_2.csv,QAOCS-RBA,2.06,2.76,45.04,97.41427374090895,2.37,10331.919758594282,1.28,0.09,0.04,215.00
lumos5g_trace_4.csv,QAOCS-MPC,1.84,2.32,43.89,98.09479766590154,1.45,9925.262009434657,1.15,0.19,0.08,202.04
oboe_trace_2.csv,QAOCS-MPC,2.11,0.73,6.49,98.17640379435424,1.46,3720.4842072454776,2.63,4.16,0.70,55.52
hsr_trace_2.csv,QAOCS-MPC,2.36,2.27,31.97,98.13318408059943,1.10,7837.763810029628,1.45,0.12,0.13,156.77
oboe_trace_1.csv,QAOCS-MPC,2.90,0.55,5.83,97.39829298699154,2.30,1566.6109835471768,21.43,67.05,0.20,30.57
hsr_trace_1.csv,QAOCS-MPC,1.96,1.21,15.26,97.68297258402181,2.01,5792.899387866025,1.22,0.30,0.61,99.51
fcc18_trace_3.csv,QAOCS-MPC,1.96,0.61,4.67,97.91487786935554,1.17,2966.1509377286375,4.88,2.12,0.66,50.07
fcc18_trace_1.csv,QAOCS-MPC,2.09,1.09,5.07,98.55055800315272,1.02,5805.922120329133,5.13,4.40,0.63,85.22
lumos5g_trace_1.csv,QAOCS-MPC,2.51,3.04,50.65,98.46442446078306,1.04,10317.701345030464,1.56,0.08,0.02,194.32
lab_trace_1.csv,QAOCS-MPC,2.22,2.65,46.49,97.9111798995912,1.71,9995.168034993772,1.37,0.09,0.04,193.81
fcc18_trace_2.csv,QAOCS-MPC,2.17,0.57,5.09,98.00970783135473,1.99,2468.451582235855,12.16,15.41,0.55,42.50
ghent_trace_1.csv,QAOCS-MPC,2.26,2.66,44.43,98.59089790566651,0.89,10244.722521407031,1.41,0.32,0.07,189.05
hsr_trace_3.csv,QAOCS-MPC,2.24,1.07,9.78,98.19882136618976,1.74,4596.104157740169,2.78,5.48,0.43,76.99
