File,Method,Average Duration(s),Average Size(MB),Average Buffer State(s),Average VMAF Score,Average VMAF Smoothness,Average Bitrate(bps),Stall Ratio(%),Stall Time(s),Switch Ratio(%),Total Size(MB)
lumos5g_trace_4.csv,QAOCS-RBA,1.98,2.37,45.3,98.1385808411274,1.17,9718.13356325172,1.23,0.28,0.09,191.85
oboe_trace_2.csv,QAOCS-RBA,2.2,0.57,26.65,98.1321787364888,1.22,2031.43532773184,1.37,0.39,0.33,41.76
hsr_trace_2.csv,QAOCS-RBA,2.41,2.54,35.42,97.7935890054345,1.79,8734.50461512148,1.49,0.1,0.3,169.95
oboe_trace_1.csv,QAOCS-RBA,2.97,0.57,6.52,97.3749586092184,3.14,1473.2923014898,25.93,68.17,0.19,30.67
hsr_trace_1.csv,QAOCS-RBA,2.28,1.16,23.67,97.7547359224675,1.82,4130.9815777926,1.39,0.45,0.64,83.49
fcc18_trace_3.csv,QAOCS-RBA,1.91,0.44,23.14,98.1889981663029,1.59,1871.42354426716,3.57,0.96,0.39,37.23
fcc18_trace_1.csv,QAOCS-RBA,1.83,0.64,27.59,98.1071048953081,1.12,2851.11118595212,1.14,0.2,0.59,56.37
lumos5g_trace_1.csv,QAOCS-RBA,2.18,2.48,50.53,97.4291068414675,2.57,9661.68498710045,1.35,0.08,0.11,183.33
lab_trace_1.csv,QAOCS-RBA,2.51,2.84,46.86,97.714580010365,1.75,9633.98828492489,1.54,0.09,0.02,184.56
fcc18_trace_2.csv,QAOCS-RBA,2.18,0.44,18.49,97.5655419818572,2.69,1637.38746356404,1.33,0.33,0.28,32.69
ghent_trace_1.csv,QAOCS-RBA,2.07,2.31,42.95,98.0156704252742,1.12,9051.26862795832,1.28,0.12,0.21,180.24
hsr_trace_3.csv,QAOCS-RBA,2.14,1.08,14.26,98.1829410765631,1.25,4509.40038165061,6.67,16.43,0.55,80.81
oboe_trace_3.csv,QAOCS-RBA,2.03,0.69,29.34,98.310952471672,1.2,2852.48747976577,1.25,1.14,0.55,54.95
ghent_trace_0.csv,QAOCS-RBA,1.82,2.27,45.81,97.7075663263761,2.09,9594.19014710094,1.14,0.09,0.07,199.67
lab_trace_3.csv,QAOCS-RBA,1.93,2.31,45.33,98.1583903810976,1.26,9926.72748876299,1.2,0.12,0.08,192.08
ghent_trace_3.csv,QAOCS-RBA,2.2,1.94,43.22,97.9142129985235,1.78,7545.92159010402,1.37,0.11,0.33,141.87
lab_trace_2.csv,QAOCS-RBA,2.7,3.28,44.94,98.4435548656227,1.08,9592.84339764437,1.67,0.12,0.08,196.62
oboe_trace_0.csv,QAOCS-RBA,2.27,0.51,19.81,97.6416422686804,1.89,1907.85245986662,1.41,0.53,0.41,36.08
lumos5g_trace_2.csv,QAOCS-RBA,1.95,2.24,47.79,98.3382480995263,1.25,9513.86116426294,1.22,0.08,0.04,183.64
lumos5g_trace_3.csv,QAOCS-RBA,2.32,2.67,46.61,97.7422550157245,1.53,8938.89357705506,1.43,0.08,0.04,187.11
ghent_trace_2.csv,QAOCS-RBA,2.06,2.76,45.04,97.414273740909,2.37,10331.9197585943,1.28,0.09,0.04,215
lumos5g_trace_4.csv,QAOCS-MPC,1.84,2.21,47.56,98.1948799566646,1.03,9756.28209276404,1.15,0.55,0.03,192.49
oboe_trace_2.csv,QAOCS-MPC,2.23,0.77,5.11,98.0238949414586,1.28,3526.85234124978,5.56,4.52,0.71,55.64
hsr_trace_2.csv,QAOCS-MPC,2.4,2.69,35.35,98.2473836393635,1.2,9805.554539909,1.49,0.18,0.04,180.53
oboe_trace_1.csv,QAOCS-MPC,2.59,0.5,4.24,97.8562471358704,2.28,1737.08890556927,44.62,86.39,0.23,32.69
hsr_trace_1.csv,QAOCS-MPC,2.42,1.8,5.42,97.9539688206769,1.42,7123.7988202513,16.42,8.12,0.55,120.7
fcc18_trace_3.csv,QAOCS-MPC,2.07,0.65,4.76,98.107356594407,1.35,3211.75888378302,3.8,2.56,0.7,51.09
fcc18_trace_1.csv,QAOCS-MPC,2.11,1.14,4.31,98.2238619525175,1.71,5943.00916186845,6.49,8.32,0.62,87.42
lumos5g_trace_1.csv,QAOCS-MPC,2.29,2.61,51.61,97.4577029685145,1.99,9885.48928124402,1.43,0.08,0.03,182.98
lab_trace_1.csv,QAOCS-MPC,2.11,2.6,44.87,98.2963439041862,0.99,10006.2911393822,1.3,0.11,0.01,200.25
fcc18_trace_2.csv,QAOCS-MPC,2.51,0.64,5.04,98.0126519635325,1.62,2418.23943391325,20.31,14.66,0.58,40.84
ghent_trace_1.csv,QAOCS-MPC,2.24,2.6,43.31,98.0176496539756,1.32,10373.0771302011,1.35,0.2,0.01,192.62
hsr_trace_3.csv,QAOCS-MPC,2.33,1.47,6.05,98.1223550714227,1.39,6096.58703448154,17.14,40.82,0.46,102.61
oboe_trace_3.csv,QAOCS-MPC,2.2,1.03,4.68,97.8370570615401,1.73,5050.16948923892,7.89,2.17,0.63,78.37
ghent_trace_0.csv,QAOCS-MPC,2.24,2.57,47.13,97.6172759244268,2.33,9749.1297192896,1.39,0.09,0.01,185.19
lab_trace_3.csv,QAOCS-MPC,2.26,2.77,46.69,98.4358000091408,0.92,10333.5909423927,1.41,0.15,0.01,196.36
ghent_trace_3.csv,QAOCS-MPC,1.92,2.3,28.74,98.2297665361262,1.03,9718.15562697745,1.19,0.1,0.08,193.59
lab_trace_2.csv,QAOCS-MPC,2.18,2.61,43.46,98.4239130073074,1.16,9991.81434452398,1.35,0.25,0.01,193.23
oboe_trace_0.csv,QAOCS-MPC,1.98,0.56,4.64,98.1243689445684,1.19,2721.57037240332,8.64,7.09,0.57,45.76
lumos5g_trace_2.csv,QAOCS-MPC,2.53,2.99,49.12,98.3522247040576,1.18,10718.7358081305,1.56,0.08,0.02,191.51
lumos5g_trace_3.csv,QAOCS-MPC,2.25,2.72,50.42,97.1935386824869,3,9910.74028181199,1.39,0.08,0.01,195.94
