TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,1534.7839295864105,5124,19,0,"(640, 360)",26.70718263720398,2182860.0,70.0,84.00232171289751,1534.7839295864105,82.47092539628117,16.405126513043463
1534.7839295864105,1,1000.0,3608,31,0,"(640, 360)",28.835136028835134,2182860.0,97.34187752173911,0.0,2447.4160110470057,81.7398709659997,14.649000059999983
2534.7839295864105,2,3584.6053063869476,59527,29,0,"(640, 360)",132.1499254635082,2182860.0,94.41500009999997,0.0,5915.533729034243,108.70545980960758,15.716318586553903
6119.389235973358,3,3618.724077939987,977390,18,2,"(1280, 720)",2149.899504257665,2182860.0,93.25111787037041,0.0,8944.64549982818,551.3227504042259,14.157820285412864
9738.113313913345,4,1000.0,387598,15,2,"(1280, 720)",3097.6832190976834,2182860.0,97.6655338256881,0.0,9671.139642198092,266.9097856650642,14.306201852962964
10738.113313913345,5,1090.3201699256897,188541,22,2,"(1280, 720)",1369.8361912304138,2182860.0,97.71885606666667,0.0,10594.49274362342,170.9193491686667,14.44470644690022
11828.433483839035,6,1000.0,209372,22,2,"(1280, 720)",1673.301025673301,2182860.0,96.44165475757576,0.0,11420.855960843917,180.964596422752,14.112892900000006
12828.433483839035,7,1000.0,494506,15,2,"(1280, 720)",3952.0919559520917,2182860.0,97.21192633333334,0.0,12158.922858670772,287.41452827619946,14.552091944242413
13828.433483839035,8,1000.0,260747,20,2,"(1280, 720)",2083.89002608389,2932200.0,98.66042903333332,0.0,12993.210826199918,173.6056634321634,14.018303406666657
14828.433483839035,9,1000.0,173578,24,2,"(1280, 720)",1387.2353773872353,2932200.0,97.89916006666665,0.0,13851.533702885494,142.31283139299035,14.976727316666654
15828.433483839035,10,1000.0,550334,15,2,"(1280, 720)",4398.269332398269,2932200.0,97.36740343333332,0.0,14556.639695345468,277.5646092928249,14.774256633333334
16828.433483839035,11,1000.0,757322,15,2,"(1280, 720)",6052.517430052517,2932200.0,99.27362106666666,0.0,15206.17747792904,351.87130913020223,15.152720876666672
17828.433483839035,12,1000.0,146696,28,2,"(1280, 720)",1172.3944331723942,2932200.0,99.8157687,0.0,16076.359712180138,132.66245211965867,15.843542016666667
18828.433483839035,13,1000.0,213510,25,2,"(1280, 720)",1706.371921706372,2932200.0,96.86015809999999,0.0,16909.182461526838,156.6480350661799,15.433922700000004
19828.433483839035,14,1000.0,398674,15,2,"(1280, 720)",3186.202611186203,2932200.0,98.763692,0.0,17693.318370508565,223.12012894934287,13.755138290000007
20828.433483839035,15,1000.0,149876,22,2,"(1280, 720)",1197.808993197809,2932200.0,97.40192350000001,0.0,18555.06281467767,134.27635990697013,15.602890066666674
21828.433483839035,16,1000.0,402814,15,2,"(1280, 720)",3219.2894912192896,2899620.0,96.32160386666666,0.0,19334.793248451784,226.23113954314886,13.773573210000004
22828.433483839035,17,2853.916585445404,702690,19,2,"(1280, 720)",1959.034491987555,2899620.0,97.52294260000001,0.0,21822.9785890381,335.0933171279431,13.967073829612417
25682.35006928444,18,1269.9831128120422,693021,15,3,"(1920, 1080)",4260.480857234414,2899620.0,97.66539036046514,0.0,22785.229194115753,331.5832383118078,13.902878693846166
26952.33318209648,19,1000.0,147537,28,3,"(1920, 1080)",1179.1157051791158,2899620.0,97.75862158974361,0.0,23641.783994402933,133.55946822796017,14.945160260465151
27952.33318209648,20,1000.0,960656,15,3,"(1920, 1080)",7677.562759677563,2899620.0,95.44046019999998,0.0,24177.336683061014,466.9118546477263,14.533467001025638
28952.33318209648,21,1000.0,1213472,15,3,"(1920, 1080)",9698.068233698068,2085119.9999999998,98.84888193333333,0.0,24443.057355041423,692.5973312655489,15.057597740000007
29952.33318209648,22,1000.0,654157,19,3,"(1920, 1080)",5228.022749228023,2085119.9999999998,99.33607293333334,0.0,25033.53432906599,407.8526670455657,14.624990133333334
30952.33318209648,23,4378.192901611328,2364842,22,3,"(1920, 1080)",4295.413408942504,2150280.0,98.4477836,0.0,28196.36878505659,1173.3797229232046,14.992809974848486
35330.52608370781,24,4678.823202848434,3307759,21,3,"(1920, 1080)",5624.5975039880295,2964780.0,99.87736211363637,0.0,31429.333614356445,1384.7539840212025,15.133585835744679
40009.349286556244,25,1000.0,368843,26,3,"(1920, 1080)",2947.793258947793,2150280.0,99.96394032624113,0.0,32164.498816286123,260.5605732619399,15.050970913636363
41009.349286556244,26,1476.6677021980286,346640,30,3,"(1920, 1080)",1846.8973068300943,2150280.0,99.6527824,0.0,33389.60867610274,249.69148693487165,16.14382782624113
42486.01698875427,27,1000.0,1075431,15,3,"(1920, 1080)",8594.844560594844,2150280.0,97.640225,0.0,33844.118991294636,518.6628228588163,14.961591460000003
43486.01698875427,28,1000.0,1709141,15,3,"(1920, 1080)",13659.454885659454,2867040.0,99.87811616666667,0.0,34192.374007584236,707.5098322568517,15.154657700000003
44486.01698875427,29,2004.7544240951538,3155613,15,3,"(1920, 1080)",12403.109215085813,2867040.0,99.864467,0.0,34311.25880734155,1895.8797102015342,14.968505806284153
46490.771412849426,30,1213.2798731327057,1193109,23,3,"(1920, 1080)",7731.345701492343,2182860.0,99.92719570491803,0.0,34910.30294245844,655.3480344714346,14.933005197297298
47704.05128598213,31,4341.273367404938,1585053,27,3,"(1920, 1080)",2901.009783030941,2182860.0,99.86575316216216,0.0,38378.830936222694,833.2623731378839,15.105663464460015
52045.32465338707,32,1000.0,1260721,15,3,"(1920, 1080)",10075.682242075682,2867040.0,99.64306448091604,0.0,38866.73358825042,542.8727666311266,14.937164762162162
53045.32465338707,33,2053.5419285297394,1371145,20,3,"(1920, 1080)",5302.351436989271,2867040.0,99.8571768,0.0,40378.93812999303,583.9394895077944,14.949728242230973
