TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,8815.94929099083,289540,22,0,"(640, 360)",261.96266620343226,639763.92012,70.0,566.7244506426463,8815.94929099083,556.3928345806902,16.032412809056655
8815.94929099083,1,1992.977648973465,794624,15,2,"(1280, 720)",3175.3175071753176,639763.92012,96.72068801509442,0.0,9325.968392521136,1387.4296462866837,16.626814460000016
10808.926939964294,2,1000.0,358453,15,2,"(1280, 720)",2864.7563788647562,639763.92012,97.71135743333336,0.0,9608.241133554224,669.7784096634391,13.91567827849056
11808.926939964294,3,1000.0,430062,15,2,"(1280, 720)",3437.0555074370554,639763.92012,97.64624513333334,0.0,9765.94221981557,787.5998315446598,14.208429376666661
12808.926939964294,4,1000.0,501213,15,2,"(1280, 720)",4005.6943000056945,639763.92012,98.2992752,0.0,9839.4523625521,904.1459344446715,14.445079826666667
13808.926939964294,5,2363.5741770267487,1078847,15,2,"(1280, 720)",3643.1594960988355,640412.89451,98.68284056666667,0.0,10392.605663318567,1853.2753834095372,14.245259953239447
16172.501116991043,6,1000.0,346865,21,2,"(1280, 720)",2772.145082772145,640412.89451,98.45864578873241,0.0,10768.797759195275,650.1338242274846,14.909411823333338
17172.501116991043,7,5029.773890972137,1411620,20,2,"(1280, 720)",2241.390671431169,640412.89451,99.62949313333334,0.0,13501.275871740894,2520.781745374433,14.265195205950974
22202.27500796318,8,1000.0,114773,28,2,"(1280, 720)",917.2658169172657,599364.89177,98.38690116556288,0.0,14232.508978199063,281.5695044361846,17.715419016666672
23202.27500796318,9,1000.0,392978,16,2,"(1280, 720)",3140.68017914068,599364.89177,93.82814823333334,0.0,14465.783652517082,770.1656375133781,14.615880648896194
24202.27500796318,10,1000.0,397616,15,2,"(1280, 720)",3177.747075177747,599364.89177,97.54204103333336,0.0,14638.879673370695,778.311101704216,14.91826365666665
25202.27500796318,11,1000.0,102020,25,2,"(1280, 720)",815.3438408153438,599364.89177,98.83513079999997,0.0,15380.745432797723,259.1721122788422,14.914322500000033
