TIME,SEGMENT_NO,DURATION,BYTES,CRF,QUALITY_INDEX,RESOLUTION,BITRATE,CURRENT_THROUGHPUT,VMAF,REBUF,BUFFER_STATE,DELAY,REWARD
0.0,0,1000.0,21837,40,0,"(640, 360)",174.5213041745213,7184384.0,70.0,84.74440803370746,1000.0,83.1994831831753,15.121800233333339
1000.0,1,1000.0,110417,15,0,"(640, 360)",882.4526648824527,7184384.0,39.75639953333332,0.0,1897.199922595688,96.17792437773811,16.48293715999999
2000.0,2,1000.0,109417,15,0,"(640, 360)",874.4606648744607,7184384.0,97.47156193333332,0.0,2794.293710513586,96.0314077690842,19.71434992666667
3000.0,3,1000.0,114385,15,0,"(640, 360)",914.1649209141649,7184384.0,97.81664980000001,0.0,3690.814441040595,96.7593022808768,13.950717746666665
4000.0,4,1000.0,80028,21,0,"(640, 360)",639.5837766395838,7184384.0,97.8297899,0.0,4596.822223210622,91.72543115735462,15.070827433333342
5000.0,5,1560.4220926761627,227361,15,0,"(640, 360)",1159.8312752871857,7184384.0,95.49164473333333,0.0,6046.552344984572,113.31216266016024,14.576513886595741
6560.422092676163,6,2773.744285106659,1093287,18,2,"(1280, 720)",3120.553246161075,7184384.0,98.93248812765957,0.0,8589.837744666085,240.1847035254006,12.755722769047601
9334.166377782822,7,3753.186970949173,2146126,15,2,"(1280, 720)",4553.585698421695,7184384.0,95.47184392857146,0.0,11983.551914124,394.44310326396806,15.649602733854273
13087.353348731995,8,1579.1868269443512,418876,23,2,"(1280, 720)",2092.2850995440817,7184384.0,96.56577078761059,0.0,13427.794470196244,141.37229096651265,12.851732001488138
14666.540175676346,9,1000.0,800147,15,2,"(1280, 720)",6394.774830394775,7184384.0,95.24022385416664,0.0,14231.440688666347,197.23482486459523,14.169310641238939
15666.540175676346,10,1000.0,623735,15,2,"(1280, 720)",4984.8901249848905,7184384.0,98.0431462,0.0,15049.352785863275,171.38753689874272,14.12001409458335
16666.540175676346,11,5224.146336317062,522979,31,2,"(1280, 720)",798.6588711580179,7184384.0,97.74006080000002,0.0,20117.50122821689,156.62510947721,18.42338528598725
21890.68651199341,12,1000.0,632516,19,3,"(1920, 1080)",5055.067877055068,7184384.0,89.23952182802549,0.0,20945.342212742427,175.93152228119632,14.742706050000024
22890.68651199341,13,2082.556188106537,1868320,17,3,"(1920, 1080)",7110.292459642777,5557488.0,95.9947095,0.0,22564.860825661886,433.874382019169,14.286087645768868
24973.242700099945,14,1000.0,1246572,15,3,"(1920, 1080)",9962.603433962604,5557488.0,97.01673304761903,0.0,23259.03051978292,316.11046081099573,14.270725429999985
25973.242700099945,15,1000.0,326463,29,3,"(1920, 1080)",2609.0922986090923,5557488.0,98.11699396666664,0.0,24112.99270018449,141.8346388076582,14.253822430952368
26973.242700099945,16,1000.0,1607118,15,3,"(1920, 1080)",12844.087068844088,5557488.0,95.52582123333332,0.0,24738.72162298401,384.40068568654345,15.100113523333336
27973.242700099945,17,1000.0,1049632,19,3,"(1920, 1080)",8388.65895238866,5557488.0,99.85302153333333,0.0,25422.555830059264,289.6800473100342,15.356008016666664
28973.242700099945,18,4415.106534957886,1969027,28,3,"(1920, 1080)",3549.578380678048,5222360.0,99.84765023333333,0.0,29395.082533957717,476.88186949961323,15.297484266416028
33388.34923505783,19,3088.6214077472687,4009149,15,3,"(1920, 1080)",10335.845120190983,5222360.0,99.11107453383461,0.0,31314.80638181929,1088.3413096000716,15.225791878494597
36476.9706428051,20,1000.0,660751,21,3,"(1920, 1080)",5280.721997280722,3436280.0,99.24371670967746,0.0,32033.88996618424,282.4070705591665,14.759991617167948
37476.9706428051,21,4338.630318641663,5301063,15,3,"(1920, 1080)",9702.158617701332,3436280.0,98.70216583333332,0.0,34982.557803767755,1311.0600669319508,15.065052946318673
41815.60096144676,22,1000.0,290628,30,3,"(1920, 1080)",2322.6989783226986,3914462.5,98.35732752671757,0.0,35823.75780118959,158.1522905191494,16.618376883333333
42815.60096144676,23,1000.0,830231,18,3,"(1920, 1080)",6635.206158635206,3914462.5,94.16757789999998,0.0,36509.652509025465,303.25603283236273,14.371897747328243
43815.60096144676,24,2385.8241736888885,1541298,24,3,"(1920, 1080)",5132.523199697636,3914462.5,98.67938416666667,0.0,38379.18965753357,494.4678732695539,15.399684910000007
46201.42513513565,25,4589.158296585083,2412637,23,3,"(1920, 1080)",4191.694184408869,3914462.5,99.69407116666667,0.0,42237.316644515085,719.2330407129994,14.544392028985499
50790.583431720734,26,1268.6599791049957,741032,26,3,"(1920, 1080)",4555.6377809592095,4014344.0000000005,98.26998427536233,0.0,43229.614621815424,274.31161958480044,14.858592820512825
52059.24341082573,27,3985.2514266967773,3506543,21,3,"(1920, 1080)",7006.072921006073,4014344.0000000005,99.6709566923077,0.0,46068.41794752588,1090.0664574947496,15.037343247463761
56044.49483752251,28,3803.288221359253,3208910,24,3,"(1920, 1080)",6748.844051901728,3385684.0,99.77390279166666,0.0,48950.02946873326,1000.5375473810461,14.976681557085024
59847.78305888176,29,1000.0,1600886,18,3,"(1920, 1080)",12794.28092479428,3909032.0,99.90629537719299,0.0,49441.63834927864,511.08962983540096,14.919898340833331
60847.78305888176,30,3403.760313987732,6409258,15,3,"(1920, 1080)",14919.259653686455,3909032.0,99.82881436666666,0.0,51316.81470101092,1630.8958160341851,14.981266899173905
